step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,3,20,-0.9702700616429414,0.2302943617105484,-18.247970215011275,3.857641212642193,0.2302943617105484,0.19966267049312592,0,0,0.0,0.20000000298023224,100
200,100000,6,27,-3.8990475416746384,0.8051397204399109,-55.48890016769216,9.260061174631119,0.8051397204399109,0.1393386721611023,0,0,0.0,0.20000000298023224,200
300,100000,7,77,-1.3554446357614154,0.1731400489807129,-496.57302330247546,114.424187079072,0.1731400489807129,0.4392588138580322,0,0,0.0,0.20000000298023224,300
400,100000,7,177,-1.913386026412819,0.33090662956237793,-794.7206161420974,173.65449748560786,0.33090662956237793,0.3253471255302429,0,0,0.0,0.20000000298023224,400
500,100000,9,15,-0.41877380558751165,0.07350880652666092,-6.895819066788407,1.0132841616868973,0.07350880652666092,0.39048606157302856,0,0,0.0,0.20000000298023224,500
600,100000,11,7,-2.336131545440899,0.40532979369163513,-14.740067211314251,2.550630271434784,0.40532979369163513,0.2525591552257538,0,0,0.0,0.20000000298023224,600
700,100000,13,35,-0.8361793499187434,0.06155078485608101,-21.161889641482997,1.989329868927598,0.06155078485608101,0.35251525044441223,0,0,0.0,0.20000000298023224,700
800,100000,13,135,-1.5428766281792972,0.31088584661483765,-567.6241326743342,127.9293008055538,0.31088584661483765,0.12944242358207703,0,0,0.0,0.20000000298023224,800
900,100000,13,235,-0.7424744799719787,0.10151264071464539,-671.0635636785463,143.80038020946085,0.10151264071464539,0.350825697183609,0,0,0.0,0.20000000298023224,900
1000,100000,15,14,-1.4520028425357236,0.30720898509025574,-18.680630999037504,3.8614844232797623,0.30720898509025574,0.2295588105916977,0,0,0.0,0.19993998110294342,1000
1100,100000,15,114,-0.9457580485901806,0.17273031175136566,-145.66600518437392,29.951441012322903,0.17273031175136566,0.2583979666233063,0,0,0.0,0.1941610425710678,1100
1200,100000,15,214,-0.8701544971527677,0.1268283724784851,-209.43778688395673,37.041067315265536,0.1268283724784851,0.629295825958252,0,0,0.0,0.18910743296146393,1200
1300,100000,16,74,-0.9131854271852399,0.038237087428569794,-472.69925771340905,104.82952379062772,0.038237087428569794,0.405554860830307,0,0,0.0,0.18389567732810974,1300
1400,100000,16,174,-1.110389467685152,0.07561290264129639,-579.512344006679,113.81816528365016,0.07561290264129639,0.3293707072734833,0,0,0.0,0.1787286102771759,1400
1500,100000,17,34,-1.6314578783673803,0.37177085876464844,-33.25074664178949,7.105380028486252,0.37177085876464844,0.18684996664524078,0,0,0.0,0.1737751066684723,1500
