episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,51,-8.701144055313279,54.55127088725567,51,0,1,0.17647058823529413,0.061139222234487534,0.3833582526912876,0.1002598163812476,0.20000000298023224
2,94,-22.32769920504674,62.04239249229431,43,0,1,0.2558139534883721,-0.0015633085276931524,0.489357964937077,0.10095306511194788,0.20000000298023224
3,119,-33.37194380125339,94.77836614847183,25,0,1,0.88,-0.0018236717442050576,0.8311346459388733,0.10323221872908257,0.20000000298023224
4,165,-17.330592550501816,48.87335895746946,46,0,1,0.15217391304347827,-0.006014720071107149,0.432029542553684,0.10565364682794172,0.20000000298023224
5,197,-38.00073436135023,45.30704517662525,32,0,1,0.21875,0.043993961066007614,0.5095951617695391,0.10838692610274268,0.20000000298023224
6,227,-31.631771966724727,66.47558537125587,30,0,1,0.43333333333333335,-0.02120996080338955,0.6491861790418625,0.11181646783665786,0.20000000298023224
7,260,-13.667486268065286,74.46166878938675,33,0,1,0.45454545454545453,-0.0021869249176234007,0.6503535996783864,0.11592773958674678,0.20000000298023224
8,283,-6.100192717262923,60.14236368238926,23,0,1,0.5217391304347826,-0.0011756649473682046,0.7018418992343156,0.12086589043807884,0.20000000298023224
9,314,-14.508617391454111,45.271447628736496,31,0,1,0.22580645161290322,0.04039890691637993,0.5248854073785967,0.12601231838601748,0.20000000298023224
10,331,-5.7012378419711665,44.41269624233246,17,0,1,0.47058823529411764,-0.002869924297556281,0.7301586024901446,0.13193268070839248,0.20000000298023224
11,354,-13.736154368214251,46.74248060584068,23,0,1,0.34782608695652173,0.007195712998509407,0.6409774176452471,0.1382981657973844,0.20000000298023224
12,392,-6.276061174633339,68.67046017944813,38,0,1,0.34210526315789475,-0.0020452968310564756,0.5702752678802139,0.14497393531849842,0.20000000298023224
13,422,-21.035550217601333,65.41555181145668,30,0,1,0.4,-0.00914367102086544,0.713851727048556,0.15213117556041433,0.20000000298023224
14,662,-64.87285148031243,248.6671200990677,240,0,0,0.2125,0.03244810923933983,0.398613000412782,0.15917361029044086,0.20000000298023224
15,702,-31.43884990489075,58.69676297903061,40,0,1,0.25,0.060126613825559616,0.5174190744757652,0.16632263282120394,0.20000000298023224
16,919,-33.520877664668866,272.0533835571259,217,0,1,0.2672811059907834,0.019857564941048622,0.41499255095449733,0.1734660553396158,0.20000000298023224
17,950,-10.054140898062105,34.43408082425594,31,0,1,0.12903225806451613,0.049381572753190994,0.46561551045986915,0.18053269513249826,0.20000000298023224
18,997,-15.81041886382901,67.54645322263241,47,0,1,0.2553191489361702,0.05023212358355522,0.5009883664389874,0.18768958222533907,0.20000000298023224
19,1017,-3.2663437327416434,27.38754716515541,20,0,1,0.15,0.06852496415376663,0.5193773582577705,0.19489831364266674,0.19892236590385437
20,1160,-139.05764724606402,203.79234736412764,143,0,1,0.3006993006993007,0.007471943274140358,0.4670793521966968,0.20218416914424736,0.19058112800121307
21,1179,-20.334639980182047,45.63992369174957,19,0,1,0.42105263157894735,-0.003839855780825019,0.7178907206183985,0.21003178249421603,0.18950586020946503
22,1205,-9.956284635444906,43.45911127328873,26,0,1,0.2692307692307692,0.044609617441892624,0.5561196643572587,0.2180477673165572,0.18804456293582916
23,1254,-6.691015716812975,94.10033582150936,49,0,1,0.3877551020408163,-0.0001560130767757073,0.5938844045205992,0.22634816040616407,0.18532678484916687
24,1284,-40.63170332473019,59.70266418159008,30,0,1,0.36666666666666664,0.014448145404458046,0.6234221393863361,0.2349535782443171,0.1836852878332138
25,1318,-18.111316352041026,49.57473711669445,34,0,1,0.23529411764705882,0.031123200431466103,0.5169040328439545,0.24358276544227855,0.1818479299545288
26,1339,-11.701657335331946,59.84183290600777,21,0,1,0.5714285714285714,-0.004212595988065004,0.7543729955241794,0.2529302988257231,0.180723175406456
27,1374,-13.010112713369411,80.91866593062878,35,0,1,0.4857142857142857,-0.0019770271610468626,0.626247598017965,0.26269143648186155,0.17886851727962494
28,1432,-38.89050514111647,106.54698579013348,58,0,1,0.3793103448275862,-0.006340136751532555,0.5611549274160944,0.2726080257533839,0.17585454881191254
29,1454,-14.682343485928953,50.31739604473114,22,0,1,0.4090909090909091,-0.0033495891839265823,0.6962452747605063,0.2828973627441649,0.17472973465919495
30,1522,-39.13498694873288,98.73521756380796,68,0,1,0.29411764705882354,0.007116662338376045,0.45198849358541127,0.2931232271321995,0.1712999939918518
31,1549,-3.6646616304040807,26.129737839102745,27,0,1,0.07407407407407407,0.08360614627599716,0.44924954959639796,0.3030466823348899,0.1699608862400055
32,1789,-149.79408117163408,146.64297054708004,240,0,0,0.10416666666666667,0.0012547591468319297,0.29851237727950014,0.3125044709660855,0.1585191935300827
33,1811,-4.637907417070354,42.71612760424614,22,0,1,0.3181818181818182,0.007435353472828865,0.6234603456475518,0.32218519124763606,0.15750855207443237
34,1849,-21.468492310331182,65.37222829461098,38,0,1,0.3157894736842105,0.028671422973275185,0.5624270603844994,0.3319670364137223,0.15578024089336395
35,1877,-19.99211305448316,89.82698222994804,28,0,1,0.7142857142857143,-0.006422346457839012,0.7795350796410015,0.3425888425756105,0.15452007949352264
36,1907,-26.51796062893807,60.0610271692276,30,0,1,0.36666666666666664,0.002081165323033929,0.6353675723075867,0.3534055755488914,0.15318237245082855
