step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,3,21,-0.10179353084961754,0.5430457592010498,-2.7765501683240483,7.206657484173775,0.5430457592010498,0.1845511943101883,0,0,0.10411883602975229,0.20000000298023224,100
200,100000,6,35,-0.5852418781222561,3.800000011920929,-25.58480290408352,38.36513169109821,0.800000011920929,0.07871104776859283,0,0,0.11078474947821691,0.20000000298023224,200
300,100000,10,6,-0.9023189515539809,0.054364096373319626,-4.7492335337849685,0.587373286485672,0.054364096373319626,0.44380319118499756,0,0,0.12786830560408002,0.20000000298023224,300
400,100000,11,50,-0.7315307563257832,0.1014077365398407,-30.59977209107718,81.0018407702446,0.1014077365398407,0.33057501912117004,0,0,0.13288519505712318,0.20000000298023224,400
500,100000,11,150,-0.8471558312550508,0.12657062709331512,-98.3358445074043,97.24820884875953,0.12657062709331512,0.2999253273010254,0,0,0.13288519505712318,0.20000000298023224,500
600,100000,12,10,-0.38073838590308645,0.12690554559230804,-3.158846931747065,1.70855613052845,0.12690554559230804,0.4644180238246918,0,0,0.13760549738950076,0.20000000298023224,600
700,100000,13,60,-0.09975554779986055,0.21718117594718933,-26.495945148631225,8.942213404923677,0.21718117594718933,0.23325081169605255,0,0,0.1424093243483253,0.20000000298023224,700
800,100000,13,160,-0.5971495365971532,0.19075514376163483,-82.48708062129153,246.79348957911134,0.19075514376163483,0.24541835486888885,0,0,0.1424093243483253,0.20000000298023224,800
900,100000,14,20,-0.3289638043932991,0.08208299428224564,-4.67534749549291,2.1996516212821007,0.08208299428224564,0.3793789744377136,0,0,0.1472376924653891,0.20000000298023224,900
1000,100000,15,64,-0.10998152899329292,0.8106833696365356,-18.151285953871778,59.78860159218311,0.8106833696365356,0.12104162573814392,0,0,0.15189089398102656,0.19993998110294342,1000
1100,100000,16,72,-0.45968988042839354,0.0695541575551033,-30.65495747392747,23.932679809629917,0.0695541575551033,0.3857092559337616,0,0,0.15691751274666355,0.19403593242168427,1100
1200,100000,16,172,-0.28884621131176014,0.15236492455005646,-71.1004001931545,46.99713496863842,0.15236492455005646,0.27498024702072144,0,0,0.15691751274666355,0.18832096457481384,1200
1300,100000,17,32,-0.04564256269425897,0.40334591269493103,-0.5959886590984418,6.859188288450241,0.40334591269493103,0.23777656257152557,0,0,0.16154095500760252,0.18278643488883972,1300
1400,100000,17,132,0.1489712951380251,0.12017619609832764,-16.74140058030041,191.72866187989712,0.12017619609832764,0.434938907623291,0,0,0.16154095500760252,0.17742745578289032,1400
1500,100000,17,232,-0.1845867798725911,0.07479899376630783,-27.373706546997653,214.2809753268957,0.07479899376630783,0.3747061789035797,0,0,0.16154095500760252,0.17222653329372406,1500
1600,100000,20,22,-0.4920759203838361,3.8641859889030457,-7.759343102647261,24.254965275526047,0.8641859889030457,0.06829913705587387,0,0,0.17676973110807156,0.16718977689743042,1600
1700,100000,23,18,-0.08684286889009968,0.07022357732057571,-4.29149979198644,2.021559089422226,0.07022357732057571,0.44411501288414,0,0,0.1951976600452748,0.1623157411813736,1700
1800,100000,25,37,-0.556547201315391,3.861568510532379,-20.70653499355058,43.516228668391705,0.8615685105323792,0.04019264876842499,0,0,0.20840751624339154,0.157607302069664,1800
1900,100000,26,93,-0.47557967728450223,0.02506934478878975,-31.65571241702957,133.42632828466594,0.02506934478878975,0.5878546237945557,0,0,0.21559126639329174,0.15306174755096436,1900
2000,100000,26,193,-0.6868255119264097,0.024854468181729317,-89.26266325530412,143.80278975889087,0.024854468181729317,0.5904266238212585,0,0,0.21559126639329174,0.1486690193414688,2000
2100,100000,27,53,-0.3455320773594361,0.06290033459663391,-18.36728195182546,65.27923867851496,0.06290033459663391,0.4012983441352844,0,0,0.222457717008585,0.1444142907857895,2100
2200,100000,29,4,-0.7073723616481766,0.3718472719192505,-2.24676231801665,1.1307649165391922,0.3718472719192505,0.3941206932067871,0,0,0.2357240682196589,0.14030799269676208,2200
2300,100000,33,13,-0.7433498884064719,0.4280620515346527,-7.690933812754292,4.335921406745911,0.4280620515346527,0.22040297091007233,0,0,0.2650217445719899,0.13636140525341034,2300
2400,100000,37,5,-0.029540018295684763,0.42512327432632446,0.06221974046404232,1.8207645118236542,0.42512327432632446,0.24661104381084442,0,0,0.3013876961030748,0.13257303833961487,2400
2500,100000,40,19,0.006250294564458443,3.887163758277893,-3.877023513519206,16.540416419506073,0.8871637582778931,0.10263925045728683,0,0,0.32981467179364676,0.1289224624633789,2500
2600,100000,42,39,-0.1991404286700754,3.800000011920929,-6.172209209590373,95.89574587345123,0.800000011920929,0.11146771907806396,0,0,0.34967168977199764,0.12542232871055603,2600
2700,100000,42,139,-0.1815908041828527,0.0814984068274498,-25.71844206300109,113.95780573226511,0.0814984068274498,0.36197638511657715,0,0,0.34967168977199764,0.12206272035837173,2700
2800,100000,44,11,-0.4017708483731303,0.1897948682308197,-4.128913718360898,1.508979544043541,0.1897948682308197,0.3841566741466522,0,0,0.36901370712334935,0.11880206316709518,2800
