step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,2,5,-1.3838644282658528,3.8406806588172913,-7.07072296314885,13.099594116210938,0.8406806588172913,0.10352668911218643,0,0,0.10066590953077785,0.20000000298023224,100
200,100000,2,105,-0.49499619071457374,0.4013870656490326,-102.27700864768002,357.14095798134804,0.4013870656490326,0.15091238915920258,0,0,0.10066590953077785,0.20000000298023224,200
300,100000,2,205,-0.5946656967636821,0.09004616737365723,-163.02939650195682,367.5679928176105,0.09004616737365723,0.5525981187820435,0,0,0.10066590953077785,0.20000000298023224,300
400,100000,3,65,-0.15508823786741346,0.39544156193733215,-11.616443816139636,56.77191361784935,0.39544156193733215,0.152772918343544,0,0,0.10154154545260492,0.20000000298023224,400
500,100000,4,10,-0.9849360261720815,0.2685728371143341,-10.428320957097714,2.3609842360019684,0.2685728371143341,0.31910932064056396,0,0,0.10247672401172071,0.20000000298023224,500
600,100000,7,34,-0.06930532263347032,3.800000011920929,-4.317569518873248,81.62087696790695,0.800000011920929,0.0482824444770813,0,0,0.10857881637750388,0.20000000298023224,600
700,100000,7,134,-0.24877881030723195,0.24968069791793823,-18.102116803997355,120.70426783524454,0.24968069791793823,0.3739173710346222,0,0,0.10857881637750388,0.20000000298023224,700
800,100000,10,14,-0.3518555408117732,0.6688137650489807,-1.84696613255386,6.179461419582367,0.6688137650489807,0.17163847386837006,0,0,0.1180661282002206,0.20000000298023224,800
900,100000,11,9,-0.07361639322794901,0.17806780338287354,-0.35645023204983833,1.9380576312541962,0.17806780338287354,0.26488909125328064,0,0,0.12218270055214836,0.20000000298023224,900
1000,100000,13,12,0.08552022830704545,0.34904763102531433,-0.1792819770447536,3.881956398487091,0.34904763102531433,0.2478361874818802,0,0,0.13218059375174485,0.19993998110294342,1000
1100,100000,15,29,-0.31623496860895556,3.8344236612319946,-4.585990559681713,26.704761132597923,0.8344236612319946,0.09239665418863297,0,0,0.14448156518537336,0.1940491497516632,1100
1200,100000,15,129,-0.2979789623010132,3.8012136220932007,-33.596580144792036,116.83623155020177,0.8012136220932007,0.08326872438192368,0,0,0.14448156518537336,0.18835097551345825,1200
1300,100000,15,229,-0.24653669553250332,3.800000011920929,-60.10673417944945,227.24858672358096,0.800000011920929,0.06868087500333786,0,0,0.14448156518537336,0.18283675611019135,1300
1400,100000,18,18,-0.08697341699560666,0.6176425814628601,-0.90417733017899,6.577249050140381,0.6176425814628601,0.1854899674654007,0,0,0.16288791000352876,0.17750830948352814,1400
1500,100000,21,35,-0.3923620249680073,0.6435517072677612,-9.33181055910677,15.032054290175438,0.6435517072677612,0.1347249299287796,0,0,0.1817040181351239,0.172356516122818,1500
1600,100000,21,135,-0.4232554267530395,0.41046178340911865,-55.45068901588194,44.08066448569298,0.41046178340911865,0.19489441812038422,0,0,0.1817040181351239,0.16738370060920715,1600
1700,100000,21,235,-0.5061956541179282,3.83585786819458,-110.14110169643914,72.89186318963766,0.8358578681945801,0.11716511845588684,0,0,0.1817040181351239,0.1625591665506363,1700
1800,100000,24,32,-0.7149316554300711,0.8243497014045715,-22.33281983300227,11.841426342725754,0.8243497014045715,0.12852774560451508,0,0,0.20097713688717408,0.1578865796327591,1800
1900,100000,26,61,-0.02710640694925816,0.55354905128479,-10.495777452450787,63.88177169114351,0.55354905128479,0.14302121102809906,0,0,0.21561486161162208,0.15336492657661438,1900
2000,100000,26,161,-0.23764617556217701,0.1038464605808258,-24.88846672157219,78.82171781547368,0.1038464605808258,0.3677675426006317,0,0,0.21561486161162208,0.14898820221424103,2000
2100,100000,27,21,-0.5399028992725988,0.4359610080718994,-10.54771894095672,4.7722302079200745,0.4359610080718994,0.23369042575359344,0,0,0.22289928084166108,0.14473578333854675,2100
2200,100000,29,47,-0.46094754309782565,0.49971601366996765,-16.431871163171174,9.732439368963242,0.49971601366996765,0.2028433233499527,0,0,0.2385195568296795,0.14061883091926575,2200
2300,100000,29,147,-0.5377908210107765,0.06425125151872635,-41.93182220611286,37.39773586392403,0.06425125151872635,0.3979652523994446,0,0,0.2385195568296795,0.1366565227508545,2300
2400,100000,30,7,-0.04134269380183243,0.1985071748495102,-0.38439124876608766,1.485223338007927,0.1985071748495102,0.43639588356018066,0,0,0.24600121342197281,0.13281123340129852,2400
2500,100000,31,77,-0.21623726882377248,0.22609162330627441,-16.729549793860066,112.58632430806756,0.22609162330627441,0.524791419506073,0,0,0.25338773665770464,0.12908916175365448,2500
2600,100000,34,10,-0.6086322530622786,3.8520283102989197,-6.498446773332599,22.588311702013016,0.8520283102989197,0.09006917476654053,0,0,0.2758164298817194,0.12550407648086548,2600
2700,100000,37,25,-0.4740146562199564,0.3683605194091797,-8.37164372067554,6.145655393600464,0.3683605194091797,0.21372787654399872,0,0,0.30312582589352577,0.12206132709980011,2700
2800,100000,37,125,-0.9816734797252695,0.027063632383942604,-67.07226115938855,22.36620084941387,0.027063632383942604,0.5662958025932312,0,0,0.30312582589352577,0.11874140799045563,2800
2900,100000,37,225,-2.0873314697943717,0.026816705241799355,-215.9051863677518,25.224903551861644,0.026816705241799355,0.7821764349937439,0,0,0.30312582589352577,0.11551977694034576,2900
