episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,49,-132.86224805377043,45.100596472620964,49,0,1,0.12244897959183673,0.06548135727643967,0.3898080912779789,0.0,0.20000000298023224
2,289,-513.2636953716707,173.57560495845973,240,0,0,0.1375,0.07004428654909134,0.3107316873269156,0.0,0.20000000298023224
3,314,-75.04709252996133,29.254023641347885,25,0,1,0.12,0.08232777565717697,0.4901609456539154,0.0,0.20000000298023224
4,334,-124.76095337437175,59.83903020620346,20,0,1,0.6,-0.003128668060526252,0.7919515103101731,0.0,0.20000000298023224
5,574,-561.8438909998598,209.5989272221923,240,0,0,0.17916666666666667,0.018539736047387123,0.3358288634258012,0.0,0.20000000298023224
6,814,-539.4908708614302,106.06879451498389,240,0,0,0.0625,0.08239715546369553,0.2544533104790995,0.0,0.20000000298023224
7,883,-151.3973252123748,45.814750991761684,69,0,1,0.057971014492753624,0.08264672011137009,0.37412682596756064,0.0,0.20000000298023224
8,1123,-360.10521593837836,146.0026571676135,240,0,0,0.10416666666666667,0.02098759450018406,0.29584440486505625,0.0,0.19272366166114807
9,1363,-347.7552782342988,121.56468283385038,240,0,0,0.075,0.055870670825242996,0.28151951180770995,0.0,0.17954015731811523
10,1400,-112.61568649322363,50.185398541390896,37,0,1,0.21621621621621623,0.012300902977585793,0.49149725787542964,0.0,0.17759418487548828
11,1640,-264.8203659793413,26.432631893083453,240,0,0,0.0,0.17138145864009857,0.11013596622118106,0.0,0.1654990017414093
12,1880,-468.44885420554505,143.36399015970528,240,0,0,0.1125,0.00219777156598866,0.259849958998772,0.0,0.15437211096286774
13,1913,-123.62665831514055,53.10834348201752,33,0,1,0.2727272727272727,0.03371455892920494,0.5487376812732581,0.0,0.15291520953178406
14,2001,-271.64649428398695,115.8739002943039,88,0,1,0.26136363636363635,0.006616586819291115,0.4417488669807261,0.0,0.14912255108356476
15,2241,-467.9834907634095,208.52576292864978,240,0,0,0.18333333333333332,0.010776126757264137,0.3188573455360408,0.0,0.13941912353038788
16,2325,-206.73329665488814,90.48133811354637,84,0,1,0.19047619047619047,0.004422977101057768,0.41049212039936156,0.0,0.13619355857372284
17,2565,-243.68602502148858,53.771778559312224,240,0,0,0.0,0.1427309364080429,0.2240490773304676,0.0,0.12741315364837646
18,2605,-151.34451155035217,72.94658499956131,40,0,1,0.35,-0.004020326305180788,0.5736646249890327,0.0,0.12601527571678162
19,2650,-118.98521676893057,37.645039193332195,45,0,1,0.08888888888888889,0.08874689787626266,0.3921119820740488,0.0,0.12447215616703033
20,2684,-104.68423669189939,49.233212515711784,34,0,1,0.23529411764705882,-0.013690454885363579,0.5068591916385818,0.0,0.12330605089664459
