episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,15,-334.0787493698256,53.47619742155075,15,0,1,0.7333333333333333,-0.005589604843407869,0.83174649477005,0.0,0.20000000298023224
2,255,-867.4167612741081,118.75144565850496,240,0,0,0.0875,0.054811980575323105,0.23229769024377067,0.0,0.20000000298023224
3,285,-246.1531297945474,37.83508360385895,30,0,1,0.16666666666666666,0.061842214316129684,0.49450278679529824,0.0,0.20000000298023224
4,314,-239.24322471183882,38.51691234111786,29,0,1,0.1724137931034483,0.07319071143865585,0.5350659427971676,0.0,0.20000000298023224
5,344,-287.3584223556809,45.88466128706932,30,0,1,0.23333333333333334,-0.0002959092380478978,0.5628220429023106,0.0,0.20000000298023224
6,370,-181.13767351055327,26.463606610894203,26,0,1,0.07692307692307693,0.0993020310997963,0.4793694850343924,0.0,0.20000000298023224
7,413,-523.5986120217433,82.10689324140549,43,0,1,0.37209302325581395,-0.0003520330647006631,0.607137052125709,0.0,0.20000000298023224
8,443,-369.68765523336657,59.37997826933861,30,0,1,0.36666666666666664,-0.00013744145689997822,0.6126659423112869,0.0,0.20000000298023224
9,454,-309.96623312947634,50.48296791315079,11,0,1,1.0,-0.0026160944253206253,0.8620879921046171,0.0,0.20000000298023224
10,496,-342.609448885774,54.496076092123985,42,0,1,0.21428571428571427,0.044938456267118454,0.46419228790771394,0.0,0.20000000298023224
11,547,-301.2934443876826,44.56749485433102,51,0,1,0.11764705882352941,0.045603346079587936,0.36406852655551014,0.0,0.20000000298023224
12,568,-294.31569352763063,46.09596413373947,21,0,1,0.38095238095238093,-0.005809151101857424,0.6712363873209272,0.0,0.20000000298023224
13,808,-1335.4777978322927,212.6075558513403,240,0,0,0.175,0.009158170782029629,0.36086481604725124,0.0,0.20000000298023224
14,1048,-1979.8674835163972,308.4971399717033,240,0,0,0.29583333333333334,0.08200312405824661,0.39790474988209706,0.0,0.19708292186260223
15,1147,-552.564595421229,83.59580366313457,99,0,1,0.1414141414141414,-0.0005875980714336038,0.3393515521528745,0.0,0.192087784409523
16,1195,-640.7761688377102,103.87845733761787,48,0,1,0.4583333333333333,-0.0033015317749232054,0.6224678612003723,0.0,0.1898127794265747
17,1435,-710.5359874379276,94.7035687752068,240,0,0,0.05,0.08374267816543579,0.24459820323002834,0.0,0.17788094282150269
18,1481,-335.5818563081871,54.826352164149284,46,0,1,0.1956521739130435,0.024470379576086998,0.43100765574237576,0.0,0.1756414920091629
19,1509,-400.3622654599274,62.80929923057556,28,0,1,0.42857142857142855,-0.011147646233439445,0.6717606868062701,0.0,0.17431803047657013
20,1749,-435.21904383023366,68.11822134442627,240,0,0,0.029166666666666667,0.11166291683912277,0.1963259222684428,0.0,0.16367457807064056
21,1773,-205.22822853176615,32.37170282006264,24,0,1,0.16666666666666666,0.049344297498464584,0.5154876175026099,0.0,0.16263853013515472
22,1842,-748.7029724136472,121.71346713602543,69,0,1,0.36231884057971014,-0.005489096511155367,0.5610647411018178,0.0,0.15977714955806732
23,1869,-392.5840728136031,62.80043512582779,27,0,1,0.4444444444444444,-0.008566671051084995,0.6963124120676959,0.0,0.15869948267936707
24,2109,-2302.0137353602827,377.79227667301893,240,0,0,0.35833333333333334,0.0007943430682644248,0.4991344861375789,0.0,0.14965671300888062
25,2128,-329.14404380295815,52.65885415673256,19,0,1,0.5263157894736842,-0.008460009470582008,0.7715186398280295,0.0,0.14897121489048004
26,2156,-174.44498542928926,26.185898527503014,28,0,1,0.07142857142857142,0.09307239204645157,0.4352106616965362,0.0,0.14795248210430145
27,2396,-847.6364610986134,124.72477076761425,240,0,0,0.09583333333333334,0.03954584524035454,0.23218654486505935,0.0,0.1397879272699356
28,2418,-353.0531300243687,57.069888055324554,22,0,1,0.5,-0.006980838254094124,0.730449457060207,0.0,0.13905972242355347
29,2439,-157.00296011608657,24.811048924922943,21,0,1,0.09523809523809523,0.10104093700647354,0.5148118535677592,0.0,0.13836441934108734
30,2469,-302.26079028126475,47.69110390543938,30,0,1,0.26666666666666666,0.00190977961756289,0.5230367968479792,0.0,0.13743045926094055
31,2486,-192.64472999042468,30.601077020168304,17,0,1,0.23529411764705882,0.05611729249358177,0.6235927658922532,0.0,0.13690246641635895
32,2510,-349.1406214523134,54.54855826497078,24,0,1,0.4166666666666667,-0.0024811632465571165,0.6895232610404491,0.0,0.13613659143447876
33,2542,-451.64868035411826,74.79069124162197,32,0,1,0.46875,-0.0007942223455756903,0.6809591013006866,0.0,0.1351361870765686
34,2572,-378.01850509983547,59.47200547158718,30,0,1,0.36666666666666664,-0.0030583746265619993,0.6157335157195727,0.0,0.13419875502586365
35,2680,-629.9083556147285,92.92992796748877,108,0,1,0.1388888888888889,0.07261655479669571,0.3697215552545256,0.0,0.1310441941022873
36,2699,-306.2746494908271,48.892707139253616,19,0,1,0.47368421052631576,-0.003394221654161811,0.7311951125922956,0.0,0.13050997257232666
37,2730,-236.92162342395943,37.827803283929825,31,0,1,0.16129032258064516,0.024929339066147804,0.4783162349654782,0.0,0.12967047095298767
38,2742,-7.054853936569192,4.571232467889786,12,1,0,0.0,0.19128768146038055,0.38093603899081546,0.0,0.12934593856334686
39,2772,-456.61034389513367,75.03378653526306,30,0,1,0.5,-0.002257720334455371,0.7344595511754354,0.0,0.12853896617889404
40,2808,-311.4878037625662,46.14675511419773,36,0,1,0.19444444444444445,0.035890694707632065,0.4762987531721592,0.0,0.12761783599853516
