step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,50000,4,2,-3.010565833822023,0.3300313353538513,-5.64592996771858,0.6130761206150055,0.3300313353538513,0.4526243805885315,0,0,0.0,0.20000000298023224,100
200,50000,6,50,-31.474512494502232,3.86316180229187,-544.0453311072738,64.26653330028057,0.8631618022918701,0.02739720046520233,0,0,0.0,0.20000000298023224,200
300,50000,10,8,-2.4627784031884996,0.24019621312618256,-14.15751515165782,1.0426604375243187,0.24019621312618256,0.41675281524658203,0,0,0.0,0.20000000298023224,300
400,50000,11,53,-2.0021181482970385,0.19959285855293274,-803.1894501325324,97.2923526763916,0.19959285855293274,0.23953314125537872,0,0,0.0,0.20000000298023224,400
500,50000,11,153,-1.9976778452779085,0.16605748236179352,-1006.6571552534248,115.24148374795914,0.16605748236179352,0.2635829746723175,0,0,0.0,0.20000000298023224,500
600,50000,12,13,-1.9684816138720316,0.236772820353508,-22.204082484631474,2.4304671585559845,0.236772820353508,0.4288709759712219,0,0,0.0,0.20000000298023224,600
700,50000,12,113,-1.3371370739665829,0.09186366200447083,-650.0764717353956,77.26297687366605,0.09186366200447083,0.3883694112300873,0,0,0.0,0.20000000298023224,700
800,50000,12,213,-1.539593055786542,0.16857369244098663,-746.3060381044588,85.06423351168633,0.16857369244098663,0.4635208249092102,0,0,0.0,0.20000000298023224,800
900,50000,14,7,-0.9503713627889239,0.09420997649431229,-6.248811444535723,0.6376157030463219,0.09420997649431229,0.46464818716049194,0,0,0.0,0.20000000298023224,900
1000,50000,15,39,-4.0956462338012285,0.45899638533592224,-118.23610523724608,12.562033832073212,0.45899638533592224,0.1998376101255417,0,0,0.0,0.19993998110294342,1000
1100,50000,15,139,-0.8407561227039403,0.024124542251229286,-319.3507895742997,32.266131864860654,0.024124542251229286,0.5995996594429016,0,0,0.0,0.1941031962633133,1100
1200,50000,15,239,-1.1028513013109944,0.04327826201915741,-422.2188512520648,35.89985357504338,0.04327826201915741,0.7138302326202393,0,0,0.0,0.18901297450065613,1200
1300,50000,16,99,-1.904699116717984,0.14782534539699554,-1101.1105561631762,130.16383077949286,0.14782534539699554,0.4746782183647156,0,0,0.0,0.18395951390266418,1300
1400,50000,16,199,-1.1451057172017363,0.03088776394724846,-1915.8156419797303,224.27669210359454,0.03088776394724846,0.5334055423736572,0,0,0.0,0.17897066473960876,1400
1500,50000,18,18,-31.501013675863728,3.8454626202583313,-224.54591563708496,26.312519431114197,0.8454626202583313,0.08329162001609802,0,0,0.0,0.17423707246780396,1500
1600,50000,21,21,-4.984119715923553,0.5473835468292236,-58.38857633727834,6.006790570914745,0.5473835468292236,0.19588260352611542,0,0,0.0,0.16998861730098724,1600
1700,50000,23,38,-0.8399011946495739,0.10609518736600876,-38.95177421937186,4.071063928306103,0.10609518736600876,0.3449113965034485,0,0,0.0,0.1659134179353714,1700
1800,50000,23,138,-1.7025527339443947,0.19844162464141846,-1081.1424480692046,133.4297632202506,0.19844162464141846,0.24028360843658447,0,0,0.0,0.1619562804698944,1800
1900,50000,23,238,-1.072165755492327,0.10855420678853989,-1202.99743771611,144.58712356165051,0.10855420678853989,0.3271082043647766,0,0,0.0,0.1580825001001358,1900
2000,50000,26,42,-30.781190781415237,3.800000011920929,-651.9871330338391,79.91439688950777,0.800000011920929,0.02676447667181492,0,0,0.0,0.1543118804693222,2000
2100,50000,26,142,-1.548613769253226,0.11676241457462311,-1131.8602601527853,132.95026806928217,0.11676241457462311,0.3164411783218384,0,0,0.0,0.15063568949699402,2100
2200,50000,27,2,-3.626646967558829,0.40922462940216064,-7.604312017093365,0.8500102460384369,0.40922462940216064,0.2698209285736084,0,0,0.0,0.1470089703798294,2200
2300,50000,27,102,-2.1484288438566432,0.22005796432495117,-734.7900881324977,86.99570520035923,0.22005796432495117,0.3340030610561371,0,0,0.0,0.1435132473707199,2300
2400,50000,27,202,-2.45359087112211,0.24611367285251617,-2261.315161092259,271.93386627547443,0.24611367285251617,0.2125706523656845,0,0,0.0,0.14016735553741455,2400
2500,50000,30,3,-4.5268573603686955,0.4902842342853546,-12.386242849382736,1.337396264076233,0.4902842342853546,0.2628302574157715,0,0,0.0,0.1369946300983429,2500
2600,50000,33,15,-5.641645782762199,0.6363363265991211,-57.9090199405551,6.175428792834282,0.6363363265991211,0.17355625331401825,0,0,0.0,0.13390274345874786,2600
2700,50000,33,115,-0.6598725399856722,0.03208427503705025,-946.4200334835309,111.0980967991054,0.03208427503705025,0.5247260928153992,0,0,0.0,0.13101011514663696,2700
2800,50000,33,215,-1.8329080263017095,0.13320478796958923,-1083.2207120338749,118.43164664134383,0.13320478796958923,0.37035709619522095,0,0,0.0,0.12827228009700775,2800
2900,50000,37,2,-1.3465943147460941,0.15002430975437164,-3.4028462085946423,0.3898221254348755,0.15002430975437164,0.29344403743743896,0,0,0.0,0.1256464123725891,2900
