episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,22,-16.58895387313363,59.604580610990524,22,0,1,0.5454545454545454,-0.01248298678547144,0.7092991186813875,0.10107964955934069,0.20000000298023224
2,46,-13.88319408571467,21.499173656105995,24,0,1,0.041666666666666664,0.09832905977964401,0.43746556900441647,0.10227821609188323,0.20000000298023224
3,77,-21.436453290631633,37.704767033457756,31,0,1,0.16129032258064516,0.067987821996212,0.4743473236599276,0.10374999570156408,0.20000000298023224
4,118,-8.19240715570627,63.49496938288212,41,0,1,0.2682926829268293,0.03478739783167839,0.5486577898263931,0.10564751522567409,0.20000000298023224
5,147,-13.436145328085841,52.248070776462555,29,0,1,0.3103448275862069,-0.006419600918889046,0.5947610612573295,0.10807598758006932,0.20000000298023224
6,179,-28.53459556965359,32.118785470724106,32,0,1,0.09375,0.0729108676314354,0.4724620459601283,0.11060989233972486,0.20000000298023224
7,205,-26.88251547383275,51.656719997525215,26,0,1,0.34615384615384615,-0.0004454633453860879,0.6406430768278929,0.1137355003228885,0.20000000298023224
8,235,-16.121485058199834,56.064194828271866,30,0,1,0.3333333333333333,-0.004702412057667971,0.6021398276090622,0.11736423115403181,0.20000000298023224
9,475,-108.31566206628844,176.40660133957863,240,0,0,0.175,0.04377288743853569,0.21002750558157762,0.12090403919640876,0.20000000298023224
10,522,-12.107446630866653,36.83037433028221,47,0,1,0.0851063829787234,0.08828992396593094,0.3580930708570683,0.12438366932954219,0.20000000298023224
11,595,-58.587912799138344,39.09231312572956,73,0,1,0.0410958904109589,0.0935501977801323,0.302634426379857,0.12768207352537325,0.20000000298023224
12,835,-263.93248591914045,150.04713594913483,240,0,0,0.11666666666666667,0.006336448714137077,0.27519639978806176,0.1308531557113068,0.20000000298023224
13,875,-22.460020754769655,35.870743840932846,40,0,1,0.1,0.07839929312467575,0.39676859602332115,0.13403906808595534,0.20000000298023224
14,1115,-142.01900556149306,467.7672034353018,240,0,0,0.4583333333333333,0.01982864737510681,0.5740300143137574,0.13776519984902832,0.19316154718399048
15,1171,-13.114338885488916,33.96800804883242,56,0,1,0.03571428571428571,0.09835078567266464,0.35657157230057884,0.14133331081009795,0.18995240330696106
16,1411,-167.60680246883777,40.770052005536854,240,0,0,0.008333333333333333,0.10975602269172668,0.14487521668973688,0.14453295383145895,0.17686690390110016
17,1651,-121.89458961042317,126.98175112530589,240,0,0,0.08333333333333333,0.057507794350385666,0.27909062968877457,0.1475621600165963,0.1647235006093979
18,1696,-3.815518208068111,39.69465517997742,45,0,1,0.1111111111111111,0.08372267335653305,0.3709923373328315,0.15060595761669876,0.16254152357578278
19,1712,-19.399981318462505,40.579831659793854,16,0,1,0.4375,-0.008697500452399254,0.7237394787371159,0.15449068507616465,0.16177484393119812
20,1952,-10.080638630304653,114.81723372451961,240,0,0,0.075,0.0667918249964714,0.25340514051883173,0.15814537873291665,0.1507105827331543
21,1980,-14.918892213253052,33.69528990983963,28,0,1,0.14285714285714285,0.06462634354829788,0.4891174967799868,0.1619440393123639,0.1494711935520172
22,2220,-134.73658849199938,176.6742184665054,240,0,0,0.1625,0.026566624641418457,0.24864257694377254,0.16564583815131068,0.1392766237258911
23,2248,-16.496554376771357,63.66366329789162,28,0,1,0.42857142857142855,-0.0008371031144633889,0.7022736892104149,0.1700243981786296,0.1381380259990692
24,2479,-36.15929053577236,131.03911178186536,231,0,1,0.07792207792207792,0.006047969684004784,0.2988706137743089,0.17419266464566888,0.12910614907741547
25,2500,-13.953407445406953,52.81688517332077,21,0,1,0.47619047619047616,-0.00940529815852642,0.7055659606343224,0.17913506267443527,0.1283167600631714
26,2535,-27.0500244682762,31.88154837489128,35,0,1,0.08571428571428572,0.09905871003866196,0.42518709642546515,0.1840107914928332,0.12701508402824402
27,2566,-9.051471268555385,70.34240321815014,31,0,1,0.45161290322580644,0.0011459345696493983,0.656206555424198,0.18950228876092656,0.1258746236562729
28,2587,-10.490217718259618,56.189512491226196,21,0,1,0.5238095238095238,0.006853057071566582,0.7233101186298189,0.19578205670112064,0.1251087337732315
29,2610,-9.420651033821361,25.741807356476784,23,0,1,0.08695652173913043,0.09270072728395462,0.5105133633250776,0.2020324407520545,0.12427807599306107
30,2641,-18.454314309708742,52.48287299275398,31,0,1,0.2903225806451613,-0.013541510328650475,0.5639636449275478,0.20854180355193772,0.1231658086180687
31,2653,-8.680918038435493,21.38641381263733,12,0,1,0.16666666666666666,0.09298329800367355,0.6155344843864441,0.21534179878735332,0.12273763120174408
32,2671,-18.5393317720929,41.85773140192032,18,0,1,0.3888888888888889,-0.014967271126806736,0.7143184112177955,0.2226895090221626,0.12210309505462646
33,2705,-7.562691634341679,75.0481556802988,34,0,1,0.4411764705882353,-0.0035298324655741453,0.6484751670676119,0.23049848309347112,0.12091600149869919
34,2737,-21.17281047392892,67.17851680517197,32,0,1,0.40625,-0.008272940292954445,0.630578650161624,0.23869167278629502,0.11981091648340225
35,2841,-71.45576966083652,111.42911438830197,104,0,1,0.19230769230769232,0.05074084922671318,0.4175876383490574,0.24673591989057533,0.11630312353372574
36,2860,-9.151057307203377,52.8140127658844,19,0,1,0.5263157894736842,-0.006279444321990013,0.7796848824149684,0.2554927970808491,0.11567414551973343
37,2888,-9.882193690507187,36.92565317451954,28,0,1,0.17857142857142858,0.037389423698186874,0.4973447562328407,0.2641962170754399,0.11475753784179688
38,2903,20.246216749130838,6.2975847870111465,15,1,0,0.0,0.16032929718494415,0.4198389858007431,0.2723993855632015,0.11427014321088791
39,2928,-9.060308858728519,67.96488833427429,25,0,1,0.56,-0.009475314058363438,0.7185955333709717,0.2812766933932605,0.1134682148694992
40,2971,-46.69561522796413,54.77509191632271,43,0,1,0.20930232558139536,0.03178757056593895,0.4598858585191328,0.29007205550526216,0.11210408061742783
41,3211,-79.01604503048965,225.5827556438744,240,0,0,0.1875,0.03237733989953995,0.37742814851614337,0.29862261358592185,0.10479742288589478
42,3451,-29.81278111574859,46.781111216172576,240,0,0,0.0,0.1775187999010086,0.1949212967340524,0.3065681044109156,0.0980362668633461
43,3691,-21.382681828934558,38.249400513246655,240,0,0,0.0,0.18859152495861053,0.15937250213852774,0.3139210069457289,0.09176410734653473
44,3724,-9.30917882358459,49.62347124516964,33,0,1,0.24242424242424243,-0.010780652984976768,0.5340445831869588,0.32138313513024347,0.09094240516424179
45,3964,-44.381770323686574,254.55173604749143,240,0,0,0.225,0.047288041561841965,0.3856322335312143,0.32872747302229793,0.08516860753297806
46,3996,-13.066052362993865,57.002003252506256,32,0,1,0.3125,0.04324400797486305,0.5938126016408205,0.3363202503205701,0.0844302624464035
47,4236,-29.303099502746985,100.10704211704433,240,0,0,0.05416666666666667,0.10180837661027908,0.2546126754876847,0.3434669450916725,0.07911752909421921
48,4476,-123.41864201908173,235.26030001230538,240,0,0,0.19166666666666668,0.06569094210863113,0.40525125005127244,0.3504714307492454,0.07417825609445572
49,4499,-3.2091039431563404,24.417705237865448,23,0,1,0.08695652173913043,0.10309094935655594,0.4529437059941499,0.3573815118030237,0.07372833788394928
50,4617,9.195400702126424,69.46871527470648,118,1,0,0.0847457627118644,0.07939678430557251,0.3344806379212414,0.36396544776714146,0.07146014273166656
51,4753,-26.778613689982876,161.00699749402702,136,0,1,0.23529411764705882,-0.002338817110285163,0.4191690992207869,0.37053712442384024,0.06893163174390793
52,4789,-3.4215916327296934,74.91400119662285,36,0,1,0.4166666666666667,0.021139860153198242,0.6087222554617457,0.37754568948654604,0.06827127933502197
53,4817,-5.372483096128574,37.828803181648254,28,0,1,0.17857142857142858,0.06167639419436455,0.5296001136302948,0.384604340638646,0.06776664406061172
54,5052,-28.59140636279025,75.70461600273848,235,0,1,0.01276595744680851,0.10653218626976013,0.24980687660739778,0.3911961328842106,0.06369350850582123
55,5292,-76.5555157252796,58.99432981386781,240,0,0,0.0,0.13434453308582306,0.24580970755778253,0.3973062403712759,0.059827741235494614
56,5532,-60.668945928882394,133.04141674935818,240,0,0,0.07916666666666666,0.04764951393008232,0.3168392364556591,0.40311301210221573,0.0561939962208271
