episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,56,-8.638097224017777,60.904729418456554,56,0,1,0.17857142857142858,0.03925729915499687,0.40901302532958134,0.10026879222695051,0.20000000298023224
2,95,-18.04634835914628,32.507645681500435,39,0,1,0.07692307692307693,0.10768076032400131,0.3976319405512932,0.10066590953077785,0.20000000298023224
3,335,-185.7066552534972,371.21975193172693,240,0,0,0.38333333333333336,0.013102615252137184,0.39674896638219553,0.10154154545260492,0.20000000298023224
4,490,-42.52528733729945,117.28057434782386,155,0,1,0.12258064516129032,-0.004999034572392702,0.3372940280504765,0.10247672401172071,0.20000000298023224
5,524,-36.656214474305884,45.95548698306084,34,0,1,0.20588235294117646,0.05954597517848015,0.49869079361943636,0.10376595962792573,0.20000000298023224
6,543,-27.21347531170505,52.180140525102615,19,0,1,0.5263157894736842,-0.011984607204794884,0.7463231855317166,0.10608889505608636,0.20000000298023224
7,566,-9.981316360290194,25.67410257458687,23,0,1,0.08695652173913043,0.0945306196808815,0.5075696771559508,0.10857881637750388,0.20000000298023224
8,730,-25.739398408591754,186.7870395090431,164,0,1,0.23780487804878048,0.002856216626241803,0.3767502409087994,0.11123871431428055,0.20000000298023224
9,763,-7.66317258972882,46.95789039134979,33,0,1,0.21212121212121213,0.0538373701274395,0.5441784967075695,0.1142021005419661,0.20000000298023224
10,786,-6.781729403555342,60.89529412984848,23,0,1,0.5217391304347826,0.003568398067727685,0.7345780056455861,0.1180661282002206,0.20000000298023224
11,891,-25.711065100265674,151.35667608305812,105,0,1,0.29523809523809524,-0.0033046433236449957,0.47958739126722016,0.12218270055214836,0.20000000298023224
12,954,-4.167510392296428,86.01782375574112,63,0,1,0.23809523809523808,-0.010777657851576805,0.5240924405673194,0.1265011254273983,0.20000000298023224
13,988,-28.47680016576925,125.93359911441803,34,0,1,0.8823529411764706,-0.003070270409807563,0.8215764445417068,0.13218059375174485,0.20000000298023224
14,1019,-3.193286440523288,56.319247245788574,31,0,1,0.3225806451612903,-0.006868248805403709,0.5909434595415669,0.1382094636154513,0.19880294799804688
15,1071,-41.38723554572177,85.2462207376957,52,0,1,0.3076923076923077,-0.006348312366753817,0.5624273218787633,0.14448156518537336,0.19573041796684265
16,1311,-64.55499321061342,244.70184012688696,240,0,0,0.20833333333333334,0.046932023018598557,0.39459100052869567,0.15067485717706366,0.18224236369132996
17,1343,-10.047624517822873,34.532454177737236,32,0,1,0.125,0.08210844546556473,0.4541391930542886,0.15682305416569658,0.18052223324775696
18,1382,-8.186387642614658,38.927358493208885,39,0,1,0.10256410256410256,0.08589253574609756,0.4853168844412535,0.16288791000352876,0.17845360934734344
19,1407,-3.253442785683752,32.407258450984955,25,0,1,0.16,0.07662049680948257,0.4962903380393982,0.16902266821848902,0.17714110016822815
