step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,3,20,-1.098835999486309,0.2764168977737427,-24.581509638679876,5.789427623152733,0.2764168977737427,0.22081761062145233,0,0,0.0,0.20000000298023224,100
200,100000,6,29,-3.4996483077333007,0.7184034585952759,-67.43109977974885,12.138754785060883,0.7184034585952759,0.14919938147068024,0,0,0.0,0.20000000298023224,200
300,100000,8,39,-15.474302414864903,3.8155617117881775,-606.4872651599185,148.87261760234833,0.8155617117881775,0.03405551239848137,0,0,0.0,0.20000000298023224,300
400,100000,8,139,-1.0843757565811392,0.06190734729170799,-953.6363728988712,220.39633108489215,0.06190734729170799,0.8406623601913452,0,0,0.0,0.20000000298023224,400
500,100000,8,239,-0.7087544517895776,0.03738837316632271,-1038.0951997064615,227.09394749067724,0.03738837316632271,0.4923860430717468,0,0,0.0,0.20000000298023224,500
600,100000,10,48,-3.1867422901176097,0.5813330411911011,-95.81567721651639,15.994396463036537,0.5813330411911011,0.15138372778892517,0,0,0.0,0.20000000298023224,600
700,100000,13,9,-1.199027172363203,0.12922362983226776,-8.93944151306727,0.9442022852599621,0.12922362983226776,0.4629630744457245,0,0,0.0,0.20000000298023224,700
800,100000,13,109,-15.938229404361596,3.800000011920929,-906.32557927849,204.39056390151381,0.800000011920929,0.03555649146437645,0,0,0.0,0.20000000298023224,800
900,100000,15,18,-1.8312176767741448,0.4069916605949402,-25.713250993749348,5.341048941016197,0.4069916605949402,0.21463339030742645,0,0,0.0,0.20000000298023224,900
1000,100000,15,118,-0.8208751892841424,0.1458146572113037,-480.83367923323704,111.50007425248623,0.1458146572113037,0.28084060549736023,0,0,0.0,0.19993998110294342,1000
1100,100000,15,218,-0.4482426213032381,0.048438191413879395,-530.4778321083476,117.59617485105991,0.048438191413879395,0.5966897010803223,0,0,0.0,0.19410651922225952,1100
1200,100000,16,78,-0.8076878139943576,0.047789622098207474,-483.5679245042982,108.1356901936233,0.047789622098207474,0.44670596718788147,0,0,0.0,0.18875561654567719,1200
1300,100000,16,178,-1.2352676890400482,0.12390941381454468,-988.1655569041111,217.9247651696205,0.12390941381454468,0.30282062292099,0,0,0.0,0.1834486722946167,1300
1400,100000,17,38,-2.910804187704222,0.7507339119911194,-58.32432712003342,13.849308177828789,0.7507339119911194,0.12796005606651306,0,0,0.0,0.17835883796215057,1400
1500,100000,20,11,-1.9657476590098015,0.4007849097251892,-16.840718163904288,2.8088141679763794,0.4007849097251892,0.30471071600914,0,0,0.0,0.1735866665840149,1500
1600,100000,21,78,-15.663274454183096,3.800000011920929,-825.3756876924631,198.78146892786026,0.800000011920929,0.11707156151533127,0,0,0.0,0.16909871995449066,1600
1700,100000,21,178,-0.5567745211090926,0.017003318294882774,-915.0086078926151,207.54363334551454,0.017003318294882774,0.8469793796539307,0,0,0.0,0.16488108038902283,1700
1800,100000,23,10,-0.32347533092807573,0.06366638839244843,-5.1447961389252574,0.7700688689947128,0.06366638839244843,0.4898105561733246,0,0,0.0,0.16074389219284058,1800
1900,100000,23,110,-1.1086999416397885,0.19108988344669342,-318.4729454124033,73.18291851878166,0.19108988344669342,0.2451900988817215,0,0,0.0,0.1566648632287979,1900
2000,100000,23,210,-0.8078592645137281,0.08342955261468887,-382.70312392314685,79.379928201437,0.08342955261468887,0.4635155200958252,0,0,0.0,0.1527109593153,2000
2100,100000,26,11,-2.891456625261021,0.6226938962936401,-24.856337864842896,5.456369370222092,0.6226938962936401,0.17112156748771667,0,0,0.0,0.14881083369255066,2100
2200,100000,29,24,-16.32366775705788,3.914499282836914,-111.9233793076985,24.63502797484398,0.9144992828369141,0.04851504787802696,0,0,0.0,0.1450839638710022,2200
2300,100000,33,34,-15.52241623466055,3.8170852065086365,-199.65934502194378,45.84719866514206,0.8170852065086365,0.06124874949455261,0,0,0.0,0.1414906233549118,2300
2400,100000,34,92,-2.2006022752406897,0.46167656779289246,-339.38536112805474,68.21068672090769,0.46167656779289246,0.28316307067871094,0,0,0.0,0.13807019591331482,2400
2500,100000,38,18,-15.260996262230679,3.815042793750763,-150.82211641298827,36.80106061697006,0.8150427937507629,0.09593239426612854,0,0,0.0,0.13479065895080566,2500
2600,100000,38,118,-0.6976870239597686,0.08506859093904495,-726.2570262202903,176.60482924245298,0.08506859093904495,0.4466598331928253,0,0,0.0,0.13169486820697784,2600
2700,100000,41,8,-0.6910916114290194,0.11576995998620987,-7.670610793788675,1.3802295923233032,0.11576995998620987,0.33089885115623474,0,0,0.0,0.12868629395961761,2700
2800,100000,42,48,-0.5859823763283849,0.12426851689815521,-331.9173863318524,81.55102816224098,0.12426851689815521,0.3024258315563202,0,0,0.0,0.12581172585487366,2800
2900,100000,42,148,-0.23489690929221355,0.04685220122337341,-406.4741173794854,97.90238682925701,0.04685220122337341,0.4501797556877136,0,0,0.0,0.1230759248137474,2900
3000,100000,43,8,-1.9568056055288299,0.4892513155937195,-11.087287228926076,2.7284552305936813,0.4892513155937195,0.27863436937332153,0,0,0.0,0.12051177769899368,3000
3100,100000,43,108,-2.6296833991673614,0.32425349950790405,-190.75326734022516,17.7210702188313,0.32425349950790405,0.3336370587348938,0,0,0.0,0.11795718967914581,3100
3200,100000,43,208,-0.7809051088283206,0.028129201382398605,-361.0757141262788,27.320036243647337,0.028129201382398605,0.5561898946762085,0,0,0.0,0.11527537554502487,3200
3300,100000,44,68,-1.3986408100616021,0.10947972536087036,-72.58998445826715,5.898868218064308,0.10947972536087036,0.32668232917785645,0,0,0.0,0.11263255029916763,3300
3400,100000,44,168,-2.15792071967475,0.07244205474853516,-212.67669691526686,11.980274910107255,0.07244205474853516,0.6174819469451904,0,0,0.0,0.10994701087474823,3400
3500,100000,45,28,-1.7566350827829367,0.17276151478290558,-35.73286274464281,4.020568944513798,0.17276151478290558,0.3555435240268707,0,0,0.0,0.10729914158582687,3500
3600,100000,45,128,-3.994568491567071,0.14638490974903107,-263.01568381128914,21.210104467347264,0.14638490974903107,0.28031888604164124,0,0,0.0,0.10468776524066925,3600
3700,100000,45,228,-3.110026207207993,0.020037172362208366,-612.0306023660612,25.790090141817927,0.020037172362208366,0.670219361782074,0,0,0.0,0.10209017992019653,3700
3800,100000,46,88,-0.5807395065982411,0.10559380054473877,-111.2993883972137,11.101880069822073,0.10559380054473877,0.32490208745002747,0,0,0.0,0.09954973310232162,3800
3900,100000,46,188,-3.2999171658985698,0.1480708122253418,-400.7022330476272,18.167521132156253,0.1480708122253418,0.3815731108188629,0,0,0.0,0.09702354669570923,3900
4000,100000,47,48,-2.1319977680869497,0.16715863347053528,-82.19328328417018,11.669207468628883,0.16715863347053528,0.262711763381958,0,0,0.0,0.0945332869887352,4000
4100,100000,47,148,-1.4644120811315635,0.13583415746688843,-295.3448240013124,29.17600204050541,0.13583415746688843,0.2903592586517334,0,0,0.0,0.09206046909093857,4100
4200,100000,48,8,-0.8455596994217053,0.08995898813009262,-6.954226501358227,0.8562000393867493,0.08995898813009262,0.5423261523246765,0,0,0.0,0.08961176872253418,4200
4300,100000,48,108,-2.2313278634745175,0.016584476456046104,-178.33747715274805,6.014042615890503,0.016584476456046104,0.8057796359062195,0,0,0.0,0.08718867599964142,4300
4400,100000,48,208,-1.4174673128727184,0.12032418698072433,-349.8206957839221,16.60860268585384,0.12032418698072433,0.316713809967041,0,0,0.0,0.08482097089290619,4400
4500,100000,49,68,-1.6446318987804274,0.02418508380651474,-112.24844376241188,15.389621863141656,0.02418508380651474,0.5988116264343262,0,0,0.0,0.08250578492879868,4500
4600,100000,49,168,-3.1124144999450802,0.19109593331813812,-458.26570430781663,34.79489028826356,0.19109593331813812,0.4577869474887848,0,0,0.0,0.08027385920286179,4600
4700,100000,50,28,-1.2396812129705044,0.3044130504131317,-30.47795094618202,7.688227742910385,0.3044130504131317,0.2042170614004135,0,0,0.0,0.07807081937789917,4700
4800,100000,50,128,-1.9845141979883059,0.1384115219116211,-162.23777556729712,21.94446458108723,0.1384115219116211,0.4377906620502472,0,0,0.0,0.07593119889497757,4800
4900,100000,51,74,-1.074774280058523,0.06666433066129684,-70.3795886520889,9.559946931898594,0.06666433066129684,0.3922325670719147,0,0,0.0,0.07388204336166382,4900
5000,100000,52,7,-0.9980458835584003,0.13551419973373413,-7.137688523747971,0.9379870891571045,0.13551419973373413,0.3637092113494873,0,0,0.0,0.07185593247413635,5000
5100,100000,52,107,-1.1087625686337605,0.08951154351234436,-162.26556287147508,20.199290975928307,0.08951154351234436,0.37040597200393677,0,0,0.0,0.06990530341863632,5100
