step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,50000,2,2,-1.2742430337034796,0.28093886375427246,-2.470145352948614,0.560924619436264,0.28093886375427246,0.3352136015892029,0,0,0.10169834967237217,0.20000000298023224,100
200,50000,5,15,-0.8612747600222477,3.9016913175582886,-10.666334746616368,14.794058412313461,0.9016913175582886,0.08887583017349243,0,0,0.10891051909886328,0.20000000298023224,200
300,50000,7,72,-0.32034603035056647,0.4114096462726593,-11.3084623691687,124.96881110221148,0.4114096462726593,0.14783985912799835,0,0,0.11770111240248467,0.20000000298023224,300
400,50000,7,172,-0.2433018403654478,3.800000011920929,-27.816343605953865,247.40104383602738,0.800000011920929,0.09626173228025436,0,0,0.11770111240248467,0.20000000298023224,400
500,50000,8,32,0.0035990072076833007,0.7103501558303833,-4.108937955744203,11.748122930526733,0.7103501558303833,0.14155201613903046,0,0,0.12239593954746406,0.20000000298023224,500
600,50000,9,95,-0.8858360201668805,0.08298888057470322,-63.016842624073874,165.75859554111958,0.08298888057470322,0.35931897163391113,0,0,0.12702638051936935,0.20000000298023224,600
700,50000,9,195,-0.42845730607841637,0.0651782900094986,-121.18734266382874,170.67482891865075,0.0651782900094986,0.5249521136283875,0,0,0.12702638051936935,0.20000000298023224,700
800,50000,11,32,-0.5342229362230865,3.800000011920929,-17.61873574148079,41.91203364729881,0.800000011920929,0.0977548137307167,0,0,0.13613919136171554,0.20000000298023224,800
900,50000,11,132,-0.4664439053208255,0.05496925860643387,-73.53464956224883,69.04341405630112,0.05496925860643387,0.42298805713653564,0,0,0.13613919136171554,0.20000000298023224,900
1000,50000,11,232,-0.4019901278370688,0.1005883738398552,-121.87270237598429,76.01610217429698,0.1005883738398552,0.8019528985023499,0,0,0.13613919136171554,0.19993998110294342,1000
1100,50000,12,92,-0.7652851920229525,0.2711213231086731,-60.13707364608023,100.87394498288631,0.2711213231086731,0.3433575928211212,0,0,0.1404096399648069,0.19403836131095886,1100
1200,50000,12,192,-0.5269848392776683,3.8218864798545837,-126.83428691036637,133.6431104838848,0.8218864798545837,0.10884612053632736,0,0,0.1404096399648069,0.18832717835903168,1200
1300,50000,14,51,-0.48092186960794864,0.36354485154151917,-19.495416069539353,9.750187210738659,0.36354485154151917,0.21973790228366852,0,0,0.14827735733353828,0.18280762434005737,1300
1400,50000,16,15,-0.14315787270952682,0.2140941470861435,-3.730549619249624,1.6963447257876396,0.2140941470861435,0.5156736373901367,0,0,0.15697096268254007,0.17749713361263275,1400
1500,50000,17,31,-0.9952695069544325,3.8975452184677124,-25.605809574957288,16.554370567202568,0.8975452184677124,0.10903540253639221,0,0,0.1617231156625814,0.17240798473358154,1500
1600,50000,18,81,-0.26903547300330305,0.1640356183052063,-34.35436123854173,59.697065867483616,0.1640356183052063,0.5579653978347778,0,0,0.16693760502769045,0.1675267517566681,1600
1700,50000,21,5,-0.27451363071209306,0.20336668193340302,-1.11344620766388,1.1203256696462631,0.20336668193340302,0.4049968123435974,0,0,0.18283489012122037,0.16279426217079163,1700
1800,50000,23,27,-0.22017466532043786,0.3568732738494873,-4.005694713107858,5.765313379466534,0.3568732738494873,0.26052501797676086,0,0,0.19441565080810835,0.15821392834186554,1800
1900,50000,25,51,-0.9070053018444426,3.817916750907898,-39.00136146320347,102.02827617526054,0.817916750907898,0.028302306309342384,0,0,0.20618704312134162,0.15377657115459442,1900
2000,50000,25,151,-0.7841664952607426,0.45141345262527466,-107.70904570629298,193.1315670479089,0.45141345262527466,0.2510480582714081,0,0,0.20618704312134162,0.1494692713022232,2000
2100,50000,26,86,-0.5348295518434386,3.8185526728630066,-35.40137723049607,35.74497960880399,0.8185526728630066,0.09968339651823044,0,0,0.21226418810288505,0.1452811360359192,2100
2200,50000,26,186,-0.7755971347357263,0.04555709660053253,-83.92166888015666,202.84011359140277,0.04555709660053253,0.4551507234573364,0,0,0.21226418810288505,0.14117446541786194,2200
2300,50000,29,6,-0.1091870441017381,0.14267472922801971,-0.7331544003694918,0.8700675815343857,0.14267472922801971,0.2884385585784912,0,0,0.2314674442499111,0.13719242811203003,2300
2400,50000,31,5,-0.2697084338234689,0.2794734537601471,-1.130937451669693,1.2464156746864319,0.2794734537601471,0.3991262912750244,0,0,0.24579186351455448,0.13331404328346252,2400
2500,50000,32,75,-1.3259796262492731,3.817045032978058,-78.8654614480546,61.13285334408283,0.8170450329780579,0.08530155569314957,0,0,0.253097738233473,0.12955720722675323,2500
2600,50000,36,3,-0.19639699754914156,0.11081363260746002,-0.42499052694152983,0.3333401456475258,0.11081363260746002,0.31897878646850586,0,0,0.2832795270706267,0.1259373277425766,2600
2700,50000,37,56,-0.6229959212757433,0.4962892532348633,-31.846469550931776,97.78786341845989,0.4962892532348633,0.12456083297729492,0,0,0.2919252084923739,0.12244770675897598,2700
2800,50000,37,156,-0.9175808019760646,0.4193952977657318,-123.03279450661567,234.7984704002738,0.4193952977657318,0.14544688165187836,0,0,0.2919252084923739,0.11909065395593643,2800
2900,50000,38,16,-0.6181968669330411,0.2454569935798645,-7.167186582270477,3.1499762535095215,0.2454569935798645,0.4034094214439392,0,0,0.3003787979726713,0.11584636569023132,2900
3000,50000,39,83,-0.5500766762048878,3.8854796290397644,-53.68127850433166,22.097987733781338,0.8854796290397644,0.11786370724439621,0,0,0.30864730210986,0.11271145194768906,3000
3100,50000,39,183,-1.77402668253068,0.04815838858485222,-185.6742139180307,51.874752666801214,0.04815838858485222,0.6121465563774109,0,0,0.30864730210986,0.10965031385421753,3100
3200,50000,40,43,-0.6325733363534735,3.8049389123916626,-9.8858551623308,35.2215938270092,0.8049389123916626,0.09889286756515503,0,0,0.31634452643239486,0.10668942332267761,3200
3300,50000,40,143,-0.7805325335011776,0.16101142764091492,-86.08171231804336,60.04982703924179,0.16101142764091492,0.3163323998451233,0,0,0.31634452643239486,0.1038082167506218,3300
3400,50000,41,3,-0.10986011180412333,0.1550159901380539,-0.421674266056396,0.4764593094587326,0.1550159901380539,0.351777583360672,0,0,0.32355103281943826,0.10100532323122025,3400
3500,50000,41,103,-0.42684858661757175,0.2428453415632248,-34.74879259930511,33.568297788500786,0.2428453415632248,0.311597615480423,0,0,0.32355103281943826,0.09827450662851334,3500
3600,50000,41,203,-0.6859600372956632,0.09908606857061386,-95.95208303345616,52.337875597178936,0.09908606857061386,0.422001451253891,0,0,0.32355103281943826,0.09560313820838928,3600
3700,50000,42,63,-0.5901388348297416,0.10695915669202805,-39.8831337884053,69.45584534108639,0.10695915669202805,0.3231082856655121,0,0,0.33024200626995215,0.09302513301372528,3700
3800,50000,42,163,-0.2371369371962522,0.06525630503892899,-64.3154490669144,87.38513712398708,0.06525630503892899,0.3955442011356354,0,0,0.33024200626995215,0.09053065627813339,3800
3900,50000,43,23,-0.2501267138093752,0.28891292214393616,-4.281901792362212,4.884902290999889,0.28891292214393616,0.26294368505477905,0,0,0.33653297527451803,0.0881141871213913,3900
4000,50000,43,123,-0.01806504594428434,0.4523252844810486,-24.67224975204232,41.265432849526405,0.4523252844810486,0.186910942196846,0,0,0.33653297527451803,0.08578266203403473,4000
4100,50000,43,223,-0.1312134035432459,0.10736959427595139,-37.11922061045893,56.1041402425617,0.10736959427595139,0.4932749569416046,0,0,0.33653297527451803,0.08350489288568497,4100
4200,50000,44,83,-0.9842918427514408,0.35302889347076416,-30.0380283783954,40.17743504047394,0.35302889347076416,0.16695453226566315,0,0,0.3423548311611258,0.08130387961864471,4200
4300,50000,44,183,-2.8166298189158634,0.10940559953451157,-268.3378432811285,46.67209127545357,0.10940559953451157,0.7124646306037903,0,0,0.3423548311611258,0.07915958017110825,4300
4400,50000,45,43,-0.16080499802992196,0.15101194381713867,-3.2856999781268064,6.051913492381573,0.15101194381713867,0.2845374643802643,0,0,0.3477193273720779,0.07709041237831116,4400
4500,50000,45,143,-0.23925176570992449,0.3649217188358307,-29.524608963509507,27.54219899326563,0.3649217188358307,0.219273641705513,0,0,0.3477193273720779,0.07507482171058655,4500
4600,50000,46,3,-0.18687694206506905,0.13484977185726166,-0.749303822373695,0.3384684845805168,0.13484977185726166,0.4772566258907318,0,0,0.3526393215488649,0.0731201246380806,4600
4700,50000,46,103,-0.20776181112750186,0.022699039429426193,-22.444739629783165,71.12769444286823,0.022699039429426193,0.6198299527168274,0,0,0.3526393215488649,0.07124535739421844,4700
4800,50000,46,203,-0.7175920366081212,0.036194559186697006,-68.43130203330358,76.12853139825165,0.036194559186697006,0.498942494392395,0,0,0.3526393215488649,0.06942975521087646,4800
4900,50000,47,63,-0.5557074544787202,0.4169144332408905,-21.6140286018655,14.040256828069687,0.4169144332408905,0.18084251880645752,0,0,0.3572033814942557,0.06766330450773239,4900
5000,50000,47,163,-1.3875727810123388,0.06045878678560257,-118.91700424322816,21.43053806014359,0.06045878678560257,0.7100952863693237,0,0,0.3572033814942557,0.06593265384435654,5000
5100,50000,48,23,-0.09987585548548061,0.19756010174751282,1.7188286717437102,2.873770236968994,0.19756010174751282,0.3387439250946045,0,0,0.361319239546057,0.06426091492176056,5100
5200,50000,48,123,-0.3020049111983628,0.33940452337265015,-31.645959196377156,46.3346196860075,0.33940452337265015,0.17189039289951324,0,0,0.361319239546057,0.06263401359319687,5200
5300,50000,48,223,-0.13190165184724292,0.24395963549613953,-42.35727906933794,58.14008548296988,0.24395963549613953,0.26577818393707275,0,0,0.361319239546057,0.06102947145700455,5300
5400,50000,49,83,-0.2928377033032695,0.21816487610340118,-13.812447216744422,12.874887838959694,0.21816487610340118,0.22803311049938202,0,0,0.36508404867801497,0.059466246515512466,5400
5500,50000,49,183,-0.133171571368377,0.41840049624443054,-51.06231173242531,43.23174502700567,0.41840049624443054,0.14574238657951355,0,0,0.36508404867801497,0.05795079469680786,5500
5600,50000,50,43,-0.4070445022418883,0.447163462638855,-11.389881313944517,20.4547818005085,0.447163462638855,0.17452117800712585,0,0,0.3685204561879818,0.056481506675481796,5600
5700,50000,50,143,-0.21320018405127264,0.023536939173936844,-31.85036674811209,68.02649235352874,0.023536939173936844,0.6075301170349121,0,0,0.3685204561879818,0.05505138635635376,5700
5800,50000,51,3,-0.12615619832348507,0.10532019287347794,-0.432161585018293,0.2945650890469551,0.10532019287347794,0.3931281268596649,0,0,0.37169730717291055,0.05367692559957504,5800
5900,50000,51,103,-0.4798813990086049,0.2154175341129303,-32.49202133049056,22.323126278817654,0.2154175341129303,0.22966638207435608,0,0,0.37169730717291055,0.052346907556056976,5900
6000,50000,51,203,-0.284014117970815,0.17692887783050537,-46.56278144512863,39.92141602188349,0.17692887783050537,0.2609686255455017,0,0,0.37169730717291055,0.05105992779135704,6000
6100,50000,52,63,-0.15031429806473803,0.033717215061187744,-16.615520922827596,125.4125707410276,0.033717215061187744,0.5138108730316162,0,0,0.3745336984510591,0.049795642495155334,6100
6200,50000,53,59,-0.43398075988031626,3.800000011920929,-6.595783930381329,33.076093927025795,0.800000011920929,0.11086056381464005,0,0,0.37785562579014664,0.04855579137802124,6200
6300,50000,53,159,-0.6912373121021347,0.022303832694888115,-33.096802013426526,254.50005155615509,0.022303832694888115,0.6261001229286194,0,0,0.37785562579014664,0.047353994101285934,6300
6400,50000,54,19,-0.19029386995558553,0.22180494666099548,-2.1038706647735026,4.8122410625219345,0.22180494666099548,0.2907099425792694,0,0,0.3812962195219107,0.04617875814437866,6400
6500,50000,55,50,0.011790851380380505,0.3740376830101013,-3.1247067985952683,55.19671173393726,0.3740376830101013,0.15972033143043518,0,0,0.3844845524331922,0.04504437744617462,6500
6600,50000,55,150,-0.1345880296309545,0.07755612581968307,-9.802535495837665,64.31852288357913,0.07755612581968307,0.39133161306381226,0,0,0.3844845524331922,0.043939605355262756,6600
6700,50000,56,10,-0.25066520001214665,0.25355634093284607,-1.8952484325341534,2.4188407957553864,0.25355634093284607,0.2745529115200043,0,0,0.3873863503033613,0.042855821549892426,6700
6800,50000,56,110,-0.02401961521407458,0.22445206344127655,-33.72791183901549,117.13031873106956,0.22445206344127655,0.22437699139118195,0,0,0.3873863503033613,0.041829027235507965,6800
6900,50000,56,210,-0.3535133566101766,0.09701358526945114,-44.3569067161049,122.91580563038588,0.09701358526945114,0.5612738132476807,0,0,0.3873863503033613,0.040827687829732895,6900
7000,50000,57,70,-0.3571556485773181,0.08327033370733261,-8.727035115004611,17.87850645184517,0.08327033370733261,0.35882368683815,0,0,0.39013075942155356,0.0398365780711174,7000
7100,50000,58,10,-0.28622217791171417,0.11709211021661758,-3.576692822263606,1.0960317477583885,0.11709211021661758,0.3537072539329529,0,0,0.3925989818601921,0.038910962641239166,7100
7200,50000,58,110,-0.45280460484022145,0.13150283694267273,-35.68563161529583,26.04032624512911,0.13150283694267273,0.294737309217453,0,0,0.3925989818601921,0.03800110146403313,7200
