episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,59,-10.422714945137495,88.04692372307181,59,0,1,0.288135593220339,0.00988699309527874,0.4923207410690138,0.10047116037053451,0.20000000298023224
2,98,-31.710605035948358,82.25778208673,39,0,1,0.4358974358974359,-0.0017349326517432928,0.5963533868392309,0.10169834967237217,0.20000000298023224
3,136,-46.78602193899684,63.950846403837204,38,0,1,0.2894736842105263,-0.01169476006180048,0.6039696422062422,0.10343063801443159,0.20000000298023224
4,171,-15.574501564966543,42.7779726088047,35,0,1,0.17142857142857143,0.057045962661504745,0.47937064596584866,0.10541242583379953,0.20000000298023224
5,185,-4.246179243591797,52.931055426597595,14,0,1,0.7857142857142857,-0.0013261443236842752,0.852218244756971,0.10891051909886328,0.20000000298023224
6,206,-17.92424812906339,46.15684154629707,21,0,1,0.38095238095238093,-0.002249405486509204,0.6741353117284321,0.1130576801184428,0.20000000298023224
7,228,-12.740117333646864,43.05968987941742,22,0,1,0.3181818181818182,-0.00039420067332684994,0.6390768127007918,0.11770111240248467,0.20000000298023224
8,468,-33.44815183082953,268.1119080670178,240,0,0,0.24583333333333332,0.009255609475076199,0.3796329502792408,0.12239593954746406,0.20000000298023224
9,505,-6.552497788095968,32.95628362894058,37,0,1,0.08108108108108109,0.08828368037939072,0.431250908890286,0.12702638051936935,0.20000000298023224
10,745,-138.53141988751386,178.70717681385577,240,0,0,0.15833333333333333,0.03759690001606941,0.269613236724399,0.13152260606104157,0.20000000298023224
11,768,-7.356631273113052,28.527867659926414,23,0,1,0.13043478260869565,0.07905281335115433,0.5012116373881049,0.13613919136171554,0.20000000298023224
12,1008,-125.87053939206567,76.65243237651885,240,0,0,0.04583333333333333,0.09225087612867355,0.18188513490216185,0.1404096399648069,0.19946050643920898
13,1248,-168.76461364953838,163.08060078695416,240,0,0,0.12916666666666668,0.013937229290604591,0.2920025032789757,0.14453131738938318,0.185653954744339
14,1249,19.988934287940445,0.21089278161525726,1,1,0,0.0,0.4221001863479614,0.21089278161525726,0.14827735733353828,0.18559867143630981
15,1350,-52.73124438403061,143.06781172007322,101,0,1,0.297029702970297,0.0029297193977981806,0.44621595762448735,0.15226935177414935,0.18012744188308716
16,1385,-5.603636669720736,82.89513328671455,35,0,1,0.4857142857142857,0.0025478359311819077,0.6827180939061301,0.15697096268254007,0.17828181385993958
17,1469,-32.145098948605074,94.18459966778755,84,0,1,0.21428571428571427,0.08463931828737259,0.3831499960450899,0.1617231156625814,0.17396698892116547
18,1519,-46.02295981753684,97.49440340697765,50,0,1,0.4,-0.0025140249636024237,0.5898880681395531,0.16693760502769045,0.1714678704738617
19,1630,-49.22416335336092,97.06712357699871,111,0,1,0.14414414414414414,-0.0036560676526278257,0.36997408627926764,0.17205360921993593,0.1660890132188797
20,1669,-8.204958170908474,45.00462178140879,39,0,1,0.15384615384615385,0.07349895685911179,0.4872979943950971,0.17721579553310002,0.16424281895160675
21,1695,-3.6527490419222417,51.48091471195221,26,0,1,0.34615384615384615,-0.0036033072974532843,0.6338813350750849,0.18283489012122037,0.16302601993083954
22,1733,-13.80677282073642,50.98949538171291,38,0,1,0.21052631578947367,0.04087495431303978,0.49972356267665563,0.188568944392852,0.16127489507198334
23,1773,-52.66823239150048,53.94838857650757,40,0,1,0.225,-0.0030707926489412785,0.4737097144126892,0.19441565080810835,0.15944527089595795
24,1824,-12.08191309369923,53.68055456131697,51,0,1,0.1568627450980392,0.034056153148412704,0.4251089129669994,0.2002213018492815,0.15712440013885498
25,1849,-20.64939875802394,36.26863914728165,25,0,1,0.2,0.06681213527917862,0.5307455658912659,0.20618704312134162,0.15600605309009552
26,2014,-118.65695609953517,225.94795511849225,165,0,1,0.2909090909090909,0.027151549234986305,0.44816942496055906,0.21226418810288505,0.1488751471042633
27,2254,-117.41819851996962,205.08524908311665,240,0,0,0.18333333333333332,0.08366949111223221,0.30452187117965274,0.21818973677094114,0.13900698721408844
28,2275,-6.116348096371213,35.19166058301926,21,0,1,0.23809523809523808,0.06397820264101028,0.5805552658580598,0.2243819046861425,0.1381748914718628
29,2294,-5.921795632307466,56.1632416844368,19,0,1,0.5789473684210527,0.0019274706719443202,0.7980653518124631,0.2314674442499111,0.13742703199386597
30,2342,-9.01598706483092,70.80461058020592,48,0,1,0.2708333333333333,-0.0021856073290109634,0.4959293870876233,0.2386612548623684,0.13554930686950684
31,2395,-14.13612655328193,60.57778845727444,53,0,1,0.18867924528301888,-0.0006018896820023656,0.42599600862781956,0.24579186351455448,0.13350455462932587
32,2425,-4.474432573269441,48.40778996050358,30,0,1,0.26666666666666666,-0.00879577361047268,0.546926332016786,0.253097738233473,0.13236762583255768
33,2505,-87.1256464851796,88.36241914331913,80,0,1,0.2,0.04457877203822136,0.4045302392914891,0.2603155843360913,0.1293717473745346
34,2539,-24.379343337039092,46.66508859395981,34,0,1,0.20588235294117646,0.03184988722205162,0.519561429234112,0.2675837894364311,0.12812645733356476
35,2580,-19.22472968765221,48.430191203951836,41,0,1,0.17073170731707318,-0.005853818729519844,0.47390710253541063,0.2748041963696069,0.1266508847475052
36,2597,-19.11869595786953,64.29209989309311,17,0,1,0.8235294117647058,-0.005116293206810951,0.8407117584172417,0.2832795270706267,0.12604469060897827
37,2644,-14.650113443721445,81.69702204316854,47,0,1,0.3404255319148936,-0.006498252972960472,0.5467451498546498,0.2919252084923739,0.12438736110925674
38,2884,-211.08874752676707,247.29222222603858,240,0,0,0.22083333333333333,0.027694111689925194,0.3678842592751607,0.3003787979726713,0.11635638028383255
39,2917,-14.812697051679791,33.831212639808655,33,0,1,0.12121212121212122,0.06119475141167641,0.4191276557517774,0.30864730210986,0.11530894041061401
40,3157,-323.42250582196124,56.22978825867176,240,0,0,0.020833333333333332,0.10679567605257034,0.17179078441113232,0.31634452643239486,0.10795002430677414
41,3397,-146.9049401204647,81.18877470493317,240,0,0,0.03333333333333333,0.09889286756515503,0.23828656127055486,0.32355103281943826,0.10108774155378342
42,3637,-126.74947891151356,57.50034375488758,240,0,0,0.0,0.12847508490085602,0.23958476564536493,0.33024200626995215,0.09463395178318024
43,3877,-77.05512932420069,100.58122875727713,240,0,0,0.05416666666666667,0.0842582955956459,0.25658845315532136,0.33653297527451803,0.08866221457719803
44,4117,-40.70947358852534,57.80895948968828,240,0,0,0.0,0.1229325607419014,0.24087066454036782,0.3423548311611258,0.0831252709031105
45,4357,-414.20019914328157,52.191896963864565,240,0,0,0.0,0.1200467050075531,0.21746623734943568,0.3477193273720779,0.07796910405158997
