episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,14,-15.223670655238886,38.9505609869957,14,0,1,0.7857142857142857,-0.0067664762027561665,0.8536114990711212,0.10111609146382128,0.20000000298023224
2,40,-13.086600201455717,20.39913971722126,26,0,1,0.07692307692307693,0.09688708931207657,0.43842845066235614,0.10229366950285959,0.20000000298023224
3,69,-19.883946954316908,31.31355531513691,29,0,1,0.20689655172413793,0.06076071783900261,0.4935708729357555,0.10367725752468973,0.20000000298023224
4,111,-3.530340444874176,35.617575749754906,42,0,1,0.11904761904761904,0.0994909480214119,0.4908946607084501,0.10514068490435402,0.20000000298023224
5,133,-12.89498505272818,19.776322349905968,22,0,1,0.09090909090909091,0.10249289125204086,0.4898328340866349,0.10670540278662385,0.20000000298023224
6,163,-26.978967481462558,24.422122046351433,30,0,1,0.1,0.09820694476366043,0.4474040682117144,0.1083239201422194,0.20000000298023224
7,220,-36.22894456016924,81.30473780632019,57,0,1,0.3684210526315789,-0.01092428807169199,0.6018375053740385,0.11029971108447656,0.20000000298023224
8,429,-164.01462300097333,160.77947383746505,209,0,1,0.18181818181818182,0.016696816310286522,0.3817199705141868,0.11228635236918418,0.20000000298023224
9,445,-7.476376291520188,50.55497223138809,16,0,1,1.0,-0.003877626731991768,0.8471857644617558,0.11547850447188729,0.20000000298023224
10,481,-14.909764465728149,33.230262130498886,36,0,1,0.16666666666666666,0.07304892688989639,0.45084061473608017,0.1186975803879344,0.20000000298023224
11,558,-71.98966964118003,33.25095896422863,77,0,1,0.05194805194805195,0.09329711645841599,0.2629994670679043,0.1216966178261287,0.20000000298023224
12,586,-17.975151923393078,40.212691962718964,28,0,1,0.32142857142857145,-0.00600624131038785,0.6147389986685344,0.12498878717746183,0.20000000298023224
13,629,-19.79296384305705,29.631297670304775,43,0,1,0.09302325581395349,0.06905054301023483,0.38677436442569246,0.12818589803413882,0.20000000298023224
14,731,-76.04279624844852,145.49519516900182,102,0,1,0.43137254901960786,0.013828018680214882,0.5146587761666845,0.1316613650890065,0.20000000298023224
15,971,-150.94866416588343,240.72957951575518,240,0,0,0.3,0.021555384621024132,0.4030399146489799,0.13518957874845527,0.20000000298023224
16,1026,-17.295909770796264,88.05694974958897,55,0,1,0.45454545454545453,-0.0017134255031123757,0.6010354499925267,0.13906689944992787,0.19838503003120422
17,1266,-173.61834861048925,50.162544425576925,240,0,0,0.0,0.14334751665592194,0.2090106017732372,0.14257985941721346,0.18465667963027954
18,1321,-6.186240980423949,54.91879960894585,55,0,1,0.21818181818181817,0.0389866940677166,0.4712509019808336,0.14614143320076153,0.18166203796863556
19,1350,-26.406448030020087,61.113305270671844,29,0,1,0.5862068965517241,-0.0007240554550662637,0.7625277679542015,0.15030360597221276,0.18010708689689636
20,1590,-58.587324411054205,36.96307977475226,240,0,0,0.0,0.1639549881219864,0.15401283239480107,0.15405967652128882,0.16776596009731293
21,1618,-16.495602204921084,29.19782915711403,28,0,1,0.17857142857142858,0.03278117999434471,0.5070653270397868,0.15787433334928813,0.1663859337568283
22,1858,-58.61106029686606,113.70696424692869,240,0,0,0.11666666666666667,0.08882631361484528,0.24044568436220287,0.16146014684473523,0.15500877797603607
23,1888,-14.133741742122703,42.41287733614445,30,0,1,0.3333333333333333,-0.0012784010032191873,0.5804292445381483,0.1652985509543457,0.15364299714565277
24,2128,-42.59694023101957,124.95717415213585,240,0,0,0.10833333333333334,0.030270248651504517,0.3039882256338994,0.16893036230462594,0.14317791163921356
25,2152,-15.084683908087024,38.8795850276947,24,0,1,0.375,0.00532553531229496,0.6616493761539459,0.17291557444213582,0.14217513799667358
26,2392,-205.96017454192707,135.25039836205542,240,0,0,0.1375,0.014128400944173336,0.28854332650856424,0.17670829763602447,0.1325785368680954
27,2632,-51.97250357988879,146.73995007947087,240,0,0,0.14583333333333334,0.005562076345086098,0.3197497919977953,0.18034209289955094,0.12371528148651123
28,2653,-9.61231206114523,42.64958703517914,21,0,1,0.5238095238095238,0.009649766609072685,0.7452184302466256,0.18453466475788152,0.12297139316797256
29,2670,-6.167586206872425,18.12697684764862,17,0,1,0.11764705882352941,0.09224551171064377,0.5368809910381541,0.1887757544011676,0.12237416207790375
30,2702,-18.103060031133058,39.455166071653366,32,0,1,0.25,-0.005221114028245211,0.5767239397391677,0.19314627653215896,0.12125679850578308
31,2715,-8.819247799117324,17.273313522338867,13,0,1,0.15384615384615385,0.09132840484380722,0.6364087324876052,0.1976876307689984,0.12080669403076172
32,2733,-13.826881200519349,36.820664435625076,18,0,1,0.5,-0.010301546193659306,0.7678146908680598,0.20274971352831878,0.12018714100122452
33,2768,-4.87175497543751,62.949498772621155,35,0,1,0.4857142857142857,-0.007694744039326906,0.6842713935034616,0.20818297070356773,0.11899255961179733
34,2800,-22.208143193491388,38.414163649082184,32,0,1,0.25,0.0006890575168654323,0.5441926140338182,0.21366978632707115,0.11791534721851349
35,2830,-24.918539131827945,40.4733099937439,30,0,1,0.3,0.006432818248867989,0.5824436664581298,0.2192818163359618,0.11691484600305557
