step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,50000,1,80,-0.4136684863756546,0.03495827317237854,-36.1459345042778,100.77723150700331,0.03495827317237854,0.5061322450637817,0,0,0.10130020849257708,0.20000000298023224,100
200,50000,1,180,-0.8881231475268012,0.1069968193769455,-101.54937047216141,118.922681896016,0.1069968193769455,0.6053795218467712,0,0,0.10130020849257708,0.20000000298023224,200
300,50000,3,5,-0.08809507195756056,0.24320657551288605,-0.7915200651259149,1.2537080496549606,0.24320657551288605,0.31454703211784363,0,0,0.1041336578319987,0.20000000298023224,300
400,50000,5,51,-0.8258364664633882,0.41873690485954285,-38.12363598076638,87.35859622061253,0.41873690485954285,0.14564236998558044,0,0,0.10782824097766217,0.20000000298023224,400
500,50000,6,39,-0.8953217279474532,3.8535603880882263,-35.35082853421961,83.14206892251968,0.8535603880882263,0.04580208659172058,0,0,0.11000366617277521,0.20000000298023224,500
600,50000,10,10,-0.8138379434973024,0.08332192152738571,-6.998439131372674,1.1426951810717583,0.08332192152738571,0.4128448963165283,0,0,0.126035357905024,0.20000000298023224,600
700,50000,10,110,-0.8382433885740648,3.8431856632232666,-95.9711523439488,112.8144506663084,0.8431856632232666,0.03522880747914314,0,0,0.126035357905024,0.20000000298023224,700
800,50000,10,210,-0.4618627864684152,0.09688397496938705,-150.3100370465831,222.04004135355353,0.09688397496938705,0.41197890043258667,0,0,0.126035357905024,0.20000000298023224,800
900,50000,12,46,-2.5136131319694517,11.87571668624878,-20.461413865075883,48.40136203169823,0.8757166862487793,0.05224503204226494,0,1,0.136315075622943,0.20000000298023224,900
1000,50000,13,100,-0.00581178964846032,0.3298901915550232,-28.439913622195345,22.440003134310246,0.3298901915550232,0.1754617542028427,0,0,0.14167732653934523,0.19993998110294342,1000
1100,50000,13,200,0.11217032739718052,0.035634201020002365,-39.412389347626245,160.69799592718482,0.035634201020002365,0.5021480321884155,0,0,0.14167732653934523,0.19403406977653503,1100
1200,50000,15,31,-0.28719825150743417,0.7994024753570557,-7.8886837089224615,12.180541008710861,0.7994024753570557,0.13006538152694702,0,0,0.15194835761106798,0.18835270404815674,1200
1300,50000,16,78,-0.10120267501942663,0.06514865905046463,-30.87113348999009,104.63518038392067,0.06514865905046463,0.3958011865615845,0,0,0.15741077735452078,0.18288706243038177,1300
1400,50000,16,178,-0.43223195371658674,0.1253942847251892,-68.21570890714803,134.30779915861785,0.1253942847251892,0.30119654536247253,0,0,0.15741077735452078,0.17764544486999512,1400
1500,50000,17,38,-0.19371934674741284,0.655270516872406,-7.847698455605774,10.002428345382214,0.655270516872406,0.16810835897922516,0,0,0.1626607853331411,0.17265918850898743,1500
1600,50000,17,138,-0.07748426402963104,0.18005307018756866,-31.54760529718064,98.94829975254834,0.18005307018756866,0.5642013549804688,0,0,0.1626607853331411,0.16791293025016785,1600
1700,50000,17,238,-0.04119217536879461,0.5023999810218811,-54.88886976805222,218.8588206488639,0.5023999810218811,0.12304703146219254,0,0,0.1626607853331411,0.16328515112400055,1700
1800,50000,19,70,0.03194821954719286,0.047600213438272476,-1.8733063478699385,76.7667868360877,0.047600213438272476,0.4473997950553894,0,0,0.17401773691443514,0.15886861085891724,1800
1900,50000,19,170,-0.2630109906216677,0.05545691400766373,-12.160501052446628,85.67890767380595,0.05545691400766373,0.4215351343154907,0,0,0.17401773691443514,0.15469074249267578,1900
2000,50000,21,5,-0.2504624212800832,0.11075299233198166,-1.386900109390676,0.7005223706364632,0.11075299233198166,0.3441440165042877,0,0,0.1856772205207708,0.15063177049160004,2000
2100,50000,23,12,-0.22635924686335812,0.09639405459165573,-2.6585890227022086,1.0829273089766502,0.09639405459165573,0.4700612723827362,0,0,0.19884896439256042,0.14669391512870789,2100
2200,50000,25,5,-0.6008993162375126,0.1685200035572052,-2.92651409044551,0.8019274175167084,0.1685200035572052,0.4207094609737396,0,0,0.21260421628361412,0.14288626611232758,2200
2300,50000,26,70,-0.37315509777739064,0.19487430155277252,-21.885886958172577,126.94493953883648,0.19487430155277252,0.24263937771320343,0,0,0.22001711957601472,0.13919152319431305,2300
2400,50000,26,170,-0.44759971772677093,0.06147368997335434,-52.19967345942699,144.1016570813954,0.06147368997335434,0.4049217700958252,0,0,0.22001711957601472,0.13562239706516266,2400
2500,50000,28,2,-0.20325676791233613,0.3457352817058563,-0.41519459127496394,0.6650351881980896,0.3457352817058563,0.3746143877506256,0,0,0.23498226029809688,0.13215558230876923,2500
2600,50000,31,40,-0.6284604204951586,0.43491503596305847,-35.82872682862952,117.56356281042099,0.43491503596305847,0.14092843234539032,0,0,0.25904159899266843,0.12884710729122162,2600
