episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,32,-239.4585357396848,108.43785628676414,32,0,1,0.78125,-0.00016149193106684834,0.7949330089613795,0.0,0.20000000298023224
2,64,-78.40011600401674,31.67631244659424,32,0,1,0.09375,0.08282748609781265,0.45863476395606995,0.0,0.20000000298023224
3,102,-136.31055669253652,55.497613579034805,38,0,1,0.23684210526315788,0.04272856190800667,0.5394108836588106,0.0,0.20000000298023224
4,134,-86.11517377223211,39.37912327051163,32,0,1,0.15625,0.07391311973333359,0.5118476022034883,0.0,0.20000000298023224
5,162,-69.51846064195723,27.779232040047646,28,0,1,0.07142857142857142,0.10539459437131882,0.4921154300017016,0.0,0.20000000298023224
6,204,-177.3688960949086,71.88272021710873,42,0,1,0.3333333333333333,0.004152877256274223,0.5210171480263982,0.0,0.20000000298023224
7,275,-439.54878140677204,194.2510354667902,71,0,1,0.647887323943662,0.011273837648332119,0.6795920488280309,0.0,0.20000000298023224
8,299,-66.7274259890614,25.31425140798092,24,0,1,0.08333333333333333,0.10187732428312302,0.47142714199920494,0.0,0.20000000298023224
9,315,-147.02375985933145,69.58112818002701,16,0,1,1.0,-0.0054504964500665665,0.848820511251688,0.0,0.20000000298023224
10,371,-101.26328376610098,44.08450721949339,56,0,1,0.08928571428571429,0.08419308811426163,0.37650905749095337,0.0,0.20000000298023224
11,611,-212.61606991988774,29.03667924925685,240,0,0,0.0,0.18532954156398773,0.12098616353857021,0.0,0.20000000298023224
12,851,-528.6900574357367,158.9460605867207,240,0,0,0.1125,0.07102712988853455,0.3247752524446696,0.0,0.20000000298023224
13,881,-63.34287540245365,26.079311177134514,30,0,1,0.06666666666666667,0.09673752635717392,0.4026437059044838,0.0,0.20000000298023224
14,1121,-392.64375935587,126.86892194114625,240,0,0,0.09583333333333334,0.09227272123098373,0.2411205080881094,0.0,0.19287267327308655
15,1164,-73.90012918030577,31.913152255117893,43,0,1,0.06976744186046512,0.10392903536558151,0.3468174943050673,0.0,0.19045542180538177
16,1207,-242.527207199031,112.80534438788891,43,0,1,0.5813953488372093,-0.007127151358872652,0.6931475439043933,0.0,0.18808139860630035
17,1442,-681.1893505275763,231.27171825245023,235,0,1,0.1829787234042553,0.04118048772215843,0.40115624788276694,0.0,0.1756604015827179
18,1492,-99.70596090294202,48.615886852145195,50,0,1,0.14,0.06075892969965935,0.3923177370429039,0.0,0.1731393188238144
19,1514,-137.81937676482497,57.354324251413345,22,0,1,0.5,-0.00370661704801023,0.743378375064243,0.0,0.1720486879348755
20,1754,-362.67464813282027,132.27703347615898,240,0,0,0.09166666666666666,0.07983564585447311,0.2761543061506624,0.0,0.16090205311775208
21,1781,-80.81342138158054,33.993969067931175,27,0,1,0.14814814814814814,0.06418494135141373,0.5182951506641176,0.0,0.1597285270690918
22,1840,-246.6977891331105,113.73458848893642,59,0,1,0.4067796610169492,-0.011154664680361748,0.5717726862531597,0.0,0.1571905016899109
23,1867,-124.74488191426441,55.35380548238754,27,0,1,0.37037037037037035,-0.013380342163145542,0.6427335363847239,0.0,0.15605489909648895
24,2107,-557.1628525314403,254.10367498733103,240,0,0,0.225,0.01726742647588253,0.3837653124472126,0.0,0.14649523794651031
25,2128,-121.22906634986657,53.63195535540581,21,0,1,0.47619047619047616,-0.00944872759282589,0.7443788264478955,0.0,0.14569734036922455
26,2368,-380.9979914834205,145.5641964096576,240,0,0,0.1125,0.0002029457682510838,0.26901748504024,0.0,0.136871337890625
27,2608,-392.3180276790323,150.66308259032667,240,0,0,0.125,0.04457607492804527,0.25276284412636113,0.0,0.1286294013261795
28,2626,-92.63587726657258,41.63212198019028,18,0,1,0.3888888888888889,0.01678871177136898,0.7017845544550154,0.0,0.12802575528621674
29,2652,-69.14592779845056,29.53294125199318,26,0,1,0.11538461538461539,0.08965707570314407,0.4820362019997377,0.0,0.12716396152973175
30,2677,-107.26827140316277,44.512325182557106,25,0,1,0.28,-0.002207571640610695,0.6204930073022843,0.0,0.1263410449028015
31,2690,-53.455578746759855,22.22804832458496,13,0,1,0.15384615384615385,0.09489379078149796,0.6329267941988431,0.0,0.1259140819311142
32,2709,-115.55774003332648,49.203118562698364,19,0,1,0.47368421052631576,-0.002490893704816699,0.7475325559314928,0.0,0.12530094385147095
33,2741,-181.50260578811617,88.9876956641674,32,0,1,0.59375,-0.0026924617122858763,0.7496154895052314,0.0,0.1242816299200058
34,2774,-132.0409705461258,55.853989392519,33,0,1,0.30303030303030304,-0.0015849937917664647,0.5410299815914847,0.0,0.12323542684316635
35,2800,-127.4540120597472,50.54395046830177,26,0,1,0.34615384615384615,0.004355156794190407,0.5978442487808374,0.0,0.12242636829614639
36,2819,-100.3923249117201,45.71968871355057,19,0,1,0.42105263157894735,-0.004754228517413139,0.7220888796605562,0.0,0.12184043973684311
37,2849,-90.46793621132464,41.161520168185234,30,0,1,0.2,0.0251042190939188,0.5053840056061745,0.0,0.12091974914073944
38,2871,-74.87935085563548,35.86980786919594,22,0,1,0.22727272727272727,0.07842204719781876,0.5849912667816336,0.0,0.12025599181652069
39,2903,-160.3059648381922,78.87985065579414,32,0,1,0.5,-0.011881441809237003,0.714995332993567,0.0,0.11927144974470139
40,2946,-141.82078097530012,47.495383843779564,43,0,1,0.16279069767441862,0.05873429402709007,0.4301252056692922,0.0,0.11797536164522171
41,2972,-101.161502028749,47.95459523797035,26,0,1,0.3076923076923077,0.0351015143096447,0.6136382783834751,0.0,0.11720505356788635
42,3212,-129.7680267089545,43.317567547783256,240,0,0,0.0,0.16803915798664093,0.18048986478243023,0.0,0.11024045944213867
43,3452,-212.0597911578834,36.785168590024114,240,0,0,0.0,0.20720581710338593,0.15327153579176714,0.0,0.10347263514995575
44,3692,-386.7118605669943,79.16855330392718,240,0,0,0.05416666666666667,0.05645535886287689,0.1673689720996966,0.0,0.09690980613231659
45,3932,-527.4407339089607,224.24904556013644,240,0,0,0.20833333333333334,0.06204798445105553,0.30937102316723514,0.0,0.09063944220542908
46,4172,-247.53754476150667,35.83768766373396,240,0,0,0.0,0.19549718499183655,0.1493236985988915,0.0,0.08481182903051376
47,4412,-198.13631871590235,58.554437562823296,240,0,0,0.0125,0.11730632930994034,0.20647682317843039,0.0,0.07941991090774536
48,4652,-365.5852543015124,145.12735594809055,240,0,0,0.09583333333333334,0.007416399195790291,0.3171973164503773,0.0,0.07443390786647797
49,4892,-165.72440184228165,20.093860549852252,240,0,0,0.0,0.3159351348876953,0.08372441895771772,0.0,0.06975147128105164
50,5132,-391.0025616107645,62.708595894277096,240,0,0,0.020833333333333332,0.11283029615879059,0.19878581622615457,0.0,0.06539306789636612
51,5372,-97.37020878285713,28.21986899152398,240,0,0,0.0,0.1483885794878006,0.11758278746468326,0.0,0.06139283999800682
52,5612,-205.927476277985,29.092204673215747,240,0,0,0.0,0.22790689766407013,0.12121751947173227,0.0,0.05767479166388512
53,5852,-243.06738134035987,30.861303931102157,240,0,0,0.0,0.18819084763526917,0.12858876637959232,0.0,0.054165031760931015
54,6092,-244.55655819828021,59.42338365036994,240,0,0,0.03333333333333333,0.10381975024938583,0.14759743187654142,0.0,0.05085091292858124
55,6332,-136.22235560590843,29.22850147821009,240,0,0,0.0,0.2041003257036209,0.12178542282587539,0.0,0.04774680361151695
56,6572,-170.34436269042283,52.244603149592876,240,0,0,0.0,0.12869642674922943,0.217685846456637,0.0,0.04482733830809593
57,6812,-95.19626676642324,30.589802030473948,240,0,0,0.0,0.16253550350666046,0.12745750846030812,0.0,0.0421520434319973
58,7052,-363.2754003403029,82.45180444046855,240,0,0,0.029166666666666667,0.09277326613664627,0.25604918516861896,0.0,0.039668355137109756
