step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,50000,3,27,-15.627967145269908,3.8519673347473145,-81.69954246242504,18.884629607200623,0.8519673347473145,0.10987677425146103,0,0,0.0,0.20000000298023224,100
200,50000,3,127,-15.52847584349087,3.813650608062744,-825.1404265332438,198.16544017195702,0.8136506080627441,0.06724034994840622,0,0,0.0,0.20000000298023224,200
300,50000,3,227,-0.9238654943202393,0.19086824357509613,-1262.7355442642704,301.60895556025207,0.19086824357509613,0.48839256167411804,0,0,0.0,0.20000000298023224,300
400,50000,5,60,-1.0802190780683851,0.12250224500894547,-349.2103918276343,78.55317457765341,0.12250224500894547,0.30438026785850525,0,0,0.0,0.20000000298023224,400
500,50000,6,45,-15.756154301498249,3.800000011920929,-355.55489521365877,80.57572892308235,0.800000011920929,0.007004536222666502,0,0,0.0,0.20000000298023224,500
600,50000,10,11,-1.3045208856836688,0.15871727466583252,-14.168476505735478,1.6829042956233025,0.15871727466583252,0.38908886909484863,0,0,0.0,0.20000000298023224,600
700,50000,11,32,-16.03552118545109,3.8382421731948853,-293.45656547198877,69.07391420006752,0.8382421731948853,0.038691043853759766,0,0,0.0,0.20000000298023224,700
800,50000,11,132,-1.232921474364713,0.23676617443561554,-543.0491671280996,122.03285518474877,0.23676617443561554,0.21752358973026276,0,0,0.0,0.20000000298023224,800
900,50000,11,232,-1.6849672745300022,0.3162252604961395,-616.2773352524014,133.00416743196547,0.3162252604961395,0.3238590955734253,0,0,0.0,0.20000000298023224,900
1000,50000,12,92,-0.7302378077208607,0.10616102814674377,-416.61377836250836,98.94229423999786,0.10616102814674377,0.39778512716293335,0,0,0.0,0.19993998110294342,1000
1100,50000,12,192,-0.6897182277140991,0.1496748924255371,-491.30246627518267,111.90298485383391,0.1496748924255371,0.6016832590103149,0,0,0.0,0.19419580698013306,1100
1200,50000,13,52,-16.23844947078102,3.8404963612556458,-121.0361498045579,21.563759602606297,0.8404963612556458,0.11245841532945633,0,0,0.0,0.18888457119464874,1200
1300,50000,15,19,-2.696743888488181,0.5942177176475525,-33.878872305798446,6.927712127566338,0.5942177176475525,0.17510761320590973,0,0,0.0,0.1834607720375061,1300
1400,50000,15,119,-1.203790821797785,0.2153003066778183,-900.8542936203464,214.88827520608902,0.2153003066778183,0.2297365665435791,0,0,0.0,0.1783256083726883,1400
1500,50000,15,219,-0.9545411516534199,0.14577420055866241,-970.4910901578547,221.37825449742377,0.14577420055866241,0.5891761779785156,0,0,0.0,0.17349572479724884,1500
1600,50000,16,79,-0.9106610684854698,0.045023106038570404,-234.20089218598144,45.814224634319544,0.045023106038570404,0.4572618305683136,0,0,0.0,0.16892124712467194,1600
1700,50000,16,179,-0.8012975887005132,0.07195043563842773,-400.63845768919214,68.4544493034482,0.07195043563842773,0.3805566728115082,0,0,0.0,0.16453848779201508,1700
1800,50000,17,39,-1.7181480787389312,0.4253467917442322,-36.28688657363722,7.943794324994087,0.4253467917442322,0.21561723947525024,0,0,0.0,0.16025285422801971,1800
1900,50000,19,32,-3.008058404874965,0.7155070304870605,-52.48066388869575,12.615839779376984,0.7155070304870605,0.14206986129283905,0,0,0.0,0.1561545431613922,1900
2000,50000,19,132,-1.5949293267570888,0.3876524865627289,-425.66528483498166,104.66622423380613,0.3876524865627289,0.25265079736709595,0,0,0.0,0.15223723649978638,2000
2100,50000,21,36,-15.763776172767878,3.8371394276618958,-104.46331581710034,23.032999500632286,0.8371394276618958,0.10056331008672714,0,0,0.0,0.1484406292438507,2100
2200,50000,23,54,-1.2433154094162218,0.2895790636539459,-33.41888773518128,6.780213609337807,0.2895790636539459,0.2878575325012207,0,0,0.0,0.14477850496768951,2200
2300,50000,25,38,-16.292987181349602,3.8643441200256348,-139.2681980159738,27.88315226137638,0.8643441200256348,0.07878576964139938,0,0,0.0,0.1412573605775833,2300
2400,50000,26,99,-0.6251948244981671,0.020164284855127335,-397.50525491528754,87.28546944633126,0.020164284855127335,0.667265772819519,0,0,0.0,0.13789398968219757,2400
2500,50000,26,199,-0.37916665169403196,0.05085326358675957,-483.87763720401375,98.8328109793365,0.05085326358675957,0.43600720167160034,0,0,0.0,0.13460275530815125,2500
2600,50000,29,12,-1.1377875188742212,0.23142045736312866,-12.355889366814692,2.160237729549408,0.23142045736312866,0.3569638729095459,0,0,0.0,0.13142423331737518,2600
2700,50000,32,37,-15.354121141790026,3.8294119238853455,-207.40716531724487,51.49761480093002,0.8294119238853455,0.029627451673150063,0,0,0.0,0.1282569020986557,2700
2800,50000,34,58,-0.7705481545685304,0.07661469280719757,-378.2990690172963,84.68004446476698,0.07661469280719757,0.3711205720901489,0,0,0.0,0.1252651959657669,2800
2900,50000,34,158,-1.5749754680072556,0.3163868486881256,-700.7018689537782,156.72598408162594,0.3163868486881256,0.46895354986190796,0,0,0.0,0.12232331931591034,2900
3000,50000,38,2,-2.031757807132124,0.4803420603275299,-3.415947629750711,0.8260285556316376,0.4803420603275299,0.2326175719499588,0,0,0.0,0.1194620206952095,3000
3100,50000,38,102,-0.5637062105050871,0.07874547690153122,-124.45760060635037,27.473944261670113,0.07874547690153122,0.6442029476165771,0,0,0.0,0.1166563555598259,3100
3200,50000,38,202,-1.847356682699688,0.022926677018404007,-252.346468770873,34.52869510278106,0.022926677018404007,0.6163617372512817,0,0,0.0,0.11388231068849564,3200
3300,50000,39,62,-4.1140295581930015,0.14271298050880432,-190.61315144021077,10.486359626054764,0.14271298050880432,0.28371870517730713,0,0,0.0,0.11114009469747543,3300
3400,50000,39,162,-1.9518464652613992,0.08638916164636612,-527.8672215211576,26.80797416716814,0.08638916164636612,0.35899296402931213,0,0,0.0,0.10842620581388474,3400
3500,50000,40,22,-2.9592842917517936,0.559563159942627,-42.177314232408605,8.446782052516937,0.559563159942627,0.1699528843164444,0,0,0.0,0.10571517050266266,3500
3600,50000,40,122,-2.548247994464368,0.04224450886249542,-289.34108480793265,26.328067135065794,0.04224450886249542,0.46888968348503113,0,0,0.0,0.10309154540300369,3600
3700,50000,40,222,-3.0253764778089236,0.01995415799319744,-554.6586290777033,32.91301265731454,0.01995415799319744,0.6721883416175842,0,0,0.0,0.10046307742595673,3700
3800,50000,41,82,-1.7336668569356815,0.12363509088754654,-97.4832065378371,7.462360247969627,0.12363509088754654,0.3106405735015869,0,0,0.0,0.09787759929895401,3800
3900,50000,41,182,-1.5451720393909685,0.06273805350065231,-255.7830861677855,16.31927314028144,0.06273805350065231,0.4017050266265869,0,0,0.0,0.09533223509788513,3900
4000,50000,42,42,-1.1851966516356254,0.09365642815828323,-41.355583892451975,5.401693984866142,0.09365642815828323,0.3640754520893097,0,0,0.0,0.09287452697753906,4000
4100,50000,42,142,-1.5705905284401525,0.02817775309085846,-184.23244500961175,15.525517407804728,0.02817775309085846,0.5557490587234497,0,0,0.0,0.09048329293727875,4100
4200,50000,43,2,-0.8406524606587482,0.15777984261512756,-1.7085970790513705,0.34070368111133575,0.15777984261512756,0.4114724397659302,0,0,0.0,0.08811984211206436,4200
4300,50000,43,102,-1.1603084227714775,0.06354892253875732,-157.6013766774664,21.242046697065234,0.06354892253875732,0.5122837424278259,0,0,0.0,0.08584115654230118,4300
4400,50000,43,202,-3.4373208781769837,0.032677438110113144,-424.00571900570804,27.980193393304944,0.032677438110113144,0.5206454396247864,0,0,0.0,0.08360186964273453,4400
4500,50000,44,62,-2.5771919827980234,0.5284812450408936,-110.91242478348867,21.85668245702982,0.5284812450408936,0.1289031058549881,0,0,0.0,0.08145997673273087,4500
4600,50000,44,162,-0.8231170460178444,0.1611228734254837,-317.5305364928619,59.778964169323444,0.1611228734254837,0.2675667703151703,0,0,0.0,0.07936346530914307,4600
4700,50000,45,22,-1.1500311841855386,0.2508268654346466,-20.1357026550529,4.575227811932564,0.2508268654346466,0.3068558871746063,0,0,0.0,0.07732043415307999,4700
4800,50000,45,122,-3.280355872063993,0.17545053362846375,-165.12916578687535,21.639937303960323,0.17545053362846375,0.2563469111919403,0,0,0.0,0.07533837854862213,4800
4900,50000,45,222,-2.5192492513295304,0.020723439753055573,-399.29932825355746,27.54887080192566,0.020723439753055573,0.6550726890563965,0,0,0.0,0.0734071135520935,4900
5000,50000,46,82,-1.05349722323248,0.26300472021102905,-125.79471805967357,27.1505209505558,0.26300472021102905,0.2041083425283432,0,0,0.0,0.07152646034955978,5000
5100,50000,46,182,-0.743191246110946,0.1199028417468071,-175.66409694618443,35.78646741248667,0.1199028417468071,0.3892165422439575,0,0,0.0,0.06973357498645782,5100
5200,50000,48,9,-0.9356473749983483,0.16787494719028473,-7.357888914249563,1.0379249230027199,0.16787494719028473,0.5282114744186401,0,0,0.0,0.06799370050430298,5200
5300,50000,48,109,-0.25813778500572376,0.02887120470404625,-79.10512152986205,15.655058110132813,0.02887120470404625,0.5496237874031067,0,0,0.0,0.0663226917386055,5300
5400,50000,48,209,-0.7946760835481816,0.06258528679609299,-157.84458930240737,23.672289649024606,0.06258528679609299,0.4020891487598419,0,0,0.0,0.06470244377851486,5400
5500,50000,49,69,-0.7723440918258601,0.031007420271635056,-346.62532908227223,75.92494363710284,0.031007420271635056,0.5325087904930115,0,0,0.0,0.06314679980278015,5500
5600,50000,49,169,-1.5000443794606144,0.1796371191740036,-677.2712836192493,152.32838319242,0.1796371191740036,0.3784211575984955,0,0,0.0,0.06162388622760773,5600
