step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,30000,2,16,-1.0564304957814363,0.692103385925293,-13.574506878789498,6.736442729830742,0.692103385925293,0.16220153868198395,0,0,0.0,0.20000000298023224,100
200,30000,4,63,-1.125480143455234,0.09032364189624786,-147.45221450138112,108.50875800848007,0.09032364189624786,0.3470359444618225,0,0,0.0,0.20000000298023224,200
300,30000,5,57,-1.3030971615808085,0.22386875748634338,-137.39340977493222,80.70331683754921,0.22386875748634338,0.22471153736114502,0,0,0.0,0.20000000298023224,300
400,30000,6,50,-0.666536687200826,0.1523851603269577,-32.631567526541644,7.808988891541958,0.1523851603269577,0.2765365242958069,0,0,0.0,0.20000000298023224,400
500,30000,6,150,-0.3083464387204771,0.0375201441347599,-87.95848458696277,24.638932656496763,0.0375201441347599,0.49168384075164795,0,0,0.0,0.20000000298023224,500
600,30000,7,10,-0.5656020833597734,0.33857280015945435,-6.558149364014053,2.656859442591667,0.33857280015945435,0.33820486068725586,0,0,0.0,0.20000000298023224,600
700,30000,7,110,-4.213920524636338,3.8627551794052124,-111.86485633007759,92.1626858599484,0.8627551794052124,0.08419553935527802,0,0,0.0,0.20000000298023224,700
800,30000,7,210,-4.012806212616071,3.800000011920929,-240.3318324679648,189.5061827171594,0.800000011920929,0.07320824265480042,0,0,0.0,0.20000000298023224,800
900,30000,8,70,-14.254073396274235,11.843836963176727,-59.170498359484924,35.21557629853487,0.8438369631767273,0.09750466793775558,0,1,0.0,0.20000000298023224,900
1000,30000,10,64,-4.358248597181153,3.8032676577568054,-201.10613571159635,148.66851368546486,0.8032676577568054,0.053201835602521896,0,0,0.0,0.19993998110294342,1000
1100,30000,13,11,-0.7488726353403812,0.10561707615852356,-8.165085842526201,1.1737940907478333,0.10561707615852356,0.3627398908138275,0,0,0.0,0.19404688477516174,1100
1200,30000,14,48,-0.5446119595432154,0.4119724929332733,-18.443933918656654,12.92648135125637,0.4119724929332733,0.195481076836586,0,0,0.0,0.18838097155094147,1200
1300,30000,14,148,-0.4489947030445996,0.07284116744995117,-97.07784853869809,68.5128295943141,0.07284116744995117,0.37869641184806824,0,0,0.0,0.1828625351190567,1300
1400,30000,15,8,-0.3625622777183498,0.1543903797864914,-2.884389254818223,0.7602372020483017,0.1543903797864914,0.4492882192134857,0,0,0.0,0.1774863600730896,1400
1500,30000,16,51,-0.41694416350161645,0.22190450131893158,-34.33883932532647,20.26709571480751,0.22190450131893158,0.22584505379199982,0,0,0.0,0.17224961519241333,1500
1600,30000,16,151,-0.38220557959165036,0.34371083974838257,-72.36459052946195,41.82478176057339,0.34371083974838257,0.17030824720859528,0,0,0.0,0.167181596159935,1600
1700,30000,17,11,-0.3805169834050878,0.38358744978904724,-3.260303026803431,2.6633730977773666,0.38358744978904724,0.2684623897075653,0,0,0.0,0.1622641235589981,1700
1800,30000,19,24,-0.9023437663289207,0.7850607633590698,-13.511950801692144,10.311062812805176,0.7850607633590698,0.13439254462718964,0,0,0.0,0.1575099676847458,1800
1900,30000,21,58,-0.4465897975041778,0.26185569167137146,-24.66076790680026,10.905943125486374,0.26185569167137146,0.24810220301151276,0,0,0.0,0.15294654667377472,1900
2000,30000,21,158,-0.2589928663936416,0.06085754558444023,-130.86493090238852,93.07833631709218,0.06085754558444023,0.40652114152908325,0,0,0.0,0.14854386448860168,2000
2100,30000,22,18,-1.049897005584401,0.23487722873687744,-15.869788876087703,4.087406516075134,0.23487722873687744,0.2831003963947296,0,0,0.0,0.14432962238788605,2100
2200,30000,23,76,-3.987359082113278,3.8108863830566406,-138.55263873431213,126.43309566378593,0.8108863830566406,0.10579179972410202,0,0,0.0,0.14028064906597137,2200
2300,30000,24,93,-0.41784187147763335,0.03199990466237068,-128.37005006397834,106.87267887592316,0.03199990466237068,0.5253179669380188,0,0,0.0,0.13635076582431793,2300
2400,30000,24,193,0.023722690808531503,0.030263973399996758,-230.7224733657531,202.68412710539997,0.030263973399996758,0.5381923913955688,0,0,0.0,0.13258963823318481,2400
2500,30000,25,93,-1.6585271124309657,0.29273521900177,-283.92769553674145,177.7426981329918,0.29273521900177,0.19052518904209137,0,0,0.0,0.12896110117435455,2500
2600,30000,26,74,-0.4885286742027086,0.08814121037721634,-44.743094083944,17.23370147496462,0.08814121037721634,0.3505611717700958,0,0,0.0,0.12553466856479645,2600
2700,30000,26,174,-0.6855073049108796,0.3464251458644867,-206.62402134775067,142.98294659517705,0.3464251458644867,0.16932161152362823,0,0,0.0,0.12224087119102478,2700
2800,30000,28,25,-4.030570515701188,3.881929337978363,-23.21175406158251,17.529013380408287,0.881929337978363,0.10349229723215103,0,0,0.0,0.11910387873649597,2800
2900,30000,32,4,-0.025620609414046383,0.14712856709957123,-0.325116637949117,0.503913052380085,0.14712856709957123,0.4886949360370636,0,0,0.0,0.11608237028121948,2900
3000,30000,34,15,-1.3960412493311058,0.4630693793296814,-18.61394520833139,4.592010587453842,0.4630693793296814,0.2559615671634674,0,0,0.0,0.11321616917848587,3000
3100,30000,34,115,-4.4863734617999595,0.07361515611410141,-251.1908732434953,21.336856676265597,0.07361515611410141,0.3771030604839325,0,0,0.0,0.1104423999786377,3100
3200,30000,34,215,-1.9541680826489438,0.01924300752580166,-572.7978206256133,28.380522519350052,0.01924300752580166,0.6905271410942078,0,0,0.0,0.10773757100105286,3200
3300,30000,35,75,-2.1847425534900005,0.14473646879196167,-83.77747348202563,25.89797584526241,0.14473646879196167,0.6265143752098083,0,0,0.0,0.10511288791894913,3300
3400,30000,35,175,-2.31448090846774,0.08094864338636398,-437.8711084859133,40.32556966505945,0.08094864338636398,0.36297163367271423,0,0,0.0,0.10254283994436264,3400
3500,30000,36,35,-4.43311345171544,3.8184648752212524,-55.726262016242316,49.34484934806824,0.8184648752212524,0.04289797693490982,0,0,0.0,0.10002126544713974,3500
