step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,30000,2,25,-1.5334826157793784,0.7226963639259338,-24.729544859706063,9.539182931184769,0.7226963639259338,0.14659063518047333,0,0,0.0,0.20000000298023224,100
200,30000,3,93,-0.8077405201548962,0.22927811741828918,-136.39040591182257,105.7973250746727,0.22927811741828918,0.7281476855278015,0,0,0.0,0.20000000298023224,200
300,30000,4,66,-0.8080445908301044,0.07739032059907913,-111.07309068862381,68.0038837119937,0.07739032059907913,0.3696209490299225,0,0,0.0,0.20000000298023224,300
400,30000,4,166,-0.5408420763181483,0.0633968859910965,-172.31068073570833,74.27682931162417,0.0633968859910965,0.8034975528717041,0,0,0.0,0.20000000298023224,400
500,30000,5,26,-5.005778549826726,3.8945375084877014,-38.14344428378352,14.347224369645119,0.8945375084877014,0.10320023447275162,0,0,0.0,0.20000000298023224,500
600,30000,7,52,-0.11547279635938823,0.06965626031160355,-83.33001089096594,72.84935756772757,0.06965626031160355,0.38548514246940613,0,0,0.0,0.20000000298023224,600
700,30000,7,152,-0.22963568461673398,0.19808249175548553,-168.05621551031,131.5375013463199,0.19808249175548553,0.2405186891555786,0,0,0.0,0.20000000298023224,700
800,30000,8,78,-1.156582161254729,0.3428330421447754,-51.89817090872333,13.707721456885338,0.3428330421447754,0.21268415451049805,0,0,0.0,0.20000000298023224,800
900,30000,8,178,-1.3136348728035594,0.0665527731180191,-227.2940280207533,89.94376461207867,0.0665527731180191,0.3924916386604309,0,0,0.0,0.20000000298023224,900
1000,30000,9,38,-4.135752490846856,3.8622310161590576,-26.55302182624797,19.40382744371891,0.8622310161590576,0.1088113859295845,0,0,0.0,0.19993998110294342,1000
1100,30000,11,30,-4.2882763056650886,3.8093625903129578,-57.38677572560087,40.041523307561874,0.8093625903129578,0.07287962734699249,0,0,0.0,0.19403520226478577,1100
1200,30000,11,130,-0.8204233586310901,0.3110865354537964,-167.33209210063256,113.54285134933889,0.3110865354537964,0.21555344760417938,0,0,0.0,0.18833044171333313,1200
1300,30000,11,230,-1.6220587771754253,0.023143110796809196,-310.1955560389682,122.28930220007896,0.023143110796809196,0.6131546497344971,0,0,0.0,0.18279151618480682,1300
1400,30000,12,90,-0.6253203307686317,0.06493733078241348,-142.3759312840107,94.8605361841619,0.06493733078241348,0.5262719988822937,0,0,0.0,0.17741382122039795,1400
1500,30000,12,190,-0.7373224066016166,0.1299528032541275,-207.8324957375359,99.86009733937681,0.1299528032541275,0.7907302379608154,0,0,0.0,0.17219600081443787,1500
1600,30000,13,51,-4.61132338650704,3.8426349759101868,-47.95888689931326,18.956401340663433,0.8426349759101868,0.11598324030637741,0,0,0.0,0.1671573668718338,1600
1700,30000,14,83,-4.361503748140019,3.800000011920929,-285.8796496509159,246.1031236499548,0.800000011920929,0.10767879337072372,0,0,0.0,0.16229139268398285,1700
1800,30000,14,183,-1.002187920612306,0.02484120987355709,-383.90379964972846,267.9184904489666,0.02484120987355709,0.5905871391296387,0,0,0.0,0.15761424601078033,1800
1900,30000,15,43,-0.6784779145823677,0.057652633637189865,-22.583554321897697,2.9587467089295387,0.057652633637189865,0.4340311288833618,0,0,0.0,0.15308606624603271,1900
2000,30000,16,61,-0.6639987575838521,0.10860089212656021,-50.2928439326298,24.29368945211172,0.10860089212656021,0.3209863007068634,0,0,0.0,0.1487284153699875,2000
2100,30000,16,161,-4.716983273121459,3.800000011920929,-235.7142621272426,131.00953262671828,0.800000011920929,0.04406788945198059,0,0,0.0,0.14454133808612823,2100
2200,30000,17,21,-0.8146066289712293,0.6004645228385925,-9.174081780435898,6.882086589932442,0.6004645228385925,0.1774698942899704,0,0,0.0,0.1405157595872879,2200
2300,30000,19,25,-0.8529475189655269,0.6694475412368774,-10.990673270077995,8.44127906858921,0.6694475412368774,0.16555260121822357,0,0,0.0,0.13662034273147583,2300
2400,30000,21,60,-0.5536518350012242,0.29762619733810425,-23.116152717128873,7.242641560733318,0.29762619733810425,0.2735323905944824,0,0,0.0,0.13287359476089478,2400
2500,30000,23,35,-0.8315736735127984,0.5147476196289062,-22.70418724696628,11.077750235795975,0.5147476196289062,0.16831190884113312,0,0,0.0,0.12924879789352417,2500
2600,30000,25,40,-4.753268058361056,3.813559889793396,-54.97683564996433,26.666572630405426,0.813559889793396,0.11016150563955307,0,0,0.0,0.12577582895755768,2600
2700,30000,25,140,-1.1313317712776874,0.541943371295929,-197.67842499087504,70.21813769638538,0.541943371295929,0.17112399637699127,0,0,0.0,0.1223910003900528,2700
