episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,47,-74.30440057562559,37.27122861891985,47,0,1,0.0851063829787234,0.06878029555082321,0.3674729493387202,0.0,0.20000000298023224
2,75,-59.9448967441789,48.44570542871952,28,0,1,0.2857142857142857,-0.007073422893881798,0.5873466224542686,0.0,0.20000000298023224
3,107,-61.021445412250316,38.605987161397934,32,0,1,0.15625,0.05557064339518547,0.48768709879368544,0.0,0.20000000298023224
4,234,-192.19144188082626,132.74423736333847,127,0,1,0.2125984251968504,0.02713116444647312,0.3444428138845549,0.0,0.20000000298023224
5,474,-212.2356217822687,78.03202249109745,240,0,0,0.05416666666666667,0.10039070248603821,0.16263342704623937,0.0,0.20000000298023224
6,501,-53.15606811117568,26.225090637803078,27,0,1,0.07407407407407407,0.0893794372677803,0.45278113473344733,0.0,0.20000000298023224
7,548,-73.64350957286246,33.60959893465042,47,0,1,0.06382978723404255,0.10077530890703201,0.35339572201383873,0.0,0.20000000298023224
8,722,-211.46993438201528,169.34525453671813,174,0,1,0.1781609195402299,0.016915997490286827,0.39278881917654096,0.0,0.20000000298023224
9,962,-306.98897124976446,92.21718216128647,240,0,0,0.058333333333333334,0.10724612325429916,0.2092382590053603,0.0,0.20000000298023224
10,1002,-44.77497227299762,35.12900973856449,40,0,1,0.1,0.08689626306295395,0.3782252434641123,0.0,0.19982004165649414
11,1070,-236.1383101404746,181.34309428930283,68,0,1,0.6176470588235294,-0.0015661498764529824,0.6962219748426887,0.0,0.19578762352466583
12,1310,-326.18642943637025,122.51254341006279,240,0,0,0.09583333333333334,0.05814935266971588,0.22296893087526162,0.0,0.18224716186523438
13,1549,-283.7368449337502,146.8858824353665,239,0,1,0.1087866108786611,0.017024150118231773,0.25475264617308163,0.0,0.16970404982566833
14,1617,-138.28361264148657,92.23056077212095,68,0,1,0.2647058823529412,0.020149806514382362,0.4445670701782493,0.0,0.16631637513637543
15,1857,-439.2011762876883,271.5191163383424,240,0,0,0.26666666666666666,0.01055283285677433,0.3313296514097601,0.0,0.15501669049263
16,1939,-97.46716371632424,55.790740981698036,82,0,1,0.0975609756097561,0.07092785090208054,0.2901309875816834,0.0,0.1513647884130478
17,2179,-370.28830083185704,174.31266124546528,240,0,0,0.12083333333333333,0.01945933699607849,0.36380275518943866,0.0,0.1413489580154419
18,2219,-69.47313570759144,59.68922080099583,40,0,1,0.25,0.05639876052737236,0.5422305200248957,0.0,0.13976842164993286
19,2275,-105.38506565648193,30.013975501060486,56,0,1,0.03571428571428571,0.09470779448747635,0.28596384823322296,0.0,0.13758166134357452
20,2322,-97.7310307748244,91.72229261696339,47,0,1,0.40425531914893614,-0.0021120214369148016,0.5685594173821997,0.0,0.1357850879430771
21,2340,-36.76730768048243,24.009688198566437,18,0,1,0.1111111111111111,0.10244526714086533,0.5560937888092465,0.0,0.1351081281900406
22,2437,-97.34377559899806,62.30925960093737,97,0,1,0.09278350515463918,-0.001905897748656571,0.2815387587725502,0.0,0.1315167099237442
23,2465,-59.48310169425639,44.55495601892471,28,0,1,0.25,-0.002303699031472206,0.5555341435330254,0.0,0.13050776720046997
24,2520,-81.52927375696414,60.824398428201675,55,0,1,0.16363636363636364,0.07840953022241592,0.4695345168763941,0.0,0.12854395806789398
25,2560,-100.69180731113963,71.53979095816612,40,0,1,0.35,-0.006378715857863426,0.538494773954153,0.0,0.12714813649654388
26,2800,-346.6409412670096,92.26581181772053,240,0,0,0.03333333333333333,0.10779159516096115,0.28444088257383554,0.0,0.11915437132120132
27,2933,-181.97001716665494,149.8358539007604,133,0,1,0.21804511278195488,-0.00048137991689145565,0.412299653389176,0.0,0.11500503867864609
28,3173,-291.1998926731567,138.975873850286,240,0,0,0.11666666666666667,0.07050221413373947,0.22906614104285836,0.0,0.10810118913650513
29,3413,-297.26350374497844,39.628916930407286,240,0,0,0.0,0.1628253012895584,0.16512048721003036,0.0,0.10159838199615479
30,3653,-428.8175598197633,75.79398523271084,240,0,0,0.03333333333333333,0.07633913308382034,0.21580827180296183,0.0,0.09541074931621552
31,3893,-265.37456311972886,41.62846979126334,240,0,0,0.0,0.15499944984912872,0.17345195746359726,0.0,0.0895482525229454
32,3925,6.738483274330475,11.149537593126297,32,1,0,0.0,0.1602231115102768,0.3484230497851968,0.0,0.0888061448931694
33,4165,-279.409547281057,26.708489127457142,240,0,0,0.0,0.22339941561222076,0.11128537136440476,0.0,0.08337294310331345
34,4405,-119.34149439020702,23.28112018853426,240,0,0,0.0,0.280272513628006,0.09700466745222608,0.0,0.0783010870218277
35,4645,-146.39188068420796,30.00105232745409,240,0,0,0.0,0.2370368391275406,0.12500438469772537,0.0,0.07362306863069534
36,4749,-229.55318270924937,97.17377464473248,104,0,1,0.125,0.11247865110635757,0.48244014081473535,0.0,0.07171767204999924
37,4786,-82.18372082099096,69.18715104460716,37,0,1,0.35135135135135137,0.05526689812541008,0.5996527309353287,0.0,0.07104093581438065
38,5026,-350.177041705933,13.63879780843854,240,0,0,0.0,0.2813565731048584,0.05682832420182725,0.0,0.06689939647912979
39,5266,-209.39031100866367,82.03881385736167,240,0,0,0.05416666666666667,0.10925497859716415,0.1793283910723403,0.0,0.06305699795484543
40,5506,-388.994549625596,58.0381670743227,240,0,0,0.0,0.1457967609167099,0.24182569614301125,0.0,0.05946166813373566
