scenario,method,train_seed,episodes,success,collision,non_end_link_collision,final_position_error,min_distance,safety_violation_rate,rms_jerk,mean_cost_per_step
random_crossing,ee_fixed,101,300,0.17,0.14,0.13,0.3565948388787607,0.1664314700248845,0.0183067132303433,27.33939271291097,0.166781200643548
random_crossing,ee_fixed,202,300,0.19,0.08,0.08,0.3610174553406735,0.1910551356803626,0.0130423719762752,24.17205207188924,0.1429801634432388
random_crossing,ee_fixed,303,300,0.15,0.1833333333333333,0.1833333333333333,0.3879473578433196,0.1750097952601693,0.0401990508490994,23.52216150601705,0.2391605972746002
upper_arm_crossing,ee_fixed,101,300,0.13,0.07,0.07,0.432486165392523,0.1854172595093647,0.0201431391441887,25.9475634320577,0.1613248555469419
upper_arm_crossing,ee_fixed,202,300,0.14,0.0,0.0,0.375346758334587,0.1953992522073288,0.0085133219954648,26.792023995717365,0.1153968319196505
upper_arm_crossing,ee_fixed,303,300,0.13,0.02,0.02,0.4354512970522046,0.1792583413918813,0.0149758906507662,24.08538266181946,0.1376576679575841
elbow_crossing,ee_fixed,101,300,0.16,0.08,0.08,0.3888485528249293,0.1785627318111558,0.0225766253518085,27.077746470769245,0.1838502619419868
elbow_crossing,ee_fixed,202,300,0.16,0.02,0.02,0.3733119162917137,0.2038670688207882,0.0096200688869065,24.66969228744507,0.1281764562639279
elbow_crossing,ee_fixed,303,300,0.18,0.07,0.07,0.3795348522191246,0.1898626493507375,0.0226935882333828,23.86415853182475,0.1709720179416148
forearm_crossing,ee_fixed,101,300,0.25,0.09,0.09,0.3624137328440944,0.186354527217724,0.0139857326067402,25.51211813290914,0.1535423463004067
forearm_crossing,ee_fixed,202,300,0.14,0.04,0.04,0.420398181087027,0.2109670493123121,0.0089638157894736,22.669043499628703,0.1220296038762909
forearm_crossing,ee_fixed,303,300,0.1933333333333333,0.03,0.03,0.3859949409527083,0.1938902265361199,0.0166733443185836,23.52203799565633,0.1443687047155431
wrist_crossing,ee_fixed,101,300,0.1933333333333333,0.09,0.09,0.4344197551719844,0.1716267953678592,0.0138552801306536,26.170918992360438,0.1316713028309336
wrist_crossing,ee_fixed,202,300,0.15,0.09,0.09,0.3875874949246645,0.2142363473206448,0.0119438605506382,22.37469091733297,0.1252086224970411
wrist_crossing,ee_fixed,303,300,0.13,0.15,0.15,0.463529911780109,0.1928120528695581,0.0184341264232427,22.749122053782145,0.150422995410699
random_crossing,link_fixed_penalty1,101,300,0.69,0.0633333333333333,0.0633333333333333,0.1115755643136799,0.2133494046858201,0.008334810101281,29.97797155062357,0.2156368766970048
random_crossing,link_fixed_penalty1,202,300,0.5,0.0933333333333333,0.0933333333333333,0.1583924104645848,0.1741379219298445,0.0232154436536774,35.21544010480245,0.2896029608888804
random_crossing,link_fixed_penalty1,303,300,0.7366666666666667,0.05,0.05,0.1064494157892962,0.192767462991178,0.0065367315833036,31.786280790964764,0.2439227026764983
upper_arm_crossing,link_fixed_penalty1,101,300,0.6133333333333333,0.16,0.15,0.1293844202098747,0.1807608045389254,0.0246026341078121,33.220742864608766,0.3558492665749307
upper_arm_crossing,link_fixed_penalty1,202,300,0.3766666666666666,0.16,0.16,0.225312914426128,0.1570643371491072,0.0363468531701789,39.210904111862185,0.3810180791036484
upper_arm_crossing,link_fixed_penalty1,303,300,0.71,0.03,0.02,0.1066704369305322,0.1800441345013678,0.0102423029530149,31.83941296895345,0.2642823683499371
elbow_crossing,link_fixed_penalty1,101,300,0.66,0.08,0.06,0.1233845141964654,0.1916488310574398,0.0162728063321544,30.47816971460978,0.2749207361834415
elbow_crossing,link_fixed_penalty1,202,300,0.4633333333333333,0.14,0.14,0.1885962948513527,0.1782907553071466,0.0237455171215803,36.38808258374532,0.3017619200225811
elbow_crossing,link_fixed_penalty1,303,300,0.79,0.04,0.04,0.0929000205049912,0.1984504513877133,0.004353989946692,32.162515586217246,0.2369648605795493
forearm_crossing,link_fixed_penalty1,101,300,0.72,0.04,0.04,0.1128741587388018,0.2253727316608031,0.0039960853710853,29.88777956008911,0.2039232379622381
forearm_crossing,link_fixed_penalty1,202,300,0.57,0.05,0.04,0.1446355694594482,0.212289568100435,0.0120619999576771,37.460667769114174,0.2304856920521452
forearm_crossing,link_fixed_penalty1,303,300,0.8933333333333333,0.0,0.0,0.0699780105178554,0.2102820947455863,0.0091597506687055,32.042181679407754,0.2390966907749679
wrist_crossing,link_fixed_penalty1,101,300,0.7766666666666666,0.05,0.05,0.1039775381671885,0.2501435668207705,0.0040391601433561,29.94562879880269,0.1724905401924406
wrist_crossing,link_fixed_penalty1,202,300,0.6066666666666667,0.02,0.02,0.1270390490194161,0.2350784607355793,0.0013928799200538,34.72883462270101,0.1696067336010852
wrist_crossing,link_fixed_penalty1,303,300,0.9,0.0,0.0,0.0665184125583618,0.2374028389373173,0.0039200786490862,31.23995411237081,0.2081573672739703
random_crossing,ldrc_fixed,101,300,0.4233333333333333,0.08,0.08,0.2027154862259825,0.1587025770032778,0.028571761384391,32.97668432871501,0.3207908519428679
random_crossing,ldrc_fixed,202,300,0.7666666666666667,0.0233333333333333,0.0233333333333333,0.1099658562925954,0.1693465764920013,0.0450241322656672,32.61279744148254,0.4003104029145937
random_crossing,ldrc_fixed,303,300,0.5,0.0633333333333333,0.0633333333333333,0.2037482602894306,0.1731794944840173,0.0200515166479229,32.65131739616394,0.311039051511732
