scenario,method,success_rate,collision_rate,final_position_error_m,rms_jerk
upper_arm_crossing,ee_fixed,13.33 +/- 0.58,3.00 +/- 3.61,0.414 +/- 0.034,25.6 +/- 1.4
upper_arm_crossing,link_fixed_penalty1,56.67 +/- 17.15,11.67 +/- 7.51,0.154 +/- 0.063,34.8 +/- 3.9
upper_arm_crossing,ldrc_fixed,54.22 +/- 19.31,9.33 +/- 0.58,0.180 +/- 0.083,35.5 +/- 1.5
elbow_crossing,ee_fixed,16.67 +/- 1.15,5.67 +/- 3.21,0.381 +/- 0.008,25.2 +/- 1.7
elbow_crossing,link_fixed_penalty1,63.78 +/- 16.45,8.67 +/- 5.03,0.135 +/- 0.049,33.0 +/- 3.0
elbow_crossing,ldrc_fixed,56.56 +/- 24.06,7.33 +/- 2.31,0.169 +/- 0.079,35.3 +/- 1.7
forearm_crossing,ee_fixed,19.44 +/- 5.50,5.33 +/- 3.21,0.390 +/- 0.029,23.9 +/- 1.5
forearm_crossing,link_fixed_penalty1,72.78 +/- 16.18,3.00 +/- 2.65,0.109 +/- 0.037,33.1 +/- 3.9
forearm_crossing,ldrc_fixed,67.00 +/- 18.21,4.33 +/- 1.15,0.131 +/- 0.052,34.8 +/- 0.7
wrist_crossing,ee_fixed,15.78 +/- 3.24,11.00 +/- 3.46,0.429 +/- 0.038,23.8 +/- 2.1
wrist_crossing,link_fixed_penalty1,76.11 +/- 14.73,2.33 +/- 2.52,0.099 +/- 0.031,32.0 +/- 2.5
wrist_crossing,ldrc_fixed,62.33 +/- 25.44,3.00 +/- 1.00,0.147 +/- 0.071,33.8 +/- 1.3
