step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm
0,0.05,-0.10611229035323162,0.12592674791812897,0.2643543481826782,0.47001218795776367,0.12592674791812897,0.17933919858932496,5,0,0,0,0.25851258635520935,5.170251369476318,103.40502166748047
1,0.1,-0.06548269631754039,0.0992569848895073,0.26031988859176636,0.46268773078918457,0.0992569848895073,0.21659549501736958,5,0,0,0,0.5114852786064148,5.069595813751221,9.331923484802246
2,0.15000000000000002,-0.03890711845975631,0.07858619838953018,0.25510865449905396,0.45693397521972656,0.07858619838953018,0.24037262908935547,5,0,0,0,0.7463194131851196,5.048247814178467,50.07576370239258
3,0.2,-0.044882029843511265,0.07289142161607742,0.25053444504737854,0.4530537724494934,0.07289142161607742,0.2558069873193105,5,0,0,0,0.9071134924888611,4.102174758911133,51.05272674560547
4,0.25,-0.06062102657391847,0.07307786494493484,0.2470632791519165,0.450433611869812,0.07307786494493484,0.26577871181602475,5,0,0,0,1.0202723741531372,3.1960675716400146,28.529098510742188
5,0.30000000000000004,-0.06816988258425541,0.07325512915849686,0.24420683085918427,0.44794702529907227,0.07325512915849686,0.27206218396446225,5,0,0,0,1.087895393371582,1.766350507736206,32.31665802001953
6,0.35000000000000003,-0.07362853707974068,0.07342087477445602,0.24179446697235107,0.44534897804260254,0.07342087477445602,0.2760382675815887,5,0,0,0,1.1243189573287964,1.1043483018875122,19.219173431396484
7,0.4,-0.0821948465995709,0.073572538793087,0.23995834589004517,0.4427902102470398,0.073572538793087,0.27864431164796755,5,0,0,0,1.1414614915847778,0.92201167345047,10.841313362121582
8,0.45,-0.09529918428044924,0.07370730489492416,0.23890353739261627,0.4404391050338745,0.07370730489492416,0.28041448375862205,5,0,0,0,1.1398837566375732,1.1659197807312012,12.615028381347656
9,0.5,-0.10972512055761188,0.07382208853960037,0.23866023123264313,0.43835729360580444,0.07382208853960037,0.28162469979891,5,0,0,0,1.1274044513702393,1.3682817220687866,9.9474515914917
10,0.55,-0.12253232818858921,0.07391347736120224,0.2391083687543869,0.4365265369415283,0.07391347736120224,0.2824092855260898,5,0,0,0,1.121814250946045,1.0964888334274292,8.75318717956543
11,0.6000000000000001,-0.13525821117972356,0.07397783547639847,0.24020761251449585,0.434859037399292,0.07397783547639847,0.28282924466567017,5,0,0,0,1.120327115058899,0.8510538935661316,7.403687953948975
12,0.65,-0.14534692860630474,0.07401123642921448,0.24178467690944672,0.4332265257835388,0.07401123642921448,0.2829147861792849,5,0,0,0,1.1173535585403442,0.6333208084106445,5.531825542449951
13,0.7000000000000001,-0.15445356048713166,0.07400945574045181,0.2437589168548584,0.431635320186615,0.07400945574045181,0.2827312946157181,5,0,0,0,1.1073323488235474,0.8967852592468262,7.033718585968018
14,0.75,-0.16434705684929563,0.07396798580884933,0.24615177512168884,0.43013983964920044,0.07396798580884933,0.28233107152600234,5,0,0,0,1.0945682525634766,0.9706454277038574,2.745323657989502
15,0.8,-0.17999479424079254,0.07388216257095337,0.24924516677856445,0.42887890338897705,0.07388216257095337,0.28172816290270775,5,0,0,0,1.078717827796936,0.8212069272994995,11.483372688293457
16,0.8500000000000001,-0.19795505691183762,0.07374707609415054,0.25311726331710815,0.4279286861419678,0.07374707609415054,0.28086507948524647,5,0,0,0,1.0526927709579468,1.098276972770691,6.685203552246094
17,0.9,-0.22168691775558272,0.07355772703886032,0.25802159309387207,0.4275497794151306,0.07355772703886032,0.27969252804291383,5,0,0,0,1.019469976425171,1.608405351638794,10.58335018157959
18,0.9500000000000001,-0.2501239798891675,0.07330901175737381,0.2641414701938629,0.4279508590698242,0.07330901175737381,0.27811368723336144,5,0,0,0,0.9875019788742065,2.060969591140747,10.21329402923584
19,1.0,-0.274474429171757,0.07299590855836868,0.27118781208992004,0.4289827346801758,0.07299590855836868,0.276019880809128,5,0,0,0,0.9579126238822937,2.3550291061401367,12.368659973144531
20,1.05,-0.29793114295636886,0.0726463720202446,0.2790588140487671,0.43049222230911255,0.0726463720202446,0.2734507944808839,5,0,0,0,0.9392866492271423,2.248253345489502,13.783958435058594
21,1.1,-0.3241062206916513,0.07290640473365784,0.28783202171325684,0.43236231803894043,0.07290640473365784,0.2705165952817463,5,0,0,0,0.921183705329895,2.2224700450897217,23.61669921875
22,1.1500000000000001,-0.34834393936409924,0.07306435704231262,0.2973134517669678,0.43429529666900635,0.07306435704231262,0.26725180576498486,5,0,0,0,0.8902499675750732,2.979297161102295,23.944480895996094
23,1.2000000000000002,-0.3641532322917695,0.07324910908937454,0.30701667070388794,0.4359532594680786,0.07324910908937454,0.26369774065567164,5,0,0,0,0.8638275861740112,3.125410795211792,15.927689552307129
24,1.25,-0.3750730651976164,0.07321082055568695,0.31667351722717285,0.43723559379577637,0.07321082055568695,0.2600073733458108,5,0,0,0,0.8517856001853943,2.6183865070343018,13.178805351257324
25,1.3,-0.38269801764591316,0.07313979417085648,0.3260978162288666,0.4381510615348816,0.07313979417085648,0.25627067779675244,5,0,0,0,0.8379348516464233,1.9520864486694336,16.335954666137695
26,1.35,-0.3847854815147077,0.07318367809057236,0.3349936306476593,0.4386274218559265,0.07318367809057236,0.25252847473924434,5,0,0,0,0.8164158463478088,1.4810699224472046,15.945474624633789
27,1.4000000000000001,-0.3801083591233039,0.0731978714466095,0.34302738308906555,0.43856555223464966,0.0731978714466095,0.24883098054590866,5,0,0,0,0.782802402973175,1.2854729890823364,19.406787872314453
