step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,3,19,-1.6585449700067363,0.3361532390117645,-17.924621006412334,3.777419351041317,0.3361532390117645,0.18061266839504242,0,0,0.0,0.20000000298023224,100
200,100000,3,119,-14.949427698085762,3.670513153076172,-377.26638282003694,89.72608380019665,0.6705131530761719,0.1076372042298317,0,0,0.0,0.20000000298023224,200
300,100000,5,58,-1.5430863555659269,0.16861119866371155,-128.37176539371785,20.17176179587841,0.16861119866371155,0.26157209277153015,0,0,0.0,0.20000000298023224,300
400,100000,7,2,-1.1603983854352236,0.16676390171051025,-2.3774307017253204,0.3975837230682373,0.16676390171051025,0.4466855227947235,0,0,0.0,0.20000000298023224,400
500,100000,9,50,-14.960271312135346,3.699595808982849,-124.20113443441453,28.970249112695456,0.6995958089828491,0.07951834052801132,0,0,0.0,0.20000000298023224,500
600,100000,11,17,-16.393869227780314,3.9171156883239746,-56.89649546391288,11.658221110701561,0.9171156883239746,0.10841906070709229,0,0,0.0,0.20000000298023224,600
700,100000,13,54,-1.2854645328438754,0.16797824203968048,-47.35120912948259,4.210895515978336,0.16797824203968048,0.20804671943187714,0,0,0.0,0.20000000298023224,700
800,100000,14,40,-2.363601038765221,0.5122987627983093,-42.9251656698162,8.675517298281193,0.5122987627983093,0.20046651363372803,0,0,0.0,0.20000000298023224,800
900,100000,16,41,-1.9139711695687722,0.30981022119522095,-78.97179078191404,14.59359996020794,0.30981022119522095,0.15296737849712372,0,0,0.0,0.20000000298023224,900
1000,100000,16,141,-0.8959544548473175,0.12394260615110397,-164.43555572749844,22.874223869293928,0.12394260615110397,0.17255116999149323,0,0,0.0,0.19993998110294342,1000
1100,100000,17,1,-0.3938325019471867,0.08419088274240494,-0.3938325019471867,0.08419088274240494,0.08419088274240494,0.5029309988021851,0,0,0.0,0.19415812194347382,1100
1200,100000,19,15,-1.3832252977614838,0.2923063039779663,-15.747979080916657,3.6691022142767906,0.2923063039779663,0.27687954902648926,0,0,0.0,0.18914148211479187,1200
1300,100000,21,46,-13.975940273396573,3.3980444371700287,-226.45283419229742,52.56710796058178,0.3980444371700287,0.07479161769151688,0,0,0.0,0.18409228324890137,1300
1400,100000,23,54,-1.5188250689865916,0.311595618724823,-29.459438836086886,5.779705611988902,0.311595618724823,0.24172864854335785,0,0,0.0,0.17888310551643372,1400
1500,100000,26,31,-1.6561637430004328,0.3037078380584717,-41.93480709846695,6.741293624043465,0.3037078380584717,0.1302439123392105,0,0,0.0,0.17396117746829987,1500
1600,100000,26,131,-0.42433384471722546,0.04687567427754402,-101.3745640386473,15.960848659276962,0.04687567427754402,0.39727509021759033,0,0,0.0,0.1692430078983307,1600
1700,100000,26,231,-0.8427661270412026,0.059261567890644073,-165.3537254660086,27.00282820314169,0.059261567890644073,0.20258678495883942,0,0,0.0,0.16466951370239258,1700
1800,100000,27,91,-0.8945684145528437,0.12379879504442215,-385.6405375123097,87.55829154700041,0.12379879504442215,0.5501636266708374,0,0,0.0,0.16029693186283112,1800
1900,100000,30,14,-49.161719609251335,11.677005887031555,-104.57510521129959,23.98938140273094,0.6770058870315552,0.08932607620954514,0,1,0.0,0.15610264241695404,1900
2000,100000,34,6,-2.6719007758496445,0.45548540353775024,-15.811575247902402,2.566678524017334,0.45548540353775024,0.24337802827358246,0,0,0.0,0.1521160751581192,2000
2100,100000,34,106,-1.7338994330075366,0.2627916932106018,-468.7611095554738,98.06094018928707,0.2627916932106018,0.13237468898296356,0,0,0.0,0.14830811321735382,2100
2200,100000,36,16,-1.2289935012927689,0.18169379234313965,-13.743909095951357,2.009262014180422,0.18169379234313965,0.28913408517837524,0,0,0.0,0.14463907480239868,2200
2300,100000,38,59,-1.20130697006574,0.23286665976047516,-362.64231424088194,87.07225865125656,0.23286665976047516,0.21965180337429047,0,0,0.0,0.14116783440113068,2300
2400,100000,38,159,-2.2095713333452123,0.3512625992298126,-476.3988658000317,105.94504404067993,0.3512625992298126,0.16458308696746826,0,0,0.0,0.13782237470149994,2400
2500,100000,41,25,-2.8533547657619334,0.6742157340049744,-39.28768341153732,9.64478862285614,0.6742157340049744,0.1402123123407364,0,0,0.0,0.13459788262844086,2500
2600,100000,41,125,-0.21821251752171014,0.017340566962957382,-308.1848694376535,75.05587305873632,0.017340566962957382,0.6513193845748901,0,0,0.0,0.13151487708091736,2600
2700,100000,41,225,-0.33222089944247224,0.053601041436195374,-345.27529846460266,78.73126689065248,0.053601041436195374,0.6428764462471008,0,0,0.0,0.12852954864501953,2700
2800,100000,42,85,-0.41093918717756533,0.07136866450309753,-202.54244432883607,49.73656576126814,0.07136866450309753,0.506853461265564,0,0,0.0,0.12555894255638123,2800
2900,100000,42,185,-2.6474062547219006,0.6101987957954407,-333.2812658657605,77.12032857909799,0.6101987957954407,0.190945103764534,0,0,0.0,0.12254516780376434,2900
3000,100000,44,14,-0.7286261313674232,0.08521707355976105,-8.9532291128684,0.8338499050587416,0.08521707355976105,0.3867660462856293,0,0,0.0,0.11966130137443542,3000
3100,100000,44,114,-2.1678520455199806,0.015405838377773762,-148.32103953066306,2.8205519020557404,0.015405838377773762,0.475418359041214,0,0,0.0,0.11678672581911087,3100
3200,100000,44,214,-0.589895177950384,0.01978619396686554,-334.2078674114088,6.894234688952565,0.01978619396686554,0.3928156793117523,0,0,0.0,0.11402804404497147,3200
3300,100000,45,74,-2.4214130797463724,0.05175482854247093,-128.58641464728453,2.7357590068131685,0.05175482854247093,0.4948523938655853,0,0,0.0,0.11132153868675232,3300
3400,100000,45,174,-2.044529342894189,0.06708626449108124,-329.4199931995377,7.030445324257016,0.06708626449108124,0.6871618032455444,0,0,0.0,0.10859851539134979,3400
3500,100000,46,34,-1.1624122138907034,0.022548215463757515,-34.1677313075303,1.0098227132111788,0.022548215463757515,0.4147377908229828,0,0,0.0,0.10586518794298172,3500
3600,100000,46,134,-2.558231300045736,0.0787559300661087,-239.86581538264497,3.5351965110749006,0.0787559300661087,0.5248383283615112,0,0,0.0,0.10315320640802383,3600
3700,100000,46,234,-3.721853022032028,0.03556259348988533,-450.85191917022325,6.7537237126380205,0.03556259348988533,0.12101171165704727,0,0,0.0,0.10053395479917526,3700
3800,100000,47,94,-13.978577368932383,3.38203763961792,-447.78140864444543,96.05060222372413,0.3820376396179199,0.05570278689265251,0,0,0.0,0.09794391691684723,3800
3900,100000,48,93,-3.017963335938857,0.031211821362376213,-195.4646093795992,2.465529715642333,0.031211821362376213,0.6323373317718506,0,0,0.0,0.09540640562772751,3900
