step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,2,21,-15.272259210214319,3.558876931667328,-73.37977586949204,13.096741437911987,0.5588769316673279,0.10331734269857407,0,0,0.0,0.20000000298023224,100
200,100000,4,41,-0.5213064752426135,0.14091110229492188,-367.5476707954832,91.34857402741909,0.14091110229492188,0.2834879755973816,0,0,0.0,0.20000000298023224,200
300,100000,4,141,-3.0409652534880687,0.6783793568611145,-483.36480986797267,116.30130344256759,0.6783793568611145,0.13825897872447968,0,0,0.0,0.20000000298023224,300
400,100000,5,29,-14.280125140675565,3.311426132917404,-139.57820791666495,29.565533325076103,0.3114261329174042,0.06792385131120682,0,0,0.0,0.20000000298023224,400
500,100000,7,72,-2.0548367294657313,0.4432542622089386,-458.46756066382926,110.17810742929578,0.4432542622089386,0.13856902718544006,0,0,0.0,0.20000000298023224,500
600,100000,7,172,-12.656299099783704,3.099110908806324,-1059.3900232791884,253.60363088175654,0.099110908806324,0.11837505549192429,0,0,0.0,0.20000000298023224,600
700,100000,8,32,-1.5221916669520574,0.3885616064071655,-23.835311491737183,5.734019920229912,0.3885616064071655,0.2340000718832016,0,0,0.0,0.20000000298023224,700
800,100000,8,132,-1.1689268574786096,0.193924680352211,-526.9912834879274,129.23520079255104,0.193924680352211,0.23407100141048431,0,0,0.0,0.20000000298023224,800
900,100000,8,232,-0.7850197028975302,0.14116910099983215,-568.7100567489189,134.7357160449028,0.14116910099983215,0.5010064840316772,0,0,0.0,0.20000000298023224,900
1000,100000,11,29,-12.962945033786559,3.0889444574713707,-126.24759746243068,27.415786292403936,0.0889444574713707,0.09857483953237534,0,0,0.0,0.19993998110294342,1000
1100,100000,11,129,-0.6271040613635177,0.05286947637796402,-279.43953284668675,53.185588324442506,0.05286947637796402,0.31915590167045593,0,0,0.0,0.1940767914056778,1100
1200,100000,11,229,-1.4134556118093795,0.21774467825889587,-355.70555123034853,63.09793407842517,0.21774467825889587,0.6055883765220642,0,0,0.0,0.18882139027118683,1200
1300,100000,14,58,-1.6332690987119907,0.24464112520217896,-77.82773389042748,12.892425119876862,0.24464112520217896,0.1393466740846634,0,0,0.0,0.1834898144006729,1300
1400,100000,14,158,-1.1953010085084204,0.11669810861349106,-1117.8495093621002,254.09630408138037,0.11669810861349106,0.2618979811668396,0,0,0.0,0.1783338040113449,1400
1500,100000,15,18,-1.0078190088662375,0.2052060067653656,-21.760583417305853,4.926126316189766,0.2052060067653656,0.2345150113105774,0,0,0.0,0.17336496710777283,1500
1600,100000,16,76,-15.51805323673081,3.806035816669464,-161.46181861488918,35.00750948674977,0.8060358166694641,0.08932256698608398,0,0,0.0,0.16867215931415558,1600
1700,100000,16,176,-0.718656817319653,0.080916628241539,-762.7317602398765,173.29246339015663,0.080916628241539,0.4641989469528198,0,0,0.0,0.164297953248024,1700
1800,100000,17,36,-16.442603024791943,3.821736752986908,-249.95515184623477,53.035872131586075,0.821736752986908,0.05217793211340904,0,0,0.0,0.16016604006290436,1800
1900,100000,21,10,-1.3034035605020051,0.27938419580459595,-10.00132609519721,1.794489599764347,0.27938419580459595,0.3516029119491577,0,0,0.0,0.15623921155929565,1900
2000,100000,23,33,-1.814358342241364,0.4609297811985016,-38.93144271933331,9.269593920558691,0.4609297811985016,0.13801057636737823,0,0,0.0,0.15237466990947723,2000
2100,100000,26,40,-0.2985333747572094,0.07908610254526138,-19.636120958114724,2.7306310180574656,0.07908610254526138,0.4034096598625183,0,0,0.0,0.14867043495178223,2100
2200,100000,29,1,-1.3365867506646145,0.3004028797149658,-1.3365867506646145,0.3004028797149658,0.3004028797149658,0.2834327816963196,0,0,0.0,0.14506225287914276,2200
2300,100000,30,49,-2.9750384475456304,0.6554355621337891,-77.67100386036161,15.3992855027318,0.6554355621337891,0.1364777386188507,0,0,0.0,0.14158162474632263,2300
2400,100000,33,5,-1.609834921076132,0.28701314330101013,-6.1762058807425575,0.9903969913721085,0.28701314330101013,0.3999521732330322,0,0,0.0,0.138260155916214,2400
2500,100000,36,17,-1.0385557674002166,0.20484291017055511,-19.078968514959243,4.037850454449654,0.20484291017055511,0.24115552008152008,0,0,0.0,0.13509412109851837,2500
