episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,50,-120.1596162693923,28.291085053235292,50,0,1,0.04,0.1004762277007103,0.28582170106470584,0.0,0.20000000298023224
2,79,-257.38522549793845,58.29194071888924,29,0,1,0.3793103448275862,-0.0018437138060107827,0.5962738178927323,0.0,0.20000000298023224
3,115,-352.3817157421506,77.9932930469513,36,0,1,0.4722222222222222,-0.011236735619604588,0.5275914735264249,0.0,0.20000000298023224
4,159,-181.59212461958086,42.27533424273133,44,0,1,0.1590909090909091,0.029781663790345192,0.3017121418802576,0.0,0.20000000298023224
5,371,-735.851867838787,170.1493032798171,212,0,1,0.1509433962264151,-0.00551409088075161,0.3120250154708354,0.0,0.20000000298023224
6,409,-299.0542041757144,66.83002856373787,38,0,1,0.39473684210526316,0.010925153270363808,0.36394812009836497,0.0,0.20000000298023224
7,428,-187.88550508289399,44.07361689209938,19,0,1,0.42105263157894735,-0.005998833104968071,0.6354535206368095,0.0,0.20000000298023224
8,668,-1089.8445685935335,256.83529420010746,240,0,0,0.25833333333333336,0.017422685399651527,0.2951470591671144,0.0,0.20000000298023224
9,908,-578.3710383771769,136.68565519154072,240,0,0,0.10833333333333334,0.054683271795511246,0.24452356329808633,0.0,0.20000000298023224
10,950,-414.1584717750037,99.32873153686523,42,0,1,0.5,-0.0017355625750496984,0.6744936080206008,0.0,0.20000000298023224
11,971,-119.36323354289614,27.905406191945076,21,0,1,0.14285714285714285,0.07935353368520737,0.5193050567592893,0.0,0.20000000298023224
12,1211,-367.54110969066727,64.85148978605866,240,0,0,0.058333333333333334,0.0973568931221962,0.09521454077524444,0.0,0.18824024498462677
13,1241,-140.94534951946702,29.401894345879555,30,0,1,0.1,0.05594969168305397,0.4133964781959852,0.0,0.18663761019706726
14,1242,19.2066511698236,0.19324854016304016,1,1,0,0.0,0.4232768416404724,0.19324854016304016,0.0,0.18658436834812164
15,1482,-1587.6910799472475,354.3586423546076,240,0,0,0.4041666666666667,0.019654417410492897,0.2639943431441983,0.0,0.17423078417778015
16,1524,-339.1908945698671,82.63788793981075,42,0,1,0.40476190476190477,-0.0064569865353405476,0.5628068557097798,0.0,0.17221203446388245
17,1764,-1046.6674615699271,235.9689062293619,240,0,0,0.20416666666666666,0.0248553603887558,0.37070377595567455,0.0,0.16161003708839417
18,1808,-415.57105275239144,91.63536682724953,44,0,1,0.4318181818181818,-0.004944389685988426,0.6053492460738529,0.0,0.1598479449748993
19,1833,-194.3637528401071,46.94756701588631,25,0,1,0.32,-0.008460045792162418,0.5979026806354523,0.0,0.15886175632476807
20,1859,-106.98348089277313,25.136240512132645,26,0,1,0.07692307692307693,0.09950151294469833,0.42831694277433247,0.0,0.15783840417861938
21,1890,-267.24616459269464,65.73581333458424,31,0,1,0.41935483870967744,0.011599281802773476,0.604381075309169,0.0,0.1566350758075714
22,1927,-178.97841911076796,41.757661767303944,37,0,1,0.16216216216216217,0.0559685193002224,0.42588275046767415,0.0,0.15518639981746674
23,1967,-213.80813464037124,41.18128376454115,40,0,1,0.225,0.004285821691155434,0.15453209411352872,0.0,0.15364651381969452
24,2006,-151.69638330939426,36.81046869978309,39,0,1,0.1282051282051282,0.05330752953886986,0.35411458204572016,0.0,0.1521507352590561
25,2031,-136.68616721228207,29.324628844857216,25,0,1,0.16,0.07212657481431961,0.37298515379428865,0.0,0.15120626986026764
26,2060,-324.19021726890276,73.67950364947319,29,0,1,0.5172413793103449,-0.001697660074569285,0.7130863327404549,0.0,0.1501360833644867
27,2146,-199.07397898736295,45.31291692145169,86,0,1,0.06976744186046512,0.07495466619729996,0.22456880141222893,0.0,0.146988183259964
28,2171,-173.245005260654,41.02454653382301,25,0,1,0.28,0.0694727823138237,0.48098186135292054,0.0,0.1460866928100586
29,2199,-372.4186648155022,91.39779299497604,28,0,1,0.75,0.007014187052845955,0.7284926069634301,0.0,0.14509743452072144
30,2251,-283.8449087069496,68.58509202301502,52,0,1,0.23076923076923078,-0.004353709984570742,0.47279023121182734,0.0,0.14326870441436768
