episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,53,-6.905834734033679,32.402663595974445,53,0,1,0.03773584905660377,0.10375269502401352,0.34722006784857445,0.1000306855056224,0.20000000298023224
2,91,-42.18014303261886,66.92895929515362,38,0,1,0.3157894736842105,-0.0025123783852905035,0.6033936656619373,0.1006654809372157,0.20000000298023224
3,116,-27.898881371534785,44.19672605395317,25,0,1,0.28,0.04810703918337822,0.6078690421581269,0.10187747111830839,0.20000000298023224
4,155,-14.097036326319323,43.29280249774456,39,0,1,0.15384615384615385,0.0492820106446743,0.4434051922498605,0.10330889771980471,0.20000000298023224
5,395,-29.09449747379784,135.66601162962615,240,0,0,0.1125,0.01935383677482605,0.22777504845677565,0.10467639051545462,0.20000000298023224
6,429,-26.334063250110333,82.36702761054039,34,0,1,0.5,-0.01826469413936138,0.6872655179570702,0.10691178848912408,0.20000000298023224
7,453,-11.902710764383354,53.5482077896595,24,0,1,0.4166666666666667,-0.0036281279753893614,0.6478419912358125,0.10987600422639465,0.20000000298023224
8,597,-44.60373349328633,217.86208368092775,144,0,1,0.3194444444444444,0.012074867263436317,0.4990422477842205,0.11317347474513825,0.20000000298023224
9,634,-6.6587591877291405,31.676867112517357,37,0,1,0.08108108108108109,0.08372659236192703,0.3966720841220907,0.11645913750973544,0.20000000298023224
10,718,-27.934414202865195,183.49209193885326,84,0,1,0.4880952380952381,0.023347100242972374,0.6249058564149198,0.12039773196907214,0.20000000298023224
11,958,-176.9137857661691,320.70921670272946,240,0,0,0.3,0.014191443100571632,0.43628840292803944,0.12453254090690602,0.20000000298023224
12,1198,-140.61838525055944,90.8525584321469,240,0,0,0.0625,0.07725615054368973,0.1910523268006121,0.12837488556124851,0.1884523332118988
13,1230,-24.570051997719528,37.42473067343235,32,0,1,0.15625,0.08676058799028397,0.45077283354476094,0.13233487439964625,0.18666572868824005
14,1231,20.000785074636333,0.21074806153774261,1,1,0,0.0,0.42213737964630127,0.21074806153774261,0.13592723782689298,0.1866101622581482
15,1316,-22.610440085649063,75.52948210388422,85,0,1,0.1411764705882353,-0.003745161695405841,0.37093508357510846,0.13950927415397668,0.18196241557598114
16,1345,-4.998033990662412,51.56118692457676,29,0,1,0.3103448275862069,-0.0027245525270700455,0.5710754111923021,0.14352619464616442,0.18040627241134644
17,1408,-14.270106408369532,40.93355445191264,63,0,1,0.06349206349206349,0.0881250873208046,0.33227864209385144,0.14739213859351988,0.17707544565200806
18,1489,-69.33563118584988,157.56292261183262,81,0,1,0.41975308641975306,0.00921660102903843,0.5871965754547237,0.15176239597691393,0.17289531230926514
19,1729,-185.6495968451583,202.3327952902764,240,0,0,0.1625,0.05634424090385437,0.355553313709485,0.15606066714799302,0.16118298470973969
20,1756,-6.1785671929125385,26.37691342830658,27,0,1,0.07407407407407407,0.10123126953840256,0.45840420104839186,0.1603574861203016,0.15992745757102966
21,1996,-44.906375209028845,190.4584952481091,240,0,0,0.15,0.025376254692673683,0.3435770635337879,0.16456125267576163,0.14926166832447052
