episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,16,-15.588842181951488,57.341268658638,16,0,1,0.75,-0.004422605503350496,0.833829291164875,0.10151691464558245,0.20000000298023224
2,256,-170.79891128740604,90.93695393949747,240,0,0,0.058333333333333334,0.09672742336988449,0.20390397474790614,0.10287243554625972,0.20000000298023224
3,291,-27.696318677188433,39.391850620508194,35,0,1,0.14285714285714285,0.06243697926402092,0.46833858915737697,0.10444792112505323,0.20000000298023224
4,324,-5.715204683338843,49.53127782046795,33,0,1,0.24242424242424243,0.079900823533535,0.5312508430444833,0.1064201063312778,0.20000000298023224
5,349,-13.016216933213425,24.96277204155922,25,0,1,0.08,0.10550978034734726,0.4385108816623688,0.10851793771802233,0.20000000298023224
6,452,-80.52598922603822,169.24162749946117,103,0,1,0.34951456310679613,-0.004575938452035189,0.5169090048491376,0.1110574388339707,0.20000000298023224
7,488,-36.96747596306195,59.9903547167778,36,0,1,0.2777777777777778,-0.006909428164362907,0.6108431865771612,0.11402816426518803,0.20000000298023224
8,728,-53.978246070671666,112.45891495607793,240,0,0,0.08333333333333333,0.006470761727541685,0.2185788123169914,0.11680964283100297,0.20000000298023224
9,741,-7.088314410650713,58.09094166755676,13,0,1,1.0,-0.005079658702015877,0.8531493590428278,0.12141131445574088,0.20000000298023224
10,780,-13.441867166455072,39.12763489037752,39,0,1,0.1282051282051282,0.06572609394788742,0.4135290997532698,0.12600953884399033,0.20000000298023224
11,856,-51.60690136586636,95.91742526739836,76,0,1,0.23684210526315788,0.017963310703635216,0.4462819114131363,0.13073388770537597,0.20000000298023224
12,1096,-128.82720452833348,130.6960193235427,240,0,0,0.10416666666666667,0.01759970188140869,0.23206674718142797,0.13521930249728306,0.19426369667053223
13,1133,-14.614878506947306,31.99395316839218,37,0,1,0.08108108108108109,0.08877220004796982,0.405241977524113,0.1396377972680866,0.1921236515045166
