episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,14,-15.12532005844993,43.491112887859344,14,0,1,0.5714285714285714,-0.0011165892938151956,0.8207937777042389,0.10127825403170927,0.20000000298023224
2,45,-11.258973092588391,22.60529936850071,31,0,1,0.03225806451612903,0.10499022156000137,0.3743644957580874,0.10258219696455083,0.20000000298023224
3,79,-22.97918403384436,38.956742972135544,34,0,1,0.14705882352941177,0.07044526189565659,0.46931596976869244,0.10411883602975229,0.20000000298023224
4,112,-6.676423203063575,42.25282110273838,33,0,1,0.18181818181818182,0.07313930243253708,0.49250973038601153,0.10594383740082608,0.20000000298023224
5,144,-12.189713895190039,55.692591547966,32,0,1,0.3125,-0.0023439161013811827,0.5528934858739376,0.10827278544628316,0.20000000298023224
6,165,-14.268964424604645,24.127462327480316,21,0,1,0.09523809523809523,0.0994706079363823,0.482260110832396,0.11078474947821691,0.20000000298023224
7,216,-38.34137263047216,107.81799729168415,51,0,1,0.45098039215686275,-0.0017126804450526834,0.6042744566996893,0.11395315449768813,0.20000000298023224
8,239,-12.886132786564257,36.452083960175514,23,0,1,0.21739130434782608,0.06275065988302231,0.584873215659805,0.1174805758740157,0.20000000298023224
9,256,-7.394703641614807,73.29243242740631,17,0,1,1.0,-5.9259833506075665e-05,0.8407313192591948,0.12271228595880354,0.20000000298023224
10,294,-12.40196845307471,35.028024919331074,38,0,1,0.10526315789473684,0.08859584480524063,0.39547433998239667,0.12786830560408002,0.20000000298023224
11,350,-43.45435372142753,44.09112848341465,56,0,1,0.08928571428571429,0.05026577040553093,0.3766272943466902,0.13288519505712318,0.20000000298023224
12,590,-168.7429005592525,110.04352895356715,240,0,0,0.075,0.017408832907676697,0.23351470397319646,0.13760549738950076,0.20000000298023224
13,640,-20.00719166267597,59.453974306583405,50,0,1,0.2,-0.007349834311753511,0.4290794861316681,0.1424093243483253,0.20000000298023224
14,880,-139.19139990392836,259.0716029666364,240,0,0,0.24166666666666667,0.045910533517599106,0.3544650123609851,0.1472376924653891,0.20000000298023224
15,936,-14.50616730475917,38.2202020958066,56,0,1,0.07142857142857142,0.09839502722024918,0.3253607517108321,0.15189089398102656,0.20000000298023224
16,1028,-22.266615964726725,162.11822794377804,92,0,1,0.34782608695652173,-0.004391223657876253,0.6317198689541091,0.15691751274666355,0.19826586544513702
17,1268,-90.1785012065158,59.11412812024355,240,0,0,0.0,0.13559295237064362,0.24630886716768147,0.16154095500760252,0.18453678488731384
18,1508,-27.904267867910136,214.77551629021764,240,0,0,0.18333333333333332,0.0660211443901062,0.3448979845425735,0.16610567414776584,0.17181694507598877
19,1531,-22.990382919584253,54.23455289006233,23,0,1,0.43478260869565216,-0.006403869017958641,0.705850125654884,0.17134616935027017,0.17064540088176727
20,1578,-10.138556893140201,67.68858364969492,47,0,1,0.2553191489361702,0.01803075335919857,0.5040124180786153,0.17676973110807156,0.16828389465808868
21,1603,-11.032505784670013,43.90267750620842,25,0,1,0.28,0.024696538224816322,0.5961071002483368,0.18252516832810706,0.16704128682613373
22,1654,-22.11375352297284,89.55919472873211,51,0,1,0.35294117647058826,-0.0025738158728927374,0.5403763672300413,0.1885958650080107,0.16453635692596436
23,1682,-19.077414503056755,62.13945871591568,28,0,1,0.42857142857142855,-0.013460030779242516,0.6478378112827029,0.1951976600452748,0.16318047046661377
24,1744,-18.12892058541821,37.0659039914608,62,0,1,0.06451612903225806,0.07096157222986221,0.27525651599130324,0.20149328391125199,0.16022533178329468
25,1763,-14.480325251721379,45.91880705952644,19,0,1,0.42105263157894735,-0.0005063915159553289,0.732568792606655,0.20840751624339154,0.1593313068151474
26,1807,-26.218606468135334,78.3401902243495,44,0,1,0.3409090909090909,-0.002556533319875598,0.5759134141897614,0.21559126639329174,0.1572834998369217
27,2047,-118.1152136717985,152.10622698627412,240,0,0,0.12916666666666668,0.0419449619948864,0.24627594577614217,0.222457717008585,0.14665211737155914
