step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,1,36,-1.030306586846641,3.8859331607818604,-27.7227073784267,60.114290684461594,0.8859331607818604,0.01000728365033865,0,0,0.10034043871858157,0.20000000298023224,100
200,100000,4,36,-0.043028445759237643,0.16698430478572845,-5.040309894175882,79.83196748793125,0.16698430478572845,0.26284927129745483,0,0,0.10487279269458567,0.20000000298023224,200
300,100000,4,136,-0.1175404037235994,0.14860442280769348,-19.187446061204195,90.36100453138351,0.14860442280769348,0.3305417597293854,0,0,0.10487279269458567,0.20000000298023224,300
400,100000,4,236,-0.761137662296373,0.03310595825314522,-45.26657020714428,99.9776135198772,0.03310595825314522,0.5177814364433289,0,0,0.10487279269458567,0.20000000298023224,400
500,100000,7,49,-0.2960085153717154,3.8316901326179504,-12.586970637316563,58.26993574202061,0.8316901326179504,0.026880795136094093,0,0,0.11237227578995251,0.20000000298023224,500
600,100000,10,5,-0.1573791740538448,0.3296048939228058,-1.3824928619153973,1.2794014662504196,0.3296048939228058,0.3971811830997467,0,0,0.1240218080890799,0.20000000298023224,600
700,100000,11,76,-0.1145763345441771,0.1533055603504181,-18.458174427535813,87.19944431819022,0.1533055603504181,0.5644464492797852,0,0,0.12852224380209915,0.20000000298023224,700
800,100000,14,37,-0.30323785554021726,0.19224810600280762,-12.490780172598768,6.181312125176191,0.19224810600280762,0.250897079706192,0,0,0.14236357030513158,0.20000000298023224,800
900,100000,16,32,-0.5420443020767541,0.06898835301399231,-15.001714541626827,2.120655160397291,0.06898835301399231,0.5057246088981628,0,0,0.15142074113996068,0.20000000298023224,900
1000,100000,16,132,-0.6571275051172825,0.1653522104024887,-78.35301084092963,25.44895787909627,0.1653522104024887,0.26902294158935547,0,0,0.15142074113996068,0.19993998110294342,1000
1100,100000,16,232,-1.5030100082944458,0.10611815005540848,-202.52571855568985,34.54189899004996,0.10611815005540848,0.3242100179195404,0,0,0.15142074113996068,0.1940276026725769,1100
1200,100000,19,8,-0.15025697140495395,0.1876358836889267,-1.680508785720812,1.4098672792315483,0.1876358836889267,0.37403517961502075,0,0,0.16538970168745928,0.1883040815591812,1200
1300,100000,20,80,-0.2196552953756884,0.08940913528203964,-6.681399426998469,100.48282490111887,0.08940913528203964,0.6113983988761902,0,0,0.17041018083602186,0.18279720842838287,1300
1400,100000,20,180,-0.3380189041413514,0.08691004663705826,-26.90513689024538,122.06152926571667,0.08691004663705826,0.3525964915752411,0,0,0.17041018083602186,0.1775199919939041,1400
1500,100000,21,40,-0.5312318293002499,3.852191746234894,-19.237889672719735,32.14532100409269,0.8521917462348938,0.08499950915575027,0,0,0.17516677693990518,0.1724022477865219,1500
1600,100000,24,12,-0.6033315389831114,0.41264069080352783,-8.077379579325676,3.9205653071403503,0.41264069080352783,0.2622721791267395,0,0,0.19033989076015412,0.16750118136405945,1600
1700,100000,24,112,-0.21287482938316038,0.06804810464382172,-44.38501735167674,87.22588985599577,0.06804810464382172,0.38906463980674744,0,0,0.19033989076015412,0.16277970373630524,1700
1800,100000,25,30,-0.8407252956674486,3.820716440677643,-25.39114274206027,62.32185009121895,0.8207164406776428,0.08030222356319427,0,0,0.1953035054591021,0.15820558369159698,1800
1900,100000,26,87,-0.3285060079311759,3.812807083129883,-26.758833101481827,75.18892123177648,0.8128070831298828,0.0833624079823494,0,0,0.20114334112353005,0.15378080308437347,1900
2000,100000,26,187,-0.4254067615308117,0.04880296811461449,-62.058997841280664,228.6778163984418,0.04880296811461449,0.44306057691574097,0,0,0.20114334112353005,0.14948582649230957,2000
