episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,23,-329.35447277986395,77.60608166456223,23,0,1,0.7391304347826086,-0.008594893850386143,0.8089600723722706,0.0,0.20000000298023224
2,52,-115.22808997187568,26.07398170232773,29,0,1,0.06896551724137931,0.09752827137708664,0.4163441966319906,0.0,0.20000000298023224
3,80,-192.47320973070043,44.28684709966183,28,0,1,0.25,0.05261218175292015,0.5459588249879224,0.0,0.20000000298023224
4,118,-125.16989209651496,29.884580954909325,38,0,1,0.05263157894736842,0.10090864449739456,0.4180152882870875,0.0,0.20000000298023224
5,143,-131.2830388830267,29.792319044470787,25,0,1,0.12,0.08855559676885605,0.5116927617788315,0.0,0.20000000298023224
6,171,-159.26888980896408,33.25725455582142,28,0,1,0.14285714285714285,0.08082067221403122,0.4734733769936221,0.0,0.20000000298023224
7,234,-601.1339861140433,141.11453318595886,63,0,1,0.49206349206349204,-0.0017492627957835793,0.636738621999347,0.0,0.20000000298023224
8,261,-176.06153540930958,40.893064111471176,27,0,1,0.2222222222222222,-0.001480305683799088,0.551594967091525,0.0,0.20000000298023224
9,501,-1038.8761724470132,227.13049939461052,240,0,0,0.23333333333333334,0.019048700109124184,0.2463770808108772,0.0,0.20000000298023224
10,552,-279.00270067633255,66.17525255680084,51,0,1,0.23529411764705882,0.06404250115156174,0.4348088736627616,0.0,0.20000000298023224
11,611,-206.23466081316587,40.67934335768223,59,0,1,0.05084745762711865,0.09899847954511642,0.40134480267258016,0.0,0.20000000298023224
12,640,-266.53694637322974,62.62123879790306,29,0,1,0.41379310344827586,-0.0066531081683933735,0.6421116826863125,0.0,0.20000000298023224
13,691,-264.3846894199039,60.85731913894415,51,0,1,0.19607843137254902,-0.007861689664423466,0.44818272821459115,0.0,0.20000000298023224
14,813,-1149.1828705505352,261.8054293356836,122,0,1,0.5081967213114754,0.029097387567162514,0.5557822076695376,0.0,0.20000000298023224
15,882,-313.3710882719142,74.2115935087204,69,0,1,0.18840579710144928,0.06893739849328995,0.39437092041623767,0.0,0.20000000298023224
16,1122,-543.7159492846262,119.57937945052981,240,0,0,0.08333333333333333,0.0688464343547821,0.24824741437720757,0.0,0.1928989589214325
17,1362,-1085.5958772759761,232.06519974768162,240,0,0,0.19583333333333333,0.05227583274245262,0.37943833228200674,0.0,0.180258646607399
18,1408,-203.61729600133492,49.63409672677517,46,0,1,0.15217391304347827,0.05817548558115959,0.4485673201472863,0.0,0.17796826362609863
