episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,69,-181.38754886776053,43.89109615236521,69,0,1,0.057971014492753624,0.09911470860242844,0.34624777032413345,0.0,0.20000000298023224
2,99,-314.69958169871694,70.51447761058807,30,0,1,0.4666666666666667,-0.005356794223189354,0.6838159203529358,0.0,0.20000000298023224
3,124,-202.99808319736024,44.04613447189331,25,0,1,0.28,0.03911825641989708,0.6018453788757324,0.0,0.20000000298023224
4,161,-244.1712549453366,57.911056101322174,37,0,1,0.2702702702702703,0.017791086807847023,0.5381366513870858,0.0,0.20000000298023224
5,401,-504.5716927345476,115.6194653827697,240,0,0,0.09583333333333334,0.042696043848991394,0.1942477724282071,0.0,0.20000000298023224
6,434,-397.1083290028107,92.4767455458641,33,0,1,0.6060606060606061,-0.0020953842904418707,0.741719561995882,0.0,0.20000000298023224
7,459,-191.24187182426522,43.64762815833092,25,0,1,0.28,-0.0011850798036903143,0.5859051263332367,0.0,0.20000000298023224
8,510,-377.2195283723436,91.87994846701622,51,0,1,0.37254901960784315,-0.0036345652770251036,0.5270578130787494,0.0,0.20000000298023224
9,554,-153.2430468316743,37.26477824151516,44,0,1,0.09090909090909091,0.08955473452806473,0.3923813236707991,0.0,0.20000000298023224
10,794,-871.4584465026804,210.43477380648255,240,0,0,0.18333333333333332,0.018473714590072632,0.32681155752701063,0.0,0.20000000298023224
11,821,-119.27065223645245,26.475094854831696,27,0,1,0.07407407407407407,0.09686502069234848,0.4620405501789517,0.0,0.20000000298023224
12,1061,-516.8506241647226,104.66295565851033,240,0,0,0.07083333333333333,0.04232307896018028,0.22359564857712635,0.0,0.19632300734519958
13,1099,-174.62045982616468,34.32565298676491,38,0,1,0.10526315789473684,0.04687910154461861,0.3769908680727607,0.0,0.19417698681354523
14,1100,19.124977135531893,0.22471973299980164,1,1,0,0.0,0.4211732745170593,0.22471973299980164,0.0,0.1941222995519638
15,1160,-202.2613899958871,44.160412557423115,60,0,1,0.06666666666666667,0.07744958251714706,0.40267354262371857,0.0,0.1909329891204834
16,1200,-221.9258523991627,54.28099972009659,40,0,1,0.225,-0.010607861913740635,0.4820249930024147,0.0,0.18881192803382874
17,1277,-218.01971685582976,47.220755614340305,77,0,1,0.07792207792207792,0.07935259491205215,0.2755942287576663,0.0,0.18460798263549805
18,1319,-294.4255451319328,61.977583192288876,42,0,1,0.2619047619047619,-0.000918274512514472,0.49946626648306847,0.0,0.18239270150661469
19,1347,-216.67710474211023,51.67568339407444,28,0,1,0.32142857142857145,-0.006638184655457735,0.5955601212169442,0.0,0.1809273213148117
20,1371,-119.21598221039237,28.157140284776688,24,0,1,0.125,0.09789345413446426,0.46488084519902867,0.0,0.17966927587985992
21,1611,-366.6759884275133,84.47173015214503,240,0,0,0.041666666666666664,0.10233397781848907,0.22696554230060428,0.0,0.16789819300174713
22,1655,-198.8430999254349,43.388446010649204,44,0,1,0.13636363636363635,0.043682392686605453,0.3951919547874819,0.0,0.16588996350765228
23,1696,-281.97344769146997,58.419725090265274,41,0,1,0.24390243902439024,-0.006773701403290033,0.49804207537232376,0.0,0.16406866908073425
24,1847,-509.4285244265615,131.1473747920245,151,1,0,0.17880794701986755,0.05778539180755615,0.33210181981473175,0.0,0.15756681561470032
25,1872,-180.33710214034767,39.98855309188366,25,0,1,0.24,0.0455249659717083,0.5595421236753464,0.0,0.15651556849479675
26,2112,-1124.9145235185779,213.759835742414,240,0,0,0.17083333333333334,0.02934303879737854,0.3781659822600583,0.0,0.14696316421031952
27,2352,-748.3624194448897,167.6711673848331,240,0,0,0.14166666666666666,0.05820038542151451,0.27362986410347123,0.0,0.1382029801607132
28,2376,-155.0490658055834,36.61403273046017,24,0,1,0.20833333333333334,0.06828878074884415,0.5672513637691736,0.0,0.13739633560180664
29,2389,-173.89350972504286,42.540419816970825,13,0,1,0.6153846153846154,0.014470776543021202,0.8108015243823712,0.0,0.13696898519992828
30,2629,-844.0381679088202,186.66822693869472,240,0,0,0.17083333333333334,0.020510127767920494,0.26528427891122797,0.0,0.1294359564781189
31,2696,-468.54765412429214,112.61399417370558,67,0,1,0.34328358208955223,-0.0008293261053040624,0.531552151846352,0.0,0.127407044172287
32,2730,-230.49677533970268,56.55011558532715,34,0,1,0.29411764705882354,-0.013203879818320274,0.5455916348625632,0.0,0.12641090154647827
33,2799,-287.1424274077764,56.66363923251629,69,0,1,0.11594202898550725,0.050161752849817276,0.35744404684806214,0.0,0.12441785633563995
34,2828,-149.42610014156702,33.647379606962204,29,0,1,0.13793103448275862,0.07564813643693924,0.4705992967918001,0.0,0.12359055131673813
35,2869,-207.40203963881643,46.925399869680405,41,0,1,0.17073170731707318,0.009741140529513359,0.4372048748702538,0.0,0.12240520864725113
36,2893,-335.9448770478689,78.05280846357346,24,0,1,0.7083333333333334,-0.0030828285962343216,0.7938670193155607,0.0,0.12173721939325333
37,2956,-671.6948484788504,164.61036285758018,63,0,1,0.6031746031746031,-0.009496113285422325,0.6763549659933362,0.0,0.11996758729219437
38,2988,-236.77061762353785,55.73474907875061,32,0,1,0.3125,-0.00892943236976862,0.5542109087109566,0.0,0.1190904751420021
39,3228,-395.87361362736357,15.79444020986557,240,0,0,0.0,0.42244991660118103,0.06581016754110654,0.0,0.11247285455465317
40,3468,-696.0012948858022,11.622839381918311,240,0,0,0.0,0.4164334833621979,0.04842849742465963,0.0,0.10586664825677872
41,3708,-617.3656837463283,11.554702347144485,240,0,0,0.0,0.28077223896980286,0.04814459311310202,0.0,0.0993354320526123
42,3948,-303.67126424900107,20.672693027183414,240,0,0,0.0,0.23423172533512115,0.08613622094659755,0.0,0.09314118325710297
43,4188,-410.4045261595098,34.94680223800242,240,0,0,0.0,0.19850365817546844,0.14561167599167674,0.0,0.08736487478017807
44,4428,-419.82070543836653,19.481808587908745,240,0,0,0.0,0.25657302141189575,0.08117420244961977,0.0,0.08184629678726196
45,4668,-285.03822376357544,28.04159417003393,240,0,0,0.0,0.21874110400676727,0.11683997570847472,0.0,0.07671848684549332
46,4908,-303.22700674503045,27.4014256503433,240,0,0,0.0,0.22222688794136047,0.11417260687643041,0.0,0.07210590690374374
47,5148,-211.21304616603115,23.62992249429226,240,0,0,0.0,0.21256622672080994,0.09845801039288442,0.0,0.06777109205722809
48,5388,-330.78735759266584,18.75976088270545,240,0,0,0.0,0.28710630536079407,0.07816567034460604,0.0,0.06375258415937424
49,5438,-89.06154445547449,20.94616162776947,50,0,1,0.0,0.15301565825939178,0.2589232325553894,0.0,0.06294799596071243
50,5510,-123.55980318990396,24.374403670430183,72,0,1,0.0,0.15641184151172638,0.22742227320041922,0.0,0.061799488961696625
51,5750,-479.4224596732626,48.155998438596725,240,0,0,0.0,0.13249774277210236,0.20064999349415302,0.0,0.05813037231564522
52,5990,-279.9178982105037,25.640823625028133,240,0,0,0.0,0.2460649311542511,0.10683676510428389,0.0,0.05470534786581993
53,6230,-377.10288408886987,38.38111860305071,240,0,0,0.0,0.15317067503929138,0.1599213275127113,0.0,0.0514729842543602
54,6470,-262.1886942905619,32.93361608684063,240,0,0,0.0,0.19476203620433807,0.13722340036183595,0.0,0.04851612448692322
55,6710,-245.65891423076684,35.06168540753424,240,0,0,0.0,0.13705752789974213,0.14609035586472602,0.0,0.04579174146056175
56,6950,-205.1119757694715,23.46357853151858,240,0,0,0.0,0.22471143305301666,0.09776491054799408,0.0,0.04326511174440384
