episode,seed,seed_manifest,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,0,4,1.2952876114411644,4.747834507375956,36,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05105222761631012,1.8,0.2044989913702011,0.08796462416648865,0.26219844818115234,0,0.0,0.3333333333333333,0.021961741828720842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022870517101878762,0.01793771744188335,0.1615379229770042,0.003542184863666383,0.00159272350396754,0.006015293971156805,0.06436534823539357,0.4585403982135985,0.0,0.8601319789886475,20.866580963134766,1,1,7,0.35000000000000003,0,0.022870517101878762,1,SERVO,direct_path,0.038751355023123324,0.11840840498916805,16,1,1,1,2,1,8,1,1,1,direct_path,0.07965704996604472,0,16,1.0,SUCCESS,0.6388888888888888,0.19444444444444445,0.027777777777777776,0.1388888888888889,0.0
1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,1,4,19.85934403868653,0.7202523220330477,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04917627573013306,1.1500000000000001,0.6320022940635681,0.02652482105338055,0.03596648573875427,0,0.0,0.6956521739130435,0.05898442007086509,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44605400753377156,0.019926960352281836,0.19943512801546603,0.003264417783255972,0.0014875440924104464,0.010226766692737685,0.10004089529747548,0.8104331376759902,0.0,1.2118052244186401,20.60007095336914,0,0,0,0.0,0,0.47220482785196216,1,SERVO,direct_path,0.03821472398703918,0.03821472398703918,16,1,1,1,1,0,0,1,1,1,direct_path,0.03821472398703918,0,16,1.0,SUCCESS,0.782608695652174,0.0,0.0,0.21739130434782608,0.0
2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,20.700161479854465,0.4852387607097626,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0497770830988884,0.8,0.619446873664856,0.027204964542761445,0.04020678997039795,0,0.0,0.1875,0.054366767424034165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4394183484616664,0.026082089312694734,0.2073045689612627,0.0040942780651676,0.001748526316077914,0.014175043696013745,0.1106006323825568,0.6127766240388155,0.0,1.3033943176269531,26.346052169799805,0,0,0,0.0,0,0.4394183484616664,1,SERVO,direct_path,0.06257829099195078,0.06257829099195078,16,1,1,1,1,0,0,1,1,1,direct_path,0.06257829099195078,0,16,1.0,SUCCESS,0.6875,0.0,0.0,0.3125,0.0
3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,3,4,10.794555394192349,2.136521717533469,41,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04828668758273125,2.0500000000000003,0.29729872941970825,0.03805617515633746,0.12904107570648193,0,0.0,0.5365853658536586,0.02404827192365085,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.11612482064695184,0.0233065699931325,0.24755432602250949,0.004984040707690505,0.0022667543423112208,0.008204272297983308,0.051425224011082474,0.6608276170928303,0.0,0.7575240731239319,14.70368480682373,0,0,0,0.0,0,0.11612482064695184,1,SERVO,direct_path,0.07969701301772147,0.07969701301772147,16,1,1,1,1,0,0,1,1,1,direct_path,0.07969701301772147,0,16,1.0,SUCCESS,0.8780487804878049,0.0,0.0,0.12195121951219512,0.0
4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,0,4,13.976430745463341,2.4968671947717667,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05001566559076309,1.1,0.27925336360931396,0.07660723020407287,0.14755728840827942,0,0.0,0.22727272727272727,0.04347343818692623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10142703013241627,0.01314631255015477,0.016625572985503823,0.0036003888182511382,0.0018667115893384273,0.002108276049098508,0.08343508289280263,0.5825541473247788,0.0,1.0352953672409058,19.87053871154785,0,0,0,0.0,0,0.10142703013241627,1,SERVO,direct_path,0.03531451296294108,0.03531451296294108,16,1,1,1,1,0,0,1,1,1,direct_path,0.03531451296294108,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,1,4,-191.2459545777415,38.77049446105957,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2744842767715454,12.0,0.32259222865104675,0.1073557585477829,0.1073557585477829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1472218018947355,0.011595917869999538,0.03996929503045976,0.0027704227773938327,0.0014265547426475678,0.0018016929665463977,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.025635338970459998,0.320216185064055,0,0,0,0,12,0,0,0,0,0,ik_not_found,0.025683478044811636,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-3.046692203089883,6.824472352862358,27,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04826050251722336,1.35,0.2741462290287018,0.17471974729387849,0.22127048671245575,0,0.0,0.37037037037037035,0.0421262058686795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08213063240744922,0.016358181778169063,0.044061924039851874,0.004884355921401746,0.0018961007461055284,0.0024053338932356347,0.07774670070244206,0.5815540761859329,0.0,0.9840498566627502,17.91091537475586,0,0,0,0.0,0,0.2569004528305386,1,SERVO,direct_path,0.059407243970781565,0.059407243970781565,16,1,1,1,1,0,0,1,1,1,direct_path,0.059407243970781565,0,16,1.0,SUCCESS,0.8148148148148148,0.0,0.0,0.18518518518518517,0.0
7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,3,4,20.422187563115568,0.855344083160162,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05093563348054886,0.9500000000000001,0.4026472866535187,0.03374734079759372,0.06236417964100838,0,0.0,0.21052631578947367,0.053194082668891265,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.22105235783513044,0.012169290205316716,0.017492012993898243,0.0032728169432007953,0.0016000136353173538,0.0021908451055519676,0.0954239617444967,0.5764536622323488,0.0,1.0912667512893677,20.04092025756836,0,0,0,0.0,0,0.22105235783513044,1,SERVO,direct_path,0.037850087974220514,0.037850087974220514,16,1,1,1,1,0,0,1,1,1,direct_path,0.037850087974220514,0,16,1.0,SUCCESS,0.7368421052631579,0.0,0.0,0.2631578947368421,0.0
8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,0,4,-11.091888027047109,8.78541848063469,27,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04963204264640808,1.35,0.23911072313785553,0.22517959166456153,0.30231723189353943,0,0.0,0.37037037037037035,0.05584710553809997,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.045502459455245,0.011776310225724484,0.01847840001573786,0.003198739475380905,0.0014985937720026683,0.0019247171865707194,0.09197332585851352,0.6833095556056058,0.0,1.1399940252304077,18.576520919799805,0,0,0,0.0,0,0.23868696282744178,1,SERVO,direct_path,0.04225490294629708,0.04225490294629708,16,1,1,1,1,0,0,1,1,1,direct_path,0.04225490294629708,0,16,1.0,SUCCESS,0.8148148148148148,0.0,0.0,0.18518518518518517,0.0
9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,1,4,20.254646570277103,0.6415091790258884,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05109374225139618,0.8500000000000001,0.5066314935684204,0.029794790617683354,0.03487514704465866,0,0.0,0.23529411764705882,0.053692733736802986,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.325181863493557,0.010690276826019673,0.013399173971265554,0.002772420001051882,0.0014262606444604257,0.0017239768777097412,0.10014903709730681,0.6212133063989527,0.0,1.1112099885940552,24.356266021728516,0,0,0,0.0,0,0.325181863493557,1,SERVO,direct_path,0.033778356038965285,0.033778356038965285,11,1,1,1,1,0,0,1,1,1,direct_path,0.033778356038965285,0,11,1.0,SUCCESS,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0
