episode,seed,seed_manifest,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,20.700161479854465,0.4852387607097626,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0497770830988884,0.8,0.619446873664856,0.027204964542761445,0.04020678997039795,0,0.0,0.1875,0.054366767424034165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4394183484616664,0.026082089312694734,0.2073045689612627,0.0040942780651676,0.001748526316077914,0.014175043696013745,0.1106006323825568,0.6127766240388155,0.0,1.3033943176269531,26.346052169799805,0,0,0,0.0,0,0.4394183484616664,1,SERVO,direct_path,0.06257829099195078,0.06257829099195078,16,1,1,1,1,0,0,1,1,1,direct_path,0.06257829099195078,0,16,1.0,SUCCESS,0.6875,0.0,0.0,0.3125,0.0
6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-3.046692203089883,6.824472352862358,27,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04826050251722336,1.35,0.2741462290287018,0.17471974729387849,0.22127048671245575,0,0.0,0.37037037037037035,0.0421262058686795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08213063240744922,0.016358181778169063,0.044061924039851874,0.004884355921401746,0.0018961007461055284,0.0024053338932356347,0.07774670070244206,0.5815540761859329,0.0,0.9840498566627502,17.91091537475586,0,0,0,0.0,0,0.2569004528305386,1,SERVO,direct_path,0.059407243970781565,0.059407243970781565,16,1,1,1,1,0,0,1,1,1,direct_path,0.059407243970781565,0,16,1.0,SUCCESS,0.8148148148148148,0.0,0.0,0.18518518518518517,0.0
10,9011,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,17.36534655048402,1.5216126330196857,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054893288761377335,1.1500000000000001,0.460588276386261,0.047398363766462906,0.06508231163024902,0,0.0,0.6521739130434783,0.0802801421008904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.281483885524541,0.013252883519390192,0.019824813993182033,0.0036178626545259485,0.001718743863697771,0.002102793429714992,0.12201845597313798,0.9657343626022339,0.0,1.4170804023742676,20.64915657043457,0,0,0,0.0,0,0.281483885524541,1,SERVO,direct_path,0.04576560796704143,0.04576560796704143,16,1,1,1,1,0,0,1,1,1,direct_path,0.04576560796704143,0,16,1.0,SUCCESS,0.8260869565217391,0.0,0.0,0.17391304347826086,0.0
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,14.306386596776141,1.7209005653858185,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054732464253902435,0.4,0.28755590319633484,0.1413335409015417,0.14517059922218323,0,0.0,0.125,0.024217533742621943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11130399419001777,0.011586915999941994,0.014199556957464665,0.0031232042456394993,0.0014437560021178797,0.0018522120008128695,0.08667687512934208,0.35649316012859344,0.0,0.9509596228599548,23.250411987304688,0,0,0,0.0,0,0.12379887618764718,1,SERVO,direct_path,0.037324231991078705,0.037324231991078705,16,1,1,1,1,0,0,1,1,1,direct_path,0.037324231991078705,0,16,1.0,SUCCESS,0.5,0.0,0.0,0.5,0.0
18,9019,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,14.349066862966605,2.200435046106577,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050399139523506165,0.8500000000000001,0.2440599501132965,0.08836624683702693,0.19275671243667603,0,0.0,0.4117647058823529,0.07964396860856918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06149266664303271,0.014202484823352493,0.018310258979909122,0.003912600818747545,0.0018441090634202257,0.002170577587094158,0.13456081138814197,0.8204133282689487,0.0,1.4669121503829956,26.682167053222656,0,0,0,0.0,0,0.06149266664303271,1,SERVO,direct_path,0.06454514700453728,0.06454514700453728,16,1,1,1,1,0,0,1,1,1,direct_path,0.06454514700453728,0,16,1.0,SUCCESS,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0
22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-28.35668684523437,11.936522714793682,38,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054989103227853775,1.9000000000000001,0.24563941359519958,0.23485973957729966,0.3279745280742645,0,0.0,0.42105263157894735,0.04064174132912924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05648018229254986,0.013460757972145649,0.020632503961678594,0.003726112524562172,0.001725282843261467,0.0022377334780206808,0.07397782111442402,0.7804717711712185,0.0,0.9751576781272888,16.4945125579834,0,0,0,0.0,0,0.49856028813143016,1,SERVO,direct_path,0.05233321100240573,0.05233321100240573,16,1,1,1,1,0,0,1,1,1,direct_path,0.05233321100240573,0,16,1.0,SUCCESS,0.8947368421052632,0.0,0.0,0.10526315789473684,0.0
26,9027,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-337.5416913971978,81.57986983656883,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.15919549763202667,12.0,0.23995441198349,0.21188743074114125,0.4137946665287018,0,0.0,0.9666666666666667,0.24957592115781618,0.0,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.0,0.0,0.03174288374501033,0.014985320470683898,0.06936759903328493,0.0034811165246840877,0.001615870449556193,0.002007847833253133,0.24601420845331934,0.36470709505180515,0.0,2.090902328491211,51.05741500854492,1,1,119,5.95,0,0.20013563998893585,1,TRACK,direct_path,0.030474376981146634,0.4750142738339491,9,1,1,1,12,11,48,1,1,1,direct_path,0.05173821997595951,0,4,1.0,FILTER_STOP_TIMEOUT,0.8,0.15416666666666667,0.04583333333333333,0.0,0.0
30,9031,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-4.379988703401011,6.880195826292038,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050734374672174454,0.9500000000000001,0.24667751789093018,0.2550511630742173,0.31103527545928955,0,0.0,0.3157894736842105,0.05827966557997598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06161799287746769,0.010845913156548417,0.01501792500494048,0.0028598479938840397,0.0014115034688362165,0.0018945197868896159,0.10413358595810439,0.6530101267915023,0.0,1.2209994792938232,23.074644088745117,0,0,0,0.0,0,0.23734381780045366,1,SERVO,direct_path,0.038126136001665145,0.038126136001665145,16,1,1,1,1,0,0,1,1,1,direct_path,0.038126136001665145,0,16,1.0,SUCCESS,0.7368421052631579,0.0,0.0,0.2631578947368421,0.0
34,9035,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,19.632526912663337,0.46471336856484413,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053886909037828445,0.5,0.5634703636169434,0.04185828678309918,0.04675184562802315,0,0.0,0.2,0.03724390551073408,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3905939504877233,0.01183427069336176,0.017746352998074144,0.003334793500835076,0.0014987132919486613,0.0018126751063391566,0.08773952759802342,0.41584601402282717,0.0,0.9863089919090271,23.25100326538086,0,0,0,0.0,0,0.3905939504877233,1,SERVO,direct_path,0.03489112202078104,0.03489112202078104,16,1,1,1,1,0,0,1,1,1,direct_path,0.03489112202078104,0,16,1.0,SUCCESS,0.6,0.0,0.0,0.4,0.0
38,9039,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,9.252980373445855,2.978633463382721,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05060633644461632,0.4,0.2586589455604553,0.2549339160323143,0.2994726002216339,0,0.0,0.375,0.04893574803694532,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06857781657408893,0.010403280255559366,0.011170157988090068,0.0027522105010575615,0.001350003993138671,0.001740078761940822,0.14597965171560645,0.6350782737135887,0.0,1.5820708274841309,37.3465690612793,0,0,0,0.0,0,0.13580445617032177,1,SERVO,direct_path,0.035655657993629575,0.035655657993629575,16,1,1,1,1,0,0,1,1,1,direct_path,0.035655657993629575,0,16,1.0,SUCCESS,0.375,0.0,0.0,0.625,0.0
42,9043,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-5.680873322326349,7.414110891520977,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054999761283397675,1.1500000000000001,0.27966007590293884,0.25212073050763295,0.3066500127315521,0,0.0,0.21739130434782608,0.041546523089091576,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07895492764006029,0.011164187524548692,0.018136852013412863,0.002994713077382387,0.0014447694715193431,0.001718086643529165,0.07921433635056019,0.5555103181496911,0.0,0.992046594619751,19.990367889404297,0,0,0,0.0,0,0.36844075942448795,1,SERVO,direct_path,0.039467973983846605,0.039467973983846605,16,1,1,1,1,0,0,1,1,1,direct_path,0.039467973983846605,0,16,1.0,SUCCESS,0.8260869565217391,0.0,0.0,0.17391304347826086,0.0
46,9047,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,17.287706017894173,1.5915464237332344,29,1,0,0,0,0,0,,any,0,0,,,nan,0,0.048476990312337875,1.4500000000000002,0.3396918475627899,0.039384942373325085,0.09508153796195984,0,0.0,0.10344827586206896,0.031051505147305005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15421791986611721,0.012847606893548549,0.018253444985020906,0.0036468727570348257,0.001642713646388388,0.001981354101785812,0.05846115914655143,0.5466905082094258,0.0,0.7773357629776001,16.441043853759766,0,0,0,0.0,0,0.15421791986611721,1,SERVO,direct_path,0.04059687099652365,0.04059687099652365,16,1,1,1,1,0,0,1,1,1,direct_path,0.04059687099652365,0,16,1.0,SUCCESS,0.8275862068965517,0.0,0.0,0.1724137931034483,0.0
50,9051,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,19.57389567972837,0.9092255905270576,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05491359904408455,0.9500000000000001,0.48533952236175537,0.03540353222112907,0.03874627500772476,0,0.0,0.47368421052631576,0.052291537301276836,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.31141101969138246,0.012919419996538445,0.016067632008343935,0.003740488055260166,0.001642884416995864,0.00199053468685107,0.09435595532781199,0.6279237568378448,0.0,1.1287846565246582,21.215391159057617,0,0,0,0.0,0,0.31141101969138246,1,SERVO,direct_path,0.05620806303340942,0.05620806303340942,16,1,1,1,1,0,0,1,1,1,direct_path,0.05620806303340942,0,16,1.0,SUCCESS,0.7894736842105263,0.0,0.0,0.21052631578947367,0.0
54,9055,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,15.20495090144075,2.113711651414633,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.051342807710170746,1.1,0.5096363425254822,0.08357200382108038,0.13791874051094055,0,0.0,0.2727272727272727,0.07456958789399638,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3115230945585935,0.01387452250029045,0.019330926006659865,0.003950406270715493,0.0017950797231275249,0.0020876264977480537,0.10981241080232641,1.0400852127508684,0.0,1.3116226196289062,19.78119468688965,0,0,0,0.0,0,0.5123781054196573,1,SERVO,direct_path,0.05379341496154666,0.05379341496154666,16,1,1,1,1,0,0,1,1,1,direct_path,0.05379341496154666,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
58,9059,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,18.050639698918186,1.2648664340376854,31,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05046592280268669,1.55,0.35509732365608215,0.030396000211758,0.08542561531066895,0,0.0,0.7419354838709677,0.09468122328824662,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17198021013309156,0.014948383195235605,0.020071603008545935,0.0041453857744683425,0.002173706937971855,0.002179789683601308,0.0945864423298307,1.0138661092327488,0.0,1.1775468587875366,16.794389724731445,0,0,0,0.0,0,0.17198021013309156,1,SERVO,direct_path,0.05074139195494354,0.05074139195494354,14,1,1,1,1,0,0,1,1,1,direct_path,0.05074139195494354,0,14,1.0,SUCCESS,0.8387096774193549,0.0,0.0,0.16129032258064516,0.0
62,9063,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,12.261285643929382,2.4507203213870525,32,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054636240005493164,1.6,0.2994346022605896,0.05173137888778001,0.12702809274196625,0,0.0,0.28125,0.051988862655807044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11840899575987887,0.01563787403574679,0.022367107041645795,0.004300879567381344,0.002082988401525654,0.0024577941876486875,0.0892130269203335,0.864418663084507,0.0,1.119665503501892,17.085771560668945,0,0,0,0.0,0,0.11840899575987887,1,SERVO,direct_path,0.04923450399655849,0.04923450399655849,15,1,1,1,1,0,0,1,1,1,direct_path,0.04923450399655849,0,15,1.0,SUCCESS,0.875,0.0,0.0,0.125,0.0
66,9067,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-35.39845579758095,14.753734350204468,38,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05415158346295357,1.9000000000000001,0.22754791378974915,0.26327564488900335,0.39327681064605713,0,0.0,0.6052631578947368,0.1725657313701103,0.0,0.0,0.0,0.0,0.0,0.9736842105263158,0.0,0.0,0.0,0.03670387473139172,0.01597064792019266,0.07002595398807898,0.003893831761639663,0.0017859708444264374,0.002148610875194304,0.1718738254613096,0.5266372569297489,0.0,1.7358757257461548,36.105064392089844,1,1,14,0.7000000000000001,0,0.24890445311124032,1,SERVO,direct_path,0.05430761002935469,0.11461292102467269,16,1,1,1,2,1,8,1,1,1,direct_path,0.060305310995317996,0,16,1.0,SUCCESS,0.5526315789473685,0.15789473684210525,0.02631578947368421,0.2631578947368421,0.0
70,9071,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,19.668727599399702,1.1142775639891624,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05111588537693024,1.1,0.37256112694740295,0.03722560600462285,0.07587869465351105,0,0.0,0.45454545454545453,0.05060016980012634,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.18805943162035604,0.014539723234272307,0.02070977701805532,0.004067280001684346,0.00195256349186159,0.0021773859096521683,0.0901584994386543,0.6657933565703306,0.0,1.0567898750305176,20.791044235229492,0,0,0,0.0,0,0.18805943162035604,1,SERVO,direct_path,0.06537771498551592,0.06537771498551592,16,1,1,1,1,0,0,1,1,1,direct_path,0.06537771498551592,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
74,9075,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,20.229563592004233,0.7623265292495489,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05116403102874756,0.9,0.42547523975372314,0.03186824679788616,0.05414804816246033,0,0.0,0.16666666666666666,0.049999949043016266,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.24114192514763289,0.012873390896452798,0.019619007012806833,0.003565045002485729,0.0016114132821611646,0.002083310941492932,0.08064171868479914,0.4778551268908713,0.0,0.8752872943878174,17.157724380493164,0,0,0,0.0,0,0.24114192514763289,1,SERVO,direct_path,0.04024440702050924,0.04024440702050924,16,1,1,1,1,0,0,1,1,1,direct_path,0.04024440702050924,0,16,1.0,SUCCESS,0.7222222222222222,0.0,0.0,0.2777777777777778,0.0
78,9079,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,19.505065077817527,0.9719462804496288,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0503767654299736,0.9,0.5126213431358337,0.044025604302684464,0.09579349309206009,0,0.0,0.2222222222222222,0.05452554889650705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3330467114463004,0.013273915783631511,0.017032708041369915,0.0036446149525646535,0.0017771974445268926,0.00205421250171235,0.09925433558722337,0.5610924892955356,0.0,1.1272817850112915,23.34290885925293,0,0,0,0.0,0,0.37332490550182407,1,SERVO,direct_path,0.0614121769904159,0.0614121769904159,16,1,1,1,1,0,0,1,1,1,direct_path,0.0614121769904159,0,16,1.0,SUCCESS,0.7222222222222222,0.0,0.0,0.2777777777777778,0.0
82,9083,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-1.698868192025337,6.453690551221371,22,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05012659728527069,1.1,0.26649609208106995,0.21607631614262407,0.26737236976623535,0,0.0,0.2727272727272727,0.05159726209930424,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.07635361980357547,0.01299271317177706,0.016869856975972652,0.0036337433716239916,0.0016792579157150942,0.0020491086417512797,0.0866079909557646,0.5876261639324102,0.0,1.0105868577957153,17.803564071655273,0,0,0,0.0,0,0.2328678041319725,1,SERVO,direct_path,0.06993632501689717,0.06993632501689717,16,1,1,1,1,0,0,1,1,1,direct_path,0.06993632501689717,0,16,1.0,SUCCESS,0.7727272727272727,0.0,0.0,0.22727272727272727,0.0
86,9087,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,14.698883990205148,2.2900587432086468,25,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05497346445918083,1.25,0.3095855116844177,0.06163937911391258,0.1268317997455597,0,0.0,0.28,0.04795092005195468,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13050272668511487,0.014539977204985916,0.021236841042991728,0.004192799036391079,0.001859142119064927,0.0021061700768768787,0.08766641467809677,0.6509113562107086,0.0,1.0848684310913086,18.754608154296875,0,0,0,0.0,0,0.13592231624189877,1,SERVO,direct_path,0.03920206299517304,0.03920206299517304,16,1,1,1,1,0,0,1,1,1,direct_path,0.03920206299517304,0,16,1.0,SUCCESS,0.84,0.0,0.0,0.16,0.0
90,9091,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,13.653786486084979,2.1619366109371185,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049027055501937866,0.7000000000000001,0.4155304729938507,0.12784525698849133,0.17493949830532074,0,0.0,0.2857142857142857,0.06988874268639005,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.2337839566594408,0.011369988222473435,0.017267719958908856,0.0033223893468467785,0.001395350509223395,0.0017614761433963264,0.1268695920173611,0.6684691650526864,0.0,1.383819818496704,29.155323028564453,0,0,0,0.0,0,0.33820500381210844,1,SERVO,direct_path,0.036839884996879846,0.036839884996879846,16,1,1,1,1,0,0,1,1,1,direct_path,0.036839884996879846,0,16,1.0,SUCCESS,0.6428571428571429,0.0,0.0,0.35714285714285715,0.0
94,9095,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.013228460099344374,0.06052454101154581,0.0032468869069513556,0.0015759547209502974,0.0019321049733359056,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.04438350099371746,0.41403648909181356,0,0,0,0,12,0,0,0,0,0,ik_not_found,0.04688015696592629,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
98,9099,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,18.622785121595882,1.4298315159976482,23,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05119612440466881,1.1500000000000001,0.32606223225593567,0.04352480116421762,0.1047215536236763,0,0.0,0.2608695652173913,0.052336376988119965,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.140003789975641,0.011392016922953822,0.015254884958267212,0.0031415536473302736,0.0014173373397763657,0.001793027789655911,0.08696547231596449,0.5762533305779748,0.0,1.0549834966659546,19.42459487915039,0,0,0,0.0,0,0.140003789975641,1,SERVO,direct_path,0.03724708402296528,0.03724708402296528,16,1,1,1,1,0,0,1,1,1,direct_path,0.03724708402296528,0,16,1.0,SUCCESS,0.782608695652174,0.0,0.0,0.21739130434782608,0.0
102,9103,configs/experiments/reaching_recovery/manifests/v1_final.json,2,4,1.325955002604946,5.192363113164902,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050020862370729446,0.65,0.22995933890342712,0.2612404456505409,0.31019464135169983,0,0.0,0.3076923076923077,0.0690699835776211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04132603780244515,0.014233921461989386,0.01762306096497923,0.00395210422665024,0.0018914662382135598,0.0021415769319551494,0.13562227928867707,0.714590311050415,0.0,1.5102282762527466,30.966707229614258,0,0,0,0.0,0,0.07716509992028192,1,SERVO,direct_path,0.05091185704804957,0.05091185704804957,16,1,1,1,1,0,0,1,1,1,direct_path,0.05091185704804957,0,16,1.0,SUCCESS,0.6153846153846154,0.0,0.0,0.38461538461538464,0.0
