episodes,mean_reward,success_rate,collision_rate,physical_contact_rate,capsule_overlap_rate,safety_violation_rate,mean_final_position_error,mean_min_distance,step,checkpoint,validation_csv,selected,selection_metric,validation_seed,validation_seed_manifest
40.0,-39.342577276291365,0.825,0.0,0.0,0.0,0.0,0.09228804716840386,0.34633599519729613,10000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_10000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_10000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-42.1425036274422,0.775,0.0,0.0,0.0,0.0,0.09406420271843671,0.34615497328341005,20000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_20000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_20000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-39.50228440215567,0.825,0.0,0.0,0.0,0.0,0.09300925014540554,0.34583531096577647,30000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_30000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_30000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-39.32591568920244,0.825,0.0,0.0,0.0,0.0,0.09091151775792242,0.3460397977381945,40000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_40000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_40000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.85258534910855,0.825,0.0,0.0,0.0,0.0,0.09078865898773074,0.34650792106986045,50000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_50000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_50000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-40.98652903992566,0.8,0.0,0.0,0.0,0.0,0.09321233108639718,0.34542702287435534,60000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_60000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_60000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.79612926486154,0.825,0.0,0.0,0.0,0.0,0.09141752198338508,0.34548161551356316,70000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_70000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_70000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.982232119677874,0.825,0.0,0.0,0.0,0.0,0.09030143711715936,0.3424223311245441,80000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_80000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_80000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-39.172975805553904,0.825,0.0,0.0,0.0,0.0,0.09111326830461622,0.342932290956378,90000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_90000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_90000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.809612336734766,0.825,0.0,0.0,0.0,0.0,0.09026058642193675,0.34532093703746797,100000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_100000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_100000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.70222854878034,0.825,0.0,0.0,0.0,0.0,0.09213876035064458,0.34482670575380325,110000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_110000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_110000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.84544003908641,0.825,0.0,0.0,0.0,0.0,0.091391477920115,0.34555641263723375,120000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_120000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_120000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.91327703580207,0.825,0.0,0.0,0.0,0.0,0.09095939248800278,0.3460941106081009,130000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_130000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_130000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.6663091715471,0.825,0.0,0.0,0.0,0.0,0.09225352527573705,0.34777842126786707,140000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_140000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_140000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-39.35673888592631,0.825,0.0,0.0,0.0,0.0,0.09235299862921238,0.34688544273376465,150000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_150000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_150000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-39.04409742709065,0.825,0.0,0.0,0.0,0.0,0.089781682100147,0.3459655039012432,160000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_160000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_160000_v1_validation_episodes_40.csv,1,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.78988377325616,0.825,0.0,0.0,0.0,0.0,0.09082313776016235,0.3470245681703091,170000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_170000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_170000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-41.09339708484573,0.8,0.0,0.0,0.0,0.0,0.09209479577839375,0.34588969983160495,180000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_180000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_180000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-40.0955147565713,0.8,0.0,0.0,0.0,0.0,0.09159455625340343,0.3471818771213293,190000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_190000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_190000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.66382283562193,0.825,0.0,0.0,0.0,0.0,0.09169536102563143,0.3461536344140768,200000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_200000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_200000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.28540086840203,0.825,0.0,0.0,0.0,0.0,0.09096078621223569,0.34756668098270893,210000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_210000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_210000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.661964214872995,0.825,0.0,0.0,0.0,0.0,0.09080410543829202,0.3479115966707468,220000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_220000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_220000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.50663405501488,0.825,0.0,0.0,0.0,0.0,0.09124348200857639,0.3475026566535234,230000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_230000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_230000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.27708828115692,0.825,0.0,0.0,0.0,0.0,0.09290803400799633,0.3468101967126131,240000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_240000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_240000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.23335942713587,0.825,0.0,0.0,0.0,0.0,0.09131792346015573,0.3474940899759531,250000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_250000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_250000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.638268133623775,0.825,0.0,0.0,0.0,0.0,0.0922603235580027,0.34657491408288477,260000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_260000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_260000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.25833421775118,0.825,0.0,0.0,0.0,0.0,0.09111122135072947,0.3465251255780458,270000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_270000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_270000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.46981855875085,0.825,0.0,0.0,0.0,0.0,0.09057853277772665,0.3476300496608019,280000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_280000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_280000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.67618973012153,0.825,0.0,0.0,0.0,0.0,0.0907283085398376,0.3460987973958254,290000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_290000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_290000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-38.6309587053435,0.825,0.0,0.0,0.0,0.0,0.09058006992563605,0.3475132163614035,300000,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/actor_step_300000.pt,outputs/hierarchical/s1_static/seed_4302/hierarchical_residual_seed4302_steps300000/checkpoint_selection/step_300000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
