episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,task_space_mean_requested_toward_goal_mps,task_space_mean_executed_toward_goal_mps,task_space_mean_filter_velocity_loss_mps,task_space_positive_error_delta_rate,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-191.2459545777415,38.77049446105957,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2744842767715454,12.0,0.32259222865104675,0.1073557585477829,0.1073557585477829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1472218018947355,0.022673931041208562,0.3200662439921871,0.0031912492122501135,0.0015614264829006666,0.0025126020414366697,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.18408701091539115,2.6847369039896876,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.1753473710268736,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-594.0686971949962,65.10531544685364,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.8337456583976746,12.0,0.21860940754413605,0.1756779418637355,0.24070796370506287,0,0.0,0.625,0.010886456894082968,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.03947562274174557,0.021844478253236353,0.317807727959007,0.0029688308330757234,0.0014958463565562853,0.001746091546859437,0.002588727892364835,0.0,0.0,nan,0.004387099038278354,-0.005037006583294317,0.22916666666666666,0.15841901302337646,4.08688497543335,1,1,9,0.45,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.22237113304436207,2.8816963500576094,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.25895528495311737,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-335.8983212559836,80.67394590377808,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.1392875462770462,12.0,0.21438045799732208,0.23869634149596095,0.4040747582912445,0,0.0,0.7791666666666667,0.2916723945804293,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.036999521280624115,0.023786065499007237,0.6129105030559003,0.00243294283184999,0.0011320208383646484,0.001468382494931575,0.26260954392976904,0.7343613111103574,0.0,nan,0.03278002675606691,0.05492686547759972,0.5916666666666667,2.3910717964172363,75.47318267822266,1,1,115,5.75,0,0.2784192015832014,1,SERVO,direct_path,0.4929851619526744,4.188535260036588,36,1,1,1,7,1.084618014167484,0.13226564228534698,0.00021555266574155982;0.001719396768554615;0.0035572110381848327;0.001827489926801287;0.005928238252448932;0.007851843852559078;0.007563193275184009;0.005909149018783188;0.005738881377148213;0.002608132473831904;0.00509151360871718;0.008683685920345912;0.004863836876154784;0.006474715736830309;0.0061564420862547636;0.001992005748640569;0.0034011129258763105;0.006763026681924204;0.007603692567366746;0.0014728383652787762;0.0037110126290593524;0.004453581461018894;0.005157244186051929;0.005782130925248238;0.008637081898887889;0.0011949699165838548;0.0015670412302208143;0.0035897075486166575;0.003037742161532899;0.0059315644496922655;0.00530166351445072;0.0037555233495711934;0.004204989361035973;0.009209456937912685;0.006298463609636549;0.004534689851434378,0.12802031636238098;0.12727846205234528;0.1254665106534958;0.1266930103302002;0.12801097333431244;0.1252973973751068;0.12475552409887314;0.13226564228534698;0.12252984195947647;0.1256476640701294;0.12366548925638199;0.12193872779607773;0.12374017387628555;0.12740150094032288;0.1301087737083435;0.1292238086462021;0.12901420891284943;0.1261875331401825;0.12361139804124832;0.12778158485889435;0.12979738414287567;0.12978670001029968;0.12496798485517502;0.1281815469264984;0.12440786510705948;0.1279759258031845;0.127765491604805;0.12778978049755096;0.1254478543996811;0.12240266054868698;0.13193657994270325;0.12778674066066742;0.12935715913772583;0.12370867282152176;0.12221197038888931;0.13223177194595337,0.9767030942795114,filtered,115,2,8,7,32,1,1,0,rrt_connect,0.7623525490052998,1,9,1.0,FILTER_STOP_TIMEOUT,0.25,0.1125,0.0,0.6375,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-322.76888400101177,34.81306314468384,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.618325412273407,12.0,0.33401593565940857,0.0989634320139885,0.0989634320139885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16153966823522514,0.0183366887717663,0.28370228793937713,0.002459488895450098,0.0012564938850118778,0.001512594221761295,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.20977730897720903,2.3718529430916533,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.15555658005177975,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.019376016041981834,0.23745651496574283,0.0026176089745907423,0.0013570738810813054,0.0016102078719995917,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.22681459598243237,2.5186310618883,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.20320511190220714,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-203.7987430085991,17.7226585149765,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5262051820755005,12.0,0.43318796157836914,0.05170707777142525,0.05170707777142525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2566351642715701,0.01912835476832697,0.2506531390827149,0.0025543648123857567,0.001315442458629453,0.0015682567653129808,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.20070169994141906,2.518396050785668,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2071619170019403,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-375.1683816331788,15.058351688086987,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.810051679611206,12.0,0.4552517235279083,0.04527924093417823,0.04553133621811867,0,0.0,0.6208333333333333,0.0014132586270447908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28049618741071725,0.02125843088676144,0.2730611980659887,0.002872183392173611,0.0014642586373762847,0.0017691838220343925,0.0005686250081421319,0.0,0.0,nan,0.0005425430790472822,-0.0005425430790472822,0.975,0.03791932761669159,1.1252813339233398,0,0,0,0.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.20954184094443917,2.871317617013119,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.3280905910069123,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-283.797837378758,13.042271733283997,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.6946653127670288,12.0,0.48032665252685547,0.0397619865834713,0.0397619865834713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30488075274866516,0.017178936181881,0.1937704790616408,0.0025198405225334377,0.0013069322303636,0.0015854528367829819,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.16115918301511556,2.035286058089696,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.17364822491072118,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-219.7554873833547,12.249937355518341,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5964403748512268,12.0,0.48904097080230713,0.038023050874471664,0.038023050874471664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31538024944972776,0.01689841644789946,0.17925676598679274,0.002530051624247183,0.001292753729406589,0.0015985862123973978,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.1627069580135867,2.006502340082079,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.217316500027664,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_v2,,,-153.7016033388045,10.157325267791748,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4853527545928955,12.0,0.525179922580719,0.03201954811811447,0.03201954811811447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485488237623142,0.020562086329543188,0.27286813501268625,0.002738078274705913,0.001417978284007404,0.0017511855699315977,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.2110823190305382,2.667610967066139,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.20583487895783037,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
