episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,task_space_mean_requested_toward_goal_mps,task_space_mean_executed_toward_goal_mps,task_space_mean_filter_velocity_loss_mps,task_space_positive_error_delta_rate,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-191.2459545777415,38.77049446105957,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2744842767715454,12.0,0.32259222865104675,0.1073557585477829,0.1073557585477829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1472218018947355,0.020506025484549658,0.2951545959804207,0.00309695072840744,0.001644858589861542,0.0026560740390171606,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.17335002298932523,2.556545121828094,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2297431459883228,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-735.3229873112308,90.74118110537529,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.8807905912399292,12.0,0.21443785727024078,0.24250570368021726,0.24254457652568817,0,0.0,0.7,0.0010059964664928805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.038393196969264465,0.020716440494773756,0.34975363104604185,0.002863445059241106,0.0014914500910284307,0.0017098741407001702,0.0004044890058516526,0.0,0.0,nan,0.00046024270873461936,-0.00046024270873461936,0.9875,0.02697100304067135,0.8002017140388489,0,0,0,0.0,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.1935571909416467,3.069059870671481,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.31403386290185153,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-362.8934264250828,92.1653541624546,209,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05433168262243271,10.450000000000001,0.1625344604253769,0.3088679494398633,0.4305303394794464,0,0.0,0.35406698564593303,0.10388945419219331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004784688995215311,-8.40746752477084e-06,0.04698776204303869,0.580880144960247,0.0024291262243379746,0.0012885347330657561,0.0015404732935754449,0.10486972659795797,0.27575634042041725,0.0,nan,0.04599754660294978,0.022246366425133016,0.7511961722488039,1.6128805875778198,51.75850296020508,0,0,0,0.0,0,0.2784192015832014,1,SERVO,direct_path,0.3544494300149381,8.789845801191404,16,1,1,1,1,1.2203110054110862,0.1292330026626587,0.0040586060252733305;0.0053369928467518766;0.007731292506393742;0.00743783759013531;0.005535297033031814;0.006516372640091933;0.003412052207534315;0.009124727236248208;0.0023715033910382925;0.0025991110738142254;0.004965357210001066;0.008492889065102708;0.0048455001685215595;0.0035111301883857023;0.0068219053651122075;0.0067248209180375265,0.12638923525810242;0.1292330026626587;0.12405183166265488;0.12211807817220688;0.12512682378292084;0.1219988688826561;0.12519557774066925;0.12053125351667404;0.12802539765834808;0.1270577609539032;0.1266516000032425;0.12097062915563583;0.12769031524658203;0.12666988372802734;0.12326087802648544;0.12415761500597,0.94283824935964,filtered,7,1,22,21,187,1,1,0,rrt_connect,0.6499917700421065,1,9,1.0,SUCCESS,0.20574162679425836,0.6698564593301436,0.0,0.12440191387559808,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-322.76888400101177,34.81306314468384,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.618325412273407,12.0,0.33401593565940857,0.0989634320139885,0.0989634320139885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16153966823522514,0.018459949126311888,0.42816607700660825,0.0025108387257205323,0.0013141903735231608,0.0015051202562365992,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.18901468405965716,2.7066378220915794,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2133001140318811,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.018747799209086223,0.2853740950813517,0.0026239204768595905,0.0013788657612167298,0.0016074819922020347,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.21174782409798354,2.7013081930344924,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2561983569758013,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-203.7987430085991,17.7226585149765,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5262051820755005,12.0,0.43318796157836914,0.05170707777142525,0.05170707777142525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2566351642715701,0.021266843534249347,0.34013992897234857,0.0030965576637148238,0.001643035492937391,0.0018460044360836037,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.24202254100237042,2.921617034706287,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.22892198897898197,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-375.1683816331788,15.058351688086987,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.810051679611206,12.0,0.4552517235279083,0.04527924093417823,0.04553133621811867,0,0.0,0.6208333333333333,0.0014132586270447908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28049618741071725,0.022848664823686703,0.36025400389917195,0.0031340188351653827,0.00163043225184083,0.0019347040424084602,0.0005686250081421319,0.0,0.0,nan,0.0005425430790472822,-0.0005425430790472822,0.975,0.03791932761669159,1.1252813339233398,0,0,0,0.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.2262469179695472,3.330764646292664,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2781888269819319,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-283.797837378758,13.042271733283997,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.6946653127670288,12.0,0.48032665252685547,0.0397619865834713,0.0397619865834713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30488075274866516,0.017789060169889126,0.291138808010146,0.0027425144789352393,0.0014364310627570376,0.0016636726708384232,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.18157650099601597,2.367892623064108,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.22525402600876987,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-219.7554873833547,12.249937355518341,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5964403748512268,12.0,0.48904097080230713,0.038023050874471664,0.038023050874471664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31538024944972776,0.01875477301121767,0.296139633981511,0.0028317706048255785,0.0015009770014633736,0.001720969960539757,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.17307874094694853,2.588567318045534,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2967023740056902,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_filter_only_diag_v1,,,-153.7016033388045,10.157325267791748,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4853527545928955,12.0,0.525179922580719,0.03201954811811447,0.03201954811811447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485488237623142,0.02076810818252852,0.3156527900137007,0.0028784570885666957,0.0015415253529984815,0.0017985835351282732,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.30540410603862256,2.9639689138857648,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.25271122599951923,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
