episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,task_space_mean_requested_toward_goal_mps,task_space_mean_executed_toward_goal_mps,task_space_mean_filter_velocity_loss_mps,task_space_positive_error_delta_rate,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,0,4,-191.2459545777415,38.77049446105957,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2744842767715454,12.0,0.32259222865104675,0.1073557585477829,0.1073557585477829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1472218018947355,0.01828664417262189,0.25761091092135757,0.0024260354417492635,0.001231636750647643,0.002336523995715349,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.2479710659245029,2.905773432808928,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 1008, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,1008,1008,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.9102008439367637,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,1,4,-594.0686971949962,65.10531544685364,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.8337456583976746,12.0,0.21860940754413605,0.1756779418637355,0.24070796370506287,0,0.0,0.625,0.010886456894082968,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.03947562274174557,0.0250815843581222,0.34733118605799973,0.002696558770063954,0.0013759678511026626,0.0023960794230030538,0.002588727892364835,0.0,0.0,nan,0.004387099038278354,-0.005037006583294317,0.22916666666666666,0.15841901302337646,4.08688497543335,1,1,9,0.45,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.30769119900651276,4.190967173199169,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 960, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.1412847604645079,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.7927138520171866,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,2,4,-151.3622905087019,41.437053978443146,103,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05423283204436302,5.15,0.17497572302818298,0.2876875046821474,0.42260950803756714,0,0.0,0.7378640776699029,0.17608175709625856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005674381434178893,0.043610261623223213,0.8427111629862338,0.003192748733145158,0.0015030816079849758,0.001845563542622241,0.16164997114474405,0.6152922106020658,0.0,nan,0.09275339305450858,0.022004192452733096,0.7475728155339806,1.8280465602874756,36.481075286865234,1,1,27,1.35,0,0.2784192015832014,1,SERVO,direct_path,0.8301345990039408,4.8256506089819595,36,1,1,1,35,0.47335750536156523,0.13473765552043915,0.00043381376095219293;0.0016848427935185763;0.0035283244823614995;0.001970589704033335;0.0060345884383340926;0.011195920903763947;0.010848611075335319;0.010196416669733529;0.012404053720848457;0.00447046080497541;0.007132011712867541;0.004086417248210696;0.004102852557153661;0.011554642307054068;0.003663560727409594;0.00742775468540862;0.003889021099723301;0.006028313759090264;0.005604418188070536;0.00487674233482474;0.005401318211795909;0.0013909970383427402;0.0014392012746825182;0.00634226423851837;0.007146180367216805;0.004819985019361486;0.008016904434852326;0.0060604517776893015;0.0016909357966338613;0.005330867149827405;0.00562648040209592;0.0020856886534029624;0.0067779928648342685;0.004002052717148756;0.0057460014402625865;0.007940879001604598,0.12786908447742462;0.12729889154434204;0.12548652291297913;0.1266302764415741;0.12790115177631378;0.12012458592653275;0.12018337100744247;0.12339746206998825;0.12125604599714279;0.12353228777647018;0.12239504605531693;0.12647131085395813;0.1259007602930069;0.12162912636995316;0.1265503615140915;0.12345849722623825;0.12517280876636505;0.12308492511510849;0.12145446985960007;0.12355712801218033;0.12404205650091171;0.12857745587825775;0.12705320119857788;0.12961646914482117;0.12281870096921921;0.12484868615865707;0.12444200366735458;0.13089539110660553;0.12903830409049988;0.12987521290779114;0.12463776022195816;0.12694621086120605;0.12280728667974472;0.12439478188753128;0.12245792895555496;0.13473765552043915,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 28, 'obstacle_clearance': 244, 'obstacle_contact': 12, 'self_collision': 0}",0.00043381376095219293,390,362,nan,nan,0.7026421984203609,filtered,18,0,6,5,47,1,1,0,rrt_connect,1.5447627130197361,1,9,1.0,SUCCESS,0.5631067961165048,0.2621359223300971,0.0,0.17475728155339806,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,3,4,-322.76888400101177,34.81306314468384,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.618325412273407,12.0,0.33401593565940857,0.0989634320139885,0.0989634320139885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16153966823522514,0.027459566755472526,0.4417680910555646,0.0029038404507446105,0.0014708066713258934,0.0024911020261545974,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.33144700701814145,4.538450148073025,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 960, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11258904760546498,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.7205180110177025,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,0,4,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.022082955333947513,0.37839483900461346,0.0024328751635039223,0.0012309953754690165,0.0016066521755419671,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.22570618893951178,3.619967665988952,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 960, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10821276613166468,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.5509401810122654,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,1,4,-203.7987430085991,17.7226585149765,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5262051820755005,12.0,0.43318796157836914,0.05170707777142525,0.05170707777142525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2566351642715701,0.02675359588950717,0.4397430199896917,0.003057793228557178,0.0014911310587194747,0.00177799372759182,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.34109929006081074,4.399453859194182,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 960, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07032893966182345,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.6696148170158267,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,2,4,-375.1683816331788,15.058351688086987,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.810051679611206,12.0,0.4552517235279083,0.04527924093417823,0.04553133621811867,0,0.0,0.6208333333333333,0.0014132586270447908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28049618741071725,0.030953680886887013,0.48563627002295107,0.0031661690891875574,0.0016055132582550868,0.0018249029347013372,0.0005686250081421319,0.0,0.0,nan,0.0005425430790472822,-0.0005425430790472822,0.975,0.03791932761669159,1.1252813339233398,0,0,0,0.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.3816844599787146,5.708292720140889,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 889, 'obstacle_contact': 71, 'self_collision': 0}",0.016832136398799127,960,960,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,1.0778506849892437,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,3,4,-283.797837378758,13.042271733283997,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.6946653127670288,12.0,0.48032665252685547,0.0397619865834713,0.0397619865834713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30488075274866516,0.019921817380721525,0.2914220989914611,0.0030080495513781593,0.0015186945214130294,0.001826998395457243,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.1690945429727435,2.763282007887028,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 1008, 'self_collision': 0}",0.0005329481803646009,1008,1008,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.6818095759954304,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,0,4,-219.7554873833547,12.249937355518341,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5964403748512268,12.0,0.48904097080230713,0.038023050874471664,0.038023050874471664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31538024944972776,0.0167432803917715,0.23943628394044936,0.0023306339581419403,0.0012076010859649008,0.0014875968733880048,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.1889135929523036,2.470782854943536,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 785, 'obstacle_contact': 223, 'self_collision': 0}",0.00010473517295679897,1008,1008,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.590110711986199,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_ik_feasibility_audit_v1,1,4,-153.7016033388045,10.157325267791748,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4853527545928955,12.0,0.525179922580719,0.03201954811811447,0.03201954811811447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485488237623142,0.02842825106054079,0.4524809429422021,0.003041647043816435,0.001543276122053309,0.0018089324725830617,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.3582271079067141,4.824241972994059,0,0,0,0,-1,nan,nan,,,960,1,1,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 960, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07496773960829796,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.7284366090316325,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
