episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_command_alignment_previous,safety_filter_command_sign_change_rate,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,task_space_mean_requested_toward_goal_mps,task_space_mean_executed_toward_goal_mps,task_space_mean_filter_velocity_loss_mps,task_space_positive_error_delta_rate,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,0,4,-486.2550033572122,121.2912535816431,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.08032349497079849,12.0,0.18299633264541626,0.3065964249894023,0.38393518328666687,0,0.0,0.9666666666666667,0.3826959738011084,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,8.335456766941918e-06,0.014380812368472107,0.2321038010995835,0.9753212702460587,0.0,0.0034990398518857544,0.00169089369107193,0.0029680362684302965,0.021483321587788852,0.44990048011144,0.0,nan,0.01616737825886063,0.26103760847742574,1.0,0.642996609210968,16.32196617126465,0,0,0,0.0,0,0.1472218018947355,1,SERVO,direct_path,0.22222481097560376,2.3560243429383263,1,1,1,1,0,0.6443347853720353,0.15189477801322937,0.047893867290118186,0.15189477801322937,288,0,0,0,0,1,87,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 204, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,291,291,nan,nan,0.9977785197803529,filtered,186,2,3,2,225,1,1,1,direct_path,1.9284093759488314,0,87,1.0,FILTER_STOP_TIMEOUT,0.06666666666666667,0.0,0.0,0.9333333333333333,0.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,1,4,-347.26275412841,56.05291482806206,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5071196556091309,12.0,0.20260174572467804,0.14763555408765872,0.3840470314025879,0,0.0,0.058333333333333334,0.061644296233057075,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.025347820982359326,0.023404289895067147,0.3184362939791754,0.05303975542386373,0.0,0.0032813191418730034,0.001685413518862333,0.0029837560820548483,0.0149758812195311,0.0,0.0,nan,0.032151076647265193,-0.02942337658192422,1.0,0.5800742506980896,8.015115737915039,1,1,10,0.5,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.30241149896755815,2.8459653238533065,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 864, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128218530642492,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.4234900790033862,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,2,4,-57.67929879972021,20.234162002801895,41,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05373014882206917,2.0500000000000003,0.16830618679523468,0.3646633588686222,0.4363366365432739,0,0.0,1.0,1.369016094969788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002286413612921409,0.037865228510870624,0.5102268359623849,0.9626830583665429,0.0,0.003548230277374387,0.001661529733299664,0.020468104301338514,0.16779728013476947,0.864955806150669,0.0,nan,0.23992136422481533,-0.0667982819709492,1.0,1.6348532438278198,22.72800064086914,1,0,8,0.4,0,0.2784192015832014,1,SERVO,direct_path,0.27105680492240936,1.0444124238565564,4,1,1,1,1,1.1387396678997248,0.1291089951992035,0.004358034518033086;0.004451751126009923;0.005614538689064883;0.005999977987468941,0.12397988885641098;0.1291089951992035;0.12349464744329453;0.12236493080854416,128,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 8, 'obstacle_clearance': 99, 'obstacle_contact': 10, 'self_collision': 0}",0.0002919411299541134,130,122,nan,nan,1.0,filtered,13,0,2,1,21,1,1,0,rrt_connect,0.7733556189341471,1,9,1.0,SUCCESS,0.5121951219512195,0.17073170731707318,0.0,0.3170731707317073,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,3,4,-322.76888400101177,34.81306314468384,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.618325412273407,12.0,0.33401593565940857,0.0989634320139885,0.0989634320139885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16153966823522514,0.021185060133575462,0.2974878599634394,0.0,0.0,0.002994908053369727,0.0015516297261153036,0.0029476891625866606,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.16386748501099646,2.554523022263311,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 864, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11258904760546498,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.4440461150370538,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,0,4,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.022197631763022703,0.2878198310500011,0.0,0.0,0.003398690462927334,0.0017476280127690794,0.0021274497441481797,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.1688459620345384,2.7188436820870265,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 864, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10821276613166468,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.4414636139990762,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,1,4,-203.7987430085991,17.7226585149765,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5262051820755005,12.0,0.43318796157836914,0.05170707777142525,0.05170707777142525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2566351642715701,0.020848828971308346,0.28494325396604836,0.0,0.0,0.0030751210875071895,0.001583663499817097,0.0019255745525394257,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.27061539702117443,2.7120770640904084,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 864, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07035259119473661,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.4789067900273949,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,2,4,-375.1683816331788,15.058351688086987,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.810051679611206,12.0,0.4552517235279083,0.04527924093417823,0.04553133621811867,0,0.0,0.6208333333333333,0.0014132586270447908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28049618741071725,0.022775699543126394,0.38272700493689626,0.14900697105351432,0.0,0.0029302739843842574,0.0015001018012602192,0.0019709120203818503,0.0005686250081421319,0.0,0.0,nan,0.0005425430790472822,-0.0005425430790472822,0.975,0.03791932761669159,1.1252813339233398,0,0,0,0.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.22305489308200777,3.371162887196988,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 1, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 808, 'obstacle_contact': 55, 'self_collision': 0}",0.017168571536497486,863,863,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.5698034469969571,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,3,4,-283.797837378758,13.042271733283997,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.6946653127670288,12.0,0.48032665252685547,0.0397619865834713,0.0397619865834713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30488075274866516,0.02049050757777877,0.2751443280139938,0.0,0.0,0.00306222260260256,0.0015886490786215291,0.002112481103298099,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.16524757898878306,2.4781967820599675,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 2, 'obstacle_contact': 874, 'self_collision': 0}",0.0005329481803646009,876,876,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.3980035299900919,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,0,4,-219.7554873833547,12.249937355518341,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5964403748512268,12.0,0.48904097080230713,0.038023050874471664,0.038023050874471664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31538024944972776,0.021128498861799017,0.27861680602654815,0.0,0.0,0.0030880439716080826,0.00159237819655876,0.001984960411694677,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.18923057592473924,2.766994951176457,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 698, 'obstacle_contact': 178, 'self_collision': 0}",0.00010473517295679897,876,876,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.5195774979656562,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_static_revised_ik_goal_region_t005_clearance_retain_terminal_hard_cases_v1,1,4,-153.7016033388045,10.157325267791748,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4853527545928955,12.0,0.525179922580719,0.03201954811811447,0.03201954811811447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485488237623142,0.022724324971689688,0.2981498659355566,0.0,0.0,0.0032550672205009807,0.0016303119700751267,0.002006852040843417,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.2580303839640692,2.906884385156445,0,0,0,0,-1,nan,nan,,,864,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 864, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.07496773960829796,0,0,nan,nan,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.3893538460833952,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
