step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-3.070153829238884,0.3807106614112854,0.8852174282073975,0.21860940754413605,0.24070796370506287,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.04853739216923714,0.9707478284835815,19.41495704650879,0.0,0.0,0.8863287267104584,0.8852174282073975,0.001111298503060909,0.0,0.033185928931612145,0.0,0.022258635503355315,-0.022258635503355315,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.043630423196683255,0,0,0,0,0.043630423196683255,0.0,filtered,osqp optimal,0.04853739188542182,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,1.465743644235573e-07,valid,0.043630423196683255,0.9203323844684604,0|0|0|0|0|0,0.487103614|0.18906091|0.0436304232|0.0541055639|0.120005027|0.14553347,0.663120234|0.36507753|0.219647042|0.230122183|0.296021646|0.321550089,0.607103614|0.30906091|0.163630423|0.174105564|0.240005027|0.26553347,0|0|0|0|0|0,0|0.00878957494|-0.0207348388|-0.0250438583|-0.0301371997|-0.0292785241,0|0|0|0|0|0,1.94841446|0.765033216|0.153786854|0.191378397|0.449882908|0.552855355,optimal,0.22918758723849605,0.02225863550335531,0.20692895173514075,0.497474849|0.433837742|0.555379868,0|-0|-0,0.18885799997951835,0.004375922027975321,0.00240659702103585,0.17515011003706604
1,0.1,-3.184804550127174,0.46696600317955017,0.8733172416687012,0.2154742032289505,0.31138870120048523,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.41609784960746765,7.601240634918213,138.83436584472656,0.3499999940395355,0.0,0.8852174307444575,0.8733172416687012,0.011900189075756296,0.22447594118721934,0.26078383228119595,-0.027563562266558175,0.24649982231077627,-0.2740633845773344,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03947562274174557,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,0.6200585075170475,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.25149982893775563,1,continuity_tiebreak,0.7686095237731934,0,goal_velocity_linprog,0.0,valid,0.03947562274174557,0.9204422001991057,0|0.0175129037|0.0306936703|0.0332453451|0.0369699237|0.0332012098,0.487098124|0.189495611|0.0394756227|0.0491202201|0.113990449|0.13968085,0.663120234|0.365517721|0.215497733|0.22514233|0.290012559|0.31570296,0.607098124|0.309495611|0.159475623|0.16912022|0.233990449|0.25968085,0|0|0.15|0.15|0.15|0.15,0|0.0810830476|-0.0662145536|-0.0882364789|-0.123213357|-0.132153629,0|0|0|0|0|0,1.94839249|0.839065491|0.0916879374|0.108244401|0.332748437|0.426569773,optimal,0.25149982893775563,0.24649982231077627,0.005000006626979359,0.497474849|0.433837742|0.555379868,0|-0|-0,0.02691600506659597,0.005097402026876807,0.00226322200614959,0.009872007998637855
2,0.15000000000000002,-3.1959533324187763,0.5409340262413025,0.8500469326972961,0.21055500209331512,0.3748323917388916,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7999535202980042,7.69624137878418,4.48638916015625,0.3499999940395355,0.0,0.8733172665174084,0.8500469326972961,0.023270333820112232,0.22254850998577688,0.49485657333187416,-0.0029977248704075687,0.4730072904804181,-0.4760050153508257,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.030990366383626317,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,0.9279051389479408,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.47800729247449075,1,continuity_tiebreak,0.9988957047462463,0,goal_velocity_linprog,0.0,valid,0.030990366383626317,0.9221214820877371,0|0.111107693|0.231431368|0.249003201|0.282746169|0.261529753,0.487014159|0.193252821|0.0309903664|0.0379892194|0.0965835053|0.119827165,0.663120234|0.369358895|0.20709644|0.214095294|0.272689579|0.295933239,0.607014159|0.313252821|0.150990366|0.157989219|0.216583505|0.239827165,0|0|0.15|0.15|0.15|0.15,0|0.153852242|-0.078554798|-0.0939521113|-0.159192521|-0.190349647,0|0|0|0|0|0,1.94805664|0.926863527|0.0454066675|0.0580047663|0.2271415|0.288959013,optimal,0.47800729247449075,0.47300729048041806,0.005000001994072689,0.497474849|0.433837742|0.555379868,0|-0|-0,0.026200596010312438,0.0047745059709995985,0.0023733979323878884,0.009415026055648923
3,0.2,-2.879806873351499,0.5427455902099609,0.8152346611022949,0.20506705343723297,0.3840470314025879,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1934999227523804,7.893222808837891,8.609743118286133,0.3499999940395355,0.0,0.850046958716839,0.8152346611022949,0.034812297614544074,0.22020408290405458,0.7320710949754309,0.03286275126269348,0.7036137955421954,-0.6707510442795019,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.025526997382395833,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.2527308817814524,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.7086137766319417,1,continuity_tiebreak,0.9995399117469788,0,goal_velocity_linprog,0.0,valid,0.025526997382395833,0.925022198334816,2.23792281e-17|0.204830832|0.449049632|0.470105056|0.534781148|0.497076178,0.486869124|0.200590984|0.0255269974|0.0322141111|0.0827133229|0.101519945,0.663120234|0.376842094|0.201778107|0.208465221|0.258964433|0.277771055,0.606869124|0.320590984|0.145526997|0.152214111|0.202713323|0.221519945,0|0|0.15|0.15|0.15|0.15,2.4848282e-17|0.227129725|-0.0227411472|-0.0159764373|-0.109571803|-0.176656823,0|0|0|0|0|0,1.9474765|1.02949366|0.0793668423|0.112880007|0.221281488|0.229422958,optimal,0.7086137766319417,0.7036137955421954,0.004999981089746308,0.497474849|0.433837742|0.555379868,0|-0|-0,0.02683761902153492,0.004740975913591683,0.002383420942351222,0.009776539052836597
4,0.25,-2.1574877213261434,0.4195114076137543,0.7750095129013062,0.20260174572467804,0.3081263601779938,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4003424644470215,4.706664085388184,86.4206314086914,0.3500000238418579,0.0,0.8152346378278257,0.7750095129013062,0.04022512492651953,0.22249096951689828,0.830001278157938,0.04211577834775687,0.8041618739786397,-0.7620460956308828,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.025347820982359326,1,1,0,0,0.043630423196683255,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.4356333856462842,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.8091618876410763,1,continuity_tiebreak,0.9962311387062073,0,goal_velocity_linprog,0.0,valid,0.025347820982359326,0.9286557809265285,1.04089265e-18|0.296391788|0.685439651|0.69238525|0.789300455|0.736324205,0.486687445|0.211538989|0.025347821|0.0323242146|0.0757207465|0.0902745315,0.663120234|0.387971778|0.20178061|0.208757004|0.252153536|0.266707321,0.606687445|0.331538989|0.145347821|0.152324215|0.195720746|0.210274532,0|0|0.0679496241|0.067504584|0.15|0.15,-5.52076602e-19|0.254300348|0.0191706824|0.0195677514|0.0248611684|-0.0270042157,0|0|0|0|0|0,1.94674978|1.1004563|0.120561966|0.14886461|0.327744154|0.33409391,optimal,0.8091618876410763,0.8041618739786397,0.005000013662436631,0.497474849|0.433837742|0.555379868,0|-0|-0,0.025113342911936343,0.004703311016783118,0.00195068190805614,0.008653736906126142
5,0.30000000000000004,-2.0167277512496344,0.4149864614009857,0.7348242402076721,0.20414485037326813,0.2629292607307434,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4034746885299683,1.3545705080032349,94.46526336669922,0.3499999940395355,0.0,0.775009481930448,0.7348242402076721,0.04018524172277593,0.22646299195609212,0.8372262056251418,0.04009638093039652,0.8062181460208312,-0.7661217650904347,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.02577336965760965,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4463133106082058,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.8112181595550778,1,continuity_tiebreak,0.9988353848457336,0,goal_velocity_linprog,0.0,valid,0.02577336965760965,0.9360974850372201,0|0.32331659|0.774798107|0.774798107|0.887994778|0.834942414,0.486315359|0.223845424|0.0257733697|0.0327733697|0.0779348187|0.0921921671,0.663120234|0.400650298|0.202578244|0.209578244|0.254739693|0.268997041,0.606315359|0.343845424|0.14577337|0.15277337|0.197934819|0.212192167,0|0|0.00503768518|0.00503768518|0.0783882744|0.103491858,0|0.252535691|1.70602069e-05|1.70602069e-05|0.0175552664|0.000498303773,0|0|0|0|0|0,1.94526144|1.14791739|0.103110539|0.131110539|0.329294541|0.369266972,optimal,0.8112181595550778,0.8062181460208313,0.005000013534246506,0.497474849|0.433837742|0.555379868,0|-0|-0,0.018323539989069104,0.002873324090614915,0.001681849011220038,0.007178727071732283
6,0.35000000000000003,-1.8445086488789437,0.399200975894928,0.6949110627174377,0.20953963696956635,0.2520272433757782,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4129390716552734,1.8416566848754883,9.74172306060791,0.3499999940395355,0.0,0.7348242420180943,0.6949110627174377,0.03991317930065652,0.22526197098829945,0.8454835757349771,0.06502577862102653,0.8040602198795186,-0.739034441258492,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.026762119011599778,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4282002195062964,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.8090602332254864,1,continuity_tiebreak,0.9978846311569214,0,goal_velocity_linprog,0.0,valid,0.026762119011599778,0.947654822453607,0|0.319718797|0.774790025|0.774790025|0.894790798|0.842159376,0.485737492|0.235820543|0.026762119|0.033762119|0.0764526943|0.0905246367,0.663120234|0.413203284|0.20414486|0.21114486|0.253835435|0.267907378,0.605737492|0.355820543|0.146762119|0.153762119|0.196452694|0.210524637,0|0|0|0|0.0230968406|0.0600298834,0|0.249303975|0.0703610748|0.0703610748|-0.00176476887|0.000439290016,0|0|0|0|0|0,1.94294997|1.19258615|0.177409551|0.205409551|0.304046008|0.362537837,optimal,0.8090602332254864,0.8040602198795185,0.005000013345967891,0.497474849|0.433837742|0.555379868,0|-0|-0,0.01670299901161343,0.0028400649316608906,0.0013421999756246805,0.006614775978960097
7,0.4,-1.64538365615432,0.37343156337738037,0.6555591225624084,0.21842347085475922,0.2351088970899582,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4317734241485596,2.183573007583618,6.838326454162598,0.3500000238418579,0.0,0.6949110518665376,0.6555591225624084,0.03935192930412912,0.222433809812127,0.8549925647937128,0.09175709062233099,0.7968148658896789,-0.7050577752673479,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.031593112228112175,1,1,0,0,0.043630423196683255,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.4160300225963953,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.8018148798602712,1,continuity_tiebreak,0.9971415996551514,0,goal_velocity_linprog,0.0,valid,0.031593112228112175,0.958931022013707,0|0.316316415|0.774029214|0.774029214|0.902804955|0.850725576,0.485173683|0.247614502|0.0315931122|0.0385931122|0.0759424672|0.0893365778,0.663120234|0.425561053|0.209539663|0.216539663|0.253889018|0.267283129,0.605173683|0.367614502|0.151593112|0.158593112|0.195942467|0.209336578,0|0|0|0|0|0.0182409051,0|0.24475012|0.144218133|0.144218133|0.0290736205|0.000302477637,0|0|0|0|0|0,1.94069473|1.23520813|0.270590581|0.298590581|0.332843489|0.357648789,optimal,0.8018148798602712,0.7968148658896789,0.005000013970592354,0.497474849|0.433837742|0.555379868,0|-0|-0,0.022054819972254336,0.006560551933944225,0.0018553739646449685,0.007608190993778408
8,0.45,-1.4351766897957179,0.34106048941612244,0.6171480417251587,0.23032550513744354,0.2143193930387497,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.462071180343628,2.430589199066162,4.940323829650879,0.3499999940395355,0.0,0.6555591346081011,0.6171480417251587,0.03841109288294242,0.2180464396038588,0.8660238481914216,0.1179634356350488,0.7830036581944131,-0.6650402225593643,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.039923051270994575,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4141178344529948,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.7880036704980314,1,continuity_tiebreak,0.9966915249824524,0,goal_velocity_linprog,0.0,valid,0.039923051270994575,0.9700080719077234,0|0.313132125|0.772567002|0.772567002|0.906236581|0.860832131,0.48461983|0.259160378|0.0399230513|0.0469230513|0.0788069023|0.0892898886,0.663120234|0.437660781|0.218423455|0.225423455|0.257307306|0.267790292,0.60461983|0.379160378|0.159923051|0.166923051|0.198806902|0.209289889,0|0|0|0|0|0,0|0.239006281|0.209549173|0.209549173|0.102513257|0.042529121,0|0|0|0|0|0,1.93847932|1.27564779|0.369241378|0.397241378|0.417740866|0.399688675,optimal,0.7880036704980314,0.7830036581944131,0.005000012303618351,0.497474849|0.433837742|0.555379868,0|-0|-0,0.01628812006674707,0.0030821970431134105,0.0013452689163386822,0.006361398962326348
9,0.5,-1.2307141092690472,0.3054840862751007,0.5801949501037598,0.24472357332706451,0.1917760670185089,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5048834085464478,2.609699249267578,3.5822010040283203,0.3499999940395355,0.0,0.617148032921557,0.5801949501037598,0.03695308281779719,0.21282993234887626,0.8788554886517143,0.13978657599321395,0.7603503945658613,-0.6205638185726473,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.4234900790033862,0.4234900790033862,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.05127950841218187,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4285027898280855,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.7653504049818027,1,continuity_tiebreak,0.9965474605560303,0,goal_velocity_linprog,0.0,valid,0.05127950841218187,0.9809197565132076,0|0.310198997|0.770479677|0.770479677|0.905841112|0.872746122,0.484074246|0.270400328|0.0512795084|0.0582795084|0.0850103493|0.0927557915,0.663120234|0.449446316|0.230325496|0.237325496|0.264056337|0.271801779,0.604074246|0.390400328|0.171279508|0.178279508|0.205010349|0.212755791,0|0|0|0|0|0,0|0.232193508|0.264770057|0.264770057|0.165935265|0.118075727,0|0|0|0|0|0,1.93629698|1.31379482|0.469888091|0.497888091|0.505976662|0.489098893,optimal,0.7653504049818027,0.7603503945658612,0.005000010415941558,0.497474849|0.433837742|0.555379868,0|-0|-0,0.02464697603136301,0.004545599105767906,0.0022164100082591176,0.00916143401991576
