step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.8504396743192456,0.0730699673295021,0.5884835720062256,0.4879123270511627,0.06465193629264832,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.46787890791893005,9.35757827758789,187.15155029296875,1.5225073099136353,1.5225073099136353,0.5964403963810977,0.5884835720062256,0.007956824374872107,0.5726245865120755,0.2008866241550363,0.4758698276728448,0.16270065545619736,0.3131691722166474,0.4758698448504478,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,1.0,1.5225073099136353,0.0,1.0,0.31538024944972776,0,0,0,0,0.31538024944972776,0.0,filtered,,1.070599156218994,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,,,1,0,0,inaccurate_solution,nan,0,,0.0,0,,0.0,valid,0.31538024944972776,0.873214483873313,0|0|0|0|0|0,0.487151881|0.315380249|0.316023695|0.397999755|0.427019022|0.476535366,0.660812605|0.489040974|0.489684419|0.57166048|0.600679746|0.65019609,0.607151881|0.435380249|0.436023695|0.517999755|0.547019022|0.596535366,0|0|0|0|0|0,8.43696402e-18|-0.00306183162|-0.0351134166|-0.12479287|-0.145109072|-0.145656136,0|0|0|0|0|0,1.94860752|1.25845917|1.22898136|1.46720615|1.56296701|1.76048533,optimal,0.17941799655015453,0.16270065545619739,0.016717341093957144,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.015418889001011848,0.004533949075266719,0.00222583906725049,0.0037427899660542607
1,0.1,-0.9859535790952498,0.14547879993915558,0.5738908052444458,0.4834233820438385,0.13300836086273193,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9030387997627258,8.94810962677002,60.246944427490234,1.5138373374938965,1.5138373374938965,0.5884835357464896,0.5738908052444458,0.014592730502043794,0.5657676555317948,0.3584914733558051,0.4734681453274923,0.29294672963427576,0.18052141569321656,0.4734681161544945,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.7031816197189386,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.5138373374938965,0.0,1.0,0.3084943359279637,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,0.6215735082731312,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9872104525566101,0,osqp,0.0,valid,0.3084943359279637,0.8783385535116688,0|0.0649722584|0.0831741416|0.182447029|0.220100454|0.201598972,0.486895678|0.314822243|0.308494336|0.373425624|0.398404824|0.447513222,0.660812605|0.48873917|0.482411264|0.547342552|0.572321751|0.62143015,0.606895678|0.434822243|0.428494336|0.493425624|0.518404824|0.567513222,0|0.15|0.15|0.15|0.15|0.15,0|-0.0282041428|-0.0917350011|-0.222974322|-0.250489983|-0.25841475,0|0|0|0|0|0,1.94758271|1.23108483|1.14224234|1.27072818|1.34312931|1.53163814,optimal,0.3426163820360343,0.29294672963427576,0.049669652401758524,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.014621831011027098,0.004648556932806969,0.0021974568953737617,0.002432188019156456
2,0.15000000000000002,-1.147521121417383,0.22657334804534912,0.5529326796531677,0.4757815897464752,0.20786930620670319,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3135360479354858,8.369524002075195,31.06575584411621,1.4984573125839233,1.4984573125839233,0.5738907839496823,0.5529326796531677,0.020958104296514568,0.5559423554807693,0.5004334423420346,0.4718535640543654,0.4179236062444511,0.05392995780991433,0.47185354654579065,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.41059464770641996,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4984573125839233,0.0,1.0,0.29491436824674266,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,0.19999897224223073,0,0,12,,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9972119331359863,0,osqp,0.0,valid,0.29491436824674266,0.888512209930979,3.33091231e-17|0.0768295709|0.130732137|0.305465015|0.379247634|0.360817843,0.486386995|0.309221748|0.294914368|0.346431335|0.368331537|0.416065933,0.660812605|0.483647358|0.469339979|0.520856945|0.542757147|0.590491543,0.606386995|0.429221748|0.414914368|0.466431335|0.488331537|0.536065933,0|0.15|0.15|0.15|0.15|0.15,2.63221806e-17|-0.0521649379|-0.152802831|-0.318599769|-0.350688141|-0.366983402,0|0|0|0|0|0,1.94554798|1.18472205|1.02685464|1.06712557|1.12263801|1.29728033,optimal,0.47628863068486194,0.41792360624445113,0.058365024440410807,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.008963069994933903,0.002705910010263324,0.0013275290839374065,0.00172431708779186
3,0.2,-1.224171949675397,0.2728970944881439,0.5290982127189636,0.4659189283847809,0.24768489599227905,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.480254054069519,4.14021635055542,106.19064331054688,1.480254054069519,1.480254054069519,0.5529327040235241,0.5290982127189636,0.0238344913045605,0.5455056193385829,0.545505621578972,0.47162704559626156,0.4716270488222102,-3.2259486193453313e-09,0.4716270663830944,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.1334699164017924,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.480254054069519,0.0,1.0,0.27668635413111264,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.5313572350065284e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9961276650428772,0,osqp,0.0,valid,0.27668635413111264,0.9021470880315474,0|0.0950163736|0.194347453|0.413305879|0.51731755|0.505056605,0.485705251|0.302594427|0.276686354|0.314428933|0.332660614|0.378416153,0.660812606|0.477701781|0.451793709|0.489536287|0.507767968|0.553523508,0.605705251|0.422594427|0.396686354|0.434428933|0.452660614|0.498416153,0|0.15|0.15|0.15|0.15|0.15,0|-0.0619017375|-0.194322059|-0.363136624|-0.395396704|-0.417382464,0|0|0|0|0|0,1.942821|1.14847597|0.912423357|0.894579108|0.935245753|1.09628215,optimal,0.5483820450061139,0.4716270488222102,0.07675499618390369,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.009243228938430548,0.0030385470017790794,0.0012686189729720354,0.00170322903431952
4,0.25,-1.2295548089576926,0.28726643323898315,0.505205512046814,0.45521166920661926,0.2567903399467468,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4653434753417969,0.9616095423698425,80.02811431884766,1.4653434753417969,1.4653434753417969,0.5290981926283558,0.505205512046814,0.023892680581541814,0.5377548674923427,0.5377548695477403,0.47307188278136825,0.4730718859631035,-3.1817352641461127e-09,0.47307186481815944,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.7100829604535204e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4653434753417969,0.0,1.0,0.2594591249884278,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.7441641004464188e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9995182156562805,0,osqp,0.0,valid,0.2594591249884278,0.9153241223661203,3.03596068e-19|0.103770358|0.233723096|0.44085176|0.551318961|0.551045153,0.485046399|0.29748877|0.259459125|0.287556628|0.302400428|0.346513124,0.660812605|0.473254977|0.435225331|0.463322834|0.478166635|0.52227933,0.605046399|0.41748877|0.379459125|0.407556628|0.422400428|0.466513124,0|0.15|0.15|0.15|0.15|0.15,-1.95525342e-19|-0.0592015343|-0.211166972|-0.363049826|-0.397431949|-0.422726441,0|0|0|0|0|0,1.9401856|1.13075355|0.826669528|0.787176686|0.812169764|0.963326055,optimal,0.551656661184429,0.4730718859631036,0.0785847752213254,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.008858846966177225,0.002649596077390015,0.0013249149778857827,0.0020316599402576685
5,0.30000000000000004,-1.245749585202471,0.30346035957336426,0.4812414348125458,0.44370242953300476,0.26666685938835144,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4531537294387817,0.8654476404190063,1.9232383966445923,1.4531537294387817,1.4531537294387817,0.5052055222391073,0.4812414348125458,0.02396408742656153,0.5316811988629705,0.5316812007387131,0.47475209005248015,0.4747520931891832,-3.136703063955082e-09,0.4747520996303894,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.872710491856752e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4531537294387817,0.0,1.0,0.2456967394524291,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.5533338534646663e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9995951056480408,0,osqp,0.0,valid,0.2456967394524291,0.927360775478039,0|0.100886134|0.248364347|0.427896646|0.535988502|0.542949384,0.484444567|0.294307956|0.245696739|0.268351551|0.280126555|0.322500216,0.660812605|0.470675994|0.422064778|0.44471959|0.456494594|0.498868255,0.604444567|0.414307956|0.365696739|0.388351551|0.400126555|0.442500216,0|0.15|0.15|0.15|0.15|0.15,0|-0.0567809752|-0.226842534|-0.363250516|-0.400959515|-0.429863361,0|0|0|0|0|0,1.93777827|1.12045085|0.755944424|0.710155687|0.719546704|0.860137503,optimal,0.5523493201484152,0.47475209318918327,0.07759722695923194,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.009440224966965616,0.002701452001929283,0.0013276790268719196,0.002047621994279325
6,0.35000000000000003,-1.2726515320508458,0.321850061416626,0.4571935832500458,0.4314289391040802,0.27747753262519836,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.443204641342163,0.7789055109024048,1.7308427095413208,1.443204641342163,1.443204641342163,0.4812414275811636,0.4571935832500458,0.02404784433111784,0.5269995303077656,0.52699953201323,0.47665585720313286,0.4766558602954237,-3.0922908123010018e-09,0.476655850040656,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.7570982351955163e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.443204641342163,0.0,1.0,0.2313010009294758,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.4509087732378514e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.999661922454834,0,osqp,0.0,valid,0.2313010009294758,0.9383787893573946,3.88603992e-17|0.0983954799|0.262116475|0.416950707|0.522698789|0.536565094,0.483893666|0.29128125|0.231301001|0.249276942|0.257941493|0.298321122,0.660812605|0.468200189|0.40821994|0.426195882|0.434860432|0.475240061,0.603893666|0.41128125|0.351301001|0.369276942|0.377941493|0.418321122,0|0.15|0.15|0.15|0.15|0.15,2.3834195e-17|-0.0544550951|-0.241859216|-0.363338049|-0.403930295|-0.436700896,0|0|0|0|0|0,1.93557466|1.1106699|0.683344788|0.63376972|0.627835677|0.756583591,optimal,0.5533427525074791,0.4766558602954237,0.07668689221205544,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.010343741974793375,0.002804429968819022,0.0015375519869849086,0.0016987830167636275
7,0.4,-1.3119204682500003,0.3428395390510559,0.4330516755580902,0.4184249937534332,0.2893780767917633,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.435095191001892,0.7010213732719421,1.5576831102371216,1.435095191001892,1.435095191001892,0.45719359713764146,0.4330516755580902,0.02414192157955125,0.5234606848635094,0.5234606864110515,0.4787560604451758,0.47875606349497973,-3.0498039094162266e-09,0.47875607498774786,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.6982406396355098e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.435095191001892,0.0,1.0,0.21629163995297757,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.4048918871150357e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9997192621231079,0,osqp,0.0,valid,0.21629163995297757,0.948484494645,1.21438313e-18|0.0962381614|0.275140691|0.40772888|0.511150192|0.531574124,0.483388381|0.288403408|0.21629164|0.230316796|0.235835421|0.273961912,0.660812605|0.465827633|0.393715865|0.40774102|0.413259645|0.451386137,0.603388381|0.408403408|0.33629164|0.350316796|0.355835421|0.393961912,0|0.15|0.15|0.15|0.15|0.15,7.05282761e-19|-0.0521905757|-0.256279075|-0.363345496|-0.406444547|-0.443317141,0|0|0|0|0|0,1.93355352|1.10142306|0.608887485|0.557921687|0.536897136|0.652530508,optimal,0.5546338766919479,0.47875606349497973,0.07587781319696812,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.009980782051570714,0.0028516679303720593,0.0017470200546085835,0.0016443629283457994
8,0.45,-1.3655313672586635,0.36691054701805115,0.4088073670864105,0.4047209322452545,0.30255499482154846,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4284930229187012,0.6309112906455994,1.4022010564804077,1.4284930229187012,1.4284930229187012,0.4330516886467292,0.4088073670864105,0.024244321560318693,0.520848981739666,0.5208489827926905,0.48101544225056847,0.48101544450843575,-2.25786728202948e-09,0.4810154567888738,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.6757716855256783e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4284930229187012,0.0,1.0,0.20068708921146006,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.3930150030487017e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9997678399085999,0,osqp,0.0,valid,0.20068708921146006,0.9577666734540413,0|0.0943711157|0.287585614|0.399992879|0.501123545|0.527733202,0.482924272|0.285671455|0.200687089|0.211458598|0.213801219|0.249414888,0.660812605|0.463559789|0.378575423|0.389346932|0.391689553|0.427303222,0.602924272|0.405671455|0.320687089|0.331458598|0.333801219|0.369414888,0|0.15|0.15|0.15|0.15|0.15,0|-0.0499585455|-0.270151589|-0.363279713|-0.408561998|-0.449757423,0|0|0|0|0|0,1.93169709|1.09272728|0.532596768|0.48255468|0.446642878|0.547902131,optimal,0.5562067723388946,0.4810154445084357,0.0751913278304589,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.00946974998805672,0.002707035979256034,0.001522946055047214,0.0017122740391641855
9,0.5,-1.4357386982314155,0.39461004734039307,0.3844548761844635,0.3903443515300751,0.317211389541626,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4231228828430176,0.5678156614303589,1.2619129419326782,1.4231228828430176,1.4231228828430176,0.40880737090944674,0.3844548761844635,0.024352494724983242,0.5189804333646646,0.5189804343218197,0.4833895174068185,0.48338951963850046,-2.2316819503487295e-09,0.4833895219273233,0,0,disabled,0.0,1,TRACK,direct_path,0,1.496026084991172,1.496026084991172,7,1,1,1,0,2.1083724881026087,0.12612426280975342,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.675202443872835e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.903154278610674,1.4231228828430176,0.0,1.0,0.18450468457770786,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.374930980300056e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9998088479042053,0,osqp,0.0,valid,0.18450468457770786,0.9663045383237294,0|0.0927607403|0.299575724|0.409977287|0.492445369|0.524842201,0.482497378|0.283084881|0.184504685|0.190837071|0.191834155|0.224677404,0.660812605|0.461400108|0.362819911|0.369152298|0.370149382|0.402992631,0.602497378|0.403084881|0.304504685|0.310837071|0.311834155|0.344677404,0|0.15|0.15|0.15|0.15|0.15,0|-0.047734752|-0.283514422|-0.373024238|-0.41030943|-0.456043685,0|0|0|0|0|0,1.92998951|1.08460477|0.454504316|0.390324045|0.357027189|0.442665933,optimal,0.5580389241923768,0.48338951963850046,0.07464940455387631,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.010620975052006543,0.00249838107265532,0.0020070229656994343,0.0026017531054094434
