step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.852126962918683,0.07643954455852509,0.5878627896308899,0.48817750811576843,0.06773626059293747,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979365825653,9.797959327697754,195.9591827392578,1.5299293994903564,1.5299293994903564,0.5964403963810977,0.5878627896308899,0.0085776067502078,0.5915504107919813,0.22389613668199873,0.5003265533708401,0.1768567548446144,0.3234697985262257,0.5003265714312641,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,1.0,1.5299293994903564,0.0,1.0,0.31538024944972776,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,1.0645169304943036,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_lower,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.31538024944972776,0.873214483873313,0|0|0|0|0|0,0.487151881|0.315380249|0.316023695|0.397999755|0.427019022|0.476535366,0.660812605|0.489040974|0.489684419|0.57166048|0.600679746|0.65019609,0.607151881|0.435380249|0.436023695|0.517999755|0.547019022|0.596535366,0|0|0|0|0|0,8.43696276e-18|0.00741418431|-0.0291210596|-0.132919367|-0.157714788|-0.157235044,0|0|0|0|0|0,1.94860752|1.26893518|1.23497372|1.45907965|1.5503613|1.74890642,optimal,0.17941799655015453,0.17685675484461438,0.002561241705540146,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.19814645091537386,0.0028613089816644788,0.0014016389613971114,0.1897625110577792
1,0.1,-1.0158130991186343,0.15967978537082672,0.5720095038414001,0.48421719670295715,0.14653588831424713,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9260146021842957,8.979619979858398,64.08088684082031,1.5196607112884521,1.5196607112884521,0.5878628239700929,0.5720095038414001,0.015853320128692783,0.5821498348741663,0.3911553481646311,0.4960284641777679,0.31838711857369945,0.17764134560406847,0.49602849315259406,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.6957948065112749,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.5196607112884521,0.0,1.0,0.30966609748166085,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,0.6161727521533606,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_lower,workspace_z_lower,,,0,0,1,solved,nan,0,,0.9874505996704102,0,osqp,0.0,valid,0.30966609748166085,0.8782974121082718,0|0.0895561268|0.10657386|0.211483319|0.249955613|0.224738394,0.486897735|0.315471408|0.309666097|0.372160042|0.39623753|0.44543469,0.660812605|0.489386279|0.483580968|0.546074913|0.570152401|0.619349561,0.606897735|0.435471408|0.429666097|0.492160042|0.51623753|0.56543469,0|0|0.15|0.15|0.15|0.15,0|-0.008658213|-0.0822444443|-0.233058398|-0.268991444|-0.277127854,0|0|0|0|0|0,1.94759094|1.25322742|1.15641995|1.25558177|1.31595868|1.50461091,optimal,0.35593280777886316,0.31838711857369945,0.03754568920516371,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.010492972913198173,0.002742198994383216,0.0012632469879463315,0.0035227579064667225
2,0.15000000000000002,-1.1646572013778598,0.23655693233013153,0.5501374006271362,0.47705957293510437,0.21703101694583893,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.317886233329773,8.261362075805664,47.36069869995117,1.502272129058838,1.502272129058838,0.5720094945603297,0.5501374006271362,0.02187209393319345,0.5679314025521294,0.5154394606291219,0.4908745488909404,0.43682790655157666,0.05404664233936374,0.4908745409263152,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.40546731752440673,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.502272129058838,0.0,1.0,0.297389193113413,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,0.19999898915951828,0,0,12,,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9930096864700317,0,osqp,0.0,valid,0.297389193113413,0.8883451332465437,3.3309148e-17|0.115520821|0.164708815|0.349261938|0.42598371|0.393726425,0.486395349|0.314421023|0.297389193|0.344292607|0.364165826|0.411846104,0.660812605|0.48883828|0.47180645|0.518709864|0.538583083|0.58626336,0.606395349|0.434421023|0.417389193|0.464292607|0.484165826|0.531846104,0|0.15|0.15|0.15|0.15|0.15,2.63234983e-17|-0.0286338151|-0.146665935|-0.321796857|-0.361548394|-0.380627078,0|0|0|0|0|0,1.94558139|1.22905028|1.04289084|1.05537357|1.09511491|1.26675734,optimal,0.4992605363944659,0.43682790655157683,0.062432629842889054,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.00972969294525683,0.003885991987772286,0.0012680490035563707,0.0017048290465027094
3,0.2,-1.2333501984583248,0.28053510189056396,0.5255330204963684,0.46763357520103455,0.2543448507785797,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4833823442459106,4.145747184753418,100.07025146484375,1.4833823442459106,1.4833823442459106,0.550137373730325,0.5255330204963684,0.0246043532339566,0.5540328045884843,0.5540328075593296,0.48765451871650434,0.4876545218229214,-3.1064170680217273e-09,0.48765449487454865,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,0.1331309988988587,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4833823442459106,0.0,1.0,0.2795612464546359,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.797666553330121e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9960155487060547,0,osqp,0.0,valid,0.2795612464546359,0.9014332188823989,0|0.121007133|0.216578988|0.437763621|0.544277206|0.519978287,0.485740945|0.309167978|0.279561246|0.312791059|0.328608121|0.374111576,0.660812605|0.484239639|0.454632907|0.48786272|0.503679782|0.549183236,0.605740945|0.429167978|0.399561246|0.432791059|0.448608121|0.494111576,0|0.15|0.15|0.15|0.15|0.15,0|-0.0372847141|-0.188990341|-0.363069141|-0.403505865|-0.42977361,0|0|0|0|0|0,1.94296378|1.1993872|0.929254644|0.888095095|0.910926617|1.06667269,optimal,0.5668170459032913,0.48765452182292135,0.07916252408036994,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.01021522597875446,0.0032479289220646024,0.001357447006739676,0.0019521459471434355
4,0.25,-1.2326337961484761,0.2930179536342621,0.5010029077529907,0.4573380649089813,0.26152917742729187,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4679031372070312,0.9807335734367371,80.02925109863281,1.4679031372070312,1.4679031372070312,0.5255330100562664,0.5010029077529907,0.02453010230327568,0.5432262173749078,0.5432262201238209,0.48644881181083494,0.486448814818885,-3.0080500867946114e-09,0.4864488021471696,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.8860050237097417e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4679031372070312,0.0,1.0,0.26269002384758866,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.5421422960016553e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,workspace_x_upper,,,0,0,1,solved,nan,0,,0.9995028972625732,0,osqp,0.0,valid,0.26269002384758866,0.9140857000300724,3.8859764e-17|0.121622926|0.250519099|0.45623556|0.570320392|0.55921535,0.48510832|0.305470163|0.262690024|0.286467465|0.298446679|0.342010113,0.660812605|0.481174448|0.438394309|0.46217175|0.474150964|0.517714398,0.60510832|0.425470163|0.382690024|0.406467465|0.418446679|0.462010113,0|0.15|0.15|0.15|0.15|0.15,2.21388929e-17|-0.0341244074|-0.205660676|-0.359625377|-0.402199094|-0.433070066,0|0|0|0|0|0,1.94043328|1.18775625|0.845099419|0.786244482|0.791587621|0.934970384,optimal,0.5632948585818266,0.4864488148188851,0.07684604376294152,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.01068134093657136,0.0032705869525671005,0.0015550460666418076,0.0018593360437080264
5,0.30000000000000004,-1.242880367706813,0.307345449924469,0.47651851177215576,0.4462302625179291,0.26957374811172485,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4552441835403442,0.8826751708984375,1.9611691236495972,1.4552441835403442,1.4552441835403442,0.5010029145101685,0.47651851177215576,0.024484402738012778,0.5344473997383725,0.5344474022671998,0.4857770329110871,0.48577703581601783,-2.9049307403994362e-09,0.485777039462909,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.731818831614851e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4552441835403442,0.0,1.0,0.24932317287389444,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.422074902615818e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_4,,,0,0,1,solved,nan,0,,0.9995815753936768,0,osqp,0.0,valid,0.24932317287389444,0.9256254843924574,5.8290182e-17|0.114279089|0.262758865|0.438535769|0.550703042|0.548038215,0.484531331|0.303583846|0.249323173|0.267928636|0.276454071|0.317963697,0.660812605|0.47986512|0.425604447|0.44420991|0.452735346|0.494244971,0.604531331|0.423583846|0.369323173|0.387928636|0.396454071|0.437963697,0|0.15|0.15|0.15|0.15|0.15,3.45016937e-17|-0.0315968784|-0.22098655|-0.356594256|-0.402292527|-0.437914341,0|0|0|0|0|0,1.93812532|1.18273851|0.776306142|0.715120288|0.703523759|0.833940446,optimal,0.5602572051212507,0.48577703581601783,0.07448016930523282,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.009300498990342021,0.002496314002200961,0.001422991044819355,0.0021285669645294547
6,0.35000000000000003,-1.2637882796901472,0.3238523006439209,0.4520525634288788,0.43435898423194885,0.27863556146621704,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4449093341827393,0.7943996787071228,1.7655092477798462,1.4449093341827393,1.4449093341827393,0.476518502877577,0.4520525634288788,0.024465939448698237,0.5273911534244249,0.527391155740295,0.4856167496929451,0.4856167524911723,-2.7982272055027124e-09,0.4856167406285409,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.6643769684915357e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4449093341827393,0.0,1.0,0.23534788994433653,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.375582498463864e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_4,,,0,0,1,solved,nan,0,,0.9996501803398132,0,osqp,0.0,valid,0.23534788994433653,0.936175349619532,0|0.107817883|0.274250185|0.423332428|0.533437274|0.538903976,0.484003838|0.301815668|0.23534789|0.249639611|0.254704896|0.293844413,0.660812605|0.478624436|0.412156657|0.426448378|0.431513663|0.47065318,0.604003838|0.421815668|0.35534789|0.369639611|0.374704896|0.413844413,0|0.15|0.15|0.15|0.15|0.15,0|-0.0294185233|-0.235509901|-0.353741622|-0.401992282|-0.442623733,0|0|0|0|0|0,1.93601535|1.17784415|0.705881659|0.644816821|0.616827301|0.732753917,optimal,0.5577375470439846,0.4856167524911724,0.07212079455281217,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.00904939800966531,0.0030685089295729995,0.0012350809993222356,0.001755913021042943
7,0.4,-1.2967298883044815,0.34287920594215393,0.42758095264434814,0.4217663109302521,0.29017937183380127,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4364837408065796,0.7149582505226135,1.5888288021087646,1.4364837408065796,1.4364837408065796,0.45205255793787574,0.42758095264434814,0.0244716052935276,0.5217807572195964,0.5217807593337911,0.4859246230445897,0.48592462573340545,-2.6888157256266254e-09,0.48592461714214874,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.6441048875966508e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4364837408065796,0.0,1.0,0.220784894879205,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.3641791106144333e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_4,,,0,0,1,solved,nan,0,,0.9997092485427856,0,osqp,0.0,valid,0.220784894879205,0.9458425841978412,0|0.102162677|0.285162961|0.410369057|0.518329447|0.531543487,0.483520476|0.300156848|0.220784895|0.231542685|0.233173411|0.269631331,0.660812605|0.477448977|0.398077024|0.408834814|0.41046554|0.446923461,0.603520476|0.420156848|0.340784895|0.351542685|0.353173411|0.389631331,0|0.15|0.15|0.15|0.15|0.15,0|-0.0275125333|-0.249337057|-0.354555132|-0.401379987|-0.447254306,0|0|0|0|0|0,1.93408191|1.17311486|0.633802523|0.571615608|0.531313657|0.63127102,optimal,0.555708355354415,0.4859246257334054,0.0697837296210096,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.010574792977422476,0.0026687629288062453,0.002411633962765336,0.0023001780500635505
8,0.45,-1.3432904481536854,0.36481642723083496,0.4030827283859253,0.4084887206554413,0.30358177423477173,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4296226501464844,0.643459677696228,1.4299713373184204,1.4296226501464844,1.4296226501464844,0.4275809655923695,0.4030827283859253,0.02449823720644423,0.5173684727658069,0.5173684746926918,0.48664396813132005,0.48664397070864784,-2.577327795627582e-09,0.48664398286788974,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.6458098643615393e-08,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4296226501464844,0.0,1.0,0.20565455585656095,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.3569062791648385e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_4,,,0,0,1,solved,nan,0,,0.9997594356536865,0,osqp,0.0,valid,0.20565455585656095,0.9547168172621258,1.21436928e-18|0.0972103254|0.295627534|0.416542469|0.505074388|0.525627689,0.483076765|0.298597458|0.205654556|0.211698231|0.211846403|0.245309025,0.660812605|0.476333299|0.383390397|0.389434072|0.389582244|0.423044866,0.603076765|0.418597458|0.325654556|0.331698231|0.331846403|0.365309025,0|0.15|0.15|0.15|0.15|0.15,-6.77872372e-19|-0.0258145218|-0.262544969|-0.36376679|-0.400506714|-0.45184096,0|0|0|0|0|0,1.93230706|1.16857531|0.560073255|0.483026133|0.446878899|0.529395142,optimal,0.5541213215598076,0.48664397070864784,0.0674773508511598,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.01564665196929127,0.002568779978901148,0.006965741980820894,0.001932651037350297
9,0.5,-1.405249963186244,0.39009934663772583,0.37854015827178955,0.39455828070640564,0.3185037076473236,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4240411520004272,0.5791013836860657,1.2871661186218262,1.4240411520004272,1.4240411520004272,0.40308270135803903,0.37854015827178955,0.02454254308624948,0.5139371736066077,0.5139371753626694,0.4877106635849888,0.4877106660491405,-2.4641516604972935e-09,0.4877106308825498,0,0,disabled,0.0,1,TRACK,direct_path,0,1.6619391090935096,1.6619391090935096,7,1,1,1,3,2.013581994101717,0.12058798223733902,0.05450470423857819;0.05409344556056491;0.054414981941547876;0.05130125551973882;0.051787260451411375;0.05184807030376298;0.053954250196064917,0.12612426280975342;0.12051460891962051;0.12221094220876694;0.12058798223733902;0.12213147431612015;0.12147993594408035;0.12414740771055222,448,0,0,0,0,1,7,384,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 73, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 350, 'obstacle_contact': 19, 'self_collision': 0}",0.0007387294376302141,376,376,nan,nan,1.648621249057114e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.9373433570012247,1.4240411520004272,0.0,1.0,0.18997493712019597,0,0,0,0,0.31538024944972776,0.0,filtered,osqp optimal,2.3619791202257633e-08,0,0,12,joint_0_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_lower,predictive_link_4,,,0,0,1,solved,nan,0,,0.999801754951477,0,osqp,0.0,valid,0.18997493712019597,0.9628760949208984,0|0.0928925121|0.305782222|0.428507783|0.493496249|0.52093757,0.482668801|0.297133022|0.189974937|0.190944141|0.190712301|0.220869534,0.660812605|0.475276826|0.368118742|0.369087945|0.368856106|0.399013338,0.602668801|0.417133022|0.309974937|0.310944141|0.310712301|0.340869534,0|0.15|0.15|0.15|0.15|0.15,0|-0.0242693027|-0.275191039|-0.3720181|-0.399373695|-0.456380432,0|0|0|0|0|0,1.9306752|1.16426278|0.48470871|0.391758462|0.363475509|0.427097702,optimal,0.5529155921444515,0.4877106660491406,0.06520492609531092,0.428064942|-0.544867158|0.500515461,-0|0|-0,0.013763332972303033,0.002513109939172864,0.0029048529686406255,0.003053718013688922
