step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.5009493910632148,0.2725934386253357,0.5465391874313354,0.3375231623649597,0.2007225900888443,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4071895480155945,8.143790245056152,162.8758087158203,0.0,0.0,0.5572873583489443,0.5465391874313354,0.010748170917608824,0.0,0.23889932678209727,0.0,0.22643060328750317,-0.22643060328750317,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.16849042830486716,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,0.4071895296971227,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.23143059985607217,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.16849042830486716,0.9210456309952905,0|0|0|0|0|0,0.47242388|0.252065268|0.168490428|0.186262148|0.221340928|0.224340928,0.648476162|0.42811755|0.34454271|0.36231443|0.39739321|0.40039321,0.59242388|0.372065268|0.288490428|0.306262148|0.341340928|0.344340928,0|0|0|0|0|0,0|-0.00958083219|-0.146484887|-0.186621517|-0.210878739|-0.210878739,0|0|0|0|0|0,1.88969552|0.998680241|0.527476826|0.558427077|0.674484972|0.686484972,optimal,0.23143059985607217,0.22643060328750317,0.004999996568569004,0.40629819|0.478128076|0.574874699,0|-0|-0,0.01971699297428131,0.003686001989990473,0.0018530460074543953,0.008312853053212166
1,0.1,-2.0395004241176755,0.46938666701316833,0.5245875716209412,0.3228384852409363,0.34703710675239563,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8163529634475708,8.184496879577637,4.088265895843506,0.0,0.0,0.546539158096117,0.5245875716209412,0.02195158647517581,0.0,0.48081379470924984,0.0,0.45206243376021155,-0.45206243376021155,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.13928918305349836,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,0.8163529545445966,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_0_acceleration_upper|joint_4_acceleration_upper,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.45706243073196745,1,continuity_tiebreak,0.9999243021011353,0,goal_velocity_linprog,0.0,valid,0.13928918305349836,0.9247433159462242,0|0.0910425056|0.195891517|0.232052691|0.240430532|0.240430532,0.472238996|0.250450862|0.139289183|0.149958513|0.179608513|0.182608513,0.648476162|0.426688028|0.315526349|0.326195679|0.355845679|0.358845679,0.592238996|0.370450862|0.259289183|0.269958513|0.299608513|0.302608513,0|0.15|0.15|0.15|0.15|0.15,0|-0.0100552816|-0.295076344|-0.357077807|-0.415783895|-0.415783895,0|0|0|0|0|0,1.88895599|0.991748166|0.262080389|0.242756245|0.302650157|0.314650157,optimal,0.45706243073196745,0.45206243376021166,0.0049999969717557935,0.40629819|0.478128076|0.574874699,0|-0|-0,0.02070003200788051,0.004007790936157107,0.0019363079918548465,0.008297530934214592
2,0.15000000000000002,-2.312479365235236,0.5932226777076721,0.4938562214374542,0.30432283878326416,0.4287875294685364,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1134506464004517,7.046291828155518,101.93256378173828,0.0,0.0,0.5245875696328957,0.4938562214374542,0.030731348195441432,0.0,0.672014104507312,0.0,0.6277609506772113,-0.6277609506772113,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.10208611468529494,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,1.113450691440359,0,1,12,predictive_link_4|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.632760934467615,1,continuity_tiebreak,0.9802752137184143,0,goal_velocity_linprog,0.0,valid,0.10208611468529494,0.9319733885406298,0|0.181040834|0.408897953|0.466489434|0.486860186|0.486860186,0.471877493|0.250229491|0.102086115|0.106836284|0.127057447|0.130057447,0.648476162|0.42682816|0.278684784|0.283434953|0.303656117|0.306656117,0.591877493|0.370229491|0.222086115|0.226836284|0.247057447|0.250057447,0|0.0804735671|0.15|0.15|0.15|0.15,0|0.0252443551|-0.350931245|-0.397029501|-0.508229803|-0.508229803,0|0|0|0|0|0,1.88750997|1.02616232|0.0574132141|0.0303156338|-1.44503899e-08|0.0119999855,optimal,0.632760934467615,0.6277609506772113,0.004999983790403784,0.40629819|0.478128076|0.574874699,0|-0|-0,0.020784373045898974,0.003916022018529475,0.0018661729991436005,0.008911247015930712
3,0.2,-2.1082260901811747,0.5525363683700562,0.46407297253608704,0.29074692726135254,0.4014973044395447,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1539559364318848,5.8750739097595215,145.25,0.0,0.0,0.49385624988621235,0.46407297253608704,0.029783277350125315,0.0,0.6541483794554204,0.0,0.5987691881406398,-0.5987691881406398,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0760539099354296,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,1.1539559912177357,0,1,12,predictive_link_4|joint_0_acceleration_lower|joint_2_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.603769197974851,1,continuity_tiebreak,0.9670588970184326,0,goal_velocity_linprog,0.0,valid,0.0760539099354296,0.943156149894788,0|0.262064978|0.604487113|0.657685126|0.686026665|0.686026665,0.471318354|0.25106825|0.0760539099|0.0800323571|0.0858411612|0.0888411612,0.648476162|0.428226058|0.253211717|0.257190165|0.262998969|0.265998969,0.591318354|0.37106825|0.19605391|0.200032357|0.205841161|0.208841161,0|0|0.15|0.15|0.15|0.15,0|0.051863193|-0.203375126|-0.203227559|-0.343364639|-0.343364639,0|0|0|0|0|0,1.88527342|1.05613619|0.100840514|0.116901869|5.8982107e-09|0.0120000059,optimal,0.603769197974851,0.59876918814064,0.0050000098342110055,0.40629819|0.478128076|0.574874699,0|-0|-0,0.021525871939957142,0.003958455054089427,0.0021527010248973966,0.008555841981433332
4,0.25,-2.2992686667234628,0.626003623008728,0.4318448007106781,0.27724936604499817,0.44365745782852173,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3436216115951538,4.879962921142578,126.8873062133789,0.0,0.0,0.464072953727775,0.4318448007106781,0.03222815301709692,0.0,0.7714493008828596,0.0,0.6604209212032698,-0.6604209212032698,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.08069403717315882,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,1.3436215849081734,0,1,12,predictive_link_4|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6654209314266759,1,continuity_tiebreak,0.9924017190933228,0,goal_velocity_linprog,5.551115123125783e-17,valid,0.08069403717315882,0.9565327837075424,9.48790315e-20|0.229631815|0.590568689|0.621401631|0.670411591|0.670411591,0.470649523|0.25322153|0.0806940372|0.0868861826|0.0846771232|0.0876771232,0.648476162|0.431048169|0.258520676|0.264712822|0.262503762|0.265503762,0.590649523|0.37322153|0.200694037|0.206886183|0.204677123|0.207677123,0|0|0.15|0.15|0.15|0.15,5.24959069e-20|0.0921603851|-0.170678432|-0.162313558|-0.338708487|-0.338708487,0|0|0|0|0|0,1.88259809|1.10504651|0.152097716|0.185231172|5.98294164e-09|0.012000006,optimal,0.6654209314266759,0.6604209212032698,0.005000010223406126,0.40629819|0.478128076|0.574874699,0|-0|-0,0.021873957011848688,0.004153568996116519,0.0020575220696628094,0.009094877052120864
5,0.30000000000000004,-2.3845111844179336,0.6512516140937805,0.40166282653808594,0.2662304639816284,0.4581315517425537,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3599106073379517,1.0686941146850586,92.34529876708984,0.0,0.0,0.43184480241610945,0.40166282653808594,0.030181975878023515,0.0,0.7920830644048121,0.0,0.6271496550135495,-0.6271496550135495,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.061838265872589726,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,1.3599106495284783,0,1,12,predictive_link_4|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6321496666225035,1,continuity_tiebreak,0.9992912411689758,0,goal_velocity_linprog,0.0,valid,0.061838265872589726,0.9696983715320172,1.08169358e-17|0.29845116|0.724396037|0.731995519|0.7933541|0.7933541,0.469991243|0.257493689|0.0737337234|0.0807155391|0.0618382659|0.0648382659,0.648476162|0.435978608|0.252218642|0.259200458|0.240323184|0.243323184,0.589991243|0.377493689|0.193733723|0.200715539|0.181838266|0.184838266,0|0|0.15|0.15|0.15|0.15,-4.65673213e-18|0.109516787|-0.0545710551|-0.0523492253|-0.247353058|-0.247353058,0|0|0|0|0|0,1.87996497|1.13949154|0.240363838|0.270512931|5.23484503e-09|0.0120000052,optimal,0.6321496666225035,0.6271496550135495,0.005000011608954025,0.40629819|0.478128076|0.574874699,0|-0|-0,0.015031932038255036,0.0025215259520336986,0.0011918360833078623,0.006717993994243443
6,0.35000000000000003,-2.5459789214883903,0.68965083360672,0.3742825984954834,0.2530031204223633,0.4822157621383667,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.366809606552124,0.6690647006034851,28.69635009765625,0.0,0.0,0.40166281562386036,0.3742825984954834,0.02738021712837696,0.0,0.8184027392050481,0.0,0.5836583367464729,-0.5836583367464729,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.04903911867595501,0,0,0,0,0.16849042830486716,0.0,filtered,linprog goal-velocity priority optimal,1.3668096516906432,0,1,12,predictive_link_4|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.5886583458368521,1,continuity_tiebreak,0.9997117519378662,0,goal_velocity_linprog,0.0,valid,0.04903911867595501,0.981738748256342,0|0.298069431|0.736838609|0.736838609|0.813768606|0.813768606,0.469389225|0.26271004|0.0737770557|0.0807770557|0.0490391187|0.0520391187,0.648476162|0.441796978|0.252863993|0.259863993|0.228126056|0.231126056,0.589389225|0.38271004|0.193777056|0.200777056|0.169039119|0.172039119,0|0|0.137064498|0.137064498|0.15|0.15,0|0.120149843|-0.0161999329|-0.0161999329|-0.196156471|-0.196156471,0|0|0|0|0|0,1.8775569|1.17099|0.27890829|0.30690829|3.98914871e-09|0.012000004,optimal,0.5886583458368521,0.583658336746473,0.0050000090903790095,0.40629819|0.478128076|0.574874699,0|-0|-0,0.01599422306753695,0.0037219070363789797,0.0012579630129039288,0.006905998918227851
7,0.4,-2.726251754500088,0.7250214219093323,0.35093313455581665,0.2335984706878662,0.5087200999259949,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3784428834915161,1.2177352905273438,11.169448852539062,0.3500000238418579,0.0,0.3742825952213226,0.35093313455581665,0.023349460665505972,0.20182330048025546,0.8495220189436437,-0.06174235587986743,0.5193220987876167,-0.5810644546674841,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03532932532435992,1,1,0,0,0.16849042830486716,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.4776052203525214,0,1,12,predictive_link_4|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.5243221053159891,1,continuity_tiebreak,0.9990520477294922,0,goal_velocity_linprog,0.0,valid,0.03532932532435992,0.9927089408101004,0|0.298103187|0.748427649|0.748427649|0.839903526|0.839903526,0.468840715|0.268519933|0.0710306879|0.0780306879|0.0353293253|0.0383293253,0.648476162|0.44815538|0.250666135|0.257666135|0.214964772|0.217964772,0.588840715|0.388519933|0.191030688|0.198030688|0.155329325|0.158329325,0|0|0.0955362164|0.0955362164|0.15|0.15,0|0.129465815|-0.0284689359|-0.0284689359|-0.1413173|-0.1413173,0|0|0|0|0|0,1.87536286|1.20354555|0.255653816|0.283653816|8.6894314e-10|0.0120000009,optimal,0.5243221053159891,0.5193220987876168,0.005000006528372292,0.40629819|0.478128076|0.574874699,0|-0|-0,0.016565434983931482,0.0026075709611177444,0.001528513035736978,0.006578792002983391
8,0.45,-2.990979492753609,0.7727126479148865,0.333027184009552,0.21459797024726868,0.5461316704750061,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.407572627067566,2.4935925006866455,25.57611083984375,0.3500000238418579,0.0,0.35093313979050034,0.333027184009552,0.017905955780948335,0.1940172332256447,0.8944115591425787,-0.03989232337074577,0.4319746173202465,-0.4718669406909923,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.023720486486048104,1,1,0,0,0.16849042830486716,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.489913383179528,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.43697462505469653,1,continuity_tiebreak,0.9962127208709717,0,goal_velocity_linprog,0.0,valid,0.023720486486048104,1.0026640848552042,0|0.298211436|0.76380853|0.76380853|0.870797152|0.870797152,0.468342958|0.274871265|0.0680121008|0.0750121008|0.0237204865|0.0267204716,0.648476162|0.45500447|0.248145305|0.255145305|0.203853691|0.206853676,0.588342958|0.394871265|0.188012101|0.195012101|0.143720486|0.146720472,0|0|0.0588857924|0.0588857924|0.15|0.15,0|0.136651984|-0.0550367058|-0.0550367058|-0.0948501511|-0.0948501511,0|0|0|0|0|0,1.87337183|1.23613705|0.217011697|0.245011697|3.17948403e-05|0.0120317353,optimal,0.43697462505469653,0.4319746173202465,0.005000007734450029,0.40629819|0.478128076|0.574874699,0|-0|-0,0.017010867944918573,0.0029450630536302924,0.0012686620466411114,0.007210136973299086
9,0.5,-3.124865534550122,0.7733864784240723,0.32314562797546387,0.19844311475753784,0.5563980340957642,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.441506266593933,1.8477978706359863,17.4123592376709,0.3499999940395355,0.0,0.3330271741683438,0.32314562797546387,0.009881546192879953,0.19129311898168586,0.931569442846086,-0.03081553642518518,0.2929003906319468,-0.323715927057132,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.395421379012987,0.395421379012987,0,0,0,0,-1,nan,nan,,,160,0,0,0,0,1,0,96,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 160, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10826155136333164,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.011611504446496307,1,1,0,0,0.16849042830486716,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.503396830344731,0,2,12,predictive_link_4|workspace_z_upper|joint_2_velocity_lower|joint_3_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.2979003951786001,1,continuity_tiebreak,0.9981803297996521,0,goal_velocity_linprog,0.0,valid,0.011611504446496307,1.0116716281071099,0|0.298483187|0.789518228|0.789518228|0.915191388|0.915191388,0.46789258|0.281692633|0.064282723|0.0710086203|0.0116115044|0.0146115044,0.648476162|0.462276215|0.244866304|0.251592202|0.192195086|0.195195086,0.58789258|0.401692633|0.184282723|0.19100862|0.131611504|0.134611504,0|0|0.032236899|0.0493353402|0.1300982|0.1300982,0|0.148030653|-0.0371893628|-0.0342676053|-0.0464460153|-0.0464460153,0|0|0|0|0|0,1.87157032|1.27480119|0.219941529|0.249766876|2.53543776e-09|0.0120000025,optimal,0.2979003951786001,0.29290039063194684,0.0050000045466532805,0.40629819|0.478128076|0.574874699,0|-0|-0,0.01642738503869623,0.0026065038982778788,0.0014286249643191695,0.006441839039325714
