step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1959596848114518,0.2578955590724945,0.3890436887741089,0.3092226982116699,0.17318694293498993,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4040032625198364,8.08006477355957,161.60130310058594,1.425588607788086,1.425588607788086,0.39709154553318526,0.3890436887741089,0.008047856759076377,0.5326222894273379,0.18398413538112499,0.4840218621695818,0.16381139247316914,0.32021046969641265,0.48402187170051886,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.5974528038622936,1.425588607788086,0.0,1.0,0.135592448617967,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.2722683338994545,0,0,12,joint_0_acceleration_upper|joint_2_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.16881139027870026,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.135592448617967,0.9609859810769285,0|0|0|0|0|0,0.540359428|0.350801128|0.1379145|0.1449145|0.135592449|0.138592449,0.718408727|0.528850427|0.3159638|0.3229638|0.313641748|0.316641748,0.660359428|0.470801128|0.2579145|0.2649145|0.255592449|0.258592449,0|0|0|0|0|0,-4.39152261e-19|-0.0365152453|-0.102160571|-0.102160571|-0.0917117555|-0.0917117555,0|0|0|0|0|0,2.16143771|1.36668927|0.449497431|0.477497431|0.450658039|0.462658039,optimal,0.16881139027870026,0.16381139247316917,0.004999997805531092,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.015415949979797006,0.002530016005039215,0.00129700789693743,0.00743921403773129
1,0.1,-1.596159312871878,0.40053993463516235,0.3728969693183899,0.30059316754341125,0.2852431833744049,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8081186413764954,8.084692001342773,5.553899765014648,1.4170596599578857,1.4170596599578857,0.3890436966674446,0.3728969693183899,0.0161467273490547,0.527618754824312,0.36328883648350885,0.48414662174321965,0.3265811598372999,0.15756546190591975,0.48414663156610566,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,0.8924512492236312,filtered,0,0,1,0,0,0,1,2,1.0,0.48961101930311124,1.4170596599578857,0.0,1.0,0.1183377630884978,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.2330562550147501,0,0,12,joint_0_acceleration_upper|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.3315811582156976,1,continuity_tiebreak,0.9998524785041809,0,goal_velocity_linprog,0.0,valid,0.1183377630884978,0.9568858455882788,0|0.0397769688|0.155977649|0.155977649|0.183515735|0.183515735,0.540564435|0.343717192|0.118337763|0.125337763|0.118748763|0.121748752,0.718408727|0.521561484|0.296182055|0.303182055|0.296593055|0.299593045,0.660564435|0.463717192|0.238337763|0.245337763|0.238748763|0.241748752,0|0.15|0.15|0.15|0.15|0.15,0|-0.0706557039|-0.193001821|-0.193001821|-0.161706766|-0.161706766,0|0|0|0|0|0,2.16225774|1.30421306|0.280349231|0.308349231|0.313288285|0.325288244,optimal,0.3315811582156976,0.32658115983729996,0.004999998378397652,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.01332172506954521,0.0023935040226206183,0.0011132180225104094,0.006111798924393952
2,0.15000000000000002,-1.923845227912608,0.5266247391700745,0.34886613488197327,0.2864857614040375,0.3730800747871399,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.210516095161438,8.053651809692383,4.78173828125,1.218374252319336,1.218374252319336,0.3728969733157433,0.34886613488197327,0.02403083843377002,0.37554956285411856,0.5370543781836542,0.3417934110630782,0.4862602429972582,-0.14446683193417997,0.34179341472700997,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,0.8701512645214923,filtered,0,0,1,0,0,0,1,2,1.0,0.34596348400206434,1.218374252319336,0.0,1.0,0.0953541574403303,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.3248113075605021,0,0,12,joint_0_acceleration_upper|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.4912602301336953,1,continuity_tiebreak,0.999882698059082,0,goal_velocity_linprog,0.0,valid,0.0953541574403303,0.9484467576176041,1.7346161e-19|0.0761239456|0.307432807|0.307432807|0.361498453|0.361498453,0.540986389|0.335393059|0.0953541574|0.102354157|0.100796432|0.103796415,0.718408727|0.512815397|0.272776495|0.279776495|0.27821877|0.281218753,0.660986389|0.455393059|0.215354157|0.222354157|0.220796432|0.223796415,0|0.15|0.15|0.15|0.15|0.15,-1.53195089e-19|-0.103254884|-0.267676139|-0.267676139|-0.197476408|-0.197476408,0|0|0|0|0|0,2.16394556|1.23831735|0.113740491|0.141740491|0.205709319|0.217709254,optimal,0.4912602301336953,0.4862602429972583,0.004999987136437012,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.012810681946575642,0.0022095789900049567,0.0010047260439023376,0.005365420016460121
3,0.2,-2.112679257295823,0.6009159684181213,0.32114866375923157,0.2700861990451813,0.42054998874664307,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4138437509536743,4.070546627044678,79.7059326171875,1.0762912034988403,1.0762912034988403,0.3488661509530415,0.32114866375923157,0.027717487193809953,0.27619721607603737,0.6199151437706338,0.24880211400084523,0.560023071238676,-0.3112209572378308,0.24880212546230665,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.18913812936311294,1.0762912034988403,0.0,1.0,0.07026210069809807,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.4428832328615953,0,0,12,joint_0_velocity_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.5650230805001422,1,continuity_tiebreak,0.9999763369560242,0,goal_velocity_linprog,0.0,valid,0.07026210069809807,0.9353029105522681,3.35638513e-17|0.110181535|0.455737862|0.455737862|0.53294934|0.53294934,0.541643582|0.325851612|0.0702621007|0.0772621007|0.0845384761|0.0875384704,0.718408728|0.502616757|0.247027246|0.254027246|0.261303622|0.264303616,0.661643582|0.445851612|0.190262101|0.197262101|0.204538476|0.20753847,0|0.15|0.15|0.15|0.15|0.15,-2.06743846e-17|-0.120578382|-0.27507523|-0.27507523|-0.155637502|-0.155637502,0|0|0|0|0|0,2.16657433|1.18282806|0.00597317269|0.0339731727|0.182516402|0.19451638,optimal,0.5650230805001422,0.5600230712386761,0.005000009261466043,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.016245378996245563,0.0038020870415493846,0.001328533049672842,0.006348852999508381
4,0.25,-2.073343166787466,0.5957291722297668,0.2942778766155243,0.25552016496658325,0.4227471649646759,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4389889240264893,3.0028469562530518,97.18890380859375,1.0755842924118042,1.0755842924118042,0.32114866370592404,0.2942778766155243,0.02687078709039975,0.25706564016523753,0.6551110069277173,0.23189861004388765,0.5472955976445302,-0.3153969876006425,0.23189861000539477,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.07652075304703837,1.0755842924118042,0.0,1.0,0.05224332048752614,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.5030107775099046,0,1,12,predictive_link_2|joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.5522955988339516,1,continuity_tiebreak,0.9946152567863464,0,goal_velocity_linprog,0.0,valid,0.05224332048752614,0.919279666557175,6.07120584e-19|0.128308915|0.531076644|0.531076644|0.614065318|0.614065318,0.542444744|0.317922069|0.0522433205|0.0592433205|0.0757632779|0.079660988,0.718408727|0.493886052|0.228207304|0.235207304|0.251727261|0.255624971,0.662444744|0.437922069|0.17224332|0.17924332|0.195763278|0.199660988,0|0.15|0.15|0.15|0.15|0.15,3.46379776e-19|-0.157680835|-0.208973283|-0.208973283|-0.0519529655|-0.0331823863,0|0|0|0|0|0,2.16977898|1.11400744|-6.06486111e-10|0.0279999994|0.251100146|0.285461566,optimal,0.5522955988339516,0.5472955976445302,0.005000001189421455,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.01478194398805499,0.0026342140045017004,0.00135168491397053,0.006215372937731445
5,0.30000000000000004,-2.0729450109552534,0.5976212620735168,0.2686193883419037,0.24264509975910187,0.427002489566803,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4389889240264893,0.0,60.056941986083984,1.0766559839248657,1.0766559839248657,0.29427787911160797,0.2686193883419037,0.02565849076970428,0.23805479189529558,0.6485092375947636,0.21432244184377222,0.5266009542794178,-0.3122785124356455,0.2143224436616688,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.05124060452030899,1.0766559839248657,0.0,1.0,0.04819849672324944,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.5400856699116652,0,0,12,joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.5314336202184575,1,continuity_tiebreak,0.9999998807907104,0,goal_velocity_linprog,0.0,valid,0.04819849672324944,0.9028510070951491,0|0.17877259|0.593658438|0.593658438|0.648444759|0.648444759,0.543266177|0.304956533|0.0481984967|0.0551984967|0.0832255661|0.0881210967,0.718408727|0.480099083|0.223341047|0.230341047|0.258368116|0.263263647,0.663266177|0.424956533|0.168198497|0.175198497|0.203225566|0.208121097,0|0.15|0.15|0.15|0.15|0.119448509,0|-0.160778496|-0.147980087|-0.147980087|0.00862875303|6.30513057e-05,0|0|0|0|0|0,2.17306471|1.05904764|0.0448138998|0.0728138998|0.341531017|0.352547438,optimal,0.5314336202184575,0.5266009542794178,0.004832665939039749,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.013493534992448986,0.002483883989043534,0.0012248369166627526,0.005722970003262162
6,0.35000000000000003,-2.0305544772979927,0.5863833427429199,0.24447938799858093,0.23167316615581512,0.42410850524902344,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4411067962646484,0.08776068687438965,1.755213737487793,1.0712635517120361,1.0712635517120361,0.2686193895602355,0.24447938799858093,0.024140001561654578,0.2194380012511606,0.6434761121028825,0.19671892312316602,0.5008333041534018,-0.30411438103023575,0.196718924015391,0,0,disabled,0.0,1,TRACK,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.016332089323301206,1.0712635517120361,0.0,1.0,0.042613134291728194,0,0,0,0,0.135592448617967,0.0,filtered,linprog goal-velocity priority optimal,1.5674485039047203,0,0,12,joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.5058333054966068,1,continuity_tiebreak,0.9999964237213135,0,goal_velocity_linprog,0.0,valid,0.042613134291728194,0.8856879950268857,0|0.181517298|0.595345605|0.595345605|0.641640807|0.641640807,0.544124328|0.29708899|0.0426131343|0.0496131343|0.0856777807|0.0891390825,0.718408727|0.471373389|0.216897534|0.223897534|0.25996218|0.263423482,0.664124328|0.41708899|0.162613134|0.169613134|0.205677781|0.209139083,0|0.15|0.15|0.15|0.127776266|0.0688437329,0|-0.164798753|-0.101745111|-0.101745111|0.0390329732|-0.00161627624,0|0|0|0|0|0,2.17649731|1.02355721|0.0687074258|0.0967074258|0.381744096|0.354940054,optimal,0.5058333054966068,0.5008333041534018,0.005000001343204996,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.014816635986790061,0.0026809260016307235,0.0012514489935711026,0.006321816006675363
7,0.4,-2.0400445991157836,0.5858055353164673,0.22213691473007202,0.22222061455249786,0.42498281598091125,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.424151062965393,1.724409818649292,34.4766731262207,0.3499999940395355,0.0,0.24447939512998196,0.22213691473007202,0.022342480399909936,0.2115281576788656,0.6143786608640703,-0.15233547360449853,0.4682952482367189,-0.6206307218412175,0.0,1,0,disabled,0.0,1,AVOID_HOLD,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,1,1,1,2,1.0,0.0,0.0,0.0,1.0,0.03961014593554302,1,1,0,0,0.135592448617967,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.497188137469432,0,0,12,joint_0_velocity_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.4732952564173345,1,continuity_tiebreak,0.9982590079307556,0,goal_velocity_linprog,0.0,valid,0.03961014593554302,0.8678047478894593,5.80534975e-17|0.184746789|0.598047553|0.598047553|0.63641259|0.63641259,0.54501849|0.289075434|0.0396101459|0.0466101459|0.0870666146|0.0900666146,0.718408728|0.462465671|0.213000383|0.220000383|0.260456852|0.263456852,0.66501849|0.409075434|0.159610146|0.166610146|0.207066615|0.210066615,0|0.15|0.15|0.15|0.0173886423|0.0173886423,-3.9860566e-17|-0.146102855|-0.0719664243|-0.0719664243|-0.0283679719|-0.0283679719,0|0|0|0|0|0,2.18007396|1.01019888|0.0864741595|0.114474159|0.319898487|0.331898487,optimal,0.4732952564173345,0.46829524823671886,0.005000008180615634,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.01847923395689577,0.0027093919925391674,0.001300242030993104,0.006992195034399629
8,0.45,-2.093681976345484,0.5946288704872131,0.20175300538539886,0.21387116611003876,0.4308196008205414,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4062001705169678,2.5851736068725586,17.268274307250977,0.3500000238418579,0.0,0.2221369256217643,0.20175300538539886,0.020383920236365427,0.20869833342894203,0.5801560405867462,-0.1508849317650376,0.4324638611201407,-0.5833487928851783,0.0,1,0,disabled,0.0,1,AVOID_HOLD,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,2,2,1,2,1.0,0.0,0.0,0.0,1.0,0.0347981270771435,1,1,0,0,0.135592448617967,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.4771365722375491,0,0,12,joint_0_velocity_upper|joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.43746386819814764,1,continuity_tiebreak,0.9959090948104858,0,goal_velocity_linprog,0.0,valid,0.0347981270771435,0.8524020526370217,0|0.159926765|0.565308676|0.565308676|0.607402135|0.607402135,0.545788625|0.285519091|0.0347981271|0.0417981271|0.087073594|0.090073594,0.718408727|0.458139194|0.20741823|0.21441823|0.259693697|0.262693697,0.665788625|0.405519091|0.154798127|0.161798127|0.207073594|0.210073594,0|0.15|0.15|0.15|0|0,0|-0.113360051|-0.0639313845|-0.0639313845|-0.0323815417|-0.0323815417,0|0|0|0|0|0,2.1831545|1.02871631|0.0752611238|0.103261124|0.315912835|0.327912835,optimal,0.43746386819814764,0.43246386112014074,0.005000007078006907,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.019678669050335884,0.003967626020312309,0.0016239089891314507,0.007553198025561869
9,0.5,-2.270010910929047,0.6338477730751038,0.18319179117679596,0.2056698054075241,0.45617517828941345,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3972030878067017,4.004010200500488,28.52248191833496,0.3499999940395355,0.0,0.20175300346052588,0.18319179117679596,0.018561212283729922,0.20451261936660647,0.5470279559307937,-0.14937367973106702,0.39987285282128304,-0.5492465325523501,0.0,1,0,disabled,0.0,1,AVOID_HOLD,direct_path,0,0.26767919096164405,0.26767919096164405,2,1,1,1,1,1.872091203065591,0.15401795506477356,0.006948701501639626;0.0031976781056547968,0.12946060299873352;0.15401795506477356,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 63, 'obstacle_contact': 0, 'self_collision': 0}",0.0003785199032041974,65,65,nan,nan,1.0,filtered,0,0,1,0,3,3,1,2,1.0,0.0,0.0,0.0,1.0,0.029050126038459106,1,1,0,0,0.135592448617967,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4775097564572295,0,0,12,joint_1_acceleration_lower|joint_0_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_2,,,0,0,0,optimal; continuity_tiebreak,0.40487285899392095,1,continuity_tiebreak,0.9898207187652588,0,goal_velocity_linprog,0.0,valid,0.029050126038459106,0.8385743175865906,0|0.129723543|0.521751135|0.521751135|0.57541735|0.573328748,0.546480012|0.285847975|0.029050126|0.036050126|0.0874508434|0.0904898259,0.718408727|0.457776691|0.200978842|0.207978842|0.259379559|0.262418542,0.666480012|0.405847975|0.149050126|0.156050126|0.207450843|0.210489826,0|0.15|0.15|0.15|0|0,0|-0.0565075088|-0.0817003499|-0.0817003499|-0.0523889163|-0.0486106672,0|0|0|0|0|0,2.18592005|1.08688439|0.0345001542|0.0625001542|0.297414457|0.313348637,optimal,0.40487285899392095,0.399872852821283,0.005000006172637961,0.587482691|0.442630529|0.541283906,-0|-0|-0,0.016123229986988008,0.0026149749755859375,0.001308016013354063,0.006585279013961554
