step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7635172344093746,0.08318707346916199,0.5227066278457642,0.4548444449901581,0.06602387130260468,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.3878594934940338,7.7571892738342285,155.14378356933594,1.6755025386810303,1.6755025386810303,0.5294673431018008,0.5227066278457642,0.006760715256036609,0.40109009895919057,0.1680002181441643,0.3870834472582579,0.13658053941374054,0.25050290784451734,0.3870834463939325,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,3,0.5,1.0,1.6755025386810303,0.0,1.0,0.2784192015832014,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.53687420051142,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper,workspace_x_upper,,,0,0,0,optimal; continuity_tiebreak,0.1415805370422741,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.2784192015832014,0.9792539133705056,0|0|0|0|0|0,0.383002586|0.283486532|0.278419202|0.348374586|0.364086714|0.387952066,0.561965282|0.462449228|0.457381897|0.527337282|0.543049409|0.566914761,0.503002586|0.403486532|0.398419202|0.468374586|0.484086714|0.507952066,0|0|0|0|0|0,0|-0.0160613899|-0.0508736653|-0.109049882|-0.126663953|-0.131749679,0|0|0|0|0|0,1.53201035|1.11788474|1.06280314|1.28444846|1.3296829|1.42005858,optimal,0.1415805370422741,0.13658053941374057,0.004999997628533537,0.296221048|-0.568402946|0.387439221,0|0|0,0.5994786069495603,0.0026885109255090356,0.0016705869929865003,0.5893752260599285
1,0.1,-0.9564328844375733,0.16917270421981812,0.5091122388839722,0.44946393370628357,0.14820878207683563,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7767822742462158,7.778512477874756,0.9430408477783203,1.6754568815231323,1.6754568815231323,0.5227066508006724,0.5091122388839722,0.013594411916700189,0.40082319112693554,0.33467282724349545,0.3872127279011534,0.27333753745749373,0.11387519044365968,0.387212744905783,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9172616364528223,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6754568815231323,0.0,1.0,0.2681962001619118,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.4907462158889202,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.27833753452772114,1,continuity_tiebreak,0.9999963641166687,0,goal_velocity_linprog,0.0,valid,0.2681962001619118,0.9752663725060944,2.22058637e-17|0.0189050925|0.0548041042|0.129455552|0.16416887|0.167225526,0.383201963|0.280512656|0.2681962|0.326881033|0.33922616|0.362150704,0.561965282|0.459275975|0.446959519|0.505644352|0.517989479|0.540914023,0.503201963|0.400512656|0.3881962|0.446881033|0.45922616|0.482150704,0|0.15|0.15|0.15|0.15|0.15,2.51225263e-17|-0.0319543092|-0.105480986|-0.216313805|-0.24816549|-0.257758548,0|0|0|0|0|0,1.53280785|1.09009632|0.967303815|1.09121033|1.10873915|1.19084427,optimal,0.27833753452772114,0.2733375374574937,0.004999997070227469,0.296221048|-0.568402946|0.387439221,0|0|0,0.019702490069903433,0.004383853985927999,0.0014381969813257456,0.006940928054973483
2,0.15000000000000002,-1.1782391023270258,0.2654677927494049,0.4887005090713501,0.44074079394340515,0.23408085107803345,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1679943799972534,7.824763774871826,2.0121240615844727,1.6754151582717896,1.6754151582717896,0.509112240678688,0.4887005090713501,0.02041173160733789,0.40022536442986195,0.4978627524989586,0.38723932682955636,0.41015889859847243,-0.02291957176891607,0.38723932819464746,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.8897550467152013,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6754151582717896,0.0,1.0,0.2543305566838917,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.548414204466978,0,0,12,joint_0_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.4151588859812481,1,continuity_tiebreak,0.9999886751174927,0,goal_velocity_linprog,0.0,valid,0.2543305566838917,0.9671405644815396,2.23784595e-17|0.0380344149|0.117326013|0.258618632|0.327101234|0.331555833,0.383608254|0.276992896|0.254330557|0.300121822|0.308660329|0.330726307,0.561965282|0.455349924|0.432687585|0.47847885|0.487017357|0.509083335,0.503608254|0.396992896|0.374330557|0.420121822|0.428660329|0.450726307,0|0.15|0.15|0.15|0.15|0.15,1.6403772e-17|-0.0474773424|-0.168740595|-0.322257932|-0.36347213|-0.375717254,0|0|0|0|0|0,1.53443302|1.06049424|0.848581632|0.878229356|0.871169186|0.947187974,optimal,0.4151588859812481,0.41015889859847243,0.0049999873827756836,0.296221048|-0.568402946|0.387439221,0|0|0,0.01734782592393458,0.0033127800561487675,0.0013045589439570904,0.008141570026054978
3,0.2,-1.2823168992443883,0.3202580213546753,0.4646604657173157,0.42959365248680115,0.2786259949207306,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3951202630996704,4.676427364349365,69.98692321777344,1.675382375717163,1.675382375717163,0.48870051543666754,0.4646604657173157,0.024040049719351864,0.39910826053335086,0.5777864199796411,0.3866501673538592,0.48230232037641,-0.09565215302255081,0.38665017238997235,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9241973231662685,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.675382375717163,0.0,1.0,0.23566725813084788,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6671925773374132,0,0,12,joint_0_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.4873023258058022,1,continuity_tiebreak,0.9990530014038086,0,goal_velocity_linprog,0.0,valid,0.23566725813084788,0.9545742782207902,1.04088448e-18|0.0575581581|0.193087556|0.387139523|0.487594691|0.490634141,0.384236568|0.272998609|0.235667258|0.268024044|0.272660767|0.294305483,0.561965282|0.450727323|0.413395972|0.445752758|0.450389481|0.472034197,0.504236568|0.392998609|0.355667258|0.388024044|0.392660767|0.414305483,0|0.15|0.15|0.15|0.15|0.15,-8.25157652e-19|-0.054549543|-0.214156218|-0.373363625|-0.411189311|-0.425747336,0|0|0|0|0|0,1.53694627|1.03744489|0.728512814|0.698732551|0.679453758|0.751474597,optimal,0.4873023258058022,0.48230232037641,0.0050000054293921625,0.296221048|-0.568402946|0.387439221,0|0|0,0.014359566965140402,0.002704807906411588,0.001258547999896109,0.006196314003318548
4,0.25,-1.3040005272125212,0.33633020520210266,0.440777450799942,0.4175584018230438,0.28754791617393494,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4000053405761719,0.21101301908493042,90.95194244384766,1.652643084526062,1.652643084526062,0.4646604564667524,0.440777450799942,0.023883005666810397,0.39410530999552557,0.5670509228885341,0.3816956704190414,0.47997173984488906,-0.09827606942584766,0.38169566282015965,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.9951116840558597,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.652643084526062,0.0,1.0,0.2179203420098843,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.674947588981868,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.4849717480162581,1,continuity_tiebreak,0.9999776482582092,0,goal_velocity_linprog,0.0,valid,0.2179203420098843,0.9393508466587083,0|0.0678405276|0.247948722|0.460982671|0.564232845|0.567457704,0.38499774|0.270015117|0.217920342|0.239994218|0.243271078|0.264448392,0.561965282|0.44698266|0.394887884|0.41696176|0.420238621|0.441415934,0.50499774|0.390015117|0.337920342|0.359994218|0.363271078|0.384448392,0|0.15|0.15|0.15|0.15|0.15,0|-0.0525591017|-0.232023097|-0.371672316|-0.400866729|-0.409876781,0|0|0|0|0|0,1.53999096|1.02750137|0.639658271|0.588304555|0.572217583|0.647916786,optimal,0.4849717480162581,0.4799717398448891,0.005000008171368975,0.296221048|-0.568402946|0.387439221,0|0|0,0.020636710920371115,0.003957774955779314,0.0017959499964490533,0.008686220971867442
5,0.30000000000000004,-1.3377171784217379,0.35387909412384033,0.41712039709091187,0.4049752652645111,0.2969050407409668,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4005389213562012,0.6994093656539917,13.040504455566406,1.6265288591384888,1.6265288591384888,0.44077746337129065,0.41712039709091187,0.02365706628037878,0.3874739263731807,0.5465645063242799,0.3750584509807239,0.47616389497913586,-0.10110544399841198,0.3750584616777106,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6265288591384888,0.0,1.0,0.20418364968296737,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6665816021456896,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.481163903060439,1,continuity_tiebreak,0.9996882081031799,0,goal_velocity_linprog,0.0,valid,0.20418364968296737,0.9235234770094787,0|0.068461516|0.268812717|0.47500086|0.557503845|0.556390761,0.385789108|0.268508317|0.20418365|0.219580928|0.223229924|0.245109709,0.561965282|0.444684491|0.380359824|0.395757102|0.399406098|0.421285883,0.505789108|0.388508317|0.32418365|0.339580928|0.343229924|0.365109709,0|0.15|0.15|0.15|0.15|0.15,0|-0.0422766946|-0.243233236|-0.370058737|-0.396608627|-0.399387029,0|0|0|0|0|0,1.54315643|1.03175657|0.573501363|0.508264974|0.496311071|0.581051808,optimal,0.481163903060439,0.4761638949791358,0.005000008081303187,0.296221048|-0.568402946|0.387439221,0|0|0,0.020761459949426353,0.0027018440887331963,0.0013482309877872467,0.012066707015037537
6,0.35000000000000003,-1.3802433169263124,0.37284737825393677,0.3937152028083801,0.392082542181015,0.30669325590133667,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4031872749328613,1.1134592294692993,8.280997276306152,1.6017463207244873,1.6017463207244873,0.41712038317862943,0.3937152028083801,0.0234051803702493,0.37925931153726133,0.5228947752236699,0.3670434051051585,0.47179885081462414,-0.10475544570946566,0.36704339286310184,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.9432454648875045,1.6017463207244873,0.0,1.0,0.19091927438200074,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6544211398648185,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.4767988588708114,1,continuity_tiebreak,0.9992132186889648,0,goal_velocity_linprog,0.0,valid,0.19091927438200074,0.9070523707105649,0|0.070207326|0.281644072|0.474377693|0.538559996|0.536102705,0.386612664|0.26894589|0.190919274|0.200235599|0.203541992|0.226501138,0.561965282|0.444298508|0.366271893|0.375588218|0.378894611|0.401853756,0.506612664|0.38894589|0.310919274|0.320235599|0.323541992|0.346501138,0|0.15|0.15|0.15|0.15|0.15,0|-0.0245870607|-0.251416513|-0.371431047|-0.393486004|-0.389349589,0|0|0|0|0|0,1.54645065|1.0511965|0.512260584|0.42951135|0.420681965|0.516654961,optimal,0.4767988588708114,0.47179885081462425,0.005000008056187166,0.296221048|-0.568402946|0.387439221,0|0|0,0.014040878973901272,0.002487706020474434,0.001209813985042274,0.006115994066931307
7,0.4,-1.4303822349549598,0.3928844928741455,0.37060239911079407,0.37902775406837463,0.31676149368286133,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.409348726272583,1.3507537841796875,4.745891094207764,1.5776207447052002,1.5776207447052002,0.39371519350965994,0.37060239911079407,0.023112794398865877,0.36912032422552193,0.5005288093009169,0.3572334351672088,0.4667047753282124,-0.10947134016100363,0.3572334267301107,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.8628150442594842,1.5776207447052002,0.0,1.0,0.17805040708151748,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6427394071590595,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.4717047829763261,1,continuity_tiebreak,0.9988564252853394,0,goal_velocity_linprog,0.0,valid,0.17805040708151748,0.8899476883437929,4.85759292e-18|0.0775653973|0.289985666|0.465592941|0.513795049|0.51291762,0.387467898|0.271478942|0.178050407|0.181655287|0.184428151|0.20876399,0.561965282|0.445976327|0.352547791|0.356152672|0.358925536|0.383261374,0.507467898|0.391478942|0.298050407|0.301655287|0.304428151|0.32876399,0|0.15|0.15|0.15|0.15|0.15,-2.86151598e-18|-0.000994094073|-0.257737127|-0.372272645|-0.38937462|-0.377504002,0|0|0|0|0|0,1.54987159|1.08492168|0.454464502|0.354348505|0.348337985|0.457551958,optimal,0.4717047829763261,0.46670477532821236,0.005000007648113758,0.296221048|-0.568402946|0.387439221,0|0|0,0.016134154051542282,0.0037669510347768664,0.0012848230544477701,0.006377508048899472
8,0.45,-1.485955765209983,0.4132938086986542,0.3478561341762543,0.36588054895401,0.3267952501773834,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4193782806396484,1.4335936307907104,1.656796932220459,1.553847312927246,1.553847312927246,0.37060238419260366,0.3478561341762543,0.02274625001634939,0.3571170966647135,0.48218522217272136,0.34534457487298326,0.46032719359970975,-0.1149826187267265,0.3453445609715186,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.7742921308031109,1.553847312927246,0.0,1.0,0.16388674092849775,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.6353332229787876,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.46532720117219956,1,continuity_tiebreak,0.9987410306930542,0,goal_velocity_linprog,0.0,valid,0.16388674092849775,0.8722496309871024,0|0.0925802683|0.29719105|0.454215433|0.488521341|0.491134146,0.388352801|0.275527233|0.165456157|0.163886741|0.166151787|0.192193925,0.561965282|0.449139714|0.339068638|0.337499222|0.339764269|0.365806407,0.508352801|0.395527233|0.285456157|0.283886741|0.286151787|0.312193925,0|0|0.15|0.15|0.15|0.15,0|0.0237419792|-0.263188057|-0.369271331|-0.382209528|-0.361849707,0|0|0|0|0|0,1.5534112|1.12585091|0.39863657|0.286275633|0.282397621|0.406925994,optimal,0.46532720117219956,0.46032719359970986,0.005000007572489695,0.296221048|-0.568402946|0.387439221,0|0|0,0.01703927107155323,0.0028341669822111726,0.0019012190168723464,0.006849859026260674
9,0.5,-1.547816448113504,0.4340515732765198,0.3256003260612488,0.35263678431510925,0.33632490038871765,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4320935010910034,1.3548299074172974,1.5752744674682617,1.5048339366912842,1.5048339366912842,0.3478561329433728,0.3256003260612488,0.02225580688212403,0.33558183535515734,0.46873301046012256,0.32778238847519264,0.45176333970604876,-0.12398095123085612,0.32778238731345705,0,0,disabled,0.0,1,TRACK,rrt_connect,1,0.8568292560521513,0.8568292560521513,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,0,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0,filtered,0,0,1,0,0,0,1,3,0.5,0.6692468891260106,1.5048339366912842,0.0,1.0,0.1470795022601617,0,0,0,0,0.2784192015832014,0.0,filtered,linprog goal-velocity priority optimal,1.635665747777517,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.4567633472011124,1,continuity_tiebreak,0.9989110827445984,0,goal_velocity_linprog,0.0,valid,0.1470795022601617,0.854013917222146,4.0057133e-17|0.112710931|0.305505405|0.444119402|0.466382959|0.473287928,0.389264586|0.277800481|0.152981839|0.147079502|0.149001161|0.177105983,0.561965282|0.450501177|0.325682534|0.319780198|0.321701857|0.349806679,0.509264586|0.397800481|0.272981839|0.267079502|0.269001161|0.297105983,0|0|0.15|0.15|0.15|0.15,3.35549704e-17|0.0512135017|-0.268782058|-0.361386814|-0.37021793|-0.340814893,0|0|0|0|0|0,1.55705834|1.16241543|0.343145296|0.226931195|0.225786714|0.367609039,optimal,0.4567633472011124,0.4517633397060487,0.005000007495063685,0.296221048|-0.568402946|0.387439221,0|0|0,0.01997849892359227,0.00306127592921257,0.00214866001624614,0.008989957976154983
