step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_goal_region_attempted,hierarchical_ik_goal_region_candidate_count,hierarchical_ik_goal_region_sample_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.0547816005767345,0.2535293996334076,0.26821669936180115,0.3172244727611542,0.17479673027992249,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979365825653,9.797958374023438,195.95916748046875,1.6305984258651733,1.6305984258651733,0.2744842762260626,0.26821669936180115,0.006267576864261437,0.3605563401573949,0.12743751529807534,0.3485892665658139,0.12505255506981947,0.22353671149599444,0.34858926587306216,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.6701362618420967,1.6305984258651733,0.0,1.0,0.1472218018947355,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,1.1438145860794575,0,0,12,joint_2_acceleration_lower|joint_0_acceleration_upper|joint_1_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.1472218018947355,0.9074086755210774,0|0|0|0|0|0,0.402725644|0.344481291|0.184581832|0.191377068|0.147221802|0.150221802,0.578096078|0.519851725|0.359952266|0.366747502|0.322592236|0.325592236,0.522725644|0.464481291|0.304581832|0.311377068|0.267221802|0.270221802,0|0|0|0|0|0,0|-0.0453502656|-0.0858687163|-0.0873527433|-0.10699383|-0.10699383,0|0|0|0|0|0,1.61090258|1.3325749|0.652458612|0.67815553|0.481893377|0.493893377,optimal,0.131088734772297,0.1250525550698195,0.0060361797024774955,0.432759643|0.53099674|0.320739418,0|-0|0,0.1579796141013503,0.0029779659816995263,0.0017128870822489262,0.15045552200172096
1,0.1,-1.5466390138665844,0.4084227681159973,0.25558874011039734,0.30636927485466003,0.29408085346221924,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9797958731651306,9.797958374023438,1.71926076291129e-05,1.5427862405776978,1.5427862405776978,0.26821670267549874,0.25558874011039734,0.012627962565101403,0.29188746605973803,0.2560060298653269,0.28088820373523565,0.2513510604823548,0.02953714325288087,0.280888207205484,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,0.701469207829368,filtered,0,0,1,0,0,0,1,2,1.0,0.5357386997481636,1.5427862405776978,0.0,1.0,0.12571819195970618,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,0.6088519779388674,0,0,12,joint_2_acceleration_lower|joint_0_acceleration_upper|joint_1_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,1,solved,nan,0,,1.0,0,osqp,0.0,valid,0.12571819195970618,0.9094924440974528,1.11003593e-17|0.0661325536|0.117491563|0.119395027|0.127990986|0.127990986,0.402621456|0.335087289|0.167255242|0.173626088|0.125718192|0.128718192,0.578096078|0.510561911|0.342729864|0.34910071|0.301192814|0.304192814,0.522621456|0.455087289|0.287255242|0.293626088|0.245718192|0.248718192,0|0.15|0.15|0.15|0.15|0.15,-1.24964935e-17|-0.0926544202|-0.169984757|-0.171502698|-0.212046052|-0.212046052,0|0|0|0|0|0,1.61048582|1.24769473|0.499036209|0.523001652|0.290826716|0.302826716,optimal,0.25719484541475934,0.2513510604823548,0.005843784932404561,0.432759643|0.53099674|0.320739418,0|-0|0,0.009988183039240539,0.0030960390577092767,0.0014650600496679544,0.0019606250571087003
2,0.15000000000000002,-1.3904822226350553,0.35863178968429565,0.2460780143737793,0.2985168695449829,0.25329139828681946,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2147036790847778,7.771324634552002,182.7448272705078,1.348931074142456,1.348931074142456,0.2555887470367566,0.2460780143737793,0.009510732662977306,0.2001958505659479,0.1946149258344473,0.19644713330880478,0.18992863872971225,0.0065184945790925375,0.19644713863244861,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,0.3946444179531198,filtered,0,0,1,0,0,0,1,2,1.0,0.3652588060685634,1.348931074142456,0.0,1.0,0.09844140897097015,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,0.1562403029782822,0,0,12,joint_3_acceleration_upper|joint_4_acceleration_upper|joint_5_acceleration_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9597525000572205,0,osqp,0.0,valid,0.09844140897097015,0.9136028007608398,0|0.136824026|0.237928263|0.242829053|0.258274235|0.258274235,0.402415938|0.322223943|0.144960759|0.150484595|0.098441409|0.101441409,0.578096078|0.497904083|0.320640899|0.326164735|0.274121549|0.277121549,0.522415938|0.442223943|0.264960759|0.270484595|0.218441409|0.221441409,0|0.15|0.15|0.15|0.15|0.15,0|-0.0742988324|-0.0858779297|-0.0866094776|-0.151297052|-0.151297052,0|0|0|0|0|0,1.60966375|1.21459694|0.493965108|0.515328901|0.242468584|0.254468584,optimal,0.3872049108839338,0.18992863872971222,0.19727627215422155,0.432759643|0.53099674|0.320739418,0|-0|0,0.008873914019204676,0.002452144050039351,0.0012503690086305141,0.002031337935477495
3,0.2,-1.481995188365843,0.38556969165802,0.23646551370620728,0.29041585326194763,0.2711944878101349,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.330653190612793,3.015883684158325,107.85118103027344,1.330653190612793,1.330653190612793,0.24607800807554794,0.23646551370620728,0.009612494369340668,0.19583763496353276,0.19583762063747295,0.19217531708981578,0.19217530188760498,1.5202210795761673e-08,0.1921753121711943,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,0.11582526785336861,filtered,0,0,1,0,0,0,1,2,1.0,0.371577635370105,1.330653190612793,0.0,1.0,0.0994524216592168,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,2.980395614751907e-08,0,0,12,joint_4_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9971248507499695,0,osqp,0.0,valid,0.0994524216592168,0.9170857434524079,5.62028772e-20|0.112158304|0.170754245|0.169993966|0.195048985|0.195048985,0.402241791|0.321169803|0.152476353|0.157759303|0.0994524217|0.102452422,0.578096078|0.49702409|0.328330641|0.33361359|0.275306709|0.278306709,0.522241791|0.441169803|0.272476353|0.277759303|0.219452422|0.222452422,0|0.15|0.15|0.15|0.15|0.15,-4.04226252e-20|-0.075417644|-0.0855394667|-0.0894158919|-0.157022451|-0.157022451,0|0|0|0|0|0,1.60896716|1.20926157|0.524365947|0.54162132|0.240787236|0.252787236,optimal,0.3176424876784807,0.19217530188760507,0.12546718579087562,0.432759643|0.53099674|0.320739418,0|-0|0,0.009692208026535809,0.0028308730106800795,0.001449467963539064,0.0019509349949657917
4,0.25,-1.449658645975817,0.3732314109802246,0.22820986807346344,0.28349387645721436,0.25902825593948364,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.222785234451294,3.428025484085083,97.50155639648438,1.222785234451294,1.222785234451294,0.23646550453217574,0.22820986807346344,0.008255636458712301,0.16901888443859864,0.1690188700640295,0.16524162909619172,0.16524161384256572,1.525362600118818e-08,0.1652416226853968,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,2.239798946695776e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.3155770154509621,1.222785234451294,0.0,1.0,0.09049232247215394,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,3.0761509007246056e-08,0,0,12,joint_4_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.9945477247238159,0,osqp,0.0,valid,0.09049232247215394,0.9197880273402604,0|0.111173|0.165670615|0.164106801|0.19607469|0.19607469,0.402106676|0.317006951|0.147845897|0.152536706|0.0904923225|0.0934923225,0.578096078|0.492996352|0.323835298|0.328526107|0.266481724|0.269481724,0.522106676|0.437006951|0.267845897|0.272536706|0.210492322|0.213492322,0|0.15|0.15|0.15|0.15|0.15,0|-0.063492344|-0.0706888954|-0.0750587637|-0.134463991|-0.134463991,0|0|0|0|0|0,1.60842671|1.20453546|0.520694691|0.535088058|0.227505299|0.239505299,optimal,0.31327809741708984,0.16524161384256572,0.14803648357452412,0.432759643|0.53099674|0.320739418,0|-0|0,0.010110942064784467,0.002646894077770412,0.0018684909446164966,0.002304474008269608
5,0.30000000000000004,-1.4588152877642757,0.37458205223083496,0.22059191763401031,0.27714672684669495,0.2576228380203247,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1591366529464722,1.6988188028335571,39.62004089355469,1.1591366529464722,1.1591366529464722,0.22820986604563973,0.22059191763401031,0.0076179484116294105,0.15666956340514648,0.15666954902278968,0.15258128082521635,0.15258126552878165,1.5296434702216644e-08,0.152581279469412,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,2.5156918926200324e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.29357231114131943,1.1591366529464722,0.0,1.0,0.08697156978261111,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,2.9551016354016715e-08,0,0,12,joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,nan,0,,0.998883843421936,0,osqp,0.0,valid,0.08697156978261111,0.9218621364407965,0|0.0914860744|0.134013774|0.132692185|0.169014338|0.169014338,0.402002971|0.315576982|0.1462957|0.150821619|0.0869715698|0.0899715698,0.578096078|0.491670089|0.322388807|0.326914726|0.263064677|0.266064677,0.522002971|0.435576982|0.2662957|0.270821619|0.20697157|0.20997157,0|0.15|0.15|0.15|0.15|0.15,0|-0.0586731758|-0.0649564281|-0.0699020956|-0.123807133|-0.123807133,0|0|0|0|0|0,1.60801188|1.20363475|0.520226372|0.53338438|0.224079146|0.236079146,optimal,0.28746147612899425,0.15258126552878165,0.1348802106002126,0.432759643|0.53099674|0.320739418,0|-0|0,0.008743003010749817,0.0027046690229326487,0.0012214819435030222,0.0017600959399715066
6,0.35000000000000003,-1.4366497730325154,0.3661808371543884,0.21390530467033386,0.2716103792190552,0.24872656166553497,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.0230846405029297,2.782982349395752,33.4576416015625,1.0230846405029297,1.0230846405029297,0.22059191929567948,0.21390530467033386,0.006686614625345616,0.13804116346964118,0.13804116346964118,0.1339645290210424,0.1339645290210424,0.0,0.13396453003016695,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,2.549398837393278e-08,filtered,0,0,1,0,0,0,1,2,1.0,0.26409511649071066,1.0230846405029297,0.0,1.0,0.0822552186385137,0,0,0,0,0.1472218018947355,0.0,passthrough,osqp optimal,5.257941122137042e-12,0,0,12,,predictive_link_4,,,0,0,1,solved,nan,0,,0.9996406435966492,0,osqp,0.0,valid,0.0822552186385137,0.9236290693802494,1.22275056e-21|0.0829375996|0.119657866|0.118449044|0.156550438|0.156550438,0.401914624|0.313288781|0.143806961|0.148056648|0.0822552186|0.0852552186,0.578096078|0.489470235|0.319988415|0.324238102|0.258436672|0.261436672,0.521914624|0.433288781|0.263806961|0.268056648|0.202255219|0.205255219,0|0.15|0.15|0.15|0.15|0.15,-6.45672258e-22|-0.0522734319|-0.0573082248|-0.062276892|-0.108083463|-0.108083463,0|0|0|0|0|0,1.6076585|1.20088169|0.51791962|0.529949701|0.220937412|0.232937412,optimal,0.2767154688918971,0.1339645290210424,0.1427509398708547,0.432759643|0.53099674|0.320739418,0|-0|0,0.010432042996399105,0.0024342150427401066,0.0017983089201152325,0.001982123008929193
7,0.4,-1.463136261952221,0.3729856014251709,0.20751626789569855,0.2663470208644867,0.25192639231681824,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.981097936630249,0.8397339582443237,39.468292236328125,0.981097936630249,0.981097936630249,0.21390530776111238,0.20751626789569855,0.006389039865413837,0.13222250990907697,0.13222250990907697,0.12801604375556488,0.12801604375556488,0.0,0.1280160456053051,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,5.139302178901185e-12,passthrough,0,0,1,0,0,0,1,2,1.0,0.24392286964633855,0.981097936630249,0.0,1.0,0.07902765914341417,0,0,0,0,0.1472218018947355,0.0,passthrough,osqp optimal,5.849075655329385e-12,0,0,12,,predictive_link_4,,,0,0,1,solved,nan,0,,1.0,0,osqp,0.0,valid,0.07902765914341417,0.9250948238179649,0|0.0727723394|0.10361423|0.102550374|0.137888743|0.137888743,0.401841336|0.311572177|0.141962377|0.146002046|0.0790276591|0.0820276591,0.578096078|0.487826919|0.318217118|0.322256787|0.2552824|0.2582824,0.521841336|0.431572177|0.261962377|0.266002046|0.199027659|0.202027659,0|0.15|0.15|0.15|0.15|0.15,0|-0.051454557|-0.0559978149|-0.0613421807|-0.103004906|-0.103004906,0|0|0|0|0|0,1.60736535|1.19483415|0.511851692|0.522666003|0.21310573|0.22510573,optimal,0.2643142472462341,0.12801604375556494,0.13629820349066915,0.432759643|0.53099674|0.320739418,0|-0|0,0.010117194033227861,0.002649537054821849,0.001702339039184153,0.0020172400400042534
8,0.45,-1.4936811925674744,0.3807706832885742,0.20137448608875275,0.2613128125667572,0.25595954060554504,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9467597007751465,0.686765193939209,3.059375762939453,0.9467597007751465,0.9467597007751465,0.20751627592281247,0.20137448608875275,0.006141789834059719,0.1274224650197609,0.1274224650197609,0.12307414271836106,0.12307414271836106,0.0,0.12307414747909703,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,5.961765321226797e-12,passthrough,0,0,1,0,0,0,1,2,1.0,0.21564917048462823,0.9467597007751465,0.0,1.0,0.07450386727754052,0,0,0,0,0.1472218018947355,0.0,passthrough,osqp optimal,5.847444636803383e-12,0,0,12,,predictive_link_4,,,0,0,1,solved,nan,0,,1.0,0,osqp,0.0,valid,0.07450386727754052,0.9264477411903554,0|0.0707589255|0.0995176361|0.0985021842|0.132051472|0.132051472,0.401773691|0.30902551|0.139225883|0.142940099|0.0745038673|0.0775038673,0.578096078|0.485347897|0.31554827|0.319262486|0.250826254|0.253826254,0.521773691|0.42902551|0.259225883|0.262940099|0.194503867|0.197503867,0|0.15|0.15|0.15|0.15|0.15,0|-0.0508349963|-0.0547466645|-0.0603713753|-0.0985298792|-0.0985298792,0|0|0|0|0|0,1.60709476|1.18526704|0.502156868|0.511389019|0.19948559|0.21148559,optimal,0.2620905636453108,0.12307414271836103,0.13901642092694977,0.432759643|0.53099674|0.320739418,0|-0|0,0.010596878011710942,0.002532196929678321,0.0019042189233005047,0.001804480911232531
9,0.5,-1.5240215368844225,0.3884524703025818,0.19547167420387268,0.25649887323379517,0.2599654197692871,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9136240482330322,0.6627123355865479,0.481057345867157,0.9136228561401367,0.9136228561401367,0.20137449368572866,0.19547167420387268,0.005902819481855975,0.1227748924355184,0.12277495328274572,0.11829656509209621,0.11829662037176718,-5.52796709657466e-08,0.11829656955490662,0,0,disabled,0.0,1,TRACK,direct_path,0,0.3734900379786268,0.3734900379786268,1,1,1,1,0,1.763404986879902,0.14668971300125122,0.053762210927332514,0.14668971300125122,64,0,0,0,0,0,0,0,1,88,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 65, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,65,65,nan,nan,6.176271161537472e-12,passthrough,0,0,1,0,0,0,1,2,1.0,0.18803492076512074,0.9136228561401367,0.0,1.0,0.07008558732241932,0,0,0,0,0.1472218018947355,0.0,filtered,osqp optimal,1.5822544705899378e-06,0,0,12,,predictive_link_4,,,0,0,1,solved,nan,0,,1.0000001192092896,0,osqp,0.0,valid,0.07008558732241932,0.9277044591968522,1.25187336e-19|0.0692331726|0.0962008847|0.0952183448|0.127239304|0.127239304,0.401710855|0.306472435|0.136515952|0.139893467|0.0700855873|0.0730855873,0.578096078|0.482857658|0.312901175|0.31627869|0.24647081|0.24947081,0.521710855|0.426472435|0.256515952|0.259893467|0.190085587|0.193085587,0|0.15|0.15|0.15|0.15|0.15,8.58048009e-20|-0.0501631533|-0.0534738733|-0.0593276815|-0.0942108218|-0.0942108218,0|0|0|0|0|0,1.60684342|1.17572659|0.492589935|0.500246186|0.186131527|0.198131527,optimal,0.2605037050792063,0.11829662037176719,0.1422070847074391,0.432759643|0.53099674|0.320739418,0|-0|0,0.009327616076916456,0.002565342001616955,0.00120566098485142,0.0027334539918228984
