step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_rejection_counts,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7637265123364386,0.07725083082914352,0.5237205028533936,0.4565602242946625,0.06421157717704773,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.48989805579185486,9.797961235046387,195.95921325683594,1.4958912134170532,1.4958912134170532,0.5294673431018008,0.5237205028533936,0.0057468402484072145,0.457413116271261,0.13470994961649024,0.4298656439026374,0.115481876390109,0.3143837675125284,0.4298656429427829,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,1.0,1.4958912134170532,0.0,1.0,0.2784192015832014,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.0353423549918621,0,0,12,joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,workspace_x_upper,,,0,0,1,solved,osqp,0.0,valid,0.2784192015832014,0.9792539133705056,0|0|0|0|0|0,,,,,,,,,,0.01281993102747947,0.0025110339047387242,0.002168114995583892,0.002742126933299005
1,0.1,-0.9703850095013038,0.1637241095304489,0.5117072463035583,0.4547373354434967,0.14601892232894897,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9237892031669617,8.965810775756836,67.57820129394531,1.4865707159042358,1.4865707159042358,0.5237204827503015,0.5117072463035583,0.012013236446743125,0.456962480396797,0.27105321009263617,0.4306027239810741,0.241263501693492,0.18933922228758207,0.4306027074523222,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,0.692124096796342,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4865707159042358,0.0,1.0,0.2751466570393349,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,0.6015589454540509,0,0,12,joint_4_acceleration_lower|joint_2_acceleration_upper|joint_5_acceleration_upper,workspace_x_upper,,,0,0,1,solved,osqp,0.0,valid,0.2751466570393349,0.9772245407113612,6.93997038e-19|0.0788718882|0.0906879435|0.116917541|0.134119279|0.134159105,,,,,,,,,,0.01078335102647543,0.002696093055419624,0.0014582009753212333,0.00202410900965333
2,0.15000000000000002,-1.190232831030209,0.2566676735877991,0.49338915944099426,0.4497673809528351,0.2296735644340515,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2829049825668335,8.01372241973877,81.62451171875,1.4716796875,1.4716796875,0.5117072139313764,0.49338915944099426,0.018318054490382152,0.4563295219873308,0.38753943715324546,0.43116475683907807,0.3678269531469024,0.06333780369217568,0.431164729562263,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,0.4046621792143543,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4716796875,0.0,1.0,0.27041486419446287,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,0.1999982281702163,0,0,12,,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.27041486419446287,0.9720413179444495,0|0.155303582|0.181726367|0.230901683|0.263114369|0.268539077,,,,,,,,,,0.011637272080406547,0.0031669349409639835,0.0014368370175361633,0.0018588609527796507
3,0.2,-1.294794762606291,0.3094978928565979,0.47172632813453674,0.4420607388019562,0.2732180655002594,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4583016633987427,4.10206937789917,81.89253234863281,1.4583016633987427,1.4583016633987427,0.4933891695450035,0.47172632813453674,0.02166284141046676,0.45709564865863517,0.45709564865863517,0.4328966490817475,0.4328966490817475,0.0,0.4328966579469438,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,0.13589793340829562,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4583016633987427,0.0,1.0,0.25560532954302995,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.3186996717803984e-08,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.25560532954302995,0.963899457704528,0|0.157721431|0.206167512|0.302004913|0.353642002|0.384196677,,,,,,,,,,0.012121809995733202,0.0032422980293631554,0.001801560982130468,0.0018256210023537278
4,0.25,-1.310009814614864,0.32426363229751587,0.4499475955963135,0.4330642521381378,0.2813815176486969,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4473944902420044,0.8172731995582581,80.02058410644531,1.4473944902420044,1.4473944902420044,0.4717263087654497,0.4499475955963135,0.02177871316913621,0.4587834541935663,0.4587834541935663,0.4352569185120347,0.4352569185120347,0.0,0.4352569006403819,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,9.042708411283126e-09,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4473944902420044,0.0,1.0,0.2398315545583139,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.1915705822386832e-08,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.2398315545583139,0.9542172098205811,5.82900529e-17|0.142657758|0.227223519|0.361598051|0.412669936|0.45343468,,,,,,,,,,0.012570468010380864,0.0032448619604110718,0.0016238460084423423,0.0023935569915920496
5,0.30000000000000004,-1.3371906762274584,0.3411465585231781,0.4280628561973572,0.4228096902370453,0.290152907371521,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.43849778175354,0.735755443572998,1.630366325378418,1.43849778175354,1.43849778175354,0.4499475829156919,0.4280628561973572,0.021884726718334746,0.4608717417599256,0.4608717417599256,0.43750243122108196,0.43750243122108196,0.0,0.43750241889119545,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,8.232521197724419e-09,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.43849778175354,0.0,1.0,0.22745289503843774,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.1051383968729449e-08,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.22745289503843774,0.9443347202583743,0|0.127263341|0.23727584|0.376793296|0.414318691|0.455199499,,,,,,,,,,0.011712079984135926,0.0030731710139662027,0.0015268679708242416,0.0019685029983520508
6,0.35000000000000003,-1.3859905802890637,0.36290228366851807,0.406091570854187,0.4113442003726959,0.2994667887687683,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4312516450881958,0.6622231602668762,1.470645785331726,1.4312516450881958,1.4312516450881958,0.4280628448331541,0.406091570854187,0.021971273978967087,0.4629873775348361,0.4629873775348361,0.4394292708517857,0.4394292708517857,0.0,0.4394292591858272,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,7.682586729649123e-09,filtered,0,0,1,0,0,0,1,2,1.0,1.0,1.4312516450881958,0.0,1.0,0.20817006995324183,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.0138450160450418e-08,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.20817006995324183,0.9342446836291836,0|0.11352364|0.252040999|0.39301|0.417180122|0.45727871,,,,,,,,,,0.013309999951161444,0.00326610601041466,0.002112540998496115,0.002077140030451119
7,0.4,-1.4582356425913936,0.38992536067962646,0.3840632140636444,0.39873018860816956,0.31297239661216736,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4253567457199097,0.5959640145301819,1.3251839876174927,1.4253567457199097,1.4253567457199097,0.40609156102134464,0.3840632140636444,0.02202834695770023,0.46487007854747975,0.46487007854747975,0.4408463881637978,0.4408463881637978,0.0,0.4408463774894245,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,7.083625157912515e-09,filtered,0,0,1,0,0,0,1,2,1.0,0.9239187367029648,1.4253567457199097,0.0,1.0,0.18782699787247437,0,0,0,0,0.2784192015832014,0.0,passthrough,osqp optimal,9.175663179246962e-09,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.18782699787247437,0.9239393881356499,0|0.101281208|0.270080581|0.409535452|0.420683794|0.459316282,,,,,,,,,,0.013688467908650637,0.003269118955358863,0.002092941082082689,0.002569179981946945
8,0.45,-1.5335887894118676,0.417071670293808,0.36201661825180054,0.38303518295288086,0.32750391960144043,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.420564889907837,0.5363680720329285,1.1919186115264893,1.420564889907837,1.420564889907837,0.38406322544287885,0.36201661825180054,0.022046607191078316,0.466346294625062,0.466346294625062,0.4415691750831689,0.4415691750831689,0.0,0.44156918816622137,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,6.437450278184624e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.7949170146213538,1.420564889907837,0.0,1.0,0.16718672233941662,0,0,0,0,0.2784192015832014,0.0,passthrough,osqp optimal,8.225019252446424e-09,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_2_velocity_upper|joint_5_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.16718672233941662,0.9134129187385595,0|0.0903846617|0.290134437|0.424407732|0.424407732|0.461067316,,,,,,,,,,0.01819405995775014,0.004996678908355534,0.0023861010558903217,0.002610070980153978
9,0.5,-1.625847896165235,0.4475252032279968,0.3400391638278961,0.3629721701145172,0.3436049520969391,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4078571796417236,0.9380671977996826,8.77896785736084,1.4078571796417236,1.4078571796417236,0.362016624826793,0.3400391638278961,0.02197746099889686,0.4691298873636311,0.4691298873636311,0.4406032984904747,0.4406032984904747,0.0,0.4406033064927686,0,0,disabled,0.0,1,TRACK,direct_path,0,1.7676935689523816,1.7676935689523816,9,1,1,1,5,1.9755965397301762,0.12103157490491867,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'invalid_state': 56}",0.001031574904918675,inf,5.789963774889611e-09,passthrough,0,0,1,0,0,0,1,2,1.0,0.6762546199466936,1.4078571796417236,0.0,1.0,0.14820073919147098,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.983577901767361e-08,0,0,12,joint_0_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.14820073919147098,0.9026592343220785,0|0.0806918855|0.311191709|0.428049614|0.428049614|0.462372538,,,,,,,,,,0.01747832295950502,0.004971069982275367,0.0021144499769434333,0.0025597329949960113
