step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_obstacle_aware_attempted,hierarchical_ik_obstacle_aware_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1017836797172051,0.26654401421546936,0.2682282328605652,0.31674903631210327,0.18563169240951538,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.32877209782600403,6.575441837310791,131.5088348388672,1.2215677499771118,1.2215677499771118,0.2744842762260626,0.2682282328605652,0.006256043365497399,0.42194981567780127,0.14801984156844966,0.38452264925257806,0.12608873682382962,0.25843391242874847,0.3845226484884159,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,2,1.0,0.6701362618420967,1.2215677499771118,0.0,1.0,0.1472218018947355,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,1.0257045855807938,0,0,12,joint_0_acceleration_upper|joint_4_acceleration_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.131088734772297,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.1472218018947355,0.9074086755210774,0|0|0|0|0|0,0.402725644|0.344481291|0.184581832|0.191377068|0.147221802|0.150221802,0.578096078|0.519851725|0.359952266|0.366747502|0.322592236|0.325592236,0.522725644|0.464481291|0.304581832|0.311377068|0.267221802|0.270221802,0|0|0|0|0|0,0|-0.040007795|-0.10978711|-0.110535214|-0.117189604|-0.117189604,0|0|0|0|0|0,1.61090258|1.33791737|0.628540219|0.65497306|0.471697604|0.483697604,optimal,0.131088734772297,0.12608873682382962,0.004999997948467366,0.432759643|0.53099674|0.320739418,0|-0|0,0.42478228197433054,0.0028424030169844627,0.001380380941554904,0.41529758309479803
1,0.1,-1.613986538484034,0.4256114959716797,0.2557850182056427,0.30508604645729065,0.30749472975730896,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.669614315032959,6.8311543464660645,13.39984130859375,0.9468868374824524,0.9468868374824524,0.2682282234124622,0.2557850182056427,0.012443205206819519,0.32439207224693906,0.3077717964266231,0.29518187080316294,0.25185910923191734,0.043322761571245594,0.2951818604056418,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,0.8396624629293071,filtered,0,0,1,0,0,0,1,2,1.0,0.5248562271423346,0.9468868374824524,0.0,1.0,0.12397699634277354,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.6998089645516673,0,0,12,joint_0_acceleration_upper|joint_1_acceleration_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.25685910782969673,1,continuity_tiebreak,0.9988910555839539,0,goal_velocity_linprog,0.0,valid,0.12397699634277354,0.9077283419005301,0|0.0559064738|0.135400608|0.138113301|0.14839578|0.14839578,0.40270966|0.336304795|0.162647722|0.169142246|0.123976996|0.126976986,0.578096078|0.511691212|0.338034139|0.344528663|0.299363413|0.302363403,0.52270966|0.456304795|0.282647722|0.289142246|0.243976996|0.246976986,0|0.15|0.15|0.15|0.15|0.15,0|-0.0871636329|-0.219715354|-0.219864552|-0.22671875|-0.22671875,0|0|0|0|0|0,1.61083864|1.25805555|0.430875535|0.45670443|0.269189235|0.281189194,optimal,0.25685910782969673,0.25185910923191734,0.004999998597779387,0.432759643|0.53099674|0.320739418,0|-0|0,0.019629694987088442,0.002569639007560909,0.001494455966167152,0.006190767977386713
2,0.15000000000000002,-2.071117461323034,0.5720062851905823,0.2371690571308136,0.2880394756793976,0.4012106955051422,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.026667594909668,7.537437438964844,59.471187591552734,0.6086631417274475,0.6086631417274475,0.25578502727069047,0.2371690571308136,0.01861597013987687,0.20645133401891613,0.43910881309553335,0.18822312096404362,0.375489865420689,-0.1872667444566454,0.18822312763469068,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,0.739062934291381,filtered,0,0,1,0,0,0,1,2,1.0,0.3487070806249911,0.6086631417274475,0.0,1.0,0.09579313289999858,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.7172479106594823,0,0,12,joint_0_acceleration_upper|joint_1_acceleration_upper|joint_4_acceleration_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.3804898578533087,1,continuity_tiebreak,0.9894209504127502,0,goal_velocity_linprog,0.0,valid,0.09579313289999858,0.9083942740784446,0|0.125841378|0.287359807|0.293286145|0.309561468|0.309561468,0.402676364|0.324065151|0.134490793|0.140397723|0.0957931329|0.0987931329,0.578096078|0.499484865|0.309910506|0.315817436|0.271212847|0.274212847,0.522676364|0.444065151|0.254490793|0.260397723|0.215793133|0.218793133,0|0.15|0.15|0.15|0.15|0.15,0|-0.140325984|-0.308314857|-0.308316431|-0.316889002|-0.316889002,0|0|0|0|0|0,1.61070546|1.15593462|0.229648314|0.253274459|0.0662835301|0.0782835301,optimal,0.3804898578533087,0.375489865420689,0.004999992432619671,0.432759643|0.53099674|0.320739418,0|-0|0,0.015552990953437984,0.002784759970381856,0.0016360220033675432,0.006350788986310363
3,0.2,-2.0636855312520903,0.5721967220306396,0.21914267539978027,0.2731803059577942,0.3991398811340332,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1384800672531128,5.76757287979126,145.07174682617188,0.4327247738838196,0.4327247738838196,0.2371690612377666,0.21914267539978027,0.018026385837986325,0.1448149658499031,0.44635568843162193,0.13242831484661768,0.36416535695749697,-0.23173704211087928,0.13242831713982098,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.14813484146677922,0.4327247738838196,0.0,1.0,0.06370157463468468,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.8234948805721259,0,1,12,predictive_link_4|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.3691653564301743,1,continuity_tiebreak,0.9697732925415039,0,goal_velocity_linprog,0.0,valid,0.06370157463468468,0.911774466005413,0|0.203812355|0.411459674|0.419790206|0.444323212|0.444323212,0.402507354|0.30716443|0.103157881|0.108555354|0.0637015746|0.0667015735,0.578096078|0.482753153|0.278746605|0.284144078|0.239290298|0.242290297,0.522507354|0.42716443|0.223157881|0.228555354|0.183701575|0.186701574,0|0.15|0.15|0.15|0.15|0.15,0|-0.17274599|-0.272498326|-0.272496605|-0.254806301|-0.254806301,0|0|0|0|0|0,1.61002942|1.05591173|0.140133199|0.161724812|-2.51043081e-09|0.011999993,optimal,0.3691653564301743,0.3641653569574969,0.0049999994726773744,0.432759643|0.53099674|0.320739418,0|-0|0,0.015705298981629312,0.0025270440382882953,0.0013274549273774028,0.006827453034929931
4,0.25,-2.151543472669632,0.6001766920089722,0.20067843794822693,0.2592865228652954,0.4128754436969757,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.2422351837158203,5.1471428871154785,54.65342712402344,0.4008089303970337,0.4008089303970337,0.21914268272186543,0.20067843794822693,0.018464244773638505,0.13373074126333032,0.4375748632683741,0.12279218958652835,0.3708986311306271,-0.24810644154409875,0.12279219368931148,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.10235267585189306,0.4008089303970337,0.0,1.0,0.05637642813630289,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.9142007065783441,0,1,12,predictive_link_4|joint_2_acceleration_lower|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.3758986175232008,1,continuity_tiebreak,0.9803899526596069,0,goal_velocity_linprog,0.0,valid,0.05637642813630289,0.919662937851139,4.66212754e-17|0.26050163|0.426884677|0.43151389|0.453402609|0.453402609,0.402112931|0.29191831|0.0919589184|0.0979682243|0.0563764281|0.0593764034,0.578096078|0.467901457|0.267942065|0.273951371|0.232359575|0.23535955,0.522112931|0.41191831|0.211958918|0.217968224|0.176376428|0.179376403,0|0.15|0.15|0.15|0.15|0.15,-2.88649909e-17|-0.186430122|-0.24811629|-0.248069452|-0.22550573|-0.22550573,0|0|0|0|0|0,1.60845172|0.981243118|0.119719384|0.143803445|-1.70854171e-08|0.0119998839,optimal,0.3758986175232008,0.37089863113062715,0.004999986392573652,0.432759643|0.53099674|0.320739418,0|-0|0,0.017701442004181445,0.0026153589133173227,0.0015658929478377104,0.008856031112372875
5,0.30000000000000004,-2.1375773965607103,0.5979140996932983,0.18272720277309418,0.2474079132080078,0.40980446338653564,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3536944389343262,4.758959770202637,22.372961044311523,0.3635254502296448,0.3635254502296448,0.2006784323068868,0.18272720277309418,0.017951229533792634,0.12154048972764277,0.43518708663896244,0.11209541146550911,0.3612472951943867,-0.2491518837288776,0.11209540831435671,0,0,disabled,0.0,1,TRACK,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,0,0,1,0,0,0,1,2,1.0,0.03062456482784627,0.3635254502296448,0.0,1.0,0.044899930372455404,0,0,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,1.04522474974872,0,1,12,predictive_link_4|joint_2_velocity_lower|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.36624730511497494,1,continuity_tiebreak,0.9868590235710144,0,goal_velocity_linprog,2.7755575615628914e-17,valid,0.044899930372455404,0.9319009937314241,0|0.274312984|0.399575764|0.402196846|0.444004952|0.444004952,0.401501028|0.278769153|0.0797798889|0.0863544375|0.0448999304|0.0478999304,0.578096078|0.455364203|0.256374939|0.262949487|0.22149498|0.22449498,0.521501028|0.398769153|0.199779889|0.206354438|0.16489993|0.16789993,0|0.15|0.15|0.15|0.15|0.15,0|-0.197868779|-0.214746344|-0.214578349|-0.179599714|-0.179599714,0|0|0|0|0|0,1.60600411|0.917207834|0.104373211|0.130839401|7.62360267e-09|0.0120000076,optimal,0.36624730511497494,0.3612472951943867,0.005000009920588244,0.432759643|0.53099674|0.320739418,0|-0|0,0.020744867040775716,0.004268776974640787,0.0019655750365927815,0.007649627979844809
6,0.35000000000000003,-2.237173833664794,0.6238169074058533,0.1652851402759552,0.23623666167259216,0.42424657940864563,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4229447841644287,3.499962568283081,65.70751190185547,0.3499999940395355,0.0,0.1827272135669059,0.1652851402759552,0.01744207329095071,0.2165158931607739,0.44605054438976055,-0.18946856233121862,0.3537274171192859,-0.5431959794505046,0.0,1,0,disabled,0.0,1,AVOID_HOLD,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,0,0,1,0,1,1,1,2,1.0,0.0,0.0,0.0,1.0,0.03907510644820039,1,1,0,0,0.1472218018947355,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.5283243075714348,0,1,12,predictive_link_4|joint_2_velocity_lower|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.35872741904322264,1,continuity_tiebreak,0.9932954907417297,0,goal_velocity_linprog,0.0,valid,0.03907510644820039,0.9477519437568949,0|0.286628779|0.372339027|0.372503466|0.439011487|0.439011487,0.40070848|0.265651225|0.0718850895|0.0788712135|0.0390751064|0.0420751064,0.578096078|0.443038822|0.249272687|0.256258811|0.216462704|0.219462704,0.52070848|0.385651225|0.19188509|0.198871213|0.159075106|0.162075106,0|0.15|0.15|0.15|0.15|0.15,0|-0.211953822|-0.214963603|-0.214926508|-0.156300425|-0.156300425,0|0|0|0|0|0,1.60283392|0.850651079|0.0725767551|0.100558346|5.22226901e-10|0.0120000005,optimal,0.35872741904322264,0.3537274171192859,0.005000001923936737,0.432759643|0.53099674|0.320739418,0|-0|0,0.01745348295662552,0.003828416927717626,0.0013638840755447745,0.006814938969910145
7,0.4,-2.2673259759796127,0.6249015927314758,0.14987994730472565,0.22665345668792725,0.42333266139030457,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4099758863449097,0.9223954081535339,69.28006744384766,0.9725406169891357,0.9725406169891357,0.16528514872074201,0.14987994730472565,0.015405201416016367,0.4609833707564888,0.43284254928463295,0.4601634166992127,0.31682992518367437,0.1433334915155383,0.46016344020998895,0,0,disabled,0.0,1,SERVO,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,1,0,1,0,2,2,1,2,1.0,0.0,0.9725406169891357,0.0,1.0,0.030009350099654608,0,1,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.8089529366474032,0,1,12,predictive_link_4|joint_2_velocity_lower|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.3218299240329942,1,continuity_tiebreak,0.99951171875,0,goal_velocity_linprog,1.3877787807814457e-17,valid,0.030009350099654608,0.9645002105926446,4.28269014e-19|0.300265382|0.373894539|0.373894539|0.44866105|0.44866105,0.399871067|0.251194132|0.0585569835|0.0655962309|0.0300093501|0.0330093501,0.578096078|0.429419142|0.236781994|0.243821241|0.208234361|0.211234361,0.519871067|0.371194132|0.178556984|0.185596231|0.15000935|0.15300935,0|0.15|0.15|0.15|0.15|0.15,-2.58633252e-19|-0.221105691|-0.196842774|-0.194742471|-0.120037404|-0.120037404,0|0|0|0|0|0,1.59948427|0.783670835|0.0373851605|0.0676424528|-3.35564641e-09|0.0119999966,optimal,0.3218299240329942,0.31682992518367437,0.004999998849319842,0.432759643|0.53099674|0.320739418,0|-0|0,0.014595201006159186,0.002742103999480605,0.0013064299710094929,0.0071131609147414565
8,0.45,-2.3351555616562467,0.6355544328689575,0.13631011545658112,0.21810683608055115,0.4283865988254547,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4108136892318726,0.582308292388916,10.077847480773926,0.8787932395935059,0.8787932395935059,0.14987995193596315,0.13631011545658112,0.013569836479382036,0.46991590207290035,0.42681208703033124,0.46976150091380525,0.28432750149022556,0.1854339994235797,0.46976151542926997,0,0,disabled,0.0,1,SERVO,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,0.8317934721860979,filtered,2,0,1,0,3,1,1,2,1.0,0.0,0.8787932395935059,0.0,1.0,0.024651857467983512,0,1,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,0.9555439464297215,0,1,12,predictive_link_4|joint_2_velocity_lower|joint_1_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.28932749969344557,1,continuity_tiebreak,0.9997870922088623,0,goal_velocity_linprog,0.0,valid,0.024651857467983512,0.9808616953486063,0|0.309226954|0.36297994|0.36297994|0.434134861|0.434134861,0.399052993|0.237542659|0.0492591348|0.0564369109|0.0246518575|0.0276518575,0.578096078|0.416585744|0.22830222|0.235479996|0.203694942|0.206694942,0.519052993|0.357542659|0.169259135|0.176436911|0.144651857|0.147651857,0|0.15|0.15|0.15|0.15|0.15,0|-0.229654595|-0.189516957|-0.18467578|-0.0986074354|-0.0986074354,0|0|0|0|0|0,1.59621197|0.720516042|0.00751958242|0.0410718635|-5.47993864e-09|0.0119999945,optimal,0.28932749969344557,0.28432750149022556,0.004999998203220002,0.432759643|0.53099674|0.320739418,0|-0|0,0.015565523994155228,0.0025635530473664403,0.0013052539434283972,0.008054065983742476
9,0.5,-2.320717950601535,0.6255621314048767,0.12443365901708603,0.21126949787139893,0.4169127941131592,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3197920322418213,3.57515025138855,68.331298828125,0.7736485600471497,0.7736485600471497,0.1363101070238247,0.12443365901708603,0.011876448006738677,0.46404195971382356,0.370339829742447,0.46388334455720115,0.2487920880335642,0.21509125652363695,0.46388331585929243,0,0,disabled,0.0,1,SERVO,direct_path,0,0.402078572078608,0.402078572078608,8,1,1,1,0,0.6875054028705646,0.14548495411872864,0.039931397098636794;0.03923875137876076;0.04149763505279176;0.04408367836311197;0.042672171777398835;0.03993882116457392;0.0376820764154831;0.02191026579528638,0.14548495411872864;0.13507792353630066;0.1369474083185196;0.13209272921085358;0.12546372413635254;0.13321436941623688;0.12107285112142563;0.12649603188037872,96,0,0,1,8,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 89, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,97,97,nan,nan,1.0,filtered,3,0,1,0,4,1,1,2,1.0,0.0,0.7736485600471497,0.0,1.0,0.018679971531956246,0,1,0,0,0.1472218018947355,0.0,filtered,linprog goal-velocity priority optimal,1.0182683296787778,0,1,12,predictive_link_4|joint_2_velocity_lower|joint_3_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.25379208518511603,1,continuity_tiebreak,0.9936440587043762,0,goal_velocity_linprog,2.7755575615628914e-17,valid,0.018679971531956246,0.9968891296917687,0|0.309539691|0.359445591|0.359445591|0.427213339|0.427213339,0.398251621|0.22446382|0.0387059783|0.0461600469|0.0186799715|0.0216799693,0.578096078|0.404308277|0.218550435|0.226004503|0.198524428|0.201524426,0.518251621|0.34446382|0.158705978|0.166160047|0.138679972|0.141679969,0|0.15|0.15|0.15|0.15|0.15,0|-0.184232749|-0.149409429|-0.142961771|-0.074719892|-0.074719892,0|0|0|0|0|0,1.59300649|0.713622532|0.00541448379|0.0416784164|-5.8948835e-09|0.0119999851,optimal,0.25379208518511603,0.24879208803356423,0.004999997151551805,0.432759643|0.53099674|0.320739418,0|-0|0,0.015515657956711948,0.0032728509977459908,0.0013742429437115788,0.007514798082411289
