step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.7828772531636059,0.08093057572841644,0.5239410400390625,0.45655032992362976,0.06679166108369827,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979365825653,9.797958374023438,195.95916748046875,1.6755025386810303,1.6755025386810303,0.5294673431018008,0.5239410400390625,0.005526303062738269,0.40109009895919057,0.12125896595606288,0.3870834472582579,0.11104100161975852,0.27604244563849933,0.3870834463939325,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.0,not_enabled,0,0,1,0,0,0,1,3,0.5,1.0,1.6755025386810303,0.0,1.0,0.2784192015832014,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.1866791107334573,0,0,12,joint_5_acceleration_lower|joint_3_acceleration_upper|joint_4_acceleration_upper,workspace_x_upper,,,0,0,1,solved,osqp,0.0,valid,0.2784192015832014,0.9792539133705056,0|0|0|0|0|0,,,,,,,,,,0.010228901985101402,0.00254196603782475,0.0017375850584357977,0.0016402429901063442
1,0.1,-1.0195642656466952,0.16995234787464142,0.5130376815795898,0.4547230899333954,0.1489868462085724,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9797958731651306,9.797959327697754,0.0003038317081518471,1.6684696674346924,1.6684696674346924,0.5239410292146996,0.5130376815795898,0.010903347635109806,0.3950055082821438,0.24091548986164943,0.38390631511045276,0.2201376100386211,0.16376870507183167,0.3839063071791381,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.7082526485860303,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6684696674346924,0.0,1.0,0.2752647446080052,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,0.693969434104628,0,0,12,joint_5_acceleration_lower|joint_2_acceleration_upper|joint_3_acceleration_upper|joint_4_acceleration_upper,workspace_x_upper,,,0,0,1,solved,osqp,0.0,valid,0.2752647446080052,0.9746488426900053,3.46989808e-19|0.0788686023|0.0906843541|0.11691209|0.133626875|0.120458138,,,,,,,,,,0.010364930029027164,0.0025547120021656156,0.0015486889751628041,0.001584704965353012
2,0.15000000000000002,-1.266206014447921,0.2628212869167328,0.49704113602638245,0.450975626707077,0.23167690634727478,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4453942775726318,9.358901977539062,24.904804229736328,1.655040979385376,1.655040979385376,0.5130376693250656,0.49704113602638245,0.015996533298683113,0.3841137215410772,0.34156574792302885,0.37781382514016526,0.32399770726418237,0.053816117875982894,0.37781381611562603,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.415931705352259,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.655040979385376,0.0,1.0,0.2707340269291461,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,0.22360523168130414,0,0,12,,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.2707340269291461,0.965335942805461,6.93956868e-19|0.155306978|0.181731555|0.230902833|0.264898325|0.237668522,,,,,,,,,,0.011530476971529424,0.0033668939722701907,0.0012182790087535977,0.0015667560510337353
3,0.2,-1.3906302664939132,0.3148530125617981,0.4787469804286957,0.4444939196109772,0.2736029326915741,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.638356328010559,4.599646091461182,117.76665496826172,1.638356328010559,1.638356328010559,0.49704115873874477,0.4787469804286957,0.018294178310049092,0.3719859618849677,0.3719859618849677,0.36999894237910996,0.36999894237910996,0.0,0.369998959286262,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,0.13510555597502077,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.638356328010559,0.0,1.0,0.2614714648270386,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.1763679892631127e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_3_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.2614714648270386,0.9513075329177862,2.08180743e-18|0.205053392|0.249983138|0.331954584|0.381504535|0.334907084,,,,,,,,,,0.010493578971363604,0.002827257034368813,0.0012634249869734049,0.0015316650969907641
4,0.25,-1.4163814229530594,0.32788172364234924,0.4609515070915222,0.4366443455219269,0.28013429045677185,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.6012755632400513,1.4848053455352783,101.53501892089844,1.6012755632400513,1.6012755632400513,0.4787469855285954,0.4609515070915222,0.017795478437073187,0.35986935596668806,0.35986935596668806,0.35963927089964687,0.35963927089964687,0.0,0.35963927473073987,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,7.180171792613427e-09,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.6012755632400513,0.0,1.0,0.24431715595102144,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.4526686021636782e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.24431715595102144,0.9349879074876549,0|0.182604607|0.250936074|0.387489475|0.431858967|0.364376146,,,,,,,,,,0.009974627988412976,0.002567337010987103,0.0012979039456695318,0.0016061520436778665
5,0.30000000000000004,-1.4606348118031247,0.34473738074302673,0.4436105787754059,0.4274483621120453,0.2887780964374542,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5650498867034912,1.5534069538116455,3.786533832550049,1.5650498867034912,1.5650498867034912,0.46095150453681477,0.4436105787754059,0.017340925761408887,0.3503013082987124,0.3503013082987124,0.3501684970195468,0.3501684970195468,0.0,0.35016849507882625,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,9.071946362712994e-09,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.5650498867034912,0.0,1.0,0.22550899239288558,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.4871881535959741e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_4,,,0,0,1,solved,osqp,0.0,valid,0.22550899239288558,0.91881378272322,0|0.161248203|0.249514592|0.408250708|0.427707984|0.352788859,,,,,,,,,,0.011651250068098307,0.003307727980427444,0.0012164779473096132,0.001602674019522965
6,0.35000000000000003,-1.5052603866292749,0.36157935857772827,0.4266488552093506,0.41693541407585144,0.2973540127277374,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5350761413574219,1.3981602191925049,3.1049344539642334,1.5350761413574219,1.5350761413574219,0.4436105657395289,0.4266488552093506,0.01696171053017831,0.34354823789634364,0.34354823789634364,0.34225847355011046,0.34225847355011046,0.0,0.34225846349255196,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,9.502496797264913e-09,filtered,0,0,1,0,0,0,1,3,0.5,1.0,1.5350761413574219,0.0,1.0,0.2051491857282824,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.532654657819543e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.2051491857282824,0.9028743764958925,4.85746057e-18|0.142355661|0.255288965|0.424827952|0.424827952|0.343811205,,,,,,,,,,0.011179069988429546,0.0034539549378678203,0.001303795026615262,0.0016880949260666966
7,0.4,-1.5577003784284422,0.3802277147769928,0.4100056290626526,0.40099209547042847,0.3068965971469879,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5103583335876465,1.2584047317504883,2.795111656188965,1.5103583335876465,1.5103583335876465,0.4266488517972635,0.4100056290626526,0.016643222734610885,0.33901858819004677,0.33901858819004677,0.3356272929874689,0.3356272929874689,0.0,0.3356272903033189,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,9.984225645408458e-09,filtered,0,0,1,0,0,0,1,3,0.5,0.9202320504468104,1.5103583335876465,0.0,1.0,0.18723712807148968,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.604536490710079e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.18723712807148968,0.8871490024232611,2.00277991e-17|0.125653365|0.26696036|0.423226386|0.423226386|0.337644776,,,,,,,,,,0.009715488064102829,0.002526373020373285,0.001342542003840208,0.0017147429753094912
8,0.45,-1.617404438244121,0.40051740407943726,0.39363402128219604,0.3817638158798218,0.3173157870769501,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4900342226028442,1.1325924396514893,2.5162460803985596,1.4900342226028442,1.4900342226028442,0.4100056377868591,0.39363402128219604,0.016371616504663067,0.33618842170141955,0.33618842170141955,0.3300029322364112,0.3300029322364112,0.0,0.3300029392582995,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.0623548432369195e-08,filtered,0,0,1,0,0,0,1,3,0.5,0.8115273525329499,1.4900342226028442,0.0,1.0,0.169844376405272,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.6729530044969258e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.169844376405272,0.8716130398801638,5.9093508e-17|0.110911191|0.283004637|0.4224353|0.4224353|0.333669647,,,,,,,,,,0.010811532032676041,0.0029319230234250426,0.001236264011822641,0.0019135690527036786
9,0.5,-1.6876275305693031,0.4232695996761322,0.377485066652298,0.36298322677612305,0.3292539119720459,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4653077125549316,1.550368070602417,8.355517387390137,1.4653077125549316,1.4653077125549316,0.39363401661474123,0.377485066652298,0.01614894996244326,0.3366512243161523,0.33665122136768993,0.3252594452346743,0.32525944432280024,9.118740762481536e-10,0.32525944137796053,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.1227614635417921e-08,filtered,0,0,1,0,0,0,1,3,0.5,0.7066270585997471,1.4653077125549316,0.0,1.0,0.15306032937595954,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,1.7367554923700275e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_2_velocity_upper|joint_4_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.15306032937595954,0.85624159437921,2.42873153e-18|0.0979146262|0.301962979|0.422094287|0.422094287|0.331342128,,,,,,,,,,0.010120586957782507,0.002647679066285491,0.001193940988741815,0.001536248018965125
10,0.55,-1.7724867551579195,0.44670090079307556,0.36208394169807434,0.34483861923217773,0.34087708592414856,1.0,3,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3985974788665771,2.6340832710266113,36.35074996948242,1.3985974788665771,1.3985974788665771,0.37748505954367306,0.36208394169807434,0.015401117845598722,0.3213345043150968,0.3213345011390284,0.30936806651140636,0.30936806553567064,9.757357144479784e-10,0.3093680606855294,0,0,disabled,0.0,1,TRACK,rrt_connect,1,1.3783035320229828,1.3783035320229828,9,1,1,0,0,2.189769036906044,0.1266803741455078,0.002525353447134458;0.0033030266614098316;0.00279199748697984;0.0043297162521171145;0.005356280582075134;0.008079781666301163;0.004218482086436973;0.006279402228037749;0.006214224410845686,0.127402663230896;0.12612996995449066;0.12387418001890182;0.12563948333263397;0.12199632078409195;0.12103157490491867;0.12479034811258316;0.12172048538923264;0.12173473089933395,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 6, 'obstacle_clearance': 44, 'obstacle_contact': 6, 'self_collision': 0}",0.0011843611193055642,65,59,nan,nan,1.1852496765623349e-08,filtered,0,0,1,0,0,0,1,3,0.5,0.6044734296692016,1.3985974788665771,0.0,1.0,0.13671574874707226,0,0,0,0,0.2784192015832014,0.0,filtered,osqp optimal,2.291102849541933e-08,0,0,12,joint_0_velocity_lower|joint_5_velocity_lower|joint_4_velocity_upper,predictive_link_3,,,0,0,1,solved,osqp,0.0,valid,0.13671574874707226,0.8412235133933382,0|0.0817375409|0.324881959|0.424002012|0.424002012|0.332436021,,,,,,,,,,0.009519233950413764,0.0025597879430279136,0.001233731978572905,0.0016570590669289231
