episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,task_space_mean_requested_toward_goal_mps,task_space_mean_executed_toward_goal_mps,task_space_mean_filter_velocity_loss_mps,task_space_positive_error_delta_rate,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,0,4,-494.36623792909796,122.69552305340767,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.0858936682343483,12.0,0.1858547031879425,0.3120514548073212,0.4815760850906372,0,0.0,1.0,0.9419031340792642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,-0.0005982858668922425,0.02974158287543105,0.6234749220311642,0.003417036571287705,0.0016402868568548001,0.006618365951968978,0.4366946960488955,0.0,0.0,nan,0.08620463603243232,-0.2989863232514815,0.5208333333333334,3.5857489109039307,67.6836929321289,1,0,234,11.700000000000001,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.2893967629643157,2.91872084827628,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 780, 'obstacle_contact': 0, 'self_collision': 0}",8.145294752822573e-05,780,780,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.20838022406678647,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,1,4,-103.07562555078697,22.38264687731862,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.15294522047042847,12.0,0.20622102916240692,0.07483353551942855,0.34358054399490356,0,0.0,1.0,0.9044974902020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02871359854673522,0.024551180056975378,0.48844459606334567,0.0032312307579559275,0.0015448923489505735,0.005724225420271978,0.45208041835576296,0.0,0.0,nan,0.109455669194287,-0.10670970706423795,0.6083333333333333,3.7458980083465576,77.60537719726562,1,1,9,0.45,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.1791075220098719,2.324956471216865,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 768, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14126132819003237,0,0,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.17672559700440615,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,2,4,-56.31367866764934,19.88952238857746,40,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05323386192321777,2.0,0.16958437860012054,0.3680970102548599,0.49033138155937195,0,0.0,1.0,1.4112948313402511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009548497742796896,0.036376618620124646,0.5122202190104872,0.0035595097433542833,0.0016016261390177533,0.016197921641287395,0.34703267365694046,0.8513821922242641,0.0,nan,0.24888669334114102,-0.09239164433880062,1.0,2.875103235244751,69.5595474243164,1,0,8,0.4,0,0.2784192015832014,1,SERVO,direct_path,0.3837949759326875,1.484593516914174,6,1,1,1,0,1.1044516219859029,0.1294211894273758,0.004471690251292558;0.005349900872592461;0.005520176563871639;0.006687367398419918;0.01010370361595177;0.0032827761032221286,0.1294211894273758;0.12589934468269348;0.1234898492693901;0.12142816931009293;0.12242280691862106;0.1281890869140625,128,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 10, 'obstacle_clearance': 95, 'obstacle_contact': 10, 'self_collision': 0}",0.0002523329497236083,130,120,nan,nan,1.0,filtered,12,0,2,1,20,1,1,0,rrt_connect,1.1007985409814864,1,9,1.0,SUCCESS,0.525,0.175,0.0,0.3,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,3,4,-189.33460272196706,45.42231031507254,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.12621745467185974,12.0,0.323650985956192,0.12696941920245688,0.37641292810440063,0,0.0,1.0,0.941817066831996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09287030938836482,0.023217326253749584,0.4829505120869726,0.0030443676543654872,0.0014977221857407131,0.00549197468450681,0.4545733339463671,0.0,0.0,nan,0.08914348098580124,-0.08914348098580124,0.6041666666666666,3.742220163345337,80.44084930419922,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.18156018294394016,2.1865479367552325,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 768, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11254929355896531,0,0,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.2014497279888019,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,0,4,-502.7007849982391,124.16840025782585,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.12248153984546661,12.0,0.18383803963661194,0.290307592228055,0.5527745485305786,0,0.0,1.0,0.964244269650713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,-0.001923231875706019,0.02362876037756602,0.24315730691887438,0.003213068209879566,0.0015351069445993441,0.0037820931936342578,0.41616792920976875,0.0,0.0,nan,0.0684497137382349,-0.11993977007579927,0.5541666666666667,3.43302321434021,76.52351379394531,1,0,233,11.65,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.17896000994369388,2.3026972669176757,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 768, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.10819389024108583,0,0,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.21415631496347487,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,1,4,-91.249883801934,22.32562306895852,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.08487565070390701,12.0,0.39495670795440674,0.06863951842921476,0.22259290516376495,0,0.0,1.0,0.9679098005748688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17965098418926806,0.02272565410967218,0.2843688640277833,0.003258895524292408,0.0015814332364243455,0.0037600498627095172,0.454897191375494,0.0,0.0,nan,0.0969203476124096,-0.0969203476124096,0.575,3.7416491508483887,81.28619384765625,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.19148784596472979,2.337219253065996,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 768, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0702949776169599,0,0,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.17544324591290206,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,2,4,-490.58804603843424,120.8547855168581,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.11771417409181595,12.0,0.19011850655078888,0.2958780085667968,0.43391722440719604,0,0.0,1.0,0.9467933782217659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,-0.0006085617598085985,0.02740240566781722,0.36943819804582745,0.00319284616416553,0.0015896394945836315,0.0037909812919679096,0.40963169280439615,0.0,0.0,nan,0.09085861809698365,-0.3470602313724877,0.5958333333333333,3.3814494609832764,71.04222106933594,1,0,220,11.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.3486997149884701,3.2620638300431892,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 4, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 699, 'obstacle_contact': 65, 'self_collision': 0}",0.016584937772142466,764,764,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.2729533259989694,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,3,4,-508.9291623138517,122.6241480410099,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.19106672704219818,12.0,0.1811004877090454,0.31749160631249346,0.42303207516670227,0,0.0,1.0,0.8824242774564036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.0008468917941905213,0.023247507269358418,0.2858503540046513,0.003271811714512296,0.0015759915845895496,0.003831220263479433,0.37722883916770417,0.0,0.0,nan,0.04387518763391698,-0.24938696239511945,0.49583333333333335,3.1428864002227783,87.01940155029297,1,0,220,11.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.1640900350175798,2.123068006010726,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 25, 'obstacle_contact': 755, 'self_collision': 0}",9.557409636893325e-05,780,780,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.1709063700400293,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,0,4,-512.3330645940729,126.45949190855026,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.1143093928694725,12.0,0.1866264045238495,0.3405404698103666,0.48596054315567017,0,0.0,1.0,0.9564898670558433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021373293574286495,0.025005384021399853,0.2656437900150195,0.0032630714631523006,0.0015487694555001022,0.0038650693769644324,0.4420061821738879,0.0,0.0,nan,0.09994065643378407,-0.29886351709208725,0.5458333333333333,3.6265645027160645,67.1796646118164,1,0,220,11.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.21452567598316818,2.611748813302256,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 695, 'obstacle_contact': 85, 'self_collision': 0}",9.260284152692408e-05,780,780,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.2265457339817658,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_recovery_gated_goal_velocity_priority_hard_cases_v1,1,4,-46.94908643268517,10.882429409772158,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.08899770677089691,12.0,0.5303977131843567,0.03817765024335434,0.11924698948860168,0,0.0,1.0,0.9114435298828609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485488237623142,0.02349971906951396,0.2995861090021208,0.0033514219151887423,0.0016109521224279889,0.003878622092209601,0.4530166317398349,0.0,0.0,nan,0.12117358771723016,-0.12117358771723016,0.5916666666666667,3.7222070693969727,73.63262939453125,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.1858799330657348,2.433327943086624,0,0,0,0,-1,nan,nan,,,768,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 768, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.0749263730505873,0,0,nan,nan,1.0,filtered,0,0,12,0,0,0,0,0,ik_not_found,0.18257549800910056,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
