step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-2.9813441914008174,0.4095837473869324,0.8752825856208801,0.2175457924604416,0.26543503999710083,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.4898979663848877,9.797959327697754,195.9591827392578,0.0,0.0,0.8863287267104584,0.8752825856208801,0.011046141089578243,0.0,0.24168340273950104,0.0,0.22918759065365724,-0.22918759065365724,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.043630423196683255,0,0,0,0,0.043630423196683255,0.0,filtered,linprog goal-velocity priority optimal,0.48989794855663565,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.043630423196683255,0.9203323844684604,0|0|0|0|0|0,0.487103614|0.18906091|0.0436304232|0.0541055639|0.120005027|0.14553347,0.663120234|0.36507753|0.219647042|0.230122183|0.296021646|0.321550089,0.607103614|0.30906091|0.163630423|0.174105564|0.240005027|0.26553347,0|0|0|0|0|0,0|0.0721718798|-0.0461279475|-0.0660055747|-0.102863044|-0.10164317,0|0|0|0|0|0,1.94841446|0.828415521|0.128393745|0.150416681|0.377157064|0.480490708,optimal,0.22918758723849605,0.22918759065365726,-3.4151612093857864e-09,0.497474849|0.433837742|0.555379868,0|-0|-0,0.48844459606334567,0.0025009759701788425,0.0014262280892580748,0.4801638670032844
1,0.1,-3.0171064408311374,0.49121397733688354,0.8524637818336487,0.21364925801753998,0.33907637000083923,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.9797959327697754,9.797959327697754,0.0,0.3499999940395355,0.0,0.8752825893181686,0.8524637818336487,0.02281880748451992,0.22311437850836865,0.4857838773393227,-0.006704781430785301,0.4621679856706808,-0.4688727671014661,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.035908720467859895,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.0785583997941353,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.035908720467859895,0.9231962510851595,0|0.0953050851|0.203512752|0.220408235|0.263888039|0.24297375,0.486960421|0.19230579|0.0359087205|0.0434673999|0.102183813|0.127372237,0.663120234|0.368465602|0.212068533|0.219627212|0.278343626|0.30353205,0.606960421|0.31230579|0.15590872|0.1634674|0.222183813|0.247372237,0|0|0.15|0.15|0.15|0.15,0|0.144619339|-0.0617300251|-0.0797614449|-0.148608513|-0.159088851,0|0|0|0|0|0,1.94784168|0.913842499|0.0819048568|0.0941081546|0.26012674|0.350400099,optimal,0.462167982227261,0.46216798567068074,-3.4434197160315705e-09,0.497474849|0.433837742|0.555379868,0|-0|-0,0.02071443200111389,0.00452562200371176,0.0021995799615979195,0.004768344922922552
2,0.15000000000000002,-2.699561590959365,0.4961579740047455,0.8174090385437012,0.20908431708812714,0.34358054399490356,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.469693899154663,9.79796028137207,2.336015495529864e-05,0.3499999940395355,0.0,0.8524637690321751,0.8174090385437012,0.03505473048847396,0.2219945935572112,0.7357368470966319,0.02606599271379389,0.7038231032823055,-0.6777571105685116,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03075148632150232,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.5174769239823116,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_3_acceleration_lower|joint_4_acceleration_lower|joint_5_acceleration_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.03075148632150232,0.9285391078274272,0|0.189320716|0.418119264|0.441592103|0.53072176|0.490582257,0.486693278|0.199049834|0.0307514863|0.0374394478|0.0875061676|0.110526096,0.663120234|0.375476789|0.207178442|0.213866403|0.263933123|0.286953052,0.606693278|0.319049834|0.150751486|0.157439448|0.207506168|0.230526096,0|0|0.15|0.15|0.15|0.15,0|0.217452136|-0.0203797916|-0.0147591217|-0.104373595|-0.145624471,0|0|0|0|0|0,1.94677311|1.01365147|0.102626154|0.13499867|0.245651076|0.296479914,optimal,0.7038230823067432,0.7038231032823055,-2.0975562287084415e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.020026087993755937,0.00458904798142612,0.0021823790157213807,0.004315634956583381
3,0.2,-2.0979590270465343,0.4130418300628662,0.775260865688324,0.20622102916240692,0.3028656542301178,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.7146427631378174,4.898977756500244,97.97964477539062,0.3500000238418579,0.0,0.817409061490583,0.775260865688324,0.042148195802259036,0.2256527982776757,0.8702986769972194,0.03472833138682271,0.8367631507302672,-0.8020348193434444,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0296401396436016,1,1,0,0,0.043630423196683255,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.7501397874989812,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.0296401396436016,0.9357477112180138,2.08178344e-18|0.281149262|0.650115444|0.663723563|0.802203392|0.746067124,0.486332848|0.209323095|0.0296401396|0.036593311|0.0803195908|0.100255063,0.663120234|0.38611048|0.206427525|0.213380697|0.257106976|0.277042449,0.606332848|0.329323095|0.14964014|0.156593311|0.200319591|0.220255063,0|0|0.0666650404|0.0658306761|0.15|0.15,-1.10401036e-18|0.253601056|-0.000817140816|2.06617129e-05|0.0267448114|-0.0231827959,0|0|0|0|0|0,1.94533139|1.09089343|0.117743418|0.146393906|0.348023175|0.377837457,optimal,0.8367631649802589,0.8367631507302672,1.4249991742154577e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.014655197970569134,0.0032753990963101387,0.0014048960292711854,0.0031018200097605586
4,0.25,-1.936205235430407,0.407640278339386,0.7326064109802246,0.20713286101818085,0.25683045387268066,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.7146427631378174,0.0,97.97955322265625,0.3499999940395355,0.0,0.7752608849649572,0.7326064109802246,0.042654473984732544,0.23050622190783338,0.8834887411925696,0.038614732113861974,0.8495825674554635,-0.8109678353416014,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.02871359854673522,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.7499947734058192,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.02871359854673522,0.9476091358597295,6.07177867e-19|0.324199252|0.775281738|0.775281738|0.942979514|0.883576774,0.485739777|0.221353462|0.0287135985|0.0357135985|0.0788036095|0.097312587,0.663120234|0.398733919|0.206094055|0.213094055|0.256184066|0.274693044,0.605739777|0.341353462|0.148713599|0.155713599|0.19880361|0.217312587,0|0|0.0117745371|0.0117745371|0.0647796972|0.0982146473,-2.90251857e-19|0.252035065|1.58212124e-05|1.58212124e-05|3.63501995e-05|3.70049699e-05,0|0|0|0|0|0,1.94295911|1.13744891|0.114870215|0.142870215|0.315250788|0.389287353,optimal,0.8495825819237686,0.8495825674554633,1.4468305220560751e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.020608601975254714,0.004295462975278497,0.0020293360576033592,0.0057963390136137605
5,0.30000000000000004,-1.7616528990561449,0.39462941884994507,0.6898964643478394,0.21187900006771088,0.24744997918605804,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.7146427631378174,0.0,0.0,0.3499999940395355,0.0,0.7326064041838521,0.6898964643478394,0.04270993983601279,0.23147861453336308,0.8959248836697055,0.06069024767146458,0.8550932002629423,-0.7944029525914778,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.028986172541219657,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.7315479489278476,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_velocity_upper,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.028986172541219657,0.9629337170400284,0|0.320558661|0.775420401|0.775420401|0.948797564|0.896018452,0.484973548|0.233120071|0.0289861725|0.0359861725|0.0767319662|0.0949055349,0.663120233|0.411266757|0.207132858|0.214132858|0.254878652|0.273052221,0.604973548|0.353120071|0.148986173|0.155986173|0.196731966|0.214905535,0|0|0|0|0.0264042109|0.0574125004,0|0.248991596|0.0574619065|0.0574619065|3.88408475e-05|4.05793188e-05,0|0|0|0|0|0,1.93989419|1.18147188|0.173406597|0.201406597|0.306966706|0.379662719,optimal,0.8550932148250929,0.8550932002629423,1.4562150596475476e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.0127151069464162,0.002464488963596523,0.0014871620805934072,0.00312995002605021
6,0.35000000000000003,-1.5652212077818877,0.37130752205848694,0.647646427154541,0.2201259285211563,0.23200732469558716,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.6431676149368286,3.999999761581421,79.99999237060547,0.3499999940395355,0.0,0.6898964655641807,0.647646427154541,0.0422500384096397,0.2298392043188843,0.9075736892260025,0.08870145158345301,0.8514368102111158,-0.7627353586276628,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.03302931329229336,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.634613298879083,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.03302931329229336,0.976993551037145,0|0.317108258|0.77479733|0.77479733|0.953345876|0.907672819,0.484270556|0.2447637|0.0330293133|0.0400293133|0.0759227957|0.0933076983,0.663120234|0.423613377|0.211878991|0.218878991|0.254772473|0.272157376,0.604270556|0.3647637|0.153029313|0.160029313|0.195922796|0.213307698,0|0|0|0|0|0.0182150738,0|0.24460719|0.131273988|0.131273988|0.0259470478|4.31935943e-05,0|0|0|0|0|0,1.93708222|1.22366199|0.263391241|0.291391241|0.329638231|0.373273987,optimal,0.8514368247110006,0.8514368102111158,1.4499884737340096e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.01268193603027612,0.0026364729274064302,0.0013496780302375555,0.0034060849575325847
7,0.4,-1.3601315881585652,0.34084558486938477,0.6065049171447754,0.23142658174037933,0.21249829232692719,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5937377214431763,3.999999761581421,0.0,0.3500000238418579,0.0,0.6476464650747852,0.6065049171447754,0.04114154793000979,0.22617728284456562,0.9184020162947252,0.11687974503324508,0.8362434445488419,-0.7193636995155969,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.04063615151831995,1,1,0,0,0.043630423196683255,0.3500000238418579,filtered,linprog goal-velocity priority optimal,1.5556351399535824,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.04063615151831995,0.9897951148915349,7.58972527e-20|0.313870706|0.773461055|0.773461055|0.956655403|0.918504493,0.483630478|0.25622023|0.0406361515|0.0476361515|0.0787724188|0.0931050455,0.663120234|0.435709986|0.220125907|0.227125907|0.258262175|0.272594801,0.603630478|0.37622023|0.160636152|0.167636152|0.198772419|0.213105045,0|0|0|0|0|0,4.1349883e-20|0.23901562|0.197101317|0.197101317|0.112757161|0.0424422084,0|0|0|0|0|0,1.93452191|1.26389654|0.359645923|0.387645923|0.427846836|0.41486239,optimal,0.8362434587899845,0.8362434445488419,1.42411425985145e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.014485602965578437,0.003059405949898064,0.001824139035306871,0.0038471249863505363
8,0.45,-1.1655708592495477,0.306580126285553,0.5672842264175415,0.2452750951051712,0.19096516072750092,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5684386491775513,4.0,4.76837158203125e-06,0.3499999940395355,0.0,0.6065049504091575,0.5672842264175415,0.039220723991616024,0.22124094775381056,0.9283867824451607,0.1409559229751624,0.8065478860200206,-0.6655919630448581,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.05135860990153046,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.501617393168211,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower,predictive_link_2,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.05135860990153046,1.00135969607387,1.8974297e-20|0.310868682|0.771470389|0.771470389|0.956029625|0.9284902,0.483052249|0.267431442|0.0513586099|0.0583586099|0.0858212023|0.0966545814,0.663120234|0.447499427|0.231426595|0.238426595|0.265889187|0.276722566,0.603052249|0.387431442|0.17135861|0.17835861|0.205821202|0.216654581,0|0|0|0|0|0,1.11772649e-20|0.232339149|0.253220699|0.253220699|0.18811969|0.122122173,0|0|0|0|0|0,1.93220899|1.30206492|0.458655139|0.486655139|0.531404499|0.508740499,optimal,0.8065478997554494,0.8065478860200206,1.3735428794348081e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.013040010002441704,0.002990155015140772,0.001499759964644909,0.0032021040096879005
9,0.5,-0.99788083441043,0.2714148163795471,0.5309908390045166,0.2611543834209442,0.1691470742225647,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.5684386491775513,4.0,0.0,0.3499999940395355,0.0,0.5672842066417129,0.5309908390045166,0.03629336763719626,0.21541262701355557,0.9375200265189491,0.15909926916475445,0.758750053214314,-0.5996507840495595,0.0,1,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17672559700440615,0.17672559700440615,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.14128523513379584,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.06468890134269406,1,1,0,0,0.043630423196683255,0.3499999940395355,filtered,linprog goal-velocity priority optimal,1.4759857891267951,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_lower|joint_5_acceleration_lower,workspace_z_upper,,,0,0,0,optimal,goal_velocity_linprog,0.0,valid,0.06468890134269406,1.0117236668169673,0|0.308132587|0.768908218|0.768908218|0.951150109|0.93764528,0.48253405|0.278344114|0.0646889013|0.0716889013|0.0961941892|0.104130032,0.663120234|0.458930297|0.245275085|0.252275085|0.276780373|0.284716215,0.60253405|0.398344114|0.184688901|0.191688901|0.216194189|0.224130032,0|0|0|0|0|0,0|0.224689349|0.298971263|0.298971263|0.246236917|0.196560032,0|0|0|0|0|0,1.9301362|1.3380658|0.557726869|0.585726869|0.631013674|0.613080161,optimal,0.7587500661357498,0.758750053214314,1.2921435810220316e-08,0.497474849|0.433837742|0.555379868,0|-0|-0,0.015327549073845148,0.003810695023275912,0.0014097430976107717,0.003319848095998168
