step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1627495382431519,0.1440141201019287,0.6093093752861023,0.3350747525691986,0.09822528064250946,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.40205392241477966,8.041077613830566,160.82156372070312,0.0,0.0,0.6183254082350746,0.6093093752861023,0.009016032948972352,0.0,0.2114130600565483,0.0,0.185650968875232,-0.185650968875232,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.16153966823522514,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,0.4020538964337778,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_4_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.19065096608026919,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.16153966823522514,0.8495256664204651,0|0|0|0|0|0,0.504392481|0.363031774|0.170907174|0.177907174|0.161539668|0.164539668,0.676868764|0.535508057|0.343383457|0.350383457|0.334015952|0.337015952,0.624392481|0.483031774|0.290907174|0.297907174|0.281539668|0.284539668,0|0|0|0|0|0,1.20273614e-19|0.0741942942|0.0854608894|0.0854608894|0.018213717|0.018213717,0|0|0|0|0|0,2.01756992|1.52632139|0.769089586|0.797089586|0.66437239|0.67637239,optimal,0.19065096608026919,0.185650968875232,0.004999997205037188,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.5005642609903589,0.0037266199942678213,0.0018518009455874562,0.4885902130044997
1,0.1,-0.9434977356369794,0.14116133749485016,0.5911642909049988,0.33793875575065613,0.09626097977161407,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.8054858446121216,8.070605278015137,5.0691986083984375,0.0,0.0,0.6093093509982186,0.5911642909049988,0.01814506009321981,0.0,0.42478229150397173,0.0,0.36997405905754255,-0.36997405905754255,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.16250296031706551,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,0.8054858242808064,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower|joint_4_acceleration_upper,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.37497405637931835,1,continuity_tiebreak,0.999877393245697,0,goal_velocity_linprog,0.0,valid,0.16250296031706551,0.8514359496801017,0|0.0921228095|0.212136155|0.212136155|0.212292876|0.212292876,0.504296967|0.366472221|0.175109758|0.182109758|0.16250296|0.165502947,0.676868764|0.539044018|0.347681555|0.354681555|0.335074758|0.338074744,0.624296967|0.486472221|0.295109758|0.302109758|0.28250296|0.285502947,0|0|0|0|0|0,0|0.146761388|0.177635876|0.177635876|0.0467790895|0.0467790895,0|0|0|0|0|0,2.01718787|1.61265027|0.878074908|0.906074908|0.696790931|0.708790876,optimal,0.37497405637931835,0.3699740590575425,0.004999997321775862,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.01562696706969291,0.0027640570187941194,0.0013317419216036797,0.00685216102283448
2,0.15000000000000002,-0.7169526491796503,0.14035536348819733,0.5640940070152283,0.3390132784843445,0.09553602337837219,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.151546835899353,7.995128631591797,99.10772705078125,0.0,0.0,0.5911642745151336,0.5640940070152283,0.027070267499905376,0.0,0.5976533974234669,0.0,0.5493202884410422,-0.5493202884410422,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.16518482432717552,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.151546864081614,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower|joint_4_acceleration_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.5543202725379868,1,continuity_tiebreak,0.9784126877784729,0,goal_velocity_linprog,0.0,valid,0.16518482432717552,0.8550782773353133,3.33169143e-17|0.183096375|0.424952854|0.424952854|0.428123592|0.428123592,0.50411485|0.373388231|0.184063906|0.191063906|0.165184824|0.168184824,0.676868764|0.546142144|0.35681782|0.36381782|0.337938738|0.340938738,0.62411485|0.493388231|0.304063906|0.311063906|0.285184824|0.288184824,0|0|0|0|0|0,2.05935751e-17|0.185645555|0.175597176|0.175597176|0.000285767321|0.000285767321,0|0|0|0|0|0,2.0164594|1.67919848|0.911852801|0.939852801|0.661025065|0.673025065,optimal,0.5543202725379868,0.5493202884410423,0.004999984096944465,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.017144359997473657,0.00289156602229923,0.001297174021601677,0.00799741200171411
3,0.2,-0.5532072979366651,0.13907675445079803,0.5323250889778137,0.3407314121723175,0.09439022839069366,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3487389087677002,4.473034858703613,73.0658187866211,0.0,0.0,0.5640939936183927,0.5323250889778137,0.03176890464057902,0.0,0.6989764991833971,0.0,0.6397247428185343,-0.6397247428185343,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.1659535144514223,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.348738962882858,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6447247533584198,1,continuity_tiebreak,0.9964152574539185,0,goal_velocity_linprog,0.0,valid,0.1659535144514223,0.8611952849376683,0|0.262779353|0.593858374|0.593858374|0.607521194|0.607521194,0.503809|0.382091763|0.193227443|0.200227443|0.165953514|0.168953514,0.676868764|0.555151528|0.366287207|0.373287207|0.339013279|0.342013279,0.623809|0.502091763|0.313227443|0.320227443|0.285953514|0.288953514,0|0|0|0|0|0,0|0.202213362|0.19838799|0.19838799|0.0096012878|0.0096012878,0|0|0|0|0|0,2.015236|1.73058042|0.97129776|0.99929776|0.673415346|0.685415346,optimal,0.6447247533584198,0.6397247428185344,0.005000010539885413,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.021350611001253128,0.004423658945597708,0.0019249339820817113,0.00853575998917222
4,0.25,-0.47543343691262435,0.13553869724273682,0.5007219910621643,0.34501028060913086,0.09160703420639038,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3966054916381836,2.6256155967712402,69.40231323242188,0.0,0.0,0.5323250765703417,0.5007219910621643,0.031603085508177364,0.0,0.7177125853684109,0.0,0.6387430137830012,-0.6387430137830012,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.16718317192271526,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.3966055285476544,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6437430237850498,1,continuity_tiebreak,0.9960334300994873,0,goal_velocity_linprog,0.0,valid,0.16718317192271526,0.8709646249619244,0|0.303094657|0.686326349|0.686326349|0.713790536|0.713790536,0.503320533|0.39157374|0.203485557|0.210485557|0.167183172|0.170183172,0.676868764|0.565121971|0.377033789|0.384033789|0.340731403|0.343731403,0.623320533|0.51157374|0.323485557|0.330485557|0.287183172|0.290183172,0|0|0|0|0|0,0|0.197246571|0.230752859|0.230752859|0.0606589306|0.0606589306,0|0|0|0|0|0,2.01328213|1.76354153|1.04469509|1.07269509|0.729391618|0.741391618,optimal,0.6437430237850498,0.6387430137830012,0.005000010002048527,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.019998450996354222,0.004120382014662027,0.0018991429824382067,0.007400150992907584
5,0.30000000000000004,-0.4011787619966038,0.12959618866443634,0.46966710686683655,0.35188329219818115,0.08733908832073212,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4509438276290894,2.4648332595825195,3.215646743774414,0.0,0.0,0.500721963903751,0.46966710686683655,0.031054857036914463,0.0,0.7384435081798054,0.0,0.6321809800183658,-0.6321809800183658,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.17065289019397178,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.450943815221101,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6371809901204845,1,continuity_tiebreak,0.9969809055328369,0,goal_velocity_linprog,0.0,valid,0.17065289019397178,0.8871482742627472,0|0.300413933|0.690701903|0.692820512|0.734021519|0.734021519,0.50251135|0.400491395|0.21494506|0.221940532|0.17065289|0.17365289,0.676868764|0.574848808|0.389302473|0.396297946|0.345010304|0.348010304,0.62251135|0.520491395|0.33494506|0.341940532|0.29065289|0.29365289,0|0|0|0|0|0,0|0.190839117|0.259311491|0.258205832|0.112551755|0.112551755,0|0|0|0|0|0,2.0100454|1.7928047|1.11909173|1.14596796|0.795163316|0.807163316,optimal,0.6371809901204845,0.6321809800183656,0.005000010102118813,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.023544115014374256,0.004128968925215304,0.0018730179872363806,0.010940326028503478
6,0.35000000000000003,-0.3465760125752857,0.12356129288673401,0.4399452805519104,0.3591316342353821,0.08309520035982132,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4375909566879272,1.4832900762557983,53.769893646240234,0.0,0.0,0.46966710901520164,0.4399452805519104,0.029721828463291244,0.0,0.7473475714128955,0.0,0.6113812909141102,-0.6113812909141102,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.176716374115938,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.4375910067608033,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.6163813014320124,1,continuity_tiebreak,0.9987241625785828,0,goal_velocity_linprog,0.0,valid,0.176716374115938,0.9033384601685642,0|0.288305979|0.694789023|0.710187307|0.756131058|0.756131058,0.501701841|0.408909698|0.227732938|0.234561509|0.176716374|0.179716374,0.676868764|0.584076621|0.402899861|0.409728432|0.351883297|0.354883297,0.621701841|0.528909698|0.347732938|0.354561509|0.296716374|0.299716374,0|0|0|0|0|0,0|0.171178497|0.246521766|0.240972646|0.120885375|0.120885375,0|0|0|0|0|0,2.00680736|1.80681729|1.15745352|1.17921868|0.827750872|0.839750872,optimal,0.6163813014320124,0.6113812909141102,0.00500001051790222,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.022455455968156457,0.004403406986966729,0.002133352099917829,0.008988565066829324
7,0.4,-0.3133181556466619,0.11837001889944077,0.4121472239494324,0.3657147288322449,0.07945676892995834,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4168593883514404,2.173546552658081,14.737249374389648,0.0,0.0,0.43994527644194836,0.4121472239494324,0.02779805249251599,0.0,0.7576131031633289,0.0,0.5804847499587275,-0.5804847499587275,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.18320460877282035,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.4168593859953342,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.5854847599060906,1,continuity_tiebreak,0.9972062110900879,0,goal_velocity_linprog,0.0,valid,0.18320460877282035,0.9185405240763178,7.0826125e-20|0.276105191|0.692209033|0.719710652|0.765604009|0.765604009,0.500941738|0.416457454|0.239902559|0.24642806|0.183204609|0.186204609,0.676868764|0.592384481|0.415829586|0.422355086|0.359131635|0.362131635,0.620941738|0.536457454|0.359902559|0.36642806|0.303204609|0.306204609,0|0|0|0|0|0,3.62092255e-20|0.152237289|0.216876141|0.208549555|0.107549247|0.107549247,0|0|0|0|0|0,2.00376695|1.81806711|1.17648638|1.19426179|0.840367682|0.852367682,optimal,0.5854847599060906,0.5804847499587275,0.00500000994736316,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.023145640967413783,0.004484285949729383,0.00197706394828856,0.00976463092956692
8,0.45,-0.30623668405870486,0.11412547528743744,0.38711535930633545,0.37139755487442017,0.07647249102592468,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4033076763153076,2.4325780868530273,5.180630683898926,0.0,0.0,0.4121472159151975,0.38711535930633545,0.025031856608862035,0.0,0.7754896513390442,0.0,0.5355862190002482,-0.5355862190002482,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.1890810623513634,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.4033077316686862,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.5405862280086432,1,continuity_tiebreak,0.9963259696960449,0,goal_velocity_linprog,0.0,valid,0.1890810623513634,0.9326740901232459,0|0.265106298|0.692376951|0.731578178|0.776894304|0.776894304,0.500235059|0.423193387|0.250684497|0.256808475|0.189081062|0.192081062,0.676868764|0.599827091|0.427318202|0.433442179|0.365714767|0.368714767,0.620235059|0.543193387|0.370684497|0.376808475|0.309081062|0.312081062,0|0|0|0|0|0,0|0.137218391|0.185473838|0.17437052|0.0880806967|0.0880806967,0|0|0|0|0|0,2.00094024|1.82999194|1.18821183|1.20160442|0.844404946|0.856404946,optimal,0.5405862280086432,0.5355862190002482,0.005000009008395034,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.022308395942673087,0.004236896056681871,0.0019799639703705907,0.00867952301632613
9,0.5,-0.3323898763424314,0.11048493534326553,0.36610373854637146,0.3764890730381012,0.07391615957021713,1.0,4,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4002360105514526,2.440110445022583,0.15064716339111328,0.0,0.0,0.38711537788023237,0.36610373854637146,0.02101163933386091,0.0,0.8020286254295337,0.0,0.4691207363665145,-0.4691207363665145,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.21167637698817998,0.21167637698817998,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 64, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.11267402408577158,0,0,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.19410929123968101,0,0,0,0,0.16153966823522514,0.0,filtered,linprog goal-velocity priority optimal,1.4002360757420815,0,0,12,joint_1_velocity_lower|joint_2_velocity_lower|joint_3_velocity_lower|joint_4_velocity_upper,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.4741207443653384,1,continuity_tiebreak,0.996214747428894,0,goal_velocity_linprog,0.0,valid,0.19410929123968101,0.9457651507602529,0|0.255275994|0.699330037|0.751084731|0.79598068|0.79598068,0.499580506|0.429311073|0.260045623|0.265651098|0.194109291|0.197109277,0.676868764|0.60659933|0.437333881|0.442939356|0.371397549|0.374397534,0.619580506|0.549311073|0.380045623|0.385651098|0.314109291|0.317109277,0|0|0|0|0|0,0|0.127013839|0.16112951|0.146822947|0.0733305079|0.0733305079,0|0|0|0|0|0,1.99832203|1.84425813|1.201312|1.20942734|0.849767673|0.861767615,optimal,0.4741207443653384,0.4691207363665146,0.00500000799882383,0.454495192|0.617563725|0.38499245,-0|-0|-0,0.020537522970698774,0.004107290995307267,0.001938883913680911,0.0081313899718225
