step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1133601176655636,0.08466188609600067,0.6865772604942322,0.42694658041000366,0.07533085346221924,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.39871305227279663,7.9742608070373535,159.48521423339844,0.0,0.0,0.6962674194011922,0.6865772604942322,0.009690158906960011,0.0,0.22058931196015236,0.0,0.20102501235203996,-0.20102501235203996,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,0.0,not_enabled,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.25324766129001386,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,0.3987130356952417,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.20602500939556403,1,continuity_tiebreak,0.0,0,goal_velocity_linprog,0.0,valid,0.25324766129001386,0.8851202755545277,0|0|0|0|0|0,0.472216586|0.253247661|0.260708381|0.386481382|0.427774196|0.45053225,0.6464726|0.427503675|0.434964395|0.560737396|0.60203021|0.624788264,0.592216586|0.373247661|0.380708381|0.506481382|0.547774196|0.57053225,0|0|0|0|0|0,9.90790196e-21|-0.0115730637|-0.0223167864|-0.156463784|-0.175724318|-0.17444356,0|0|0|0|0|0,1.88886634|1.00141758|1.02051674|1.38946174|1.53537247|1.62768544,optimal,0.20602500939556403,0.20102501235203996,0.004999997043524079,0.415426314|-0.474904716|0.566982567,0|0|0,0.012036054977215827,0.002492266008630395,0.0010474009905010462,0.005180971929803491
1,0.1,-1.346193294903126,0.20181596279144287,0.6667714715003967,0.4262240529060364,0.18620534241199493,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.7944625616073608,7.915336608886719,2.4080896377563477,0.0,0.0,0.6865772697109641,0.6667714715003967,0.019805798210567382,0.0,0.4414916038221757,0.0,0.4027799632774215,-0.4027799632774215,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.25131943516613936,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,0.7944625260540465,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_z_lower,,,0,0,0,optimal; continuity_tiebreak,0.40777996054015725,1,continuity_tiebreak,0.999978244304657,0,goal_velocity_linprog,0.0,valid,0.25131943516613936,0.8883730075088306,5.57659916e-18|0.0915707807|0.0969294149|0.221601331|0.243120584|0.220873395,0.472053949|0.251319435|0.25563443|0.355976663|0.393319593|0.416043636,0.6464726|0.425738086|0.43005308|0.530395314|0.567738244|0.590462286,0.592053949|0.371319435|0.37563443|0.475976663|0.513319593|0.536043636,0|0.15|0.15|0.15|0.15|0.15,4.46786595e-18|-0.0138728141|-0.0566182961|-0.298610987|-0.338337358|-0.341106108,0|0|0|0|0|0,1.8882158|0.991404927|0.965919423|1.12529567|1.23494102|1.32306844,optimal,0.40777996054015725,0.40277996327742155,0.0049999972627357,0.415426314|-0.474904716|0.566982567,0|0|0,0.014376121922396123,0.0028330559143796563,0.0015285320114344358,0.006216077017597854
2,0.15000000000000002,-1.5242524837508475,0.31147074699401855,0.6368363499641418,0.42602381110191345,0.2853507399559021,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.1841970682144165,7.797827243804932,4.986100196838379,0.0,0.0,0.666771474107206,0.6368363499641418,0.029935124143064207,0.0,0.6630143798995667,0.0,0.6054987437546342,-0.6054987437546342,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2474460448912894,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.184197107146269,0,0,12,joint_0_acceleration_lower|joint_1_acceleration_lower|joint_2_acceleration_lower,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.6104987261363931,1,continuity_tiebreak,0.9999350905418396,0,goal_velocity_linprog,0.0,valid,0.2474460448912894,0.8946613104212324,0|0.182033354|0.202577858|0.443098302|0.486917529|0.442381613,0.471739534|0.250888325|0.247446045|0.319704311|0.351347129|0.373321996,0.646472599|0.42562139|0.42217911|0.494437376|0.526080194|0.548055062,0.591739534|0.370888325|0.367446045|0.439704311|0.471347129|0.493321996,0|0.14220492|0.15|0.15|0.15|0.15,0|-1.69364672e-05|-0.107872289|-0.41669638|-0.481670327|-0.49707504,0|0|0|0|0|0,1.88695814|1.00353636|0.88191189|0.862120864|0.923718189|0.996212945,optimal,0.6104987261363931,0.6054987437546342,0.004999982381758916,0.415426314|-0.474904716|0.566982567,0|0|0,0.014771609916351736,0.0030906889587640762,0.0012903379974886775,0.00582609698176384
3,0.2,-1.5698189271645289,0.3696626126766205,0.6016018390655518,0.419112890958786,0.33279290795326233,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.380409598350525,3.924445390701294,77.47987365722656,0.0,0.0,0.6368363475515125,0.6016018390655518,0.03523450848596077,0.0,0.7751996437259087,0.0,0.7070765101947349,-0.7070765101947349,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.23504949293696636,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.3804096598360018,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_3,,,0,0,0,optimal; continuity_tiebreak,0.7120765228515755,1,continuity_tiebreak,0.999998927116394,0,goal_velocity_linprog,0.0,valid,0.23504949293696636,0.9035708044588495,0|0.270637925|0.328165562|0.664006772|0.731473372|0.664585108,0.471294059|0.250892897|0.235049493|0.280044792|0.303319384|0.323154379,0.6464726|0.426071437|0.410228033|0.455223332|0.478497924|0.498332919,0.591294059|0.370892897|0.355049493|0.400044792|0.423319384|0.443154379,0|0|0.15|0.15|0.15|0.15,0|0.0112283284|-0.151537425|-0.430675732|-0.517252781|-0.556259709,0|0|0|0|0|0,1.88517624|1.01479992|0.788660547|0.689503436|0.696024754|0.736357806,optimal,0.7120765228515755,0.707076510194735,0.005000012656840469,0.415426314|-0.474904716|0.566982567,0|0|0,0.015594838070683181,0.003034399007447064,0.001215504016727209,0.006444880971685052
4,0.25,-1.5302957408753173,0.3788380026817322,0.5667433738708496,0.4114721715450287,0.338064044713974,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.380409598350525,0.0,78.48890686035156,0.0,0.0,0.601601838732133,0.5667433738708496,0.03485846486128341,0.0,0.7765827789949786,0.0,0.7023866647503615,-0.7023866647503615,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.22286578931155038,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.3804096495647504,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_4,,,0,0,0,optimal; continuity_tiebreak,0.7060016963814322,1,continuity_tiebreak,1.0,0,goal_velocity_linprog,0.0,valid,0.22286578931155038,0.913163654224792,5.82905492e-17|0.312602041|0.421426348|0.773037145|0.853979846|0.776646382,0.470814417|0.251725451|0.222865789|0.251572903|0.265878126|0.282377858,0.646472599|0.427383633|0.398523972|0.427231086|0.441536309|0.458036041,0.590814417|0.371725451|0.342865789|0.371572903|0.385878126|0.402377858,0|0|0.15|0.15|0.15|0.15,3.00962756e-17|0.0417568408|-0.161628267|-0.369581623|-0.469954056|-0.530674463,0|0|0|0|0|0,1.88325767|1.04865864|0.729834891|0.636709988|0.593558449|0.59883697,optimal,0.7060016963814322,0.7023866647503616,0.0036150316310705755,0.415426314|-0.474904716|0.566982567,0|0|0,0.016767258057370782,0.003209575079381466,0.0014291630359366536,0.007252419018186629
5,0.30000000000000004,-1.5165017078547933,0.3905247449874878,0.5326823592185974,0.40363988280296326,0.3412225842475891,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.380409598350525,0.0,0.0,0.0,0.0,0.5667433674610852,0.5326823592185974,0.03406100824248781,0.0,0.7774074867943529,0.0,0.6905891704458539,-0.6905891704458539,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.21418161647782075,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.380409643519697,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6935593117538895,1,continuity_tiebreak,1.0,0,goal_velocity_linprog,0.0,valid,0.21418161647782075,0.9219355460966129,0|0.309706284|0.462240676|0.770771553|0.853751304|0.777472509,0.470375822|0.254123495|0.214181616|0.23560779|0.242121684|0.255242568,0.6464726|0.430220272|0.390278394|0.411704568|0.418218461|0.431339346,0.590375822|0.374123495|0.334181616|0.35560779|0.362121684|0.375242568,0|0|0.15|0.15|0.15|0.15,0|0.0714965254|-0.155162985|-0.313615176|-0.427643307|-0.505950591,0|0|0|0|0|0,1.88150329|1.08799051|0.701563481|0.628815986|0.540843428|0.515019682,optimal,0.6935593117538895,0.6905891704458538,0.0029701413080357453,0.415426314|-0.474904716|0.566982567,0|0|0,0.018013208056800067,0.003046442987397313,0.0015745449345558882,0.008072837023064494
6,0.35000000000000003,-1.5041765203787918,0.39864999055862427,0.4998929500579834,0.39624467492103577,0.3410152196884155,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.380409598350525,0.0,0.0,0.0,0.0,0.5326823614537849,0.4998929500579834,0.03278941139580149,0.0,0.7777241419714462,0.0,0.6702031917859095,-0.6702031917859095,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.20728220743896086,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.3804096495647504,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6748678738500227,1,continuity_tiebreak,1.0,0,goal_velocity_linprog,0.0,valid,0.20728220743896086,0.9299225908485758,1.94514799e-17|0.307077244|0.502652237|0.767955779|0.852747094|0.777790333,0.46997647|0.258019847|0.207282207|0.221752895|0.221831428|0.230560213,0.6464726|0.434515977|0.383778337|0.398249025|0.398327558|0.407056342,0.58997647|0.378019847|0.327282207|0.341752895|0.341831428|0.350560213,0|0|0.15|0.15|0.15|0.15,1.1351865e-17|0.100060937|-0.134133868|-0.315349168|-0.373758232|-0.470046554,0|0|0|0|0|0,1.87990588|1.13214033|0.694994962|0.571662414|0.513567481|0.452194297,optimal,0.6748678738500227,0.6702031917859095,0.00466468206411319,0.415426314|-0.474904716|0.566982567,0|0|0,0.01924493908882141,0.0037387440679594874,0.0017032379982993007,0.007770540076307952
7,0.4,-1.4896484161938326,0.40205591917037964,0.4688771963119507,0.389974445104599,0.33718225359916687,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.3902809619903564,0.4081237316131592,8.162474632263184,0.0,0.0,0.499892944600432,0.4688771963119507,0.031015748288481304,0.0,0.7783144441044895,0.0,0.6407895211030272,-0.6407895211030272,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.20296153293137448,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.3902809969523426,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6457895317621388,1,continuity_tiebreak,0.9999169707298279,0,goal_velocity_linprog,0.0,valid,0.20296153293137448,0.9371689173956596,5.83409429e-17|0.304734556|0.540798628|0.764673672|0.851033917|0.777643937,0.469614154|0.263346216|0.202961533|0.208301738|0.205143537|0.208967505,0.646472599|0.440204662|0.379819979|0.385160184|0.382001983|0.385825951,0.589614154|0.383346216|0.322961533|0.328301738|0.325143537|0.328967505,0|0|0.15|0.15|0.15|0.15,3.23056196e-17|0.127161922|-0.0980023713|-0.314204589|-0.333222548|-0.423301991,0|0|0|0|0|0,1.87845661|1.18054679|0.71384376|0.519002363|0.487351599|0.412568031,optimal,0.6457895317621388,0.6407895211030272,0.005000010659111598,0.415426314|-0.474904716|0.566982567,0|0|0,0.016927944961935282,0.0032682439778000116,0.0015025920001789927,0.007261343998834491
8,0.45,-1.4606341003633,0.39681553840637207,0.4403006434440613,0.385537713766098,0.3273414373397827,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4000458717346191,0.45370832085609436,4.547199249267578,0.0,0.0,0.4688772017605832,0.4403006434440613,0.028576558316521894,0.0,0.7785663444307173,0.0,0.5991671926928777,-0.5991671926928777,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.19079944021847317,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.4000459470528654,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,predictive_link_5,,,0,0,0,optimal; continuity_tiebreak,0.6041672028950114,1,continuity_tiebreak,0.9998923540115356,0,goal_velocity_linprog,0.0,valid,0.19079944021847317,0.9437271822020241,0|0.302696726|0.575370772|0.796316124|0.848689783|0.777879767,0.469286241|0.270020463|0.201938692|0.194821611|0.191791098|0.19079944,0.6464726|0.447206822|0.379125051|0.37200797|0.368977457|0.367985799,0.589286241|0.390020463|0.321938692|0.314821611|0.311791098|0.31079944,0|0|0.15|0.15|0.15|0.15,0|0.152561991|-0.0474517656|-0.235049102|-0.295900619|-0.363154042,0|0|0|0|0|0,1.87714496|1.23264384|0.760303004|0.54423734|0.471263773|0.400043719,optimal,0.6041672028950114,0.5991671926928777,0.005000010202133698,0.415426314|-0.474904716|0.566982567,0|0|0,0.01631261396687478,0.0030460149282589555,0.0014248340157791972,0.006855182000435889
9,0.5,-1.400634105320437,0.37818899750709534,0.4149347245693207,0.3836142122745514,0.30826857686042786,1.0,2,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,1.4015926122665405,1.1090704202651978,19.31528091430664,0.0,0.0,0.44030064322745843,0.4149347245693207,0.025365918658137754,0.0,0.7780828908796631,0.0,0.5430305223479941,-0.5430305223479941,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.1890160869807005,0.1890160869807005,0,0,0,0,-1,nan,nan,,,64,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 0, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 61, 'obstacle_contact': 4, 'self_collision': 0}",0.0007139102268172609,65,65,nan,nan,1.0,filtered,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.1769664249248773,0,0,0,0,0.25324766129001386,0.0,filtered,linprog goal-velocity priority optimal,1.401592564819625,0,0,12,joint_0_velocity_lower|joint_1_velocity_lower|joint_2_velocity_lower|joint_4_velocity_lower,workspace_z_upper,,,0,0,0,optimal; continuity_tiebreak,0.5480305314424885,1,continuity_tiebreak,0.9992170333862305,0,goal_velocity_linprog,0.0,valid,0.1769664249248773,0.9497539324158923,0|0.300979399|0.605468024|0.835702205|0.839558295|0.777962983,0.468984903|0.277944936|0.204353638|0.186667713|0.180804435|0.176966425,0.6464726|0.455432632|0.381841335|0.36415541|0.358292132|0.354454122,0.588984903|0.397944936|0.324353638|0.306667713|0.300804435|0.296966425,0|0|0.112010684|0.15|0.15|0.15,0|0.176078892|-0.00694049801|-0.131201089|-0.26641644|-0.288208564,0|0|0|0|0|0,1.87593961|1.28785864|0.810474054|0.615469764|0.456801301|0.419657136,optimal,0.5480305314424885,0.5430305223479941,0.005000009094494384,0.415426314|-0.474904716|0.566982567,0|0|0,0.01919678901322186,0.003683607908897102,0.0017576590180397034,0.007825347012840211
