episode,seed,seed_manifest,architecture_version,manifest_shard_index,manifest_shard_count,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_recovery_relaxed_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,mean_hierarchical_nominal_qdot_norm,mean_residual_qdot_norm,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m,nominal_only,hierarchical_final_state,hierarchical_plan_reason,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_initial_ik_found,hierarchical_initial_plan_found,hierarchical_initial_direct_path,hierarchical_initial_plan_reason,hierarchical_initial_planning_time_s,hierarchical_initial_plan_iterations,hierarchical_initial_ik_candidate_count,hierarchical_final_path_progress,hierarchical_failure_mode,hierarchical_track_rate,hierarchical_avoid_hold_rate,hierarchical_replan_rate,hierarchical_servo_rate,hierarchical_plan_failed_rate
0,9006,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-191.2459545777415,38.77049446105957,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.2744842767715454,12.0,0.32259222865104675,0.1073557585477829,0.1073557585477829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1472218018947355,0.01813032209635518,0.22787064698059112,0.0025600769263595187,0.0013212676979795408,0.0021898647357981344,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.1472218018947355,1,PLAN_FAILED,ik_not_found,0.16091519896872342,2.0699961001519114,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.16273485601413995,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
1,9021,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-594.0686971949962,65.10531544685364,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.8337456583976746,12.0,0.21860940754413605,0.1756779418637355,0.24070796370506287,0,0.0,0.625,0.010886456894082968,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.03947562274174557,0.019340504929520344,0.2469003369915299,0.00253948793518551,0.001290189156861743,0.0015998262708308176,0.002588727892364835,0.0,0.0,0.15841901302337646,4.08688497543335,1,1,9,0.45,0,0.043630423196683255,1,PLAN_FAILED,ik_not_found,0.22095811500912532,2.5980786359286867,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2335905450163409,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
2,9060,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-350.5346265855215,84.63135567307472,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.11843106895685196,12.0,0.21438045799732208,0.25068672600512704,0.4430389404296875,0,0.0,0.8416666666666667,0.24085961708331574,0.0,0.0,0.0,0.0,0.0,0.9708333333333333,0.0,0.0,0.0,0.03258400358743874,0.025321217873715794,0.6539729759679176,0.0026340267308114563,0.0012638923387081984,0.0016139347996310487,0.23836339466215578,0.5694347501421968,0.0,2.2062764167785645,55.18208312988281,1,1,106,5.300000000000001,0,0.2784192015832014,1,SERVO,direct_path,0.6004061920102686,4.325891913031228,36,1,1,1,35,0.2576873354916788,0.1322057694196701,0.00021221265519985613;0.001710413465213976;0.003551651714931119;0.0018007698566555514;0.005962981307362258;0.007897055394743405;0.0075758674022448685;0.005911364606507477;0.0057545193301659385;0.0025997951142302197;0.005117527475038413;0.008697579169609993;0.004885506149889993;0.006479907409597108;0.006158580659435444;0.001984598757970547;0.003403823503235494;0.00678386004211035;0.007665150902675993;0.0014812566884339984;0.003707845358187099;0.004455019329092622;0.005155809874042448;0.00577969233312551;0.00861860506964122;0.0011985969529757145;0.0015755196257063568;0.0036000702582142967;0.0030365076271903456;0.00595174010653222;0.005280753096282301;0.0037449549367142357;0.004207869481124017;0.009289035605962996;0.00630426014987642;0.004424203626764951,0.1280451864004135;0.12728330492973328;0.12547007203102112;0.1267067939043045;0.12796996533870697;0.12525641918182373;0.1247468963265419;0.1318659633398056;0.12251763790845871;0.12565220892429352;0.12364178150892258;0.12192723900079727;0.12372275441884995;0.12739510834217072;0.13007868826389313;0.1292140930891037;0.12899908423423767;0.1261606216430664;0.12355440109968185;0.127772256731987;0.1297857165336609;0.129783034324646;0.12496685236692429;0.12810362875461578;0.12441850453615189;0.1279626488685608;0.12774865329265594;0.12776771187782288;0.1254461109638214;0.12238597124814987;0.13190998136997223;0.1275952160358429;0.12934038043022156;0.12364482134580612;0.12220577150583267;0.1322057694196701,0.5738923072625481,filtered,115,2,8,7,36,1,1,0,rrt_connect,0.7460909740184434,1,9,1.0,FILTER_STOP_TIMEOUT,0.25,0.1125,0.0,0.6375,0.0
3,9065,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-322.76888400101177,34.81306314468384,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.618325412273407,12.0,0.33401593565940857,0.0989634320139885,0.0989634320139885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16153966823522514,0.018814186873350992,0.2235071210307069,0.0025621083555355047,0.0013111624437442515,0.0015969827113925324,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16153966823522514,1,PLAN_FAILED,ik_not_found,0.2045420669601299,2.4538913310389034,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.20570081495679915,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
4,9095,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-281.29566531287026,33.05561542510986,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.557287335395813,12.0,0.3445426821708679,0.09190636873245239,0.09190636873245239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16849042830486716,0.018989285738401425,0.2518016039975919,0.002517049882590072,0.0012838191309128889,0.0015666679299708144,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.16849042830486716,1,PLAN_FAILED,ik_not_found,0.19867520104162395,2.5691677399445325,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.24740751198260114,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
5,9098,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-203.7987430085991,17.7226585149765,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5262051820755005,12.0,0.43318796157836914,0.05170707777142525,0.05170707777142525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2566351642715701,0.019631541853838523,0.270584505982697,0.002601778930208335,0.0013233228002112205,0.0016309244422397266,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.2566351642715701,1,PLAN_FAILED,ik_not_found,0.20650829799706116,2.6197942288126796,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.2280564359971322,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
6,9102,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-375.1683816331788,15.058351688086987,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.810051679611206,12.0,0.4552517235279083,0.04527924093417823,0.04553133621811867,0,0.0,0.6208333333333333,0.0014132586270447908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28049618741071725,0.01945232678068957,0.2671026489697397,0.0025907474979855274,0.00131702201445781,0.0015919745625675812,0.0005686250081421319,0.0,0.0,0.03791932761669159,1.1252813339233398,0,0,0,0.0,0,0.28049618741071725,1,PLAN_FAILED,ik_not_found,0.21313852997263893,2.5770636031520553,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.21647494402714074,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
7,9108,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-283.797837378758,13.042271733283997,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.6946653127670288,12.0,0.48032665252685547,0.0397619865834713,0.0397619865834713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30488075274866516,0.017843837001904225,0.2277664549765177,0.002591863918011465,0.0013192764650739263,0.0016199163706914987,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.30488075274866516,1,PLAN_FAILED,ik_not_found,0.17480682797031477,2.144164122932125,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.16699266899377108,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
8,9110,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-219.7554873833547,12.249937355518341,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.5964403748512268,12.0,0.48904097080230713,0.038023050874471664,0.038023050874471664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31538024944972776,0.018077490986373353,0.21340916899498552,0.002677151541138301,0.0013685113386600277,0.0016785796447948086,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.31538024944972776,1,PLAN_FAILED,ik_not_found,0.17492202803259715,2.125837931933347,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.17793938895920292,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
9,9120,configs/experiments/reaching_recovery/manifests/v1_hierarchical_hard_cases.json,hierarchical_s1_revised_tracker_v4,,,-153.7016033388045,10.157325267791748,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4853527545928955,12.0,0.525179922580719,0.03201954811811447,0.03201954811811447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485488237623142,0.019293490107763014,0.22807700996054336,0.0026399734078343803,0.0013558299089102852,0.0016316892993927467,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.3485488237623142,1,PLAN_FAILED,ik_not_found,0.20161943702260032,2.4902219041250646,0,0,0,0,-1,nan,nan,,,0.0,passthrough,0,0,12,0,0,0,0,0,ik_not_found,0.20516305102501065,0,0,0.0,IK_NOT_FOUND,0.0,0.0,0.0,0.0,1.0
