step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,qdot_policy_norm,qdot_policy_limited_norm,policy_rate_limited,safety_qp_intervened,safety_qp_infeasible,safety_qp_correction_norm,safety_qp_solve_time_ms,acc_norm,jerk_norm,physics_rms_acceleration,physics_rms_jerk
0,0.05,-0.3986228228396511,0.2533641457557678,0.26652511954307556,0.39697492122650146,0.2533641457557678,0.35,5,0,0,0,0.10497813671827316,1.3358782529830933,0.24494898319244385,1,0,0,0.0,0.0,2.099562644958496,41.991249084472656,1.0209509134292603,69.37422943115234
1,0.1,-0.37580018750475686,0.21918442845344543,0.26718175411224365,0.3851979970932007,0.21918442845344543,0.35,5,0,0,0,0.3299313187599182,1.3524565696716309,0.4898979663848877,1,0,0,0.0,0.0,4.499063491821289,47.99001693725586,2.1877522468566895,148.5137481689453
2,0.15000000000000002,-0.3275753805921119,0.15394258499145508,0.2686769664287567,0.3777090013027191,0.15394258499145508,0.35,5,0,0,0,0.5720237493515015,1.3280011415481567,0.7348469495773315,1,0,0,0.0,0.0,4.841847896575928,6.855691432952881,2.3544373512268066,159.76788330078125
3,0.2,-0.29045705111593434,0.09223363548517227,0.27141088247299194,0.37455907464027405,0.09223363548517227,0.35,5,0,0,0,0.7639785408973694,1.266263723373413,0.8686524629592896,1,0,0,0.0,0.0,4.105109691619873,40.06570053100586,1.9961848258972168,135.500732421875
4,0.25,-0.31638334839309235,0.08133254200220108,0.2759057879447937,0.3756013512611389,0.08133254200220108,0.35,5,0,0,0,0.9325693249702454,1.2598003149032593,1.0610612630844116,1,0,0,0.0,0.0,4.352585792541504,39.896541595458984,2.1165244579315186,143.66387939453125
5,0.30000000000000004,-0.3536818235557814,0.07888590544462204,0.2822498083114624,0.3801123797893524,0.07888590544462204,0.35,5,0,0,0,1.0447618961334229,1.2000017166137695,1.080729603767395,1,0,0,0.0,0.0,3.5688135623931885,41.97215270996094,1.735400915145874,117.81608581542969
6,0.35000000000000003,-0.3855978880557041,0.07687576115131378,0.2899843156337738,0.38636571168899536,0.07687576115131378,0.35,5,0,0,0,1.0566084384918213,1.1302372217178345,1.049790382385254,1,0,0,0.0,0.0,3.632063388824463,58.587921142578125,1.7661575078964233,119.95417785644531
7,0.4,-0.40980719287598844,0.0746908038854599,0.2986410856246948,0.3925498127937317,0.0746908038854599,0.35,5,0,0,0,1.024888038635254,1.0137555599212646,0.9992123246192932,1,0,0,0.0,0.0,3.0356764793395996,40.492671966552734,1.4761532545089722,100.22943115234375
8,0.45,-0.43384929091314717,0.07233400642871857,0.30814260244369507,0.3979906439781189,0.07233400642871857,0.35,5,0,0,0,0.9893884062767029,0.9637142419815063,0.9749277234077454,1,0,0,0.0,0.0,2.4171364307403564,44.94083023071289,1.1753768920898438,79.85272979736328
9,0.5,-0.4587091923245418,0.07119588553905487,0.31838905811309814,0.4025980830192566,0.07119588553905487,0.35,5,0,0,0,0.9347472190856934,0.8770792484283447,0.8825556039810181,1,0,0,0.0,0.0,1.827347993850708,47.86007308959961,0.8885814547538757,60.43853759765625
10,0.55,-0.46331108159229645,0.07026980072259903,0.32821106910705566,0.40541940927505493,0.07026980072259903,0.35,5,0,0,0,0.8575698733329773,0.8049473166465759,0.8235145807266235,1,0,0,0.0,0.0,2.8285529613494873,56.11894989013672,1.375435709953308,93.45963287353516
11,0.6000000000000001,-0.4502680516763374,0.07195184379816055,0.33660227060317993,0.40579909086227417,0.07195184379816055,0.35,5,0,0,0,0.8156729340553284,0.8037316799163818,0.8038948178291321,1,0,0,0.0,0.0,2.5930750370025635,37.50196075439453,1.2609304189682007,85.6251449584961
12,0.65,-0.45103097269249814,0.07359139621257782,0.34437525272369385,0.40484315156936646,0.07359139621257782,0.35,5,0,0,0,0.7977762818336487,0.7922937870025635,0.7922937870025635,0,0,0,0.0,0.0,1.8364883661270142,57.98780059814453,0.8930261135101318,60.80519485473633
13,0.7000000000000001,-0.46623636048146666,0.07332193851470947,0.35239189863204956,0.4035746455192566,0.07332193851470947,0.35,5,0,0,0,0.7588256001472473,0.6994521617889404,0.7225217819213867,1,0,0,0.0,0.0,1.5959171056747437,51.18389892578125,0.7760439515113831,52.84569549560547
14,0.75,-0.4765716570554879,0.07238537818193436,0.3603902757167816,0.40172046422958374,0.07238537818193436,0.35,5,0,0,0,0.7028903961181641,0.6766018271446228,0.6751067638397217,1,0,0,0.0,0.0,2.1288251876831055,38.51716995239258,1.0351803302764893,70.32366943359375
