episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk
0,-9.380701189199979,23.332370940595865,104,1,0,0,0.04267265647649765,5.2,0.17566780745983124,0.21183474788155693,0.5442701578140259,0,0.0,0.41346153846153844,0.01614914286320252,0.0,0.0,0.0,0.0,0.9519230769230769,0.0,0.05566780642760491,0.0056468483794910405,0.17692196879607552,1.6646957397460938,47.74323272705078
1,-111.3736562148826,88.82944737933576,240,0,0,0,0.18451714515686035,12.0,0.10837101191282272,0.19809183666172128,0.8221126794815063,13,0.05416666666666667,0.7791666666666667,0.12286954472571589,0.0,0.0,0.0,0.0,0.95,0.07083333333333333,-0.026446515945634796,0.00407924905885011,0.13430853593745268,1.3571041822433472,28.63117027282715
2,-89.08753525347669,49.960011295974255,240,0,0,0,0.1577068418264389,12.0,0.12098463624715805,0.1993419099987174,0.768608570098877,0,0.0,0.625,0.0788460839015199,0.0,0.0,0.0,0.0,0.9791666666666666,0.0,0.0009846196468908386,0.004063944949302822,0.07119004017440603,0.7516207695007324,14.469246864318848
3,-27.889369175204813,24.215227462351322,66,0,1,1,0.2291036993265152,3.3000000000000003,0.149966761469841,0.22552098062905399,0.6627280116081238,0,0.0,0.5151515151515151,0.012094761122834901,0.0,0.0,0.0,0.0,0.9848484848484849,0.0,0.017483450065380324,0.0043761195953596725,0.12450843961965857,1.2447646856307983,20.998403549194336
4,-128.72305688846325,72.987987825647,240,0,0,0,0.46905264258384705,12.0,0.1137893870472908,0.23516042705935736,0.8350113034248352,4,0.016666666666666666,0.6708333333333333,0.09371395366515829,0.0,0.0,0.0,0.0,0.9208333333333333,0.041666666666666664,-0.0362363091370807,0.00402719226355354,0.14683750828262418,1.4582173824310303,27.01433753967285
5,-74.31106944464197,53.06144566833973,240,0,0,0,0.13467571139335632,12.0,0.15185396373271942,0.2075666511276116,0.5979815125465393,0,0.0,0.44583333333333336,0.02317691637733177,0.0,0.0,0.0,0.0,0.9791666666666666,0.0,0.02601564918636151,0.0034323628448570767,0.15329994918235268,1.522021770477295,36.323211669921875
6,-40.12173187483182,32.197601072490215,240,0,0,0,0.1429990977048874,12.0,0.20545895397663116,0.1302856041273723,0.41670626401901245,0,0.0,0.37083333333333335,3.475340229744601e-07,0.0,0.0,0.0,0.0,1.0,0.0,0.08545895953058685,0.0034876019422275324,0.11552337111012699,1.194266438484192,24.386489868164062
7,15.794723227218148,5.213287599384785,38,1,0,0,0.04699903354048729,1.9000000000000001,0.3140285611152649,0.12669585272669792,0.1906355619430542,0,0.0,0.34210526315789475,3.2374293145277765e-07,0.0,0.0,0.0,0.0,1.0,0.0,0.173955385490624,0.0033565523887151166,0.1588135637146862,1.5678869485855103,24.903886795043945
8,-9.113886465711289,18.54762235842645,121,1,0,0,0.052127331495285034,6.050000000000001,0.19144095480442047,0.1457357899216581,0.5398618578910828,0,0.0,0.628099173553719,0.0491488772971222,0.0,0.0,0.0,0.0,1.0,0.0,0.07144094295437087,0.0037621989738473222,0.15298519860799156,1.455187201499939,26.394346237182617
9,-230.4541499483702,188.9212958291173,240,0,0,0,0.4927525222301483,12.0,0.07374130189418793,0.32107481357331075,0.823107123374939,36,0.15,0.9083333333333333,0.24173335293699036,0.14583333333333334,0.0,0.14583333333333334,0.0,0.775,0.1625,-0.0462676043758741,0.027448195995142064,0.06451177814354499,0.977154016494751,23.172101974487305
