step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.9532266507238094,0.3143417239189148,0.6385467648506165,0.46603840589523315,0.3045864701271057,0.35,3,0,0,0,0.4353688359260559,8.707376480102539,174.14752197265625,0.4353688359260559,passthrough,5.165432658169017e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31767688699869917,0.004333420656621456
1,0.1,-0.8734302910734257,0.3443228602409363,0.6243858933448792,0.4454472064971924,0.3320264518260956,0.35,3,0,0,0,0.709527850151062,6.547999858856201,120.02919006347656,0.709527850151062,passthrough,9.754479764733633e-10,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.2966689085525529,0.004484483972191811
2,0.15000000000000002,-0.8455390422094251,0.30190643668174744,0.612616777420044,0.4298345446586609,0.2870214283466339,0.35,3,0,0,0,0.9146728515625,6.984310626983643,95.65936279296875,0.9146728515625,passthrough,1.3473716341792462e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.27589808114923564,0.004578514024615288
3,0.2,-0.8222804796086723,0.2594376504421234,0.6033531427383423,0.41845834255218506,0.24206925928592682,0.35,3,0,0,0,1.0516490936279297,3.8964390754699707,71.5547103881836,1.0516488552093506,filtered,2.939160460874441e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.2601909924033517,0.004333654418587685
4,0.25,-0.796312059038629,0.24390742182731628,0.5946985483169556,0.4092164635658264,0.22401222586631775,0.35,3,0,0,0,1.1306917667388916,2.9233715534210205,81.41423034667969,1.130691409111023,filtered,6.306693679811616e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.24886365933837007,0.004294285550713539
5,0.30000000000000004,-0.7734512487290115,0.23554794490337372,0.5863396525382996,0.40151447057724,0.21310359239578247,0.35,3,0,0,0,1.1716355085372925,2.7839746475219727,26.36402130126953,1.171635389328003,filtered,4.387875761551232e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23985381160958996,0.004409428685903549
6,0.35000000000000003,-0.7545814557709855,0.22773414850234985,0.5784220695495605,0.39520537853240967,0.20281383395195007,0.35,3,0,0,0,1.1690521240234375,1.481958031654358,40.41484832763672,1.1690521240234375,filtered,1.4071360067002525e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23261391932522335,0.0051537612453103065
7,0.4,-0.7413114978391286,0.2753525376319885,0.5683391094207764,0.3814966082572937,0.24669402837753296,0.35,4,0,0,0,1.119014024734497,3.7862327098846436,67.56262969970703,1.1190139055252075,filtered,3.895092029874102e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22645440778287418,0.0042753517627716064
8,0.45,-0.7208581237860133,0.21940650045871735,0.5611719489097595,0.3707830607891083,0.18864840269088745,0.35,4,0,0,0,1.0859529972076416,2.5151541233062744,94.19585418701172,1.0859527587890625,filtered,2.9313313613653565e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.21231338016551832,0.004393903538584709
9,0.5,-0.7079127454829384,0.29104840755462646,0.5504326224327087,0.3564894497394562,0.2574082911014557,0.35,4,0,0,0,1.0515294075012207,6.496207237243652,149.11598205566406,1.0515294075012207,filtered,1.9283004071098112e-08,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.20234484631731348,0.004129580222070217
