step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.8269535247258162,0.44426044821739197,0.4374317526817322,0.2803402245044708,0.3872945010662079,0.35,5,0,0,0,0.0,0.0,0.0,0.4555140435695648,1.0,0.10143905129639821,0,0,0,0,0.10143905129639821,0.0,safe_stop_compute_budget,0.4555140435695648,1,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.10143905129639821,0.557607299|0.572607299|0.393789839|0.123606253|0.121408335|0.101439051,0.707607299|0.722607299|0.543789839|0.273606253|0.271408335|0.251439051,0.677607299|0.692607299|0.513789839|0.243606253|0.241408335|0.221439051,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.189398264|0|-0.25672559|-0.310230197|-0.305134289|-0.287193976,2.04103093|2.2904292|1.31843377|0.184194816|0.180499052|0.118562229,0.584914744|0.528062999|0.484865069,-0.0505018085|-0.304625332|0.036433883,0.17386201955378056,0.0009725699201226234,0.0014024525880813599,0.17138059064745903
1,0.1,-0.6616309804906206,0.4313681721687317,0.42937400937080383,0.26875609159469604,0.36835262179374695,0.35,5,0,0,0,0.40552765130996704,8.110552787780762,162.2110595703125,0.46979328989982605,1.0,0.0871303987441028,0,0,0,0,0.10143905129639821,0.0,filtered,0.0734188320289219,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0871303987441028,0.548227659|0.563227659|0.381012545|0.108096122|0.10615251|0.0871303987,0.698227659|0.713227659|0.531012545|0.258096122|0.25615251|0.237130399,0.668227659|0.683227659|0.501012545|0.228096122|0.22615251|0.207130399,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0733790049|0.118004555|0.107059273|0.0492327617,-0.185772604|0|-0.254346637|-0.310171141|-0.305094185|-0.285107193,2.00713803|2.25291064|1.34308255|0.240217902|0.226575127|0.112647164,0.582389891|0.512831628|0.486686826,-0.0505018085|-0.304625332|0.036433883,0.005933935754001141,0.0017528459429740906,0.0017135180532932281,0.0023405011743307114
2,0.15000000000000002,-0.48601036256504704,0.4242613911628723,0.413534015417099,0.2590375244617462,0.35484689474105835,0.35,5,0,0,0,0.700066328048706,6.962829113006592,113.99471282958984,0.7000660300254822,0.9423325026198411,0.07538660020958729,0,0,0,0,0.10143905129639821,0.0,filtered,7.039123985661319e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07538660020958729,0.539032337|0.554032332|0.37183048|0.0983975837|0.0962153923|0.0753866002,0.689032337|0.704032332|0.52183048|0.248397584|0.246215392|0.2253866,0.659032337|0.674032332|0.49183048|0.218397584|0.216215392|0.1953866,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.129129956|0.212412416|0.191214905|0.0741584584,-0.18202514|0|-0.251341264|-0.310490048|-0.305768675|-0.286205538,1.97410421|2.21612933|1.36511061|0.295512703|0.270307799|0.0894993214,0.579865038|0.497600257|0.488508582,-0.0505018085|-0.304625332|0.036433883,0.005799092352390289,0.0017398511990904808,0.0017471350729465485,0.0022092871367931366
3,0.2,-0.4204468813428702,0.43489891290664673,0.3952483832836151,0.25008466839790344,0.3587915003299713,0.35,5,0,0,0,0.7454676628112793,4.740018844604492,133.96434020996094,0.7454676032066345,0.8136559495405409,0.06509247596324327,0,0,0,0,0.10143905129639821,0.0,filtered,2.9328027473428035e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06509247596324327,0.530027497|0.545027489|0.365647973|0.0936450612|0.0906958328|0.065092476,0.680027497|0.695027489|0.515647973|0.243645061|0.240695833|0.215092476,0.650027497|0.665027489|0.485647973|0.213645061|0.210695833|0.185092476,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.139093803|0.238592081|0.215325589|0.0918574394,-0.178152981|0|-0.247697078|-0.310843605|-0.306926094|-0.290465324,1.94195701|2.18010996|1.35398862|0.302328721|0.271182827|0.0617620189,0.577340186|0.482368886|0.490330338,-0.0505018085|-0.304625332|0.036433883,0.00563439168035984,0.0017428221181035042,0.0016533341258764267,0.0021240608766674995
4,0.25,-0.5553950606686138,0.43655723333358765,0.38501840829849243,0.24254359304904938,0.3550231158733368,0.35,5,0,0,0,0.43108412623405457,8.061654090881348,214.52700805664062,0.3499999940395355,0.6936739137459301,0.05549391309967441,1,1,0,0,0.10143905129639821,0.3499999940395355,filtered,0.36220401892635123,0,0,12,joint_4_acceleration_lower|joint_1_acceleration_upper|joint_2_acceleration_upper,predictive_link_5,1,0,0,inaccurate_solution,,0.0,valid,0.05549391309967441,0.521219442|0.536219442|0.360284651|0.0903026005|0.0863871463|0.0554939131,0.671219442|0.686219442|0.510284651|0.2403026|0.236387146|0.205493913,0.641219442|0.656219442|0.480284651|0.2103026|0.206387146|0.175493913,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0777546645|0.192043075|0.194693096|0.141627643,-0.174153366|0|-0.243659095|-0.310625119|-0.307871919|-0.295297814,1.9107244|2.14487777|1.27523417|0.242628358|0.232369762|0.0683054816,0.574815333|0.467137516|0.492152095,-0.0505018085|-0.304625332|0.036433883,0.007149708457291126,0.0017599621787667274,0.0015697041526436806,0.0023819319903850555
5,0.30000000000000004,-0.6842025490277064,0.4094185531139374,0.383693665266037,0.23697878420352936,0.324436217546463,0.35,5,0,0,0,0.3443174362182617,6.471253871917725,84.7544937133789,0.3500000238418579,0.5965957969049908,0.04772766375239926,1,1,0,0,0.10143905129639821,0.3500000238418579,filtered,0.047493521864674815,0,0,12,joint_2_acceleration_upper,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.04772766375239926,0.512614613|0.527614613|0.35237144|0.0845500096|0.0807717799|0.0477276638,0.662614613|0.677614613|0.50237144|0.23455001|0.23077178|0.197727664,0.632614613|0.647614613|0.47237144|0.20455001|0.20077178|0.167727664,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0196912271|0.151749278|0.182683548|0.190614985,-0.170023693|0|-0.240087636|-0.310283585|-0.308447868|-0.296967135,1.88043476|2.11045845|1.18908935|0.179665732|0.1973228|0.084558505,0.57229048|0.451906145|0.493973851,-0.0505018085|-0.304625332|0.036433883,0.007235486060380936,0.001779097132384777,0.0015558339655399323,0.002508710138499737
6,0.35000000000000003,-0.7171161735660093,0.41246867179870605,0.3842129409313202,0.23187680542469025,0.324453204870224,0.35,5,0,0,0,0.3500000238418579,0.7834017872810364,124.71078491210938,0.3500000238418579,0.5293463889395379,0.04234771111516303,1,1,0,0,0.10143905129639821,0.3500000238418579,passthrough,2.3880878900331392e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.04234771111516303,0.504219572|0.519219572|0.341754465|0.0768129999|0.0744355256|0.0423477111,0.654219572|0.669219572|0.491754465|0.226813|0.224435526|0.192347711,0.624219572|0.639219572|0.461754465|0.196813|0.194435526|0.162347711,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00942495186|0.151112615|0.181241461|0.196944795,-0.165761549|0|-0.237204293|-0.310404243|-0.308999686|-0.295520288,1.85111674|2.07687829|1.13923852|0.147960371|0.169983877|0.0708153512,0.569765627|0.436674774|0.495795608,-0.0505018085|-0.304625332|0.036433883,0.00706077367067337,0.001763269305229187,0.0015497934073209763,0.002239946275949478
7,0.4,-0.7240739339859841,0.4251680374145508,0.38440003991127014,0.22691388428211212,0.33411741256713867,0.35,5,0,0,0,0.3499999940395355,0.33665362000465393,19.04896354675293,0.3499999940395355,0.4690322947843644,0.03752258358274915,1,1,0,0,0.10143905129639821,0.3499999940395355,passthrough,1.1372091031524981e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.03752258358274915,0.496040999|0.511040999|0.330446126|0.0689195854|0.0679667983|0.0375225836,0.646040999|0.661040999|0.480446126|0.218919585|0.217966798|0.187522584,0.616040999|0.631040999|0.450446126|0.188919585|0.187966798|0.157522584,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0130352295|0.157304109|0.180819769|0.197831136,-0.161364745|0|-0.234447914|-0.310596588|-0.309493813|-0.293365826,1.82279925|2.044164|1.10037182|0.122385863|0.143193149|0.0545556444,0.567240775|0.421443403|0.497617364,-0.0505018085|-0.304625332|0.036433883,0.006859670393168926,0.0016959235072135925,0.0014827372506260872,0.0022907620295882225
8,0.45,-0.7368810818689806,0.43807676434516907,0.3845676779747009,0.22208093106746674,0.34402230381965637,0.35,5,0,0,0,0.3499999940395355,0.14948230981826782,3.9761641025543213,0.3499999940395355,0.4104424029004575,0.0328353922320366,1,1,0,0,0.10143905129639821,0.3499999940395355,passthrough,9.0004796440856e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0328353922320366,0.488085676|0.503085676|0.319458213|0.0613146159|0.0614558314|0.0328353922,0.638085676|0.653085676|0.469458213|0.211314616|0.211455831|0.182835392,0.608085676|0.623085676|0.439458213|0.181314616|0.181455831|0.152835392,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0142459463|0.160826744|0.17897134|0.198636449,-0.156831351|0|-0.231494663|-0.310728316|-0.309914083|-0.291212885,1.79551135|2.01234271|1.06058414|0.0953568913|0.114880582|0.0387651326,0.564715922|0.406212032|0.49943912,-0.0505018085|-0.304625332|0.036433883,0.00418611615896225,0.00104509387165308,0.0008568596094846725,0.0014581670984625816
9,0.5,-0.7522088318955333,0.4507792592048645,0.38485655188560486,0.21738417446613312,0.3537859320640564,0.35,5,0,0,0,0.3499999940395355,0.08433479815721512,1.7753701210021973,0.3499999940395355,0.3536248344556875,0.028289986756455,1,1,0,0,0.10143905129639821,0.3499999940395355,passthrough,1.131380979101646e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.028289986756455,0.480360476|0.495360471|0.308681872|0.053874486|0.0548360839|0.0282899868,0.630360476|0.645360471|0.458681872|0.203874486|0.204836084|0.178289987,0.600360476|0.615360471|0.428681872|0.173874486|0.174836084|0.148289987,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0144083886|0.16332271|0.176664436|0.199537816,-0.152159729|0|-0.228366369|-0.310818515|-0.310260232|-0.288962065,1.76928217|1.98144188|1.02076951|0.0680021391|0.0857485397|0.023735698,0.562191069|0.390980661|0.501260877,-0.0505018085|-0.304625332|0.036433883,0.005782320164144039,0.0010647261515259743,0.0014750584959983826,0.0020781606435775757
