step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.8722694572265485,0.17253358662128448,0.6437738537788391,0.4057425260543823,0.15163293480873108,0.35,5,0,0,0,0.47131919860839844,9.426383972167969,188.52767944335938,0.5313122272491455,1.0,0.2195994027006951,0,0,0,0,0.2195994027006951,0.0,filtered,0.07172555098751161,0,0,12,joint_3_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2195994027006951,0.450262613|0.46526261|0.403541967|0.266593768|0.268593768|0.219599403,0.600262613|0.61526261|0.553541967|0.416593768|0.418593768|0.369599403,0.570262613|0.58526261|0.523541967|0.386593768|0.388593768|0.339599403,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.048967746|0.127241733|0.127241733|0.125892688,-0.213334231|0|-0.271312017|-0.310667179|-0.310667179|-0.296661378,1.58771622|1.86105044|1.3918236|0.882949628|0.890949628|0.70762892,0.473326921|0.594201267|0.257176995,-0.00491298083|-0.307599783|0.0669190884,0.004479736089706421,0.001202843151986599,0.0012042159214615822,0.001993347890675068
1,0.1,-0.6349370910889592,0.10401223599910736,0.6290364265441895,0.402431845664978,0.10148461908102036,0.35,5,0,0,0,0.7947216629981995,6.946145057678223,92.90491485595703,0.7947210669517517,1.0,0.21097332845812922,0,0,0,0,0.2195994027006951,0.0,filtered,1.1349360177136844e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21097332845812922,0.43968698|0.45468698|0.392368573|0.25727051|0.25927051|0.210973328,0.58968698|0.60468698|0.542368573|0.40727051|0.40927051|0.360973328,0.55968698|0.57468698|0.512368573|0.37727051|0.37927051|0.330973328,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0902090297|0.237838369|0.237838369|0.224574875,-0.209659332|0|-0.268771485|-0.310778322|-0.310778322|-0.296862585,1.54908859|1.81874792|1.39091184|0.956142085|0.964142085|0.771605604,0.473081231|0.578821123|0.260522962,-0.00491298083|-0.307599783|0.0669190884,0.003002028912305832,0.0008198264986276627,0.0008199885487556458,0.0013060495257377625
2,0.15000000000000002,-0.49587331683250596,0.10438051074743271,0.6093210577964783,0.4023287892341614,0.10167164355516434,0.35,5,0,0,0,0.9911274313926697,6.184771537780762,109.94474792480469,0.9931040406227112,1.0,0.20744893756798,0,0,0,0,0.2195994027006951,0.0,filtered,0.07174781273611425,0,0,12,joint_3_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.20744893756798,0.429299086|0.444299086|0.383380388|0.253604068|0.255604068|0.207448938,0.579299086|0.594299086|0.533380388|0.403604068|0.405604068|0.357448938,0.549299086|0.564299086|0.503380388|0.373604068|0.375604068|0.327448938,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.113360831|0.306516379|0.306516379|0.287828434,-0.205823725|0|-0.265086703|-0.311114328|-0.311114328|-0.29841192,1.51137262|1.77719634|1.38179568|1.00981832|1.01781832|0.819212264,0.472835541|0.563440979|0.263868928,-0.00491298083|-0.307599783|0.0669190884,0.003281017765402794,0.0010427646338939667,0.0008354987949132919,0.0013451473787426949
3,0.2,-0.38945598881800036,0.1047074943780899,0.5867365598678589,0.4037884473800659,0.10181231796741486,0.35,5,0,0,0,1.1395422220230103,5.243925094604492,44.98188400268555,1.1423386335372925,1.0,0.20702813192519542,0,0,0,0,0.2195994027006951,0.0,filtered,0.015996551344701904,0,0,12,joint_3_acceleration_upper,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.20702813192519542,0.419107122|0.434107122|0.37575438|0.253406606|0.255406606|0.207028132,0.569107122|0.584107122|0.52575438|0.403406606|0.405406606|0.357028132,0.539107122|0.554107122|0.49575438|0.373406606|0.375406606|0.327028132,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.123480995|0.342314147|0.342314147|0.322376477,-0.201821109|0|-0.260507119|-0.311422925|-0.311422925|-0.300733776,1.47460738|1.73642849|1.3659914|1.04451764|1.05251764|0.849755229,0.47258985|0.548060834|0.267214894,-0.00491298083|-0.307599783|0.0669190884,0.003341865725815296,0.000776396133005619,0.0007794173434376717,0.0017345035448670387
4,0.25,-0.2962895494587531,0.10498389601707458,0.56218421459198,0.4064062833786011,0.10189853608608246,0.35,5,0,0,0,1.2670460939407349,3.384798526763916,48.730499267578125,1.2670460939407349,1.0,0.2081371821791893,0,0,0,0,0.2195994027006951,0.0,passthrough,6.215938177731623e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.2081371821791893,0.409119597|0.424119565|0.368831475|0.254840323|0.256925796|0.208137182,0.559119597|0.574119565|0.518831475|0.404840323|0.406925796|0.358137182,0.529119597|0.544119565|0.488831475|0.374840323|0.376925796|0.328137182,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.125284349|0.366661765|0.369959174|0.348707745,-0.197645182|0|-0.255259833|-0.312170098|-0.311551217|-0.303301102,1.43883321|1.69647826|1.34535042|1.07385296|1.08611114|0.877955372,0.47234416|0.53268069|0.270560861,-0.00491298083|-0.307599783|0.0669190884,0.003083612769842148,0.0007876642048358917,0.0008719842880964279,0.001371287740767002
5,0.30000000000000004,-0.2198868034896543,0.10519925504922867,0.5365477800369263,0.4099138379096985,0.10192128270864487,0.35,5,0,0,0,1.3419396877288818,1.9399223327636719,40.945884704589844,1.3419396877288818,1.0,0.21040280669365563,0,0,0,0,0.2195994027006951,0.0,passthrough,7.069250031811732e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.21040280669365563,0.399345334|0.414345334|0.362247935|0.257402939|0.259797364|0.210402807,0.549345334|0.564345334|0.512247935|0.407402939|0.409797364|0.360402807,0.519345334|0.534345334|0.482247935|0.377402939|0.379797364|0.330402807,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.121876448|0.38127816|0.38931487|0.369927245,-0.1932897|0|-0.249468084|-0.312266175|-0.311307677|-0.305883032,1.40409164|1.65738134|1.3214001|1.09862374|1.11719665|0.90565544,0.47209847|0.517300546|0.273906827,-0.00491298083|-0.307599783|0.0669190884,0.0032600462436676025,0.0009338967502117157,0.0009235348552465439,0.0013484079390764236
6,0.35000000000000003,-0.16101582183346635,0.10534180700778961,0.5106561183929443,0.4138789772987366,0.10187051445245743,0.35,5,0,0,0,1.3776494264602661,1.3586091995239258,18.46550750732422,1.3776487112045288,1.0,0.2135944363271567,0,0,0,0,0.2195994027006951,0.0,filtered,1.269447919747574e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.2135944363271567,0.389793463|0.404793463|0.355786573|0.260666485|0.263640414|0.213594436,0.539793463|0.554793463|0.505786573|0.410666485|0.413640414|0.363594436,0.509793463|0.524793463|0.475786573|0.380666485|0.383640414|0.333594436,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.115557218|0.384960467|0.398775374|0.382942223,-0.188748525|0|-0.243219482|-0.311413426|-0.310518861|-0.308200086,1.37042533|1.61917385|1.29548403|1.11621298|1.14281817|0.929119883,0.471852779|0.501920402|0.277252793,-0.00491298083|-0.307599783|0.0669190884,0.004455637186765671,0.0014587799087166786,0.0014155171811580658,0.0014841528609395027
7,0.4,-0.11929478695023939,0.10539841651916504,0.48525986075401306,0.41779375076293945,0.10173506289720535,0.35,5,0,0,0,1.4037057161331177,0.8645403981208801,15.09117317199707,1.4037057161331177,1.0,0.21730969671221312,0,0,0,0,0.2195994027006951,0.0,passthrough,6.3661494214285556e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.21730969671221312,0.380473419|0.395473419|0.34933559|0.264136777|0.267985568|0.217309697,0.530473419|0.545473419|0.49933559|0.414136777|0.417985568|0.367309697,0.500473419|0.515473419|0.46933559|0.384136777|0.387985568|0.337309697,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.107700248|0.378563435|0.398607567|0.385901165,-0.184015695|0|-0.236572582|-0.30945056|-0.309072572|-0.310032336,1.33787798|1.58189368|1.26847003|1.12565998|1.16147727|0.945107616,0.471607089|0.486540258|0.28059876,-0.00491298083|-0.307599783|0.0669190884,0.003185311332345009,0.0008827457204461098,0.0008396599441766739,0.0013871006667613983
8,0.45,-0.09264385520672314,0.10535454750061035,0.4609434902667999,0.4213520288467407,0.10150265693664551,0.35,5,0,0,0,1.4174257516860962,0.6795148253440857,8.557113647460938,1.4174249172210693,1.0,0.22105941863156098,0,0,0,0,0.2195994027006951,0.0,filtered,1.3009056790033643e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.22105941863156098,0.371394931|0.386394925|0.342845236|0.267374296|0.272382185|0.221059419,0.521394931|0.536394925|0.492845236|0.417374296|0.422382185|0.371059419,0.491394931|0.506394925|0.462845236|0.387374296|0.392382185|0.341059419,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0994672178|0.365921702|0.392156599|0.382362411,-0.179085495|0|-0.229568741|-0.3063147|-0.30690993|-0.311243015,1.30649423|1.5455797|1.24127942|1.12910418|1.17477541|0.95535707,0.471361399|0.471160114|0.283944726,-0.00491298083|-0.307599783|0.0669190884,0.004304889589548111,0.001460113562643528,0.0013966429978609085,0.0013571418821811676
9,0.5,-0.0804566215143862,0.10519428551197052,0.4382278323173523,0.4243584871292114,0.10115993767976761,0.35,5,0,0,0,1.4116649627685547,0.7544074654579163,10.322741508483887,1.4116649627685547,1.0,0.22454905535460812,0,0,0,0,0.2195994027006951,0.0,filtered,2.5230787965061103e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.22454905535460812,0.362568001|0.377568001|0.336317626|0.270135879|0.276553537|0.224549055,0.512568001|0.527568001|0.486317626|0.420135879|0.426553537|0.374549055,0.482568001|0.497568001|0.456317626|0.390135879|0.396553537|0.344549055,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0911724343|0.348960246|0.380964995|0.374244774,-0.173952535|0|-0.222228254|-0.302009348|-0.304001808|-0.311746946,1.27631947|1.510272|1.21421468|1.12749442|1.18317733|0.96069405,0.471115708|0.45577997|0.287290692,-0.00491298083|-0.307599783|0.0669190884,0.0031863031908869743,0.0010276027023792267,0.0008211946114897728,0.0012811757624149323
