step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.9652586454840639,0.3093801736831665,0.639439582824707,0.4661579728126526,0.29771286249160767,0.35,3,0,0,0,0.3944186866283417,7.888373374938965,157.76747131347656,0.4353688359260559,1.0,0.2876768869986992,0,0,0,0,0.2876768869986992,0.0,filtered,0.055067493748955386,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2876768869986992,0.590249735|0.605249735|0.341797703|0.287676887|0.307167578|0.335048029,0.740249735|0.755249735|0.491797703|0.437676887|0.457167578|0.485048029,0.710249735|0.725249735|0.461797703|0.407676887|0.427167578|0.455048029,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0253248865|-0.089220298|-0.146182426|-0.182297871,-0.224505172|0|-0.273012415|-0.328048512|-0.330624168|-0.319656286,2.13649377|2.42099894|1.11950328|0.733438738|0.75186372|0.838237959,0.539581001|-0.545603514|0.596073806,-0.0111018056|0.327886403|-0.0602595136,0.0032938700169324875,0.0007855203002691269,0.0008423561230301857,0.0016137361526489258
1,0.1,-0.8824620954385147,0.3455764949321747,0.6255499124526978,0.4451749324798584,0.3333551287651062,0.35,3,0,0,0,0.6783901453018188,6.5377984046936035,101.69210815429688,0.6783894896507263,1.0,0.26680307063592745,0,0,0,0,0.2876768869986992,0.0,filtered,1.1237127805607493e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.26680307063592745,0.579111695|0.594111673|0.329414755|0.266803071|0.283592366|0.310285837,0.729111695|0.744111673|0.479414755|0.416803071|0.433592366|0.460285837,0.699111695|0.714111673|0.449414755|0.386803071|0.403592366|0.430285837,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0743038713|-0.0939603377|-0.169284204|-0.235048516,-0.221001445|0|-0.268715022|-0.328926485|-0.330979821|-0.319752852,2.09544533|2.37644669|1.12324787|0.64432546|0.63410544|0.686341981,0.539025962|-0.529209137|0.593061149,-0.0111018056|0.327886403|-0.0602595136,0.002914397045969963,0.0008330885320901871,0.0007884474471211433,0.0012386282905936241
2,0.15000000000000002,-0.8464541196772234,0.31852859258651733,0.6129066944122314,0.42826080322265625,0.30356189608573914,0.35,3,0,0,0,0.8784298896789551,6.476279258728027,89.83650207519531,0.8812193274497986,1.0,0.24564064621344195,0,0,0,0,0.2876768869986992,0.0,filtered,0.03578090663901022,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.24564064621344195,0.568152209|0.583152201|0.319808029|0.245640646|0.258940044|0.282874328,0.718152209|0.733152201|0.469808029|0.395640646|0.408940044|0.432874328,0.688152209|0.703152201|0.439808029|0.365640646|0.378940044|0.402874328,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.131387167|-0.0138357768|-0.0722179793|-0.157185603,-0.217362302|0|-0.26329727|-0.330171468|-0.331863512|-0.32113946,2.05524653|2.3326088|1.14732201|0.63855534|0.631678686|0.653172248,0.538470924|-0.51281476|0.590048492,-0.0111018056|0.327886403|-0.0602595136,0.0033962754532694817,0.0008243927732110023,0.000851217657327652,0.0016673924401402473
3,0.2,-0.8262449487092661,0.2695072889328003,0.6032710671424866,0.41623109579086304,0.25194182991981506,0.35,3,0,0,0,1.0321158170700073,4.8031134605407715,49.994110107421875,1.0321154594421387,1.0,0.22860882090329504,0,0,0,0,0.2876768869986992,0.0,filtered,6.48084653715206e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.22860882090329504,0.557378166|0.572378166|0.313406648|0.228608821|0.23918803|0.259278826,0.707378166|0.722378166|0.463406648|0.378608821|0.38918803|0.409278826,0.677378166|0.692378166|0.433406648|0.348608821|0.35918803|0.379278826,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.175777388|0.0812999115|0.0432021466|-0.0546293977,-0.213583081|0|-0.257301482|-0.331005481|-0.332813551|-0.323711696,2.01592958|2.28951266|1.1721025|0.664729715|0.667140716|0.658774211,0.537915885|-0.496420383|0.587035835,-0.0111018056|0.327886403|-0.0602595136,0.0031161950901150703,0.0009122667834162712,0.0008023055270314217,0.0013381391763687134
4,0.25,-0.8021322704769775,0.23984742164611816,0.5951164364814758,0.407218873500824,0.21977876126766205,0.35,3,0,0,0,1.1205343008041382,2.7222321033477783,79.00833129882812,1.12053382396698,1.0,0.21660072628799532,0,0,0,0,0.2876768869986992,0.0,filtered,7.464264030112907e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.21660072628799532,0.546796684|0.561796676|0.309553364|0.216600726|0.225393109|0.240896776,0.696796684|0.711796676|0.459553364|0.366600726|0.375393109|0.390896776,0.666796684|0.681796676|0.429553364|0.336600726|0.345393109|0.360896776,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.20013262|0.138786444|0.111594811|0.00356214563,-0.209659127|0|-0.250900902|-0.330854853|-0.333099367|-0.326739,1.97752761|2.2471867|1.18744517|0.674334497|0.680067882|0.640410249,0.537360847|-0.480026007|0.584023178,-0.0111018056|0.327886403|-0.0602595136,0.0030422555282711983,0.0008027637377381325,0.0008186725899577141,0.0013670297339558601
5,0.30000000000000004,-0.7781180041980477,0.2387116551399231,0.5867767930030823,0.39937275648117065,0.21603038907051086,0.35,3,0,0,0,1.1655694246292114,3.0098540782928467,48.01858901977539,1.1655687093734741,1.0,0.20779698681509462,0,0,0,0,0.2876768869986992,0.0,filtered,1.1471980956972788e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.20779698681509462,0.536415118|0.551415118|0.307274988|0.207796987|0.215207175|0.225601051,0.686415118|0.701415118|0.457274988|0.357796987|0.365207175|0.375601051,0.656415118|0.671415118|0.427274988|0.327796987|0.335207175|0.345601051,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.21028123|0.161165591|0.126077968|0.0216638144,-0.205585824|0|-0.243967951|-0.329343091|-0.332374475|-0.329296851,1.94007465|2.20566047|1.19541323|0.663010448|0.654532194|0.594771166,0.536805809|-0.46363163|0.58101052,-0.0111018056|0.327886403|-0.0602595136,0.004167452454566956,0.0008107703179121017,0.0013286564499139786,0.001974363811314106
6,0.35000000000000003,-0.7580495413585276,0.22253957390785217,0.579232931137085,0.3933454155921936,0.19741588830947876,0.35,3,0,0,0,1.1741489171981812,1.6670453548431396,37.045249938964844,1.174148678779602,1.0,0.2003786031049677,0,0,0,0,0.2876768869986992,0.0,filtered,3.027237643756247e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.2003786031049677,0.526241047|0.541241047|0.305880757|0.200378603|0.205117687|0.211280605,0.676241047|0.691241047|0.455880757|0.350378603|0.355117687|0.361280605,0.646241047|0.661241047|0.425880757|0.320378603|0.325117687|0.331280605,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.21877151|0.196600165|0.129446163|0.0585170301,-0.201358622|0|-0.236395021|-0.326207303|-0.331468547|-0.330660444,1.90360557|2.16496419|1.20589952|0.671907275|0.618448364|0.572979007,0.53625077|-0.447237253|0.577997863,-0.0111018056|0.327886403|-0.0602595136,0.0029394757002592087,0.0007922453805804253,0.0008160611614584923,0.001276947557926178
7,0.4,-0.7439833490925528,0.27789801359176636,0.5690580010414124,0.380511611700058,0.24895188212394714,0.35,4,0,0,0,1.1245418787002563,3.974997043609619,87.02674102783203,1.1245417594909668,1.0,0.19505357369637077,0,0,0,0,0.2876768869986992,0.0,filtered,3.39651881496261e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.19505357369637077,0.516282279|0.531282279|0.305305585|0.195053574|0.195301886|0.198919847,0.666282279|0.681282279|0.455305585|0.345053574|0.345301886|0.348919847,0.636282279|0.651282279|0.425305585|0.315053574|0.315301886|0.318919847,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.215091296|0.160459439|0.0408283812|0.00659173573,-0.196973079|0|-0.228282316|-0.321043265|-0.330090105|-0.330319456,1.86815604|2.12512912|1.20803132|0.619630469|0.491945822|0.47195167,0.535695732|-0.430842876|0.574985206,-0.0111018056|0.327886403|-0.0602595136,0.004570980556309223,0.0007940568029880524,0.0021598348394036293,0.0015640864148736
8,0.45,-0.7227281398321773,0.2163945734500885,0.5620413422584534,0.3700346350669861,0.18534961342811584,0.35,4,0,0,0,1.0935133695602417,2.9197323322296143,111.6281967163086,1.0935132503509521,1.0,0.1812566001624185,0,0,0,0,0.2876768869986992,0.0,filtered,3.569300130725719e-07,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1812566001624185,0.506546839|0.521546839|0.30504964|0.188438847|0.1812566|0.1842566,0.656546839|0.671546839|0.45504964|0.338438847|0.3312566|0.3342566,0.626546839|0.641546839|0.42504964|0.308438847|0.3012566|0.3042566,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.226854087|0.237672814|0.0985310868|0.0985310868,-0.192424903|0|-0.219422132|-0.313883954|-0.327786046|-0.327786046,1.83376246|2.08618736|1.22763052|0.677544249|0.495771441|0.507771441,0.535140693|-0.4144485|0.571972549,-0.0111018056|0.327886403|-0.0602595136,0.005030886270105839,0.0014563370496034622,0.0014402121305465698,0.002038732171058655
9,0.5,-0.712949975503923,0.2605608403682709,0.5530194640159607,0.35766178369522095,0.22709061205387115,0.35,4,0,0,0,1.0440164804458618,5.587386131286621,139.9145965576172,1.0496702194213867,1.0,0.17147485236516535,0,0,0,0,0.2876768869986992,0.0,filtered,0.08052789407031687,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.17147485236516535,0.497042962|0.512042962|0.305794147|0.186134517|0.171474852|0.174474852,0.647042962|0.662042962|0.455794147|0.336134517|0.321474852|0.324474852,0.617042962|0.632042962|0.425794147|0.306134517|0.291474852|0.294474852,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.224068465|0.208091713|0.0566302551|0.0566302551,-0.187709989|0|-0.210285207|-0.304073785|-0.322616507|-0.322616507,1.80046186|2.04817185|1.23695984|0.648555997|0.419913158|0.431913158,0.534585655|-0.398054123|0.568959892,-0.0111018056|0.327886403|-0.0602595136,0.003076668828725815,0.000811639241874218,0.0008301110938191414,0.0013807909563183784
