episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-177.29350245778758,72.05245063640177,240,0,0,0,0.44893279671669006,12.0,0.16050706803798676,0.26505574556843686,0.5004864931106567,0,0.0,0.8458333333333333,0.13022785247259225,0.0,0.0,0.0,0.0,0.9708333333333333,0.0,0.0,0.0,0.0011934074281791107,0.0056648617222284274,0.1274245958775282,0.0013132370154683788,0.0012514468010825415,0.0023919283451202017,0.08430563010527597,1.045883297920227,18.006216049194336,1,1,146,7.300000000000001,0,0.10143905129639821
1,-63.263808223994076,25.796139776706696,48,0,1,1,0.8178103566169739,2.4000000000000004,0.14937914907932281,0.3193573661458989,0.643141508102417,0,0.0,0.8958333333333334,0.13337183075639977,0.0,0.0,0.0,0.125,0.9791666666666666,0.0,0.0,0.10416666666666667,-0.019918558569458483,0.005614128507052858,0.007675879634916782,0.0014429117436520755,0.0013426768903930981,0.0021813150960952044,0.13182507011515554,1.4120066165924072,25.842933654785156,1,0,26,1.3,0,0.14071146228507836
2,21.224956038191042,3.288261294364929,14,1,0,0,0.044513095170259476,0.7000000000000001,0.2580484449863434,0.20706664770841599,0.2633821666240692,0,0.0,0.7142857142857143,0.006653954092286014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09342560738055852,0.0050946881196328574,0.005850676447153091,0.0014972505159676075,0.0014440282913190977,0.0020651229258094516,0.24532400178057806,2.126004695892334,40.451454162597656,0,0,0,0.0,0,0.16612204921191964
3,-6.586365391160218,16.671117145568132,91,1,0,0,0.05353207141160965,4.55,0.20518474280834198,0.1800824537218272,0.41476842761039734,0,0.0,0.7912087912087912,0.04313613079088213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05518471403639899,0.004516576273510089,0.00705838855355978,0.0013065033254551365,0.001254852206169904,0.0018234497529792263,0.1324349798180245,1.3278053998947144,22.181699752807617,1,1,4,0.2,0,0.43034178423570546
4,21.488846562695688,1.3545858785510063,18,1,0,0,0.045286234468221664,0.9,0.4509490132331848,0.07144858336283101,0.07806194573640823,0,0.0,0.7222222222222222,0.0012533427848304324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2825757344426052,0.004816364083025191,0.005623273551464081,0.0014617287346886264,0.0013497570633060401,0.0019122839698361026,0.09095409067554606,1.0232899188995361,21.520477294921875,0,0,0,0.0,0,0.36610757761180157
5,7.677827825678849,12.7212473154068,91,1,0,0,0.05413644760847092,4.55,0.2738366425037384,0.12488879648211239,0.2360876202583313,0,0.0,0.7802197802197802,0.06172947670822501,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.0,0.10609428185338174,0.004997332109609148,0.01939148735255003,0.001424822004532421,0.0013972544981228126,0.0020852690705886255,0.09484503191005397,1.0072546005249023,21.87559700012207,0,0,0,0.0,0,0.19252869589620247
6,-24.176468170204696,31.0009422339499,146,1,0,0,0.04776450991630554,7.300000000000001,0.1505424827337265,0.19863943786245503,0.5468842387199402,0,0.0,0.9315068493150684,0.17668105755328947,0.0,0.0,0.0,0.0410958904109589,0.9794520547945206,0.0,0.0,0.0273972602739726,-0.0012470680356166386,0.006560835591836335,0.18865383975207806,0.0014616486692979728,0.0014227310016955415,0.003329887973425323,0.09584480484832741,1.045830249786377,20.038650512695312,1,1,36,1.8,0,0.4129506960307866
7,-151.67831338021134,59.65378697216511,240,0,0,0,0.170866921544075,12.0,0.16080068051815033,0.22293727428962787,0.5094030499458313,0,0.0,0.6125,0.11383424262714416,0.0,0.0,0.0,0.0125,0.9916666666666667,0.0,0.0,0.10833333333333334,-0.003454999330227887,0.005485387553926557,0.18417214043438435,0.0012515986144232252,0.001189274329226464,0.0025524502581295867,0.060903484942779564,0.7238706946372986,12.007051467895508,1,1,99,4.95,0,0.004560998684529666
8,-13.450967548438847,27.234649650752544,113,1,0,0,0.04779871553182602,5.65,0.18822290003299713,0.22891693509521738,0.48321691155433655,0,0.0,0.6371681415929203,0.040542103372109166,0.0,0.0,0.0,0.008849557522123894,1.0,0.0,0.0,0.0,0.007380629086311652,0.004943783535102828,0.008281960152089596,0.0014103303078265316,0.0013134400071823493,0.0018917923974516118,0.16330693291904058,1.698502779006958,29.99932098388672,1,1,27,1.35,0,0.013157300323719312
9,-11.333711276184005,31.017101254314184,130,1,0,0,0.04928966611623764,6.5,0.1609814614057541,0.21008378131171832,0.47901442646980286,0,0.0,0.9461538461538461,0.15910445167927975,0.0,0.0,0.0,0.0,0.9769230769230769,0.0,0.0,0.0,0.003261718018328724,0.00572326690531694,0.014991303905844688,0.001577543904288457,0.0014891535330277222,0.00219543815518801,0.10119689782508291,1.1121171712875366,19.56123924255371,1,1,42,2.1,0,0.1271244098332938
