step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.987786015160312,0.6937149167060852,0.3834521472454071,0.20663069188594818,0.5693775415420532,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.29340645240467156,0.023472516192373727,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3500000060524278,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,0.023472516192373727,0.483149168|0.498149168|0.389162373|0.0662609283|0.0363675856|0.0234725162,0.633149168|0.648149168|0.539162373|0.216260928|0.186367586|0.173472516,0.603149168|0.618149168|0.509162373|0.186260928|0.156367586|0.143472516,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.235681126|0|-0.229194435|-0.292174132|-0.330269702|-0.329880924,1.69691554|1.99259667|1.32745506|-0.027130419|-0.18479936|-0.235990859,0.519756019|0.523178875|0.434647739,0.00117076701|-0.33809334|-0.0725218281,0.004008457995951176,0.0010154545307159424,0.0009065680205821991,0.0012223981320858002
1,0.1,-1.0525053941085236,0.7584342956542969,0.3834521472454071,0.19001178443431854,0.6166428923606873,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.08786401105267058,0.0070291208842136466,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3500000034814165,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,0.0070291208842136466,0.471469836|0.486469836|0.377820305|0.0517874937|0.0199007629|0.00702912088,0.621469836|0.636469836|0.527820305|0.201787494|0.169900763|0.157029121,0.591469836|0.606469836|0.497820305|0.171787494|0.139900763|0.127029121,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.231472632|0|-0.224458776|-0.286651444|-0.328361652|-0.327806547,1.65440671|1.94587934|1.28682244|-0.0795014695|-0.2487586|-0.299690063,0.51981467|0.506274521|0.43102175,0.00117076701|-0.33809334|-0.0725218281,0.003491702489554882,0.0007872413843870163,0.0007502036169171333,0.0011646794155240059
2,0.15000000000000002,-1.1249994837119477,0.830928385257721,0.3834521472454071,0.17347295582294464,0.6695765256881714,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.009300699557437786,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.34999999153912925,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.009300699557437786,0.460005629|0.475005629|0.366721101|0.037609512|0.00353784543|-0.00930069956,0.610005629|0.625005629|0.516721101|0.187609512|0.153537845|0.1406993,0.580005629|0.595005629|0.486721101|0.157609512|0.123537845|0.1106993,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.227069073|0|-0.219471259|-0.280325724|-0.326090276|-0.325312164,1.61295344|1.90002252|1.24741314|-0.129887676|-0.311938895|-0.362514962,0.519873321|0.489369929|0.427395761,0.00117076701|-0.33809334|-0.0725218281,0.007423185743391514,0.0010369839146733284,0.0009179506450891495,0.004632900469005108
3,0.2,-1.1556858621909516,0.8616147637367249,0.3834521472454071,0.15702922642230988,0.7288604974746704,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.025493054263129422,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.34999999928867476,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.025493054263129422,0.448766578|0.463766578|0.355877738|0.0237706518|-0.0127006222|-0.0254930543,0.598766578|0.613766578|0.505877738|0.173770652|0.137299378|0.124506946,0.568766578|0.583766578|0.475877738|0.143770652|0.107299378|0.0945069457,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.222462303|0|-0.21421995|-0.273056931|-0.323360761|-0.322280985,1.57260401|1.85506631|1.209291|-0.177974324|-0.37416325|-0.424253202,0.519931972|0.472465217|0.423769772,0.00117076701|-0.33809334|-0.0725218281,0.003405582159757614,0.0007743118330836296,0.000778472051024437,0.0011811871081590652
4,0.25,-1.168523331768741,0.8744522333145142,0.3834521472454071,0.14069931209087372,0.7952337861061096,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.04151723870307,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3499999922383874,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.04151723870307,0.437763118|0.452763118|0.345303786|0.0103221803|-0.0287886103|-0.0415172387,0.587763118|0.602763118|0.495303786|0.16032218|0.12121139|0.108482761,0.557763118|0.572763118|0.465303786|0.13032218|0.0912113897|0.0784827613,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.217644173|0|-0.208692955|-0.264680548|-0.320046753|-0.318554775,1.5334083|1.81105247|1.17252219|-0.223391827|-0.435201194|-0.48462373,0.519990623|0.455560505|0.420143783,0.00117076701|-0.33809334|-0.0725218281,0.003948812372982502,0.0007948223501443863,0.0009156269952654839,0.0014061229303479195
5,0.30000000000000004,-1.1819851600005524,0.8879140615463257,0.3834521472454071,0.12450696527957916,0.8694832921028137,0.35,5,0,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.057336613271895154,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3500000043436893,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.057336613271895154,0.427006019|0.442006019|0.335013323|-0.00267585385|-0.0446928481|-0.0573366133,0.577006019|0.592006019|0.485013323|0.147324146|0.105307152|0.0926633867,0.547006019|0.562006019|0.455013323|0.117324146|0.0753071519|0.0626633867,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.212606566|0|-0.20287852|-0.255005207|-0.315977702|-0.31429023,1.49541751|1.76802408|1.13717477|-0.265708622|-0.494749095|-0.543636683,0.520049274|0.438655794|0.416517794,0.00117076701|-0.33809334|-0.0725218281,0.00413899589329958,0.0010304981842637062,0.0008952133357524872,0.001392425037920475
6,0.35000000000000003,-4.185086747296085,3.891015648841858,0.3834521472454071,0.10848277807235718,0.8910155892372131,0.35,5,1,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.07294050386472059,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.350000008043998,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.07294050386472059,0.416506456|0.431506456|0.325021008|-0.0151531402|-0.0603700635|-0.0729405039,0.566506456|0.581506456|0.475021008|0.13484686|0.0896299365|0.0770594961,0.536506456|0.551506456|0.445021008|0.10484686|0.0596299365|0.0470594961,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.207341503|0|-0.196765233|-0.243811832|-0.310920444|-0.30968115,1.45868432|1.72602582|1.1033188|-0.304424393|-0.552400698|-0.601443165,0.520107925|0.421751082|0.412891805,0.00117076701|-0.33809334|-0.0725218281,0.00395110622048378,0.0010218443349003792,0.0009099114686250687,0.0011872155591845512
7,0.4,-4.184350510723819,3.8902794122695923,0.3834521472454071,0.09266340732574463,0.8902793526649475,0.35,5,1,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.08828309963960113,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3500000023497084,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.08828309963960113,0.406275997|0.421275997|0.31534206|-0.0270277536|-0.0757632227|-0.0882830996,0.556275997|0.571275997|0.46534206|0.122972246|0.0742367773|0.0617169004,0.526275997|0.541275997|0.43534206|0.0929722464|0.0442367773|0.0317169004,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.201841238|0|-0.190342219|-0.230855568|-0.30455228|-0.303770201,1.42326275|1.68510399|1.07102602|-0.338966582|-0.607605171|-0.656902599,0.520166576|0.40484637|0.409265816,0.00117076701|-0.33809334|-0.0725218281,0.003782976418733597,0.0008011050522327423,0.0009262356907129288,0.0013963030651211739
8,0.45,-4.182905574925174,3.8888344764709473,0.3834521472454071,0.07705950736999512,0.8888344168663025,0.35,5,1,0,0,0.0,0.0,0.0,0.3499999940395355,0.0,-0.10328763722953763,1,1,0,0,0.023472516192373727,0.3499999940395355,safe_stop_infeasible,0.3500000055390967,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.10328763722953763,0.396326588|0.411326588|0.30599222|-0.0382050093|-0.0907961342|-0.103287637,0.546326588|0.561326588|0.45599222|0.111794991|0.0592038658|0.0467123628,0.516326588|0.531326588|0.42599222|0.0817949907|0.0292038658|0.0167123628,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.196098364|0|-0.183599365|-0.215872562|-0.296421829|-0.296059315,1.38920799|1.64530635|1.04036951|-0.368692599|-0.659606366|-0.709209864,0.520225227|0.387941658|0.405639827,0.00117076701|-0.33809334|-0.0725218281,0.003393063321709633,0.0008022766560316086,0.0007267491891980171,0.0011949855834245682
9,0.5,-4.18108608353876,3.8870149850845337,0.3834521472454071,0.06171692907810211,0.8870149850845337,0.35,5,1,0,0,0.0,0.0,0.0,0.3500000238418579,0.0,-0.11784702809459754,1,1,0,0,0.023472516192373727,0.3500000238418579,safe_stop_infeasible,0.3500000077567483,1,0,12,,qp_solver,0,0,0,primal infeasible,osqp,0.0,valid,-0.11784702809459754,0.386670537|0.401670537|0.296987713|-0.0485768344|-0.105365698|-0.117847028,0.536670537|0.551670537|0.446987713|0.101423166|0.0446343016|0.0321529719,0.506670537|0.521670537|0.416987713|0.0714231656|0.0146343016|0.00215297191,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0|0|0|0,-0.190105929|0|-0.176527569|-0.198594328|-0.285893247|-0.285817678,1.35657622|1.60668215|1.01142328|-0.392901666|-0.707356041|-0.75720579,0.520283878|0.371036947|0.402013838,0.00117076701|-0.33809334|-0.0725218281,0.003383704461157322,0.0007822979241609573,0.0007423404604196548,0.001202225685119629
