episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-177.29350245778758,72.05245063640177,240,0,0,0,0.44893279671669006,12.0,0.16050706803798676,0.26505574556843686,0.5004864931106567,0,0.0,0.8458333333333333,0.13022785247259225,0.0,0.0,0.0,0.0,0.9708333333333333,0.0,0.0,0.0,0.0011934074281791107,0.00603503417611743,0.20523045398294926,0.0013493896617243688,0.0012649789840603867,0.002724777879969527,0.08430563010527597,1.045883297920227,18.006216049194336,1,1,146,7.300000000000001,0,0.10143905129639821
1,-58.23820777891961,24.808776140213013,46,0,1,1,0.756994903087616,2.3000000000000003,0.14645592868328094,0.31487244319008745,0.6911311149597168,0,0.0,0.8913043478260869,0.1544621897652621,0.08695652173913043,0.0,0.08695652173913043,0.0,0.8913043478260869,0.0,0.0,0.06521739130434782,-0.021763759368320507,0.021998897943969652,0.21441108267754316,0.0014378409832715988,0.0014680267676063206,0.01843875711378844,0.1429177724563962,1.6709500551223755,36.49209976196289,1,0,24,1.2000000000000002,0,0.14071146228507836
2,21.224956038191042,3.288261294364929,14,1,0,0,0.044513095170259476,0.7000000000000001,0.2580484449863434,0.20706664770841599,0.2633821666240692,0,0.0,0.7142857142857143,0.006653954092286014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09342560738055852,0.004170364101550409,0.005845577456057072,0.001194110938480922,0.0011330227633672102,0.0017645180092326232,0.24532400178057806,2.126004695892334,40.451454162597656,0,0,0,0.0,0,0.16612204921191964
3,-6.586365391160218,16.671117145568132,91,1,0,0,0.05353207141160965,4.55,0.20518474280834198,0.1800824537218272,0.41476842761039734,0,0.0,0.7912087912087912,0.04313613079088213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05518471403639899,0.005341504720950519,0.00797423254698515,0.001546867816084689,0.001495533899127782,0.002161231301315538,0.1324349798180245,1.3278053998947144,22.181699752807617,1,1,4,0.2,0,0.43034178423570546
4,21.488846562695688,1.3545858785510063,18,1,0,0,0.045286234468221664,0.9,0.4509490132331848,0.07144858336283101,0.07806194573640823,0,0.0,0.7222222222222222,0.0012533427848304324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2825757344426052,0.0041185109358694814,0.00624702125787735,0.0011771004129615095,0.0012026734443174468,0.0016550823735694091,0.09095409067554606,1.0232899188995361,21.520477294921875,0,0,0,0.0,0,0.36610757761180157
5,7.677827825678849,12.7212473154068,91,1,0,0,0.05413644760847092,4.55,0.2738366425037384,0.12488879648211239,0.2360876202583313,0,0.0,0.7802197802197802,0.06172947670822501,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.0,0.10609428185338174,0.004358942528347393,0.008783732540905476,0.0012657688930630684,0.001231720415199851,0.0017791437906223338,0.09484503191005397,1.0072546005249023,21.87559700012207,0,0,0,0.0,0,0.19252869589620247
6,-23.818630986726745,30.94781806692481,146,1,0,0,0.04601527750492096,7.300000000000001,0.1480262726545334,0.1985610814331329,0.6034852266311646,0,0.0,0.9246575342465754,0.17867391569116572,0.0273972602739726,0.0,0.0273972602739726,0.00684931506849315,0.9452054794520548,0.0,0.0,0.0547945205479452,-0.004740809869408835,0.011151089881585068,0.20359729323536158,0.0014652072464766568,0.001293640354112403,0.008055912369020181,0.09662621820741014,1.0746865272521973,21.936573028564453,1,1,36,1.8,0,0.4129506960307866
7,-69.64721386278629,62.901307582855225,19,0,1,1,0.3534010052680969,0.9500000000000001,-0.006415320560336113,0.8123925610592491,0.8587344288825989,13,0.6842105263157895,1.0,0.35000000138388015,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9473684210526315,-0.17456047563385285,0.1951342485354919,0.22998288087546825,0.0014620035102492885,0.001238861758457987,0.1913014483196955,0.0,0.0,0.0,1,0,19,0.9500000000000001,0,0.004560998684529666
8,-60.31095692443839,70.78976233303547,135,1,0,0,0.048853740096092224,6.75,0.08047427237033844,0.24802458932002386,0.8567807078361511,12,0.08888888888888889,0.7481481481481481,0.07626065662324392,0.11851851851851852,0.0,0.11851851851851852,0.0,0.8814814814814815,0.0,0.0,0.13333333333333333,-0.06962748785826914,0.02670720847392524,0.2471848614513874,0.0013263370772754704,0.0012748004385718594,0.02378444822712077,0.12340965525557597,1.3657560348510742,21.419437408447266,1,1,32,1.6,0,0.013157300323719312
9,-11.333711276184005,31.017101254314184,130,1,0,0,0.04928966611623764,6.5,0.1609814614057541,0.21008378131171832,0.47901442646980286,0,0.0,0.9461538461538461,0.15910445167927975,0.0,0.0,0.0,0.0,0.9769230769230769,0.0,0.0,0.0,0.003261718018328724,0.0047212381918842975,0.007918627001345158,0.0012496365950657772,0.0012142733097649538,0.0018363546078594831,0.10119689782508291,1.1121171712875366,19.56123924255371,1,1,42,2.1,0,0.1271244098332938
