episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-9.777379138471964,23.17950201779604,104,1,0,0,0.0481475405395031,5.2,0.18028418719768524,0.2099946549233909,0.5190023183822632,0,0.0,0.6923076923076923,0.025093004304668813,0.009615384615384616,0.0,0.0,0.0,0.9519230769230769,0.0,0.009615384615384616,0.0,0.06028417201467068,0.006134260454788231,0.1675077909603715,0.0013085707234075437,0.0012905379811015266,0.003449637612972695,0.15949779388924631,1.543354868888855,42.57600021362305,0,0,0,0.0,0,0.32163315285596256
1,-53.13275031341812,42.907313853502274,47,0,1,1,0.3343341052532196,2.35,0.09982495754957199,0.44176022930348174,0.8568546175956726,4,0.0851063829787234,0.8936170212765957,0.13255428861592794,0.1702127659574468,0.0,0.0,0.1702127659574468,0.9574468085106383,0.0,0.1702127659574468,0.1276595744680851,-0.03595905562085866,0.036455847976848164,0.23073961306363344,0.0014825304375684007,0.0013595854744632193,0.03305324670323666,0.14367339542095967,1.5040061473846436,35.443302154541016,1,0,19,0.9500000000000001,0,0.33470302314506145
2,-116.57544319459521,51.80163621343672,240,0,0,0,0.17275799810886383,12.0,0.17228247225284576,0.20539329532378664,0.5485481023788452,0,0.0,0.6875,0.10553726175520321,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.051348844208636696,0.005078115434541056,0.010037490166723728,0.001384331825344513,0.0013225994150464734,0.001966643310151994,0.09784842934119903,1.1644909381866455,32.84593963623047,1,1,71,3.5500000000000003,0,0.2753840987369408
3,-28.48239093318268,26.02731477469206,71,0,1,1,0.15916238725185394,3.5500000000000003,0.15592096745967865,0.23238420182130706,0.5496493577957153,0,0.0,0.6619718309859155,0.02343244735642531,0.0,0.0,0.0,0.0,0.9436619718309859,0.0,0.0,0.0,0.022836484774183097,0.005586760918754087,0.00916957575827837,0.0015368212775235446,0.0015505230001790424,0.0021671934420583955,0.12374997789755096,1.2958247661590576,21.477588653564453,1,0,13,0.65,0,0.3108313353767355
4,-119.76901288176816,54.85285112448037,240,0,0,0,0.5077897906303406,12.0,0.14942453801631927,0.20234496534491578,0.5425189733505249,0,0.0,0.725,0.09289433556488416,0.004166666666666667,0.0,0.0,0.004166666666666667,0.9708333333333333,0.0,0.004166666666666667,0.0,0.003143126991372147,0.005797479604370892,0.178326565772295,0.0014224165934138,0.001347924287741383,0.0027031273076621194,0.12248826872867842,1.338362216949463,26.689260482788086,1,1,51,2.5500000000000003,0,0.053472516192373726
5,-80.85182825288798,49.16499390825629,240,0,0,0,0.2511230707168579,12.0,0.16449402272701263,0.19250854479614646,0.5176817774772644,0,0.0,0.6791666666666667,0.07418754117719277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.038218465468060236,0.004881115692357222,0.0072964634746313095,0.0013742728314052024,0.0013121342441687982,0.001908542417610685,0.12122618140856503,1.3304437398910522,30.339344024658203,1,1,45,2.25,0,0.16791857544348443
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08777872905434114,0.00498901199704657,0.008028780110180378,0.0014404718802931407,0.0014176248107105494,0.002038384845945984,0.11083583997872969,1.1217924356460571,20.07524299621582,0,0,0,0.0,0,0.3699870234141385
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17551845085158835,0.005155314103161034,0.006561708636581898,0.0014826289721225436,0.0014650143290820875,0.0021122839595926436,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0,0,0.24959940270069508
8,-9.329922400598036,18.55834025144577,121,1,0,0,0.053349193185567856,6.050000000000001,0.1921791285276413,0.14574352965867224,0.5374684929847717,0,0.0,0.7024793388429752,0.05160756066123268,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.0,0.0,0.07217912840259089,0.004834499163937963,0.007296063005924225,0.0014006960213430657,0.0013771814809850425,0.001966722271104982,0.15279531541996258,1.4235174655914307,25.1689510345459,0,0,0,0.0,0,0.31767688699869917
9,-111.18293066505518,56.37185126915574,240,0,0,0,0.3425998389720917,12.0,0.1376865655183792,0.21945726131089033,0.595050573348999,0,0.0,0.8458333333333333,0.14457572874919117,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0037127165840065146,0.005195708460329722,0.008290755562484264,0.0014411354825521509,0.0013784120907075702,0.002014074505617221,0.07297435798294222,0.8827434778213501,14.690701484680176,1,1,58,2.9000000000000004,0,0.11561910235296297
