step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.41089956083126716,0.07657088339328766,0.45937690138816833,0.44914764165878296,0.07222703844308853,0.35,5,0,0,0,0.3627084791660309,7.25416898727417,145.0833740234375,0.40283188223838806,1.0,0.3108313353767355,0,0,0,0,0.3108313353767355,0.0,filtered,0.04936884706611206,0,0,12,joint_3_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3108313353767355,0.404999706|0.419999706|0.361432209|0.326985446|0.3486141|0.310831335,0.524999706|0.539999706|0.481432209|0.446985446|0.4686141|0.430831335,0.524999706|0.539999706|0.481432209|0.446985446|0.4686141|0.430831335,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0228461674|0.0855998548|0.110722535|0.131580162,-0.126129821|0|-0.147278897|-0.146827352|-0.133498213|-0.129099198,1.493869|1.67999883|1.32129611|1.24671429|1.37168072|1.24580631,0.24794744|0.612904072|0.283186346,0.0124797234|-0.151803002|0.0100211231,0.00916957575827837,0.0018717506900429726,0.0035867542028427124,0.0035721631720662117
1,0.1,-0.28471597537337867,0.06995846331119537,0.44862881302833557,0.45436638593673706,0.06721403449773788,0.35,5,0,0,0,0.6729292273521423,7.541537761688232,123.06425476074219,0.672927975654602,1.0,0.3097006470738818,0,0,0,0,0.3108313353767355,0.0,filtered,1.6133676270464668e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3097006470738818,0.39944475|0.41444475|0.355536573|0.323122495|0.346226377|0.309700647,0.51944475|0.53444475|0.475536573|0.443122495|0.466226377|0.429700647,0.51944475|0.53444475|0.475536573|0.443122495|0.466226377|0.429700647,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0551280453|0.164144676|0.204223261|0.234691964,-0.125394304|0|-0.147087362|-0.147151925|-0.133437903|-0.128744452,1.47238469|1.657779|1.33018698|1.30948273|1.45569087|1.3447501,0.250520051|0.605313778|0.283687383,0.0124797234|-0.151803002|0.0100211231,0.005506166256964207,0.0016992362216114998,0.0014368509873747826,0.0022541601210832596
2,0.15000000000000002,-0.18684762380649494,0.07080765068531036,0.433991402387619,0.46238428354263306,0.06792920082807541,0.35,5,0,0,0,0.893608808517456,5.306872844696045,62.90022659301758,0.8936077952384949,1.0,0.3149294200992517,0,0,0,0,0.3108313353767355,0.0,filtered,1.3154350199013451e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3149294200992517,0.393189321|0.408189321|0.350876401|0.323782076|0.349640301|0.31492942,0.513189321|0.528189321|0.470876401|0.443782076|0.469640301|0.43492942,0.513189321|0.528189321|0.470876401|0.443782076|0.469640301|0.43492942,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0784187272|0.206772243|0.252600037|0.286578196,-0.124815985|0|-0.146799901|-0.147653727|-0.133531298|-0.128684165,1.4479413|1.63275728|1.33512443|1.35424682|1.51762994|1.41761171,0.251144111|0.597723484|0.28418842,0.0124797234|-0.151803002|0.0100211231,0.005595676600933075,0.0017864461988210678,0.0015475666150450706,0.0021572457626461983
3,0.2,-0.11526025862693594,0.07170066982507706,0.41697636246681213,0.47128826379776,0.06868281960487366,0.35,5,0,0,0,0.9697242379188538,4.57354736328125,105.70236206054688,0.9697235822677612,1.0,0.32287707147271844,0,0,0,0,0.3108313353767355,0.0,filtered,9.758205645006825e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32287707147271844,0.386963223|0.401963223|0.347358003|0.326566941|0.355542063|0.322877071,0.506963223|0.521963223|0.467358003|0.446566941|0.475542063|0.442877071,0.506963223|0.521963223|0.467358003|0.446566941|0.475542063|0.442877071,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0897210353|0.220264502|0.265976288|0.305179248,-0.124220979|0|-0.146270728|-0.148198052|-0.133995459|-0.129181858,1.42363191|1.60785289|1.33288232|1.37833421|1.55414908|1.46750568,0.251768172|0.59013319|0.284689456,0.0124797234|-0.151803002|0.0100211231,0.0060620540753006935,0.0017590373754501343,0.0016512563452124596,0.002548832446336746
4,0.25,-0.05979326350616247,0.07263918966054916,0.39858388900756836,0.4759318232536316,0.06947650015354156,0.35,3,0,0,0,1.0244600772857666,2.191718339920044,56.16726303100586,1.0244593620300293,1.0,0.32994273566081717,0,0,0,0,0.3108313353767355,0.0,filtered,9.231115240230997e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32994273566081717,0.380767306|0.395767305|0.344395408|0.329942736|0.362008999|0.331649314,0.500767306|0.515767305|0.464395408|0.449942736|0.482008999|0.451649314,0.500767306|0.515767305|0.464395408|0.449942736|0.482008999|0.451649314,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0899714712|0.226127579|0.278565986|0.326575491,-0.123608722|0|-0.145548471|-0.148703618|-0.134785226|-0.130104149,1.3994605|1.58306922|1.32200463|1.3971949|1.59181676|1.5230686,0.252392232|0.582542896|0.285190493,0.0124797234|-0.151803002|0.0100211231,0.005874214693903923,0.0017976202070713043,0.0016566496342420578,0.002314656972885132
5,0.30000000000000004,-0.01959597991544143,0.07362494617700577,0.37954849004745483,0.47983402013778687,0.07031185925006866,0.35,3,0,0,0,1.0567302703857422,2.222841501235962,72.93283081054688,1.0567294359207153,1.0,0.3335459589532979,0,0,0,0,0.3108313353767355,0.0,filtered,1.3745958800113805e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3335459589532979,0.374602446|0.389602446|0.341469555|0.333545959|0.36902947|0.341409386,0.494602446|0.509602446|0.461469555|0.453545959|0.48902947|0.461409386,0.494602446|0.509602446|0.461469555|0.453545959|0.48902947|0.461409386,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0850898205|0.232253575|0.300329005|0.357805425,-0.122978631|0|-0.144757534|-0.149135658|-0.135682305|-0.131147374,1.37543115|1.55840978|1.3062105|1.41730175|1.64076458|1.5922956,0.253016293|0.574952602|0.28569153,0.0124797234|-0.151803002|0.0100211231,0.005989997647702694,0.0017657065764069557,0.001756647601723671,0.0023581217974424362
6,0.35000000000000003,0.01195033187755598,0.07465969026088715,0.3602883815765381,0.47655460238456726,0.07119055837392807,0.35,2,0,0,0,1.0752394199371338,2.136573314666748,16.953655242919922,1.0752394199371338,1.0,0.3374005815633769,0,0,0,0,0.3108313353767355,0.0,passthrough,4.84351053515543e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3374005815633769,0.368469549|0.383469549|0.338352197|0.337400582|0.377088373|0.352678683,0.488469549|0.503469549|0.458352197|0.457400582|0.497088373|0.472678683,0.488469549|0.503469549|0.458352197|0.457400582|0.497088373|0.472678683,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0800810463|0.231547102|0.313875729|0.377918189,-0.122330102|0|-0.143972036|-0.149449068|-0.136520788|-0.132113201,1.3515481|1.5338782|1.2895178|1.43170036|1.68570843|1.65651972,0.253640354|0.567362309|0.286192566,0.0124797234|-0.151803002|0.0100211231,0.005706610158085823,0.0016713589429855347,0.001731855794787407,0.0021891826763749123
7,0.4,0.03758041183594486,0.07574516534805298,0.3410492539405823,0.47291794419288635,0.07211428880691528,0.35,2,0,0,0,1.0641354322433472,1.8695802688598633,23.83528709411621,1.0641354322433472,1.0,0.33503687170827073,0,0,0,0,0.3108313353767355,0.0,passthrough,4.376105884118111e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33503687170827073,0.362369554|0.377369554|0.335036872|0.341179703|0.38578016|0.364903973,0.482369554|0.497369554|0.455036872|0.461179703|0.50578016|0.484903973,0.482369554|0.497369554|0.455036872|0.461179703|0.50578016|0.484903973,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0748232549|0.225077745|0.320372917|0.388641011,-0.121662513|0|-0.143182809|-0.149605997|-0.137312736|-0.133022512,1.3278157|1.50947822|1.27178793|1.44019056|1.72618082|1.71523439,0.254264414|0.559772015|0.286693603,0.0124797234|-0.151803002|0.0100211231,0.004661640152335167,0.0017121220007538795,0.0013280250132083893,0.0015132222324609756
8,0.45,0.057954391836389896,0.07688314467668533,0.32200008630752563,0.46908804774284363,0.073084756731987,0.35,2,0,0,0,1.0336153507232666,2.6064722537994385,20.799867630004883,1.0336153507232666,1.0,0.33151477352373054,0,0,0,0,0.3108313353767355,0.0,passthrough,4.454043296933492e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33151477352373054,0.356303429|0.371303429|0.331514774|0.344615808|0.394755855|0.377610469,0.476303429|0.491303429|0.451514774|0.464615808|0.514755855|0.497610469,0.476303429|0.491303429|0.451514774|0.464615808|0.514755855|0.497610469,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0696802824|0.215385868|0.323203484|0.392935279,-0.120975218|0|-0.142400368|-0.149600711|-0.138073901|-0.133879403,1.3042385|1.48521371|1.25333901|1.44424839|1.764153|1.76949775,0.254888475|0.552181721|0.287194639,0.0124797234|-0.151803002|0.0100211231,0.0036872364580631256,0.0009542405605316162,0.0009964071214199066,0.0016732066869735718
9,0.5,0.0754416943518845,0.07840032130479813,0.3031744956970215,0.465102881193161,0.07442861050367355,0.35,2,0,0,0,1.0136628150939941,3.4482829570770264,18.25860595703125,1.0136628150939941,1.0,0.3277958752114927,0,0,0,0,0.3108313353767355,0.0,passthrough,4.512674400537989e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3277958752114927,0.350272176|0.365272166|0.327795875|0.3475701|0.403839564|0.390478406,0.470272176|0.485272166|0.447795875|0.4675701|0.523839564|0.510478406,0.470272176|0.485272166|0.447795875|0.4675701|0.523839564|0.510478406,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0651863319|0.204580239|0.325069913|0.393775962,-0.120267554|0|-0.1416428|-0.149445491|-0.138813708|-0.134666671,1.28082115|1.46108866|1.23472703|1.44541515|1.80161446|1.82102291,0.255512536|0.544591427|0.287695676,0.0124797234|-0.151803002|0.0100211231,0.0035611027851700783,0.0009746365249156952,0.000998571515083313,0.0015198905020952225
